split,n,n_positive,base_rate,pr_auc,roc_auc,brier,recall_at_top_decile
val,78,24,0.3076923076923077,0.9186353220304082,0.9405864197530864,0.17461030625022733,0.3333333333333333
test,78,22,0.28205128205128205,0.8461324658897895,0.8936688311688311,0.16355746032841062,0.3181818181818182
