issuer_name,cusip,instrument_id,mi_key,actual_spread,predicted_spread,cheapness_bps,downgrade_prob_4q,sp_rating,rating_numeric,modified_duration,quadrant,rv_long_score,rv_short_score
Jefferies Financial Group Inc.,47233JDZ8,SPS690751551,103464,235.58001,154.44779042958712,81.13221957041287,0.3941554534165877,BBB,9.0,10.02134,Trap (cheap+risky),49.15351277894264,-31.978706791470234
Jefferies Financial Group Inc.,47233WHA0,SPS1893490168,103464,227.53397,148.33258022529398,79.20138977470603,0.3941554534165877,BBB,9.0,7.41127,Trap (cheap+risky),47.983730076832884,-31.21765969787315
Ford Motor Company,345370BR0,SPS14037654,113873,225.02208,147.07142810108047,77.95065189891952,0.40014708018647954,BBB-,10.0,10.68927,Trap (cheap+risky),46.75892614293422,-31.191725755985303
Time Warner Cable Inc.,88732JBB3,SPS140294740,4146010,245.25884,153.55269883924177,91.70614116075822,,BBB-,10.0,9.61204,Long (cheap+safe),45.85307058037911,-45.85307058037911
"BellSouth, LLC",079857AF5,SPS14045528,4041154,249.08903,159.48657080619472,89.60245919380529,,BBB,9.0,13.93219,Long (cheap+safe),44.801229596902644,-44.801229596902644
Time Warner Cable Inc.,88732JAY4,SPS115638708,4146010,246.52981,157.01448704922845,89.51532295077155,,BBB-,10.0,9.31143,Long (cheap+safe),44.757661475385774,-44.757661475385774
Jefferies Financial Group Inc.,47233WHJ1,SPS1903319909,103464,233.34981,160.71061949778974,72.63919050221025,0.3941554534165877,BBB,9.0,8.93846,Trap (cheap+risky),44.008057433997685,-28.631133068212574
Time Warner Cable Inc.,88732JAU2,SPS60515940,4146010,238.39921,152.54133812599403,85.85787187400598,,BBB-,10.0,8.29997,Long (cheap+safe),42.92893593700299,-42.92893593700299
Time Warner Cable Inc.,88732JAN8,SPS46045098,4146010,235.6016,151.01667634267514,84.58492365732485,,BBB-,10.0,7.81711,Long (cheap+safe),42.292461828662425,-42.292461828662425
Anadarko Petroleum Corporation,032511AK3,SPS14037944,4010194,292.23913,210.55322121467339,81.6859087853266,,BB+,11.0,13.41025,Long (cheap+safe),40.8429543926633,-40.8429543926633
"Discovery Global Holdings, Inc.",55903VBW2,SPS1948595592,29181597,354.11798,272.8876856424796,81.23029435752039,,BB,12.0,9.61088,Long (cheap+safe),40.615147178760196,-40.615147178760196
Halliburton Company,406216AS0,SPS14176439,4010641,241.0619,160.40805440445334,80.65384559554667,,BBB+,8.0,14.13637,Long (cheap+safe),40.326922797773335,-40.326922797773335
Jefferies Financial Group Inc.,47233WJK6,SPS1935137954,103464,218.87764,154.76547974414774,64.11216025585227,0.3941554534165877,BBB,9.0,10.53404,Trap (cheap+risky),38.84200266068989,-25.270157595162384
"Cox Communications, Inc.",872241AB0,SPS14052038,4024830,213.21872,135.90691587026794,77.31180412973205,,BBB,9.0,1.53066,Long (cheap+safe),38.65590206486603,-38.65590206486603
Anadarko Petroleum Corporation,032511AJ6,SPS14036609,4010194,305.12025,228.53054232196075,76.58970767803925,,BB+,11.0,12.99838,Long (cheap+safe),38.29485383901962,-38.29485383901962
