(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)"
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,4/30/2026,3/31/2026,2/27/2026,1/30/2026,12/31/2025,11/28/2025,10/31/2025,9/30/2025,8/29/2025,7/31/2025,6/30/2025,5/30/2025,4/30/2025,3/31/2025,2/28/2025,1/31/2025,12/31/2024,11/29/2024,10/31/2024,9/30/2024,6/28/2024,3/29/2024,12/29/2023,9/29/2023,6/30/2023,3/31/2023,12/30/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020
"CenterPoint Energy, Inc.",SPS632958506,4074390,15189TAX5,CNP 2.95 03/01/2030 FIX USD Corporate,4.66773,4.55363,4.07039,4.31091,4.32634,4.26269,4.28188,4.37807,4.43188,4.65363,4.55768,4.75390,4.68714,4.91069,4.90844,5.16904,5.18535,4.91272,5.00928,4.57306,5.28450,5.06539,5.09776,5.94964,5.21747,5.04987,5.30211,5.58288,4.64335,3.60134,2.45682,2.30557,2.24166,2.60743,1.82933
"CenterPoint Energy, Inc.",SPS632958507,4074390,15189TAY3,CNP 3.7 09/01/2049 FIX USD Corporate,6.22287,6.05151,5.75335,5.89247,6.04946,5.91884,5.93803,6.00507,6.11150,6.15667,5.92781,6.07703,5.98277,5.89968,5.71103,6.00527,5.95893,5.58903,5.67817,5.38698,5.86914,5.61715,5.52015,6.29108,5.47187,5.35339,5.49488,5.74854,5.03704,4.03015,3.15995,3.21665,3.28802,3.65630,2.90672
"Charter Communications Operating, LLC",SPS1774063860,4137131,161175CJ1,CHTR-Operating 4.4 04/01/2033 FIX USD Corporate,5.65967,5.54749,5.20256,5.41987,5.32024,5.35667,5.38917,5.23776,5.36492,5.51223,5.31061,5.63825,5.90763,5.91083,5.79883,6.03730,6.03790,5.66862,5.99844,5.60555,6.13661,6.04023,5.51366,6.54971,6.05051,5.90571,6.29680,6.72997,5.74581,4.42046,0,0,0,0,0
"Charter Communications Operating, LLC",SPS1774063862,4137131,161175CL6,CHTR-Operating 5.5 04/01/2063 FIX USD Corporate,7.36811,7.26590,7.04127,7.12872,7.12279,6.96245,6.91310,6.67547,6.82795,6.82999,6.60683,6.83590,7.12507,6.98361,6.83536,7.02694,7.05650,6.66486,7.04721,6.90066,7.22443,7.13984,6.65777,7.55222,6.93692,6.89675,7.30202,7.33669,6.55167,5.44686,0,0,0,0,0
"Charter Communications Operating, LLC",SPS306470299,4137131,U16109AJ6,CCOSA 10/23/2055 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheniere Energy Partners, L.P.",SPS636308389,4149886,16411QAF8,CHENENE 4.5 10/01/2029 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheniere Energy, Inc.",SPS1987606379,4100855,16411RAS8,CEIC 07/30/2056 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheniere Energy, Inc.",SPS1987606550,4100855,16411RAR0,CEIC 07/30/2036 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churchill Downs Incorporated,SPS546426348,4150067,171484AF5,CHDOI 4.75 01/15/2028 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63870
Cincinnati Financial Corporation,SPS14056539,103262,172062AC5,CINF 6.9 05/15/2028 FIX USD Corporate,5.26794,5.11185,4.30920,4.78321,4.46029,4.32496,4.73052,4.73421,4.72279,5.03823,4.82886,4.99824,4.63769,5.00169,5.08869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cincinnati Financial Corporation,SPS14177198,103262,172062AF8,CINF 6.92 05/15/2028 FIX USD Corporate,4.31878,4.35015,3.89607,3.99366,3.97419,3.97344,4.00797,4.05271,4.22529,4.25948,4.13636,4.30074,4.37877,4.39076,4.43385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cincinnati Financial Corporation,SPS64353105,103262,U17150AA8,CINF 6.125 11/01/2034 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citigroup Inc.,SPS165288847,4041896,1730T3BB8,C 4.0 05/16/2036 VAR USD Corporate,5.55842,5.57544,5.49266,5.59583,5.83187,5.75768,5.47568,5.14045,5.76118,5.79590,5.75700,5.86323,5.62236,6.04164,5.63687,5.89300,6.02714,5.77377,5.72755,5.53940,6.11531,5.71804,5.50857,5.94491,5.57146,5.89430,6.17493,6.07742,5.23337,4.62234,1.80596,1.32240,1.11109,0.69236,1.79280
Citigroup Inc.,SPS1764851411,4041896,17327CAQ6,C 3.057 01/25/2033 FLT USD Corporate,4.93617,4.93826,4.53424,4.68776,4.63970,4.53815,4.66558,4.70451,4.82245,4.93023,4.93348,5.21829,5.23138,5.22221,5.18175,5.41849,5.48235,5.09160,5.24567,4.78020,5.49885,5.41331,5.29847,6.31760,5.47116,5.18640,5.80052,6.07734,5.07154,3.85270,0,0,0,0,0
Citigroup Inc.,SPS1774231253,4041896,172967NN7,C 3.785 03/17/2033 FLT USD Corporate,4.93120,4.94290,4.51906,4.68826,4.65290,4.55329,4.68026,4.68942,4.84135,4.95922,4.93473,5.23320,5.20107,5.24375,5.18325,5.43918,5.49932,5.09665,5.26663,4.77249,5.52654,5.45770,5.29261,6.32204,5.46743,5.17289,5.81133,6.04800,5.09516,3.86019,0,0,0,0,0
Citigroup Inc.,SPS1783829058,4041896,172967NU1,C 4.91 05/24/2033 FLT USD Corporate,4.93764,4.93790,4.54567,4.70162,4.68156,4.56748,4.69173,4.71173,4.83297,4.93508,4.94502,5.18822,5.22678,5.23305,5.19265,5.44299,5.46757,5.08168,5.25785,4.76606,5.53298,5.41040,5.21638,6.25981,5.37084,5.14953,5.74417,6.04197,5.07119,0,0,0,0,0,0
Citigroup Inc.,SPS1814836101,4041896,172967PA3,C 6.27 11/17/2033 FLT USD Corporate,5.00292,4.99552,4.57679,4.73872,4.72344,4.62696,4.72871,4.73663,4.87643,5.00629,4.99172,5.25164,5.27164,5.27392,5.22574,5.45870,5.50372,5.11000,5.26734,4.77478,5.55359,5.42715,5.25186,6.29901,5.41249,5.16672,5.83907,0,0,0,0,0,0,0,0
Citigroup Inc.,SPS1940002399,4041896,17292GMQ5,C 05/29/2046 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citigroup Inc.,SPS1955139175,4041896,U17408NC2,C 5.3 08/05/2036 FIX USD Corporate RegS,5.91698,5.98205,5.59816,5.64482,5.56024,5.44601,5.42616,5.38473,5.38127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citigroup Inc.,SPS1956598824,4041896,172967QE4,C 6.0 08/28/2045 FIX USD Corporate,6.23594,6.36136,0,6.05401,5.99577,5.92982,5.94150,6.21566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citigroup Inc.,SPS660463768,4041896,172967MP3,C 4.412 03/31/2031 FLT USD Corporate,4.69989,4.68800,4.27217,4.41117,4.40222,4.33316,4.44035,4.45731,4.47424,4.69373,4.65146,4.92735,4.84313,4.97895,4.98721,5.16331,5.28818,4.93785,5.09765,4.55556,5.36119,5.30876,5.21948,6.31418,5.44732,5.23535,5.79332,6.09962,5.09970,3.81548,2.49258,2.40291,2.25821,2.63382,1.88239
Citigroup Inc.,SPS712751877,4041896,17290AHK9,C 6.0 06/16/2045 FIX USD Corporate,5.84710,6.00362,6.01997,6.03123,5.96763,5.34372,5.82430,6.08733,6.00605,6.00369,5.99833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNX Resources Corporation,SPS604712397,4072680,12653CAD0,CNXRES 03/14/2027 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69642,5.57772,6.00869,6.57049,7.64167,7.50766,6.71288,7.25271,7.89729,7.69727,1.22368,3.61955,4.20896,4.25860,4.70594,5.10285
CNX Resources Corporation,SPS604712400,4072680,12653CAE8,CNXRES 7.25 03/15/2027 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colonial Gas Company,SPS182566197,4057114,195674J@6,KSE-BOGC 03/15/2042 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorado Interstate Gas Company, L.L.C.",SPS14044297,4057158,196522AE6,COLOINT 6.85 06/15/2037 FIX USD Corporate,5.70232,5.68361,5.40107,5.52177,5.61736,5.71114,5.37790,5.59958,5.86529,6.06309,6.06734,6.06077,6.06518,6.05295,5.79764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut Natural Gas Corporation,SPS14548092,4059402,20765QAH8,EAS-CTNatGas 5.63 09/15/2035 FIX USD Corporate 144A,5.47545,5.49789,5.26879,5.41547,5.34318,5.13570,5.23488,5.24010,5.43041,5.57169,5.61712,5.78807,5.73048,5.72403,5.57018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut Natural Gas Corporation,SPS37846246,4059402,20765QAK1,EAS-CTNatGas 6.66 10/15/2037 FIX USD Corporate 144A,5.71275,5.72956,5.44660,5.56489,5.52100,5.28321,5.34205,5.37773,5.58492,5.72323,5.83078,6.01058,5.98538,5.90731,5.66964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Continental Resources, Inc.",SPS263811432,4120318,212015AQ4,CONRES 4.9 06/01/2044 FIX USD Corporate,6.82051,6.94925,6.55872,6.71537,6.86945,6.79058,6.71412,6.61901,6.93443,6.96013,6.91498,7.16103,7.14823,6.62940,6.47496,6.66454,6.66383,6.31950,6.48642,6.19628,6.54013,6.42036,6.59230,7.38899,6.90818,6.93337,7.27567,7.62110,6.73759,4.95172,4.07591,4.06435,4.01241,4.88102,4.97512
"Corebridge Financial, Inc.",SPS1776484759,102701,U20256AF7,COREFIN 4.4 04/05/2052 FIX USD Corporate RegS,5.97988,6.14599,5.96425,5.79476,5.81212,5.74927,5.66725,5.65333,5.91209,5.89142,5.88677,6.09529,6.05661,5.87334,5.66759,5.88037,5.82591,5.51754,5.67880,5.39803,5.98413,5.73415,5.51359,6.45350,5.96576,5.91568,5.81229,6.14317,5.51700,0,0,0,0,0,0
"Corebridge Financial, Inc.",SPS1776484760,102701,21871XAL3,COREFIN 4.4 04/05/2052 FIX USD Corporate 144A,5.97988,6.14599,5.96425,5.79476,5.81212,5.74927,5.66725,5.65333,5.91209,5.89142,5.88677,6.09529,6.05661,5.87334,5.66759,5.88037,5.82591,5.51754,5.67880,5.39803,5.98413,5.73415,5.51359,6.45350,5.96576,5.91568,5.81229,6.14317,5.51700,0,0,0,0,0,0
"Corebridge Financial, Inc.",SPS1776484761,102701,U20256AE0,COREFIN 4.35 04/05/2042 FIX USD Corporate RegS,5.98622,6.08733,5.69912,5.71025,5.72026,5.65500,5.58618,5.55530,5.83131,5.87463,5.85916,6.05534,6.07295,5.86311,5.63479,5.88036,5.90274,5.53847,5.71839,5.34752,5.95366,5.72242,5.71876,6.59623,6.07155,5.89980,5.89183,6.39815,5.56689,0,0,0,0,0,0
"Corebridge Financial, Inc.",SPS1776486439,102701,21871XAJ8,COREFIN 4.35 04/05/2042 FIX USD Corporate 144A,5.98622,6.08733,5.69912,5.71025,5.72026,5.65500,5.58618,5.55530,5.83131,5.87463,5.85916,6.05534,6.07295,5.86311,5.63479,5.88036,5.90274,5.53847,5.71839,5.34752,5.95366,5.72242,5.71876,6.59623,6.07155,5.89980,5.89183,6.39815,5.56689,0,0,0,0,0,0
"Cox Communications, Inc.",SPS14052038,4024830,872241AB0,COX-CommInc 6.53 02/01/2028 FIX USD Corporate,4.95391,4.86507,4.49442,4.63439,5.32193,-0.13525,-0.04859,-0.03730,0.03852,1.03007,5.25535,5.59962,4.85709,4.93243,5.02065,5.67332,5.54923,5.64011,5.67845,5.49238,6.15436,6.15664,5.76071,6.75641,6.22551,5.67895,6.32833,5.90885,4.81902,4.26047,2.67182,3.07500,3.01869,3.29419,2.47733
CSX Corporation,SPS100451023,4004350,126408GR8,CSX 04/30/2040 FIX USD Corporate 144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSX Corporation,SPS104608495,4004350,U12640AL9,CSX 6.22 04/30/2040 FIX USD Corporate RegS,5.33773,5.27931,4.95250,5.21419,5.21807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSX Corporation,SPS14042856,4004350,126408AU7,CSX 7.95 05/01/2027 FIX USD Corporate 144A,4.35644,4.17048,3.85228,3.92451,3.80660,3.89635,3.97434,3.98527,4.04467,4.33426,4.15365,4.35910,4.15757,4.24283,4.29876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSX Corporation,SPS14042858,4004350,126408BB8,CSX 6.95 05/01/2027 FIX USD Corporate 144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSX Corporation,SPS14042859,4004350,126408BF9,CSX 8.3 05/01/2032 FIX USD Corporate 144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSX Corporation,SPS14050104,4004350,126408BM4,CSX 7.95 05/01/2027 FIX USD Corporate,4.62792,4.61935,3.63720,3.75343,3.79334,3.91766,4.13621,4.47109,4.17370,4.49219,4.24917,4.76135,4.43632,4.24076,4.83464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSX Corporation,SPS1792811561,4004350,126408HV8,CSX 4.5 11/15/2052 FIX USD Corporate,5.73383,5.71674,5.46262,5.57486,5.57965,5.43881,5.45968,5.47068,5.71743,5.67341,5.61163,5.78924,5.68747,5.54041,5.42480,5.59483,5.61214,5.21753,5.35704,4.98432,5.49181,5.27035,4.94674,5.83423,5.12092,5.04276,5.33228,5.57926,0,0,0,0,0,0,0
CSX Corporation,SPS241269697,4004350,126408BP7,CSX 7.25 05/01/2027 FIX USD Corporate,4.19373,4.38145,3.95642,4.09946,4.20479,4.32730,3.85490,3.94326,4.09560,4.52094,4.34509,4.44213,4.04731,5.14436,4.41600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSX Corporation,SPS32203759,4004350,126408BC6,CSX 6.95 05/01/2027 FIX USD Corporate 144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSX Corporation,SPS32203760,4004350,126408BE2,CSX 05/01/2027 FIX USD Corporate 144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSX Corporation,SPS64206363,4004350,126408BG7,CSX 8.3 05/01/2032 FIX USD Corporate 144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSX Corporation,SPS64219206,4004350,126408AY9,CSX 7.95 05/01/2027 FIX USD Corporate,4.35644,4.17048,3.85228,3.92451,3.80789,3.89635,3.97434,3.98527,4.04467,4.33426,4.15365,4.35910,4.15757,4.24283,4.29876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delhaize America, Inc.",SPS14096250,4054848,246688AB1,DELHIZ 9.0 04/15/2031 FIX USD Corporate 144A,4.97647,4.97260,4.47505,4.75839,4.91704,4.97326,5.02284,5.33035,5.10137,5.37264,5.36895,5.69175,5.82159,5.67623,5.54794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delhaize America, Inc.",SPS14109516,4054848,246688AF2,DELHIZ 9.0 04/15/2031 FIX USD Corporate,4.97647,4.97260,4.47505,4.75839,4.91704,4.90716,4.89694,4.90970,4.98773,5.20855,4.97456,5.23672,5.12093,5.26712,5.29284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delhaize America, Inc.",SPS64348525,4054848,U24627AB4,DELHIZ 9.0 04/15/2031 FIX USD Corporate RegS,4.97647,4.97260,4.47505,4.75839,4.91704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dell Inc.,SPS14552207,4047867,247025AE9,DELLN 7.1 04/15/2028 FIX USD Corporate,4.39985,4.46677,4.07645,4.16594,4.17814,4.18315,4.20811,4.19816,4.18350,4.44123,4.44136,4.70094,4.67931,4.75026,4.66019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dell Inc.,SPS45117130,4047867,U24715AC5,DELLN 04/15/2038 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Discover Financial Services,SPS308170823,4096334,25472CBR9,DSF 4.0 03/15/2029 FIX USD Corporate,4.97254,4.28269,4.65342,4.24449,4.43744,4.34968,4.28146,4.24061,4.24259,4.37862,4.45362,4.62745,4.51930,5.25198,4.65572,4.98955,5.12150,4.95929,5.36333,4.77280,6.64230,5.95314,6.26667,6.74050,6.11006,5.77034,5.95502,6.06580,4.52181,3.93259,3.17328,2.90902,3.87598,3.85372,3.13850
"Discovery Communications, LLC",SPS1948595357,4200085,25470DBU2,DSCOML 5.3 05/15/2049 FIX USD Corporate,8.95283,9.05699,8.82600,8.77681,8.42798,7.91649,7.84620,7.70036,9.59461,9.63125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Discovery Global Holdings, Inc.",SPS1948595592,29181597,55903VBW2,DISCGLO 5.05 03/15/2042 FIX USD Corporate,8.28089,8.98992,8.43484,8.40826,8.38179,7.16275,7.07422,7.15458,8.82149,8.88998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominion Energy, Inc.",SPS14037268,4001616,209615BQ5,DOMINEN 6.875 10/15/2026 FIX USD Corporate,4.55879,4.63641,4.24086,4.42695,5.51786,5.60963,5.01925,4.27698,4.31547,5.92159,5.73628,5.53213,5.64881,5.67438,5.62116,6.34043,6.38828,5.45197,5.91151,5.48842,6.81325,6.35492,5.07617,6.44224,5.70233,5.47805,5.63978,5.83705,4.79591,3.66035,2.27206,1.91965,2.26664,2.32645,1.74630
"Dominion Energy, Inc.",SPS14049850,4001616,209615BS1,DOMINEN 6.8 12/15/2027 FIX USD Corporate,4.63225,4.71885,4.20545,4.28786,4.32668,4.12261,4.21725,4.16906,4.16480,4.54742,4.48580,4.80713,4.79632,5.37946,5.33352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duke Energy Corporation,SPS1854810425,4121470,26441CCA1,DUKECRP 6.1 09/15/2053 FIX USD Corporate,6.12654,6.08235,5.85023,5.87775,5.83812,5.70315,5.70602,5.71906,5.97649,5.96122,5.95818,6.16009,6.12283,5.98312,5.86759,6.06042,5.97519,5.58278,5.74934,5.41607,5.97598,5.69724,5.47517,6.31221,0,0,0,0,0,0,0,0,0,0,0
"Duke Energy Florida, LLC",SPS14171999,4056998,341099BT5,DUKEENAA 6.75 02/01/2028 FIX USD Corporate,4.21630,4.13127,3.73705,3.84026,3.83029,4.25783,4.33547,4.45171,4.43029,4.54073,4.45874,4.58324,4.57533,4.51493,4.46155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duke Energy Florida, LLC",SPS32210158,4056998,341099BW8,DUKEENAA 6.75 02/01/2028 FIX USD Corporate,4.21630,4.13127,3.73705,3.84026,3.83029,4.25783,4.33547,4.45171,4.43029,4.54073,4.45874,4.58324,4.57533,4.51493,4.46155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duke Energy Indiana, LLC",SPS14551614,4062444,693627AY7,DUKEENAB 6.12 10/15/2035 FIX USD Corporate,5.22228,5.22237,4.85946,5.01722,5.01050,4.89607,4.93066,4.94491,5.04852,5.31890,5.32293,5.42815,5.41645,5.26490,5.17853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duke Energy Kentucky, Inc.",SPS26281773,4057103,906888AS1,DEK 6.2 03/10/2036 FIX USD Corporate 144A,5.39154,5.36345,4.99725,5.15326,5.13195,5.05273,5.13265,5.10632,5.25655,5.48575,5.38247,5.56413,5.60211,5.56327,5.43870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duke Energy Ohio, Inc.",SPS14057038,4057079,172070CG7,DUKENO 6.35 06/15/2038 FLT USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duke Energy Ohio, Inc.",SPS14139774,4057079,172070CP7,DUKENO 5.4 06/15/2033 FIX USD Corporate,5.01526,4.91896,4.61973,4.73966,4.73002,4.63314,4.79014,4.78616,4.86571,5.28598,5.05160,5.43224,5.17370,5.16885,5.08153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duke Energy Ohio, Inc.",SPS14139775,4057079,172070CQ5,DUKENO 5.375 06/15/2033 FIX USD Corporate,5.23753,5.16812,4.71546,5.04716,4.79506,4.87209,4.69775,4.79866,4.97571,5.09973,4.95848,5.11127,4.93595,4.89135,5.04728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Paso LLC,SPS227398570,4010586,U53248AP2,KINDERM 7.42 02/15/2037 FIX USD Corporate RegS,5.61044,5.52891,5.26223,5.43147,5.39872,5.53714,5.66014,5.45256,5.51056,5.81796,5.97848,6.02386,6.04773,5.98285,6.03998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Paso LLC,SPS28714186,4010586,28336LBG3,KINDERM 7.42 02/15/2037 FIX USD Corporate 144A,5.61044,5.52891,5.26223,5.43147,5.39872,5.53714,5.66014,5.45256,5.51056,5.81796,5.97848,6.02386,6.04773,5.98285,6.03998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Paso LLC,SPS28714188,4010586,28336LBA6,KINDERM 02/15/2027 FIX USD Corporate 144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Paso LLC,SPS28969902,4010586,28336LBB4,ELPASAL 6.7 02/15/2027 FIX USD Corporate,4.72454,4.63414,4.64134,5.06439,4.33446,4.78943,4.60047,5.47733,5.51512,5.81612,4.97966,5.18261,4.59632,4.89626,4.99866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Paso LLC,SPS28969935,4010586,28336LBH1,KINDERM 7.42 02/15/2037 FIX USD Corporate,5.61044,5.52891,5.26223,5.43147,5.39872,5.53714,5.66014,5.45256,5.51056,5.81796,5.97848,6.02386,6.04773,5.98285,6.03998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Paso LLC,SPS64358763,4010586,U53248AL1,KINDERM 02/15/2027 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Paso Natural Gas Company, L.L.C.",SPS14037911,4057159,283695BE3,ELPASBB 7.5 11/15/2026 FIX USD Corporate,4.31114,4.26731,4.01920,4.06452,4.08796,4.05181,4.28204,4.35091,4.53802,4.75366,4.49917,4.71463,4.71757,5.06554,4.97288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPR Properties,SPS410248966,113645,26884UA@8,EPRPRO 4.56 08/22/2026 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EQT Corporation,SPS14035183,4004341,294549AE0,ETABL 7.75 07/15/2026 FIX USD Corporate,5.30225,4.88935,4.13545,4.53859,3.73457,3.67376,4.23480,4.48672,4.66209,4.63919,5.13917,5.51213,5.34711,4.47035,4.57276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equifax Inc.,SPS14057890,4040823,294429AC9,EFX 6.9 07/01/2028 FIX USD Corporate,4.86707,4.68685,4.36695,4.24121,4.38164,4.35096,4.29702,4.41421,4.59154,4.81948,4.44136,4.57824,4.78908,4.64785,4.80798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
