(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)"
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,4/30/2026,3/31/2026,2/27/2026,1/30/2026,12/31/2025,11/28/2025,10/31/2025,9/30/2025,8/29/2025,7/31/2025,6/30/2025,5/30/2025,4/30/2025,3/31/2025,2/28/2025,1/31/2025,12/31/2024,11/29/2024,10/31/2024,9/30/2024,6/28/2024,3/29/2024,12/29/2023,9/29/2023,6/30/2023,3/31/2023,12/30/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020
Ameritech Capital Funding Corporation,SPS14047511,4150236,030955AJ7,SBC-AmtechCapF 6.875 10/15/2027 FIX USD Corporate,4.68225,5.30724,4.36545,4.60946,4.72479,4.62140,4.58723,4.67776,5.13328,5.34469,4.51241,5.37151,5.33257,5.30001,5.40241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anadarko Petroleum Corporation,SPS14036609,4010194,032511AJ6,APC 7.73 09/15/2096 FIX USD Corporate,7.25113,7.57203,7.15335,7.22027,7.10323,7.07331,6.99590,7.32914,7.72574,7.72507,7.72474,7.47146,7.03697,7.55894,7.30075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anadarko Petroleum Corporation,SPS14037944,4010194,032511AK3,APC 7.25 11/15/2096 FIX USD Corporate,7.35758,6.97825,6.93437,7.27630,6.99926,7.01293,7.01302,6.93467,7.06567,6.91430,6.91453,6.91498,6.91505,6.91460,6.91438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anadarko Petroleum Corporation,SPS14049077,4010194,032511AL1,APC 7.0 11/15/2027 FIX USD Corporate,6.25024,5.91974,4.83853,4.89326,5.26002,4.44940,4.93759,4.86654,5.50369,5.36336,4.70599,5.44847,5.30581,6.03271,5.25803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anadarko Petroleum Corporation,SPS14050789,4010194,032511AM9,APC 6.625 01/15/2028 FIX USD Corporate,5.08237,5.83718,5.04634,5.18838,4.60170,4.76756,4.83459,5.02687,2.26493,2.40600,2.53278,2.64676,2.76153,2.86634,2.95911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anadarko Petroleum Corporation,SPS14067687,4010194,032511AN7,APC 7.2 03/15/2029 FIX USD Corporate,4.95833,4.71485,4.65534,4.95880,5.85906,4.36945,4.68682,5.28178,4.86208,5.44192,5.32130,5.65988,5.79014,5.47144,5.37033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anadarko Petroleum Corporation,SPS151354409,4010194,032511AZ0,APC 10/10/2036 FIX USD Corporate 144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APA Corporation,SPS1912144050,4010203,U0379QAE2,APACOR 7.75 12/15/2029 FIX USD Corporate RegS,4.76591,4.79016,4.28865,4.53972,4.78136,4.62080,5.39434,5.39420,5.45225,5.72663,5.75059,5.66747,5.18001,5.58662,5.54759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APA Corporation,SPS1912144055,4010203,U0379QAK8,APACOR 4.75 04/15/2043 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APA Corporation,SPS1912144059,4010203,U0379QAP7,APACOR 7.63 11/01/2096 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo Debt Solutions BDC,SPS1916558713,27739734,03770DAF0,APOLDEB 6.55 03/15/2032 FIX USD Corporate,6.27573,6.42548,6.09773,5.92339,5.86371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo Debt Solutions BDC,SPS1972936612,27739734,03770DAH6,SR 144A NT5.2%28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo Debt Solutions BDC,SPS1974799806,27739734,03770DAK9,APOLDEB 5.875 08/30/2030 FIX USD Corporate,6.06579,6.23759,5.68911,5.68532,5.57590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appalachian Power Company,SPS660100799,4056972,037735CY1,AEP-Appalachian 3.7 05/01/2050 FIX USD Corporate,6.02223,5.95929,5.68684,5.74279,5.79871,5.67946,5.70456,5.77172,6.04651,6.01846,5.96761,6.26256,6.12227,5.95372,5.87755,6.10315,6.05709,5.63394,5.73769,5.46996,6.06683,5.89192,5.53191,6.24278,5.43598,5.30748,5.60188,5.77240,5.04924,4.04830,3.21732,3.18768,3.13789,3.59853,2.67511
"Bath & Body Works, Inc.",SPS14132358,4069317,532716AJ6,BATHB 6.95 03/01/2033 FIX USD Corporate 144A,7.50018,7.61774,6.93529,7.03111,7.09675,7.07065,6.31808,6.16404,6.36565,6.43314,6.48701,6.75428,7.05009,6.62577,6.61656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bath & Body Works, Inc.",SPS14140320,4069317,532716AK3,BATHB 6.95 03/01/2033 FIX USD Corporate,7.50018,7.61774,6.93529,7.03111,7.09675,7.07065,6.31808,6.16404,6.36565,6.43314,6.48701,6.75428,7.05009,6.62577,6.61656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bath & Body Works, Inc.",SPS64386194,4069317,U53313AA7,BATHB 6.95 03/01/2033 FIX USD Corporate RegS,7.50018,7.61774,6.93529,7.03111,7.09675,7.07065,6.31808,6.16404,6.36565,6.43314,6.48701,6.75428,7.05009,6.62577,6.61656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BellSouth Telecommunications, LLC",SPS14027259,4004438,079867AP2,BELLTEL 7.0 12/01/2095 FIX USD Corporate,6.86961,6.69584,6.47297,6.63858,6.34040,6.23705,6.19684,6.25692,6.51546,6.43767,6.71110,6.72719,6.60781,6.27258,6.19134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BellSouth Telecommunications, LLC",SPS14027520,4004438,079867AS6,BELLTEL 6.65 12/15/2095 VAR USD Corporate,8.21487,8.09750,7.95458,8.16159,8.13504,7.94047,7.72204,7.29225,7.48868,7.45710,7.35582,7.48554,7.25694,7.15726,7.07602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
