Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,04/30/2026,03/31/2026,02/27/2026,01/30/2026,12/31/2025,11/28/2025,10/31/2025,09/30/2025,08/29/2025,07/31/2025,06/30/2025,05/30/2025,04/30/2025,03/31/2025,02/28/2025,01/31/2025,12/31/2024,11/29/2024,10/31/2024,09/30/2024,06/28/2024,03/29/2024,12/29/2023,09/29/2023,06/30/2023,03/31/2023,12/30/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
Ameritech Capital Funding Corporation,SPS14047511,4150236,030955AJ7,SBC-AmtechCapF 6.875 10/15/2027 FIX USD Corporate,2.59811,2.75743,3.05347,3.33486,3.63280,3.96331,4.26730,4.48493,4.79407,5.15098,5.57218,5.88737,6.29966,6.49617,6.87082,7.27465,7.71315,8.16244,8.64363,8.88697,10.22392,11.40882,13.06643,14.19163,16.12101,19.40676,20.34729,22.82906,24.19097,27.31555,29.18486,32.41512,33.90291,36.52535,38.38606
Anadarko Petroleum Corporation,SPS14036609,4010194,032511AJ6,APC 7.73 09/15/2096 FIX USD Corporate,360.02640,335.55552,357.54181,353.83623,366.45463,371.50120,380.82976,353.26364,311.27134,313.42069,315.48965,339.95690,379.63245,336.56401,347.74973,317.48402,329.19059,361.74331,343.68470,365.87256,354.41057,357.84083,354.21099,363.99563,368.21133,379.82719,376.85768,380.28417,372.34060,395.04072,428.98975,451.29658,385.59485,371.09603,324.84447
Anadarko Petroleum Corporation,SPS14037944,4010194,032511AK3,APC 7.25 11/15/2096 FIX USD Corporate,341.43555,378.24195,383.98649,354.81049,382.32750,383.39405,372.41151,382.29435,372.02945,388.85613,391.14351,393.34553,382.46167,384.77812,386.93166,389.22984,391.59456,393.87315,382.97222,403.00418,390.18926,370.63409,377.30963,370.98361,377.58715,376.39707,379.89757,376.80018,380.26371,377.19221,380.69423,377.57346,361.50345,351.15956,271.92395
Anadarko Petroleum Corporation,SPS14049077,4010194,032511AL1,APC 7.0 11/15/2027 FIX USD Corporate,2.72764,3.00797,3.32267,3.62139,3.91812,4.29532,4.43838,4.80950,5.12362,5.51267,5.92913,6.27161,6.47972,6.83760,7.29489,7.71620,8.17650,8.61608,8.73869,9.34228,10.67208,11.84145,13.39503,14.79389,16.75256,19.56990,20.33632,22.79671,24.06491,27.08805,29.10597,31.72101,32.84534,34.67288,35.01531
Anadarko Petroleum Corporation,SPS14050789,4010194,032511AM9,APC 6.625 01/15/2028 FIX USD Corporate,3.33575,3.60884,3.94243,4.26517,4.49048,4.83969,5.17249,5.55367,6.09898,6.51209,6.72220,7.12290,7.56467,8.00540,8.42848,8.89432,9.11406,9.59310,10.10175,10.60718,11.84346,13.48983,14.80276,16.64807,18.02004,20.93535,23.46714,24.68869,27.34558,28.66408,31.46096,32.84487,31.70746,33.14906,35.56946
Anadarko Petroleum Corporation,SPS14067687,4010194,032511AN7,APC 7.2 03/15/2029 FIX USD Corporate,8.21667,8.70563,8.87456,9.31853,9.69366,10.40085,10.84330,11.32386,11.52335,11.98776,12.55584,13.04208,13.60765,14.25596,14.34927,14.83088,15.55351,16.20105,16.73806,17.61293,18.55759,20.65132,22.02588,24.14080,25.54330,28.12297,30.68440,32.52094,35.00200,37.23416,41.06146,42.50191,45.03965,46.08254,47.09317
Anadarko Petroleum Corporation,SPS151354409,4010194,032511AZ0,APC 10/10/2036 FIX USD Corporate 144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APA Corporation,SPS1912144050,4010203,U0379QAE2,APACOR 7.75 12/15/2029 FIX USD Corporate RegS,11.96621,12.51408,13.14509,13.67471,14.22244,14.37788,14.77058,15.41929,15.99970,16.58667,17.22331,17.37801,18.18342,18.73725,19.38077,19.96759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APA Corporation,SPS1912144055,4010203,U0379QAK8,APACOR 4.75 04/15/2043 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,154.80000,155.80000,159.90000,157.80000,162.90000,164.40000,169.10000,166.60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APA Corporation,SPS1912144059,4010203,U0379QAP7,APACOR 7.63 11/01/2096 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,313.50000,317.20000,329.10000,306.00000,307.70000,349.10000,394.00000,362.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
