Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,04/30/2026,03/31/2026,02/27/2026,01/30/2026,12/31/2025,11/28/2025,10/31/2025,09/30/2025,08/29/2025,07/31/2025,06/30/2025,05/30/2025,04/30/2025,03/31/2025,02/28/2025,01/31/2025,12/31/2024,11/29/2024,10/31/2024,09/30/2024,06/28/2024,03/29/2024,12/29/2023,09/29/2023,06/30/2023,03/31/2023,12/30/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
Ameritech Capital Funding Corporation,SPS14047511,4150236,030955AJ7,SBC-AmtechCapF 6.875 10/15/2027 FIX USD Corporate,63.49197,130.86741,75.69438,90.93342,107.80110,97.01126,85.46567,96.67300,139.46412,131.66064,72.14083,136.74846,166.07668,127.83700,125.63025,124.10971,136.98739,148.23484,150.09759,143.40985,151.10593,152.32683,179.02036,177.50175,147.40195,146.15609,178.58845,157.07142,225.37237,184.85248,185.30613,149.36510,157.11454,210.88864,226.12721
Anadarko Petroleum Corporation,SPS14036609,4010194,032511AJ6,APC 7.73 09/15/2096 FIX USD Corporate,283.98467,323.70030,302.95112,281.47909,274.16675,290.97084,283.40100,317.17814,343.25466,343.46087,357.15949,320.76669,304.54307,350.04864,329.52474,341.64885,337.48257,336.97747,352.50250,361.52111,327.06255,338.85600,367.72146,297.93010,360.21384,383.83143,358.32894,367.91552,422.24651,465.14535,489.32370,466.25337,531.01395,511.09827,639.87774
Anadarko Petroleum Corporation,SPS14037944,4010194,032511AK3,APC 7.25 11/15/2096 FIX USD Corporate,294.16201,267.25092,281.83704,286.91487,264.19828,285.22322,285.07107,279.55204,279.76744,266.76954,280.52152,268.60761,293.19080,290.46956,294.23067,269.86084,277.46493,310.05242,303.54070,319.56511,298.60559,319.37645,348.10923,275.70872,348.48829,375.84845,350.50629,360.16012,410.59700,470.51486,528.60969,522.31266,549.94671,519.32311,705.54674
Anadarko Petroleum Corporation,SPS14049077,4010194,032511AL1,APC 7.0 11/15/2027 FIX USD Corporate,215.19378,190.64321,122.73310,118.62558,159.84944,81.01779,119.90497,115.02871,175.78720,134.05925,91.43125,144.70214,163.65303,199.14538,111.87773,103.81374,106.59911,142.61107,209.95965,141.98736,183.48786,198.35334,302.74758,158.08859,133.15307,201.93873,288.08560,262.72282,348.97837,307.99639,273.38869,337.11095,397.71638,524.25188,736.26238
Anadarko Petroleum Corporation,SPS14050789,4010194,032511AM9,APC 6.625 01/15/2028 FIX USD Corporate,100.63030,182.07830,143.53683,145.99506,94.49827,111.48921,109.17845,130.02978,-139.15331,-154.02221,-120.54776,-127.75143,-84.65664,-109.55103,-111.80715,-128.52237,-119.36472,-94.07307,-82.92270,-24.54844,-94.58116,-66.61913,-2.05910,-68.80467,-16.24394,55.99748,33.10166,34.65604,146.60451,212.98033,325.61664,352.57231,937.00613,904.91528,964.13497
Anadarko Petroleum Corporation,SPS14067687,4010194,032511AN7,APC 7.2 03/15/2029 FIX USD Corporate,95.89143,83.12594,114.62610,123.67848,216.25773,78.90322,100.49858,160.44932,122.87534,152.28396,158.48621,172.51573,213.85530,149.10292,128.35571,153.93997,109.64420,121.84149,172.19333,130.32823,209.97467,197.63874,244.91676,179.98746,233.68449,302.22372,278.05615,194.86449,331.89311,291.39325,288.71485,312.66503,391.45337,421.10492,660.62825
Anadarko Petroleum Corporation,SPS151354409,4010194,032511AZ0,APC 10/10/2036 FIX USD Corporate 144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APA Corporation,SPS1912144050,4010203,U0379QAE2,APACOR 7.75 12/15/2029 FIX USD Corporate RegS,76.45489,89.69798,76.76783,77.82209,106.57839,101.85282,167.45292,169.44809,178.69097,179.28707,198.56290,158.92809,139.06763,147.03548,133.58036,136.16097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APA Corporation,SPS1912144055,4010203,U0379QAK8,APACOR 4.75 04/15/2043 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APA Corporation,SPS1912144059,4010203,U0379QAP7,APACOR 7.63 11/01/2096 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
