Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,04/30/2026,03/31/2026,02/27/2026,01/30/2026,12/31/2025,11/28/2025,10/31/2025,09/30/2025,08/29/2025,07/31/2025,06/30/2025,05/30/2025,04/30/2025,03/31/2025,02/28/2025,01/31/2025,12/31/2024,11/29/2024,10/31/2024,09/30/2024,06/28/2024,03/29/2024,12/29/2023,09/29/2023,06/30/2023,03/31/2023,12/30/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
Anadarko Petroleum Corporation,SPS14036609,4010194,032511AJ6,APC 7.73 09/15/2096 FIX USD Corporate,106.54700,102.06934,108.00000,107.00000,108.74400,109.20000,110.40000,105.43073,100.05000,100.05000,100.05000,103.42450,109.76500,102.24593,105.84045,100.32098,101.99380,107.10937,103.68218,107.38000,106.50000,106.00000,105.98750,106.51950,108.25030,108.92350,108.92550,108.92550,108.32000,111.21700,117.07450,119.98750,110.10750,107.24350,100.22050
Anadarko Petroleum Corporation,SPS14037944,4010194,032511AK3,APC 7.25 11/15/2096 FIX USD Corporate,98.54200,103.85200,104.50000,99.62500,103.54300,103.35000,103.35000,104.50000,102.57500,104.80200,104.80200,104.80200,104.80200,104.80200,104.80200,104.80200,104.80200,104.80200,104.80200,107.50000,104.50000,102.50000,102.50000,103.50000,103.50000,103.50000,103.50000,103.50000,103.50000,103.50000,103.50000,103.50000,100.56400,99.47000,86.60000
Anadarko Petroleum Corporation,SPS14049077,4010194,032511AL1,APC 7.0 11/15/2027 FIX USD Corporate,101.08011,101.63833,103.48250,103.55125,103.05111,104.72375,103.94117,104.24500,103.05313,103.47030,105.08500,103.51365,103.97187,102.30432,104.32105,104.00400,104.05170,103.58394,101.87673,105.44533,101.56255,101.52249,99.70325,102.10000,104.76321,104.76321,99.88250,100.71250,101.61250,106.62050,114.68750,112.78575,110.12675,102.00000,94.25000
Anadarko Petroleum Corporation,SPS14050789,4010194,032511AM9,APC 6.625 01/15/2028 FIX USD Corporate,102.48000,101.30844,102.77500,102.63200,103.88750,103.70000,103.68500,103.40500,110.00000,110.00000,110.00000,110.00000,110.00000,110.00000,110.00000,110.00000,110.00000,110.00000,110.00000,110.00000,110.00000,110.00000,110.00000,110.00000,110.00000,110.00000,110.00000,110.00000,110.00000,110.00000,110.00000,110.00000,81.00000,81.00000,81.00000
Anadarko Petroleum Corporation,SPS14067687,4010194,032511AN7,APC 7.2 03/15/2029 FIX USD Corporate,105.92459,106.77860,107.12500,106.39625,103.85208,108.57500,107.73569,105.98326,107.50925,105.70088,106.23198,105.17089,104.81875,106.07012,106.55369,104.55846,106.43873,107.03781,105.07925,109.04250,102.47000,103.57500,103.57500,103.00000,102.88750,102.32500,101.85000,106.10000,104.02500,110.32500,117.32500,117.25000,112.73700,109.25000,98.56000
Anadarko Petroleum Corporation,SPS151354409,4010194,032511AZ0,APC 10/10/2036 FIX USD Corporate 144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APA Corporation,SPS1912144050,4010203,U0379QAE2,APACOR 7.75 12/15/2029 FIX USD Corporate RegS,109.81226,109.93008,111.96849,111.26715,110.57387,111.40659,108.58391,108.74678,108.66504,107.71873,107.75688,108.22459,110.43558,108.83134,109.12973,107.78176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APA Corporation,SPS1912144055,4010203,U0379QAK8,APACOR 4.75 04/15/2043 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APA Corporation,SPS1912144059,4010203,U0379QAP7,APACOR 7.63 11/01/2096 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo Debt Solutions BDC,SPS1916558713,27739734,03770DAF0,APOLDEB 6.55 03/15/2032 FIX USD Corporate,101.29681,100.59792,102.20807,103.10401,103.44285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo Debt Solutions BDC,SPS1972936612,27739734,03770DAH6,SR 144A NT5.2%28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
