SPGTable,,,,,,
D,"Dominion Energy, Inc. (NYSE:D)",4:00:03 PM ET  ,Utilities; Utilities; Multi-Utilities; Multi-Utilities,Utilities,Multi-Utilities,4001616
D,[Inactive] Virginia Electric and Power Company,,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Generation By Nuclear Fuels; Electric Power Transmission and Control,Utilities,Electric Utilities,4057032
DFS,[Inactive] Discover Financial Services,,Financials; Financial Services; Consumer Finance; Consumer Finance; Personal Credit Agencies; Credit Card Issuing Personal Credit Institutions,Financials,Consumer Finance,4096334
DOV,Dover Corporation (NYSE:DOV),4:00:03 PM ET  ,"Industrials; Capital Goods; Machinery; Industrial Machinery and Supplies and Components; Food and Beverage Machinery; Industrial Heating, Ventilation, Air Conditioning, and Refrigeration Equipment and Supplies; Industrial Heat Generating Equipment; Industrial Refrigeration Equipment and Supplies; Pumps and Pumping Equipment",Industrials,Machinery,4068060
DUK,Duke Energy Corporation (NYSE:DUK),4:04:34 PM ET  ,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Generation By Nuclear Fuels; Electric Power Transmission and Control,Utilities,Electric Utilities,4121470
DZA,"[Inactive] Delhaize America, Inc.",,Consumer Staples; Consumer Staples Distribution and Retail; Consumer Staples Distribution and Retail; Food Retail; Grocery Stores; Full Stock Supermarkets,Consumer Staples,Consumer Staples Distribution and Retail,4054848
EFX,Equifax Inc. (NYSE:EFX),4:00:02 PM ET  ,Industrials; Commercial and Professional Services; Professional Services; Research and Consulting Services; Consulting Services; Credit Reporting Services,Industrials,Professional Services,4040823
EJXR,"[Inactive] EnerJex Resources, Inc. (OTCPK:EJXR)",,"Energy; Energy; Oil, Gas and Consumable Fuels; Oil and Gas Exploration and Production; Oil and Gas Production",Energy,"Oil, Gas and Consumable Fuels",4979833
EPR,EPR Properties (NYSE:EPR),4:00:02 PM ET  ,Real Estate; Equity Real Estate Investment Trusts (REITs); Other Specialized REITs; Specialized REITs,Real Estate,Specialized REITs,113645
EXC,Exelon Corporation (NASDAQGS:EXC),4:00:00 PM ET  ,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Distribution; Electric Power Transmission and Control,Utilities,Electric Utilities,4057056
EXSP,[Inactive] Extra Space Storage LP,,Financials; Financial Services; Capital Markets; Asset Management and Custody Banks,Financials,Capital Markets,4383065
F,Ford Motor Company (NYSE:F),4:01:25 PM ET  ,Consumer Discretionary; Automobiles and Components; Automobiles; Automobile Manufacturers; Light Truck and Sport Utility Vehicles (SUVs); Passenger Motor Vehicles,Consumer Discretionary,Automobiles,113873
FIID,"[Inactive] First Industrial, L.P.",,Real Estate; Equity Real Estate Investment Trusts (REITs); Industrial REITs; Industrial REITs,Real Estate,Industrial REITs,4064354
FOSL,"Fossil Group, Inc. (NASDAQGS:FOSL)",4:00:00 PM ET  ,"Consumer Discretionary; Consumer Durables and Apparel; Textiles, Apparel and Luxury Goods; Apparel, Accessories and Luxury Goods; Accessories; Belts and Suspenders; Leather Belts; Jewelry, Timepieces and Gemstone Products; Jewelry; Timepieces; Watches; Luggage and Handbags; Purses, Handbags and Bags",Consumer Discretionary,"Textiles, Apparel and Luxury Goods",4275565
FTV,Fortive Corporation (NYSE:FTV),4:00:02 PM ET  ,Industrials; Capital Goods; Machinery; Industrial Machinery and Supplies and Components,Industrials,Machinery,4992262
FUN,Six Flags Entertainment Corporation (NYSE:FUN),4:00:03 PM ET  ,"Consumer Discretionary; Consumer Services; Hotels, Restaurants and Leisure; Leisure Facilities; Amusement And Recreation Services; Amusement Operations, Parks and Services; Amusement Parks",Consumer Discretionary,"Hotels, Restaurants and Leisure",4121677
GEHC,GE HealthCare Technologies Inc. (NASDAQGS:GEHC),4:00:00 PM ET  ,"Health Care; Health Care Equipment and Services; Health Care Equipment and Supplies; Health Care Equipment; Medical Equipment; Anesthesia Equipment, Instruments and Accessories; Respiration Systems; Medical Testing, Analyzing, and Diagnostic Equipment; Electrocardiographs (ECGs); Radiology Equipment; CT and Cat Scanners; X-Ray Apparatus and Magnetic Resonance Imaging (MRI); Ultrasound and Sonogram Equipment; Therapeutic Devices; Cardiovascular Equipment",Health Care,Health Care Equipment and Supplies,108009705
GLW,Corning Incorporated (NYSE:GLW),4:01:09 PM ET  ,"Information Technology; Technology Hardware and Equipment; Electronic Equipment, Instruments and Components; Electronic Components; Electronic Components",Information Technology,"Electronic Equipment, Instruments and Components",4004201
GPN,Global Payments Inc. (NYSE:GPN),4:00:02 PM ET  ,Financials; Financial Services; Financial Services; Internet Merchant Services; Payment Processors; Payment Service Providers and Gateways; Transaction and Payment Processing Services,Financials,Financial Services,4090258
GS,"The Goldman Sachs Group, Inc. (NYSE:GS)",4:00:02 PM ET  ,Financials; Financial Services; Capital Markets; Investment Banking and Brokerage; Investment Banking; Merger and Acquisition Advisory Services; Security Underwriting Services; Debt Underwriting Services; Equity Underwriting Services,Financials,Capital Markets,4039450
HAS,"Hasbro, Inc. (NASDAQGS:HAS)",4:00:00 PM ET  ,"Consumer Discretionary; Consumer Durables and Apparel; Leisure Products; Leisure Products; Sporting and Recreational Goods; Hobbies, Toys and Games; Dolls and Stuffed Toys; Games and Toys; Board Games",Consumer Discretionary,Leisure Products,4095387
HHH,Howard Hughes Holdings Inc. (NYSE:HHH),4:00:03 PM ET  ,Real Estate; Real Estate Management and Development; Real Estate Development; Real Estate Management and Development,Real Estate,Real Estate Management and Development,4265772
HPQ,HP Inc. (NYSE:HPQ),4:00:02 PM ET  ,"Information Technology; Technology Hardware and Equipment; Technology Hardware, Storage and Peripherals; Technology Hardware, Storage and Peripherals; Data Storage; Personal Computers And Accessories; Desktop Computers; Laptop Computers; Monitors; Printers; Servers",Information Technology,"Technology Hardware, Storage and Peripherals",105223
ITC,[Inactive] ITC Holdings Corp.,,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Transmission and Control,Utilities,Electric Utilities,4099990
JEF,Jefferies Financial Group Inc. (NYSE:JEF),4:04:30 PM ET  ,Financials; Financial Services; Capital Markets; Investment Banking and Brokerage; Investment Banking; Loan Syndication Services; Merger and Acquisition Advisory Services; Private Placement Advisory Services; Security Underwriting Services; Debt Underwriting Services; Equity Underwriting Services; Securities and Commodities Markets Services; Security Brokers and Dealers,Financials,Capital Markets,103464
KD,"Kyndryl Holdings, Inc. (NYSE:KD)",4:00:02 PM ET  ,Information Technology; Software and Services; IT Services; IT Consulting and Other Services; Information Technology (IT) Consulting,Information Technology,IT Services,29724772
KDP,Keurig Dr Pepper Inc. (NASDAQGS:KDP),4:00:00 PM ET  ,"Consumer Staples; Food, Beverage and Tobacco; Beverages; Soft Drinks and Non-alcoholic Beverages; Bottled Water; Non-Carbonated Drinks",Consumer Staples,Beverages,4547508
KR,The Kroger Co. (NYSE:KR),4:00:02 PM ET  ,Online Food Retail; Online Grocery Retail; Consumer Staples; Consumer Staples Distribution and Retail; Consumer Staples Distribution and Retail; Food Retail; Grocery Stores; Full Stock Supermarkets,Consumer Staples,Consumer Staples Distribution and Retail,4004136
KSS,Kohl's Corporation (NYSE:KSS),4:02:51 PM ET  ,Consumer Discretionary; Consumer Discretionary Distribution and Retail; Online Broadline Retail; Online Department Store Retail; Broadline Retail; Department Stores; Broadline Retail,Consumer Discretionary,Broadline Retail,4120239
KSU,[Inactive] Kansas City Southern,,Industrials; Transportation; Ground Transportation; Rail Transportation; Railroad Transportation of Freight,Industrials,Ground Transportation,4219466
LGIH,"LGI Homes, Inc. (NASDAQGS:LGIH)",4:00:00 PM ET  ,"Consumer Discretionary; Consumer Durables and Apparel; Household Durables; Homebuilding; Residential Construction, General Contractors and Operative Builders",Consumer Discretionary,Household Durables,4398514
LOW,"Lowe's Companies, Inc. (NYSE:LOW)",4:01:07 PM ET  ,"Consumer Discretionary; Consumer Discretionary Distribution and Retail; Online Appliance Retail; Online Building Product and Home Supply Retail; Online Lawn and Garden Supply Retail; Specialty Retail; Home Improvement Retail; Building Product and Home Supply Stores; Hardware Stores; Paint, Glass and Wallpaper Stores; Lawn and Garden Supply Stores",Consumer Discretionary,Specialty Retail,4004318
LUV,Southwest Airlines Co. (NYSE:LUV),4:00:02 PM ET  ,Industrials; Transportation; Passenger Airlines; Passenger Airlines; Commercial Airlines,Industrials,Passenger Airlines,4121199
M,"Macy's, Inc. (NYSE:M)",4:00:03 PM ET  ,Consumer Discretionary; Consumer Discretionary Distribution and Retail; Online Broadline Retail; Online Department Store Retail; Broadline Retail; Department Stores; Broadline Retail,Consumer Discretionary,Broadline Retail,4004104
MAIN,Main Street Capital Corporation (NYSE:MAIN),4:00:02 PM ET  ,Financials; Financial Services; Capital Markets; Asset Management and Custody Banks; Investment Company and Business Development Companies; Business Development Company,Financials,Capital Markets,4160255
MAY,[Inactive] May Department Stores Co.,,Consumer Discretionary; Consumer Discretionary Distribution and Retail; Broadline Retail; Department Stores; Broadline Retail,Consumer Discretionary,Broadline Retail,4001582
MBG,"[Inactive] Mandalay Resort Group, LLC",,"Consumer Discretionary; Consumer Services; Hotels, Restaurants and Leisure; Hotels, Resorts and Cruise Lines; Lodging; Hotels And Motels; Hotels; Resorts",Consumer Discretionary,"Hotels, Restaurants and Leisure",4107947
MCD,McDonald's Corporation (NYSE:MCD),4:00:02 PM ET  ,"Consumer Discretionary; Consumer Services; Hotels, Restaurants and Leisure; Restaurants; Limited Service Restaurants; Fast-Food Restaurants",Consumer Discretionary,"Hotels, Restaurants and Leisure",4095638
MMM,3M Company (NYSE:MMM),4:03:20 PM ET  ,Industrials; Capital Goods; Industrial Conglomerates; Industrial Conglomerates,Industrials,Industrial Conglomerates,105135
MO,"Altria Group, Inc. (NYSE:MO)",4:02:41 PM ET  ,"Consumer Staples; Food, Beverage and Tobacco; Tobacco; Tobacco; Chewing, Pipe Tobacco And Snuff; Cigarettes; Cigars",Consumer Staples,Tobacco,4087349
