SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"8,135,000","13,650,800","15,399,600",NA,NA,"9,670,000","1,618,000","35,758,000","11,146,308",NA,"13,475,000","493,535","2,311,000",NA,NA,NA,NA,"19,972,411",NA,NA,NA,"42,827","11,189,000","31,454,000",NA,"2,805,500","215,000","30,096,000",NA,"2,876,700","899,076","20,892,000",NA,"14,059,000","35,668,000",NA,NA,NA,"1,085,000",NA,NA,"65,422,000","995,766","122,542,000","22,718,000","13,102,000","2,365,875","10,152,000",NA,"4,786,814","1,915,900","76,661,000",NA,NA,"4,725,462",NA,NA,"42,092,000","599,100","180,721","2,539,000",NA,"2,334,574","564,200",NA,"7,381,870","3,955,000",NA,NA,NA,NA,"11,862,000","1,229,028","6,707,000",NA,"3,635,000","10,353,000","3,721,000",NA,"67,701","21,174,000","8,597,000",NA,NA,"1,917,942",NA,"39,407,000",NA,"22,400,000","943,682","1,575,000","184,043","2,096,824","54,000","429,000","1,641,000",NA,"35,390,000",NA,"11,857,000",NA,"19,117,000","5,066,000",NA,"86,920,000","28,415,000","574,452",NA,"1,331,400","3,056,100","6,490,400",NA,"8,829,000",NA,"172,004","32,355,000","17,732,000","225,000","5,215,302","59,464,000","20,446,000","7,962,665","8,996,553","6,172,648",NA,NA,"10,900,000",NA,"714,000","3,380,000","11,236,000","3,340,000","2,466,900","10,576,000","31,634,000","748,900",NA,NA,"44,000","495,200",NA,"131,141,000",NA,NA,NA,NA,NA,NA,"7,782,709","49,590,000",NA,"18,977,000",NA,"14,257,000",NA,NA
Total Assets,268552,"40,875,000","15,045,100","15,894,300",NA,NA,"192,981,000","34,167,000","43,298,000","12,844,285",NA,"16,289,400","20,934,649","5,243,000",NA,NA,NA,NA,"26,167,742","245,156,000",NA,NA,"1,118,508","15,793,000","42,893,000",NA,"7,172,500","37,009,000","2,430,663,000",NA,"21,919,900","1,276,090","51,811,000","399,422,000","28,322,000","43,069,000",NA,NA,NA,"151,615,000",NA,NA,"99,820,000","11,912,972","183,566,000","27,400,000","15,690,000","2,691,117","12,611,000",NA,"5,689,162","12,344,300","106,070,000",NA,NA,"5,209,766",NA,NA,"287,047,000","17,453,600","812,408","33,855,000",NA,"49,985,845","7,229,900",NA,"9,438,588","38,059,000",NA,NA,NA,NA,"13,549,000","63,275,098","9,611,000",NA,"52,718,000","15,467,000","10,969,000",NA,"3,825,833","42,519,000","18,111,000","5,094,777",NA,"8,762,972",NA,"56,172,000",NA,"27,586,000","4,067,748","13,889,000","5,408,949","2,460,090","53,440,000","4,674,000","11,773,000",NA,"43,255,000",NA,"48,289,000",NA,"137,082,000","15,054,000",NA,"131,980,000","34,757,000","3,122,953",NA,"5,629,700","3,641,800","7,491,600",NA,"16,988,000",NA,"42,275,962","37,067,000","164,822,000","5,658,000","9,369,226","84,523,000","34,847,000","9,341,729","11,874,950","24,712,340",NA,NA,"12,538,000",NA,"113,743,000","427,461,000","137,695,000","466,055,000","3,150,200","1,728,080,000","51,021,000","3,731,400",NA,NA,"3,729,000","64,140,500",NA,"381,164,000",NA,NA,NA,NA,NA,NA,"16,650,655","65,132,000",NA,"1,922,125,000",NA,"16,668,000",NA,"287,448"
Net Debt,268593,"6,573,000","6,541,300","5,907,400",NA,NA,"10,059,000","23,258,000","18,282,000","4,372,365",NA,"5,724,400","3,025,067","5,297,000",NA,NA,NA,NA,"15,555,066","2,875,000",NA,NA,"415,406","4,770,000","19,215,000",NA,"4,764,200","-878,000","-141,901,000",NA,"8,598,800","246,843","6,619,000","16,484,000","6,728,000","17,478,000",NA,NA,NA,"7,427,000",NA,NA,"41,204,000","3,000,349","84,648,000","10,661,000","4,842,000","932,210","4,363,000",NA,"3,032,451","5,003,400","45,499,000",NA,NA,"2,133,559",NA,NA,"131,629,000","3,229,600","230,472","7,183,000",NA,"14,648,994","2,809,700",NA,"4,905,033","8,024,000",NA,NA,NA,NA,"7,678,000","-20,099,238","2,093,000",NA,"16,257,000","7,856,000","2,526,000",NA,"1,491,705","38,614,000","5,827,000","2,126,423",NA,"2,552,025",NA,"52,225,000",NA,"8,542,000","1,066,876","5,167,000","4,137,107","1,120,752","48,961,000","556,000","5,119,000",NA,"16,758,000",NA,"14,412,000",NA,"78,076,000","5,458,000",NA,"54,212,000","13,371,000","1,545,789",NA,"2,021,500","1,242,500","2,592,000",NA,"1,975,000",NA,"28,502,441","21,138,000","37,066,000","2,055,000","4,931,308","31,460,000","-287,000","3,101,976","4,618,767","12,522,099",NA,NA,"4,304,000",NA,"7,276,000","-94,800,000","47,201,000","-4,167,000","1,188,000","-294,296,000","18,185,000","889,600",NA,NA,"667,000","3,436,700",NA,"173,343,000",NA,NA,NA,NA,NA,NA,"6,092,806","21,989,000",NA,"-55,756,000",NA,"4,219,000",NA,"255,426"
Total Debt,274444,"13,868,000","6,541,400","5,907,400",NA,NA,"18,690,000","25,155,000","18,299,000","4,534,842",NA,"5,730,900","3,273,067","5,709,000",NA,NA,NA,NA,"16,977,950","8,505,000",NA,NA,"464,979","4,786,000","19,893,000",NA,"4,916,900","874,000","669,378,000",NA,"8,677,300","247,252","8,412,000","17,014,000","8,341,000","19,134,000",NA,NA,NA,"18,214,000",NA,NA,"43,285,000","3,387,115","85,024,000","10,677,000","4,850,000","933,143","4,371,000",NA,"3,067,779","5,471,600","46,115,000",NA,NA,"2,194,996",NA,NA,"159,336,000","4,040,900","336,780","10,733,000",NA,"17,590,934","3,994,800",NA,"5,305,761","10,809,000",NA,NA,NA,NA,"7,808,000","29,922,790","2,093,000",NA,"16,809,000","8,046,000","4,214,000",NA,"1,552,608","40,145,000","6,191,000","2,210,844",NA,"2,733,250",NA,"53,450,000",NA,"9,613,000","1,117,448","6,571,000","4,634,177","1,136,302","50,164,000","1,351,000","5,613,000",NA,"17,733,000",NA,"18,099,000",NA,"87,980,000","5,957,000",NA,"54,924,000","13,752,000","1,598,395",NA,"2,312,800","1,246,900","2,596,800",NA,"1,997,000",NA,"30,192,494","21,556,000","43,748,000","2,395,000","5,021,317","31,551,000","9,095,000","3,503,629","5,075,410","13,120,421",NA,NA,"4,319,000",NA,"8,092,000","71,076,000","57,650,000","68,104,000","1,207,600","741,734,000","19,910,000","1,110,700",NA,NA,"1,113,000","3,600,100",NA,"178,356,000",NA,NA,NA,NA,NA,NA,"7,744,034","22,017,000",NA,"309,554,000",NA,"5,096,000",NA,"255,426"
Total Common Equity,268583,"4,642,000","4,993,600","6,814,600",NA,NA,"12,401,000","(3,468,000)","11,833,000","7,473,764",NA,"5,609,900","5,963,097","-2,125,000",NA,NA,NA,NA,"4,659,043","5,525,000",NA,NA,"502,425","6,243,000","10,535,000",NA,"1,097,000","13,804,000","192,733,000",NA,"9,154,900","492,221","12,636,000","13,608,000","11,103,000","12,931,000",NA,NA,NA,"16,053,000",NA,NA,"26,183,000","5,697,999","48,160,000","10,772,000","5,465,000","1,079,639","5,342,000",NA,"2,403,555","4,909,000","26,622,000",NA,NA,"2,713,321",NA,NA,"44,315,000","10,554,900","164,377","8,317,000",NA,"22,811,393","1,287,200",NA,"2,614,386","-1,392,000",NA,NA,NA,NA,"2,974,000","10,045,891","5,035,000",NA,"24,969,000","3,751,000","1,189,000",NA,"1,996,963","-15,147,000","4,144,000","2,692,254",NA,"2,809,666",NA,"-5,177,000",NA,"11,014,000","1,793,792","1,326,000","-750,998","1,228,950","2,694,000","1,013,000","2,860,000",NA,"13,785,000",NA,"14,748,000",NA,"5,623,000","5,623,000",NA,"31,482,000","10,347,000","1,129,481",NA,"1,341,500","1,468,400","2,679,200",NA,"11,852,000",NA,"6,399,288","7,045,000","61,114,000","1,828,000","2,341,578","18,979,000","10,411,000","3,215,562","3,455,393","2,100,953",NA,NA,"5,378,000",NA,"18,876,000","37,649,000","-23,552,000","38,024,000","1,196,500","107,947,000","11,209,000","1,636,400",NA,NA,"129,000","10,951,400",NA,"96,326,000",NA,NA,NA,NA,NA,NA,"5,103,008","23,010,000",NA,"164,657,000",NA,"9,927,000",NA,"32,023"
Total Minority Interest,268584,"52,000",NA,NA,NA,NA,NA,"50,000","129,000",NA,NA,NA,"72,980.00","1,000.00",NA,NA,NA,NA,"3,374,773.00","65,000.00",NA,NA,NA,NA,NA,NA,"17,900.00",NA,"819,000.00",NA,"70,600.00",340.00,"371,000.00","834,000.00","364,000.00","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"1,116,000.00",NA,NA,NA,NA,NA,NA,"137,600.00",NA,NA,NA,"7,715.00",NA,NA,"24,000.00","6,600.00","-2,469.00","195,000.00",NA,"808,216.00","22,500.00",NA,"65,927.00",NA,NA,NA,NA,NA,NA,"69,821.00",NA,NA,NA,NA,"104,000.00",NA,NA,NA,NA,NA,NA,"19,046.00",NA,NA,NA,NA,NA,"15,000.00",NA,"18,458.00",NA,"-2,000.00",NA,NA,NA,NA,NA,NA,"559,000.00","50,000.00",NA,NA,NA,NA,NA,"4,000.00",NA,NA,NA,NA,NA,"94,867.00","179,000.00","1,745,000.00",NA,"545,685.00",NA,NA,NA,"184,563.00","32,557.00",NA,NA,NA,NA,"-39,000.00","398,000.00","-10,000.00",NA,NA,"437,000.00","-18,000.00",NA,NA,NA,NA,NA,NA,"1,342,000.00",NA,NA,NA,NA,NA,NA,"42,787.00",NA,NA,"1,746,000.00",NA,NA,NA,NA
Total Equity,268585,"4,694,000","4,993,600","6,814,600",NA,NA,"14,725,000","(3,418,000)","11,962,000","7,695,604.00",NA,"5,609,900.00","6,036,077.00","-2,124,000.00",NA,NA,NA,NA,"8,033,816.00","5,590,000.00",NA,NA,"502,425.00","6,243,000.00","10,535,000.00",NA,"1,114,900.00","13,804,000.00","209,902,000.00",NA,"9,225,500.00","492,561.00","13,007,000.00","14,442,000.00","11,467,000.00","12,936,000.00",NA,NA,NA,"17,109,000.00",NA,NA,"27,531,000.00","5,697,999.00","50,249,000.00","10,772,000.00","5,465,000.00","1,079,639.00","5,342,000.00",NA,"2,409,735.00","5,046,600.00","26,622,000.00",NA,NA,"2,721,036.00",NA,NA,"44,339,000.00","10,561,500.00","161,908.00","8,512,000.00",NA,"23,619,609.00","1,309,700.00",NA,"2,680,313.00","-1,392,000.00",NA,NA,NA,NA,"2,974,000.00","10,115,767.00","5,035,000.00",NA,"24,969,000.00","3,751,000.00","1,293,000.00",NA,"1,996,963.00","-15,147,000.00","4,144,000.00","2,692,254.00",NA,"2,828,712.00",NA,"-5,177,000.00",NA,"11,014,000.00","1,793,792.00","1,341,000.00","-750,998.00","1,247,408.00","2,694,000.00","1,287,000.00","2,860,000.00",NA,"13,785,000.00",NA,"14,748,000.00",NA,"6,182,000.00","5,673,000.00",NA,"31,740,000.00","10,349,000.00","1,129,481.00",NA,"1,345,500.00","1,468,400.00","2,679,200.00",NA,"11,852,000.00",NA,"7,751,409.00","7,224,000.00","62,859,000.00","1,828,000.00","2,887,263.00","21,474,000.00","10,411,000.00","3,215,562.00","3,639,956.00","2,133,510.00",NA,NA,"5,378,000.00",NA,"20,838,000.00","42,390,000.00","-23,562,000.00","47,215,000.00","1,196,500.00","121,637,000.00","11,191,000.00","1,636,400.00",NA,NA,"129,000.00","10,951,400.00",NA,"97,668,000.00",NA,NA,NA,NA,NA,NA,"5,145,795.00","23,010,000.00",NA,"185,011,000.00",NA,"9,927,000.00",NA,"32,022.52"
Current Ratio (x),274464,1.43,0.76,0.34,NA,NA,NA,0.44,0.63,1.16,NA,0.60,1.46,1.39,NA,NA,NA,NA,1.05,1.66,NA,NA,1.80,2.12,1.11,NA,0.55,1.17,NA,NA,0.95,2.62,1.67,1.19,1.66,1.39,NA,NA,NA,1.11,NA,NA,0.74,1.57,0.70,0.73,1.21,1.46,0.68,NA,1.29,0.88,1.09,NA,NA,0.59,NA,NA,1.15,1.25,1.81,1.23,NA,0.93,1.47,NA,1.22,0.71,NA,NA,NA,NA,0.90,1.54,0.52,NA,0.53,1.14,0.94,NA,26.59,1.21,1.18,1.70,NA,1.24,NA,0.78,NA,1.36,2.20,1.25,0.93,1.69,9.57,1.20,0.99,NA,0.73,NA,1.09,NA,0.85,1.44,NA,1.05,1.22,2.41,NA,1.21,1.23,0.41,NA,0.96,NA,3.69,0.19,0.99,1.13,0.40,0.98,0.88,1.25,0.86,1.34,NA,NA,0.60,NA,0.43,NA,1.13,0.48,0.64,1.60,0.80,1.94,NA,NA,1.07,17.61,NA,0.66,NA,NA,NA,NA,NA,NA,2.71,0.81,NA,NA,NA,2.01,NA,5.96
Quick Ratio (x),274465,0.95,0.43,0.18,NA,NA,NA,0.27,0.30,0.35,NA,0.20,1.00,0.43,NA,NA,NA,NA,0.96,1.39,NA,NA,1.57,0.44,0.49,NA,0.35,1.00,NA,NA,0.29,1.05,0.77,0.20,0.78,1.20,NA,NA,NA,1.11,NA,NA,0.41,0.76,0.29,0.32,0.44,0.85,0.37,NA,0.93,0.79,0.58,NA,NA,0.30,NA,NA,0.94,0.88,0.88,0.88,NA,0.48,1.18,NA,0.76,0.37,NA,NA,NA,NA,0.64,1.51,0.46,NA,0.28,0.05,0.66,NA,0.82,0.09,0.11,1.70,NA,1.14,NA,0.58,NA,0.97,1.29,0.98,0.83,1.50,9.26,0.93,0.42,NA,0.62,NA,0.91,NA,0.69,0.77,NA,0.81,0.51,0.81,NA,0.25,0.28,0.15,NA,0.24,NA,1.45,0.09,0.60,1.08,0.26,0.54,0.78,0.89,0.70,0.74,NA,NA,0.29,NA,0.26,NA,0.24,0.48,0.28,1.46,0.22,0.77,NA,NA,0.34,4.92,NA,0.51,NA,NA,NA,NA,NA,NA,2.25,0.36,NA,NA,NA,1.27,NA,5.96
Total Debt/Equity (%),274466,295.44,131.00,86.69,NA,NA,NA,NM,152.98,59,NA,102,54,NM,NA,NA,NA,NA,211,152,NA,NA,93,77,189,NA,441,6,NA,NA,94,50,65,118,73,148,NA,NA,NA,106,NA,NA,157,59,169,99,89,86,82,NA,127,108,173,NA,NA,81,NA,NA,359,38,208,126,NA,74,305,NA,198,NM,NA,NA,NA,NA,263,296,42,NA,67,215,326,NA,78,NM,149,82,NA,97,NA,NM,NA,87,62,490,NM,91,"1,862",105,196,NA,129,NA,123,NA,"1,423",105,NA,173,133,142,NA,172,85,97,NA,17,NA,390,298,70,131,174,147,87,109,139,615,NA,NA,80,NA,39,NA,NM,144,101,610,178,68,NA,NA,863,33,NA,183,NA,NA,NA,NA,NA,NA,150,96,NA,NA,NA,51,NA,798
Total Debt / Total Capital (%),274467,74.71,56.71,46.44,NA,NA,NA,115.72,60.47,37,NA,51,35,159,NA,NA,NA,NA,68,60,NA,NA,48,43,65,NA,82,6,NA,NA,48,33,39,54,42,60,NA,NA,NA,52,NA,NA,61,37,63,50,47,46,45,NA,56,52,63,NA,NA,45,NA,NA,78,28,68,56,NA,43,75,NA,66,115,NA,NA,NA,NA,72,75,29,NA,40,68,77,NA,44,161,60,45,NA,49,NA,111,NA,47,38,83,119,48,95,51,66,NA,56,NA,55,NA,93,51,NA,63,57,59,NA,63,46,49,NA,14,NA,80,75,41,57,63,60,47,52,58,86,NA,NA,45,NA,28,NA,169,59,50,86,64,40,NA,NA,90,25,NA,65,NA,NA,NA,NA,NA,NA,60,49,NA,NA,NA,34,NA,89
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
