SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024,FQ32024
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,9/30/2024,9/30/2024,9/30/2024,,,9/30/2024,9/30/2024,9/30/2024,9/30/2024,,9/30/2024,9/28/2024,10/28/2023,,,,,9/30/2024,9/30/2024,,,9/30/2024,9/30/2024,9/30/2024,,9/30/2024,9/30/2024,9/30/2024,,2/25/2024,9/30/2024,9/30/2024,9/30/2024,9/30/2024,9/30/2024,,,,9/30/2024,,,9/30/2024,9/30/2024,9/30/2024,9/30/2024,9/30/2024,9/30/2024,9/30/2024,,9/30/2024,9/30/2024,9/30/2024,,,9/30/2024,,,9/30/2024,9/27/2024,9/28/2024,9/30/2024,,9/30/2024,9/29/2024,,9/30/2024,7/31/2024,,,,,9/30/2024,8/31/2024,9/30/2024,,9/30/2024,10/28/2023,12/31/2023,,9/30/2024,11/3/2023,10/28/2023,9/30/2024,,9/30/2024,,9/30/2024,,9/30/2024,6/29/2024,9/28/2024,9/30/2024,9/30/2024,9/30/2024,9/30/2024,9/30/2024,,9/30/2024,,9/30/2024,,2/29/2024,9/30/2024,,9/30/2024,9/30/2024,9/29/2024,,9/30/2024,9/30/2024,9/30/2024,,9/30/2024,,9/30/2024,9/30/2024,9/30/2024,11/3/2023,9/29/2024,9/30/2024,9/30/2024,9/30/2024,9/30/2024,3/30/2024,9/30/2024,,9/30/2024,,9/30/2024,9/30/2024,9/30/2024,9/30/2024,9/30/2024,9/30/2024,11/4/2023,8/2/2024,,,9/30/2024,9/30/2024,,9/30/2024,,,,,,,12/31/2023,9/30/2024,,9/30/2024,,9/30/2024,,9/30/2024
Financial Filing Date,309159,10/21/2025,10/29/2025,10/29/2025,,,10/30/2025,10/30/2025,11/6/2025,8/1/2025,,10/29/2025,10/30/2025,11/26/2024,,,,,11/7/2025,11/7/2025,,,11/6/2025,11/7/2025,11/7/2025,,10/22/2025,10/27/2025,11/6/2025,,4/3/2025,11/5/2024,11/7/2025,11/4/2025,10/31/2025,10/16/2025,,,,12/23/2024,,,10/31/2025,10/23/2025,11/7/2025,11/7/2025,11/7/2025,11/21/2025,11/7/2025,,10/30/2025,10/21/2025,11/4/2025,,,10/17/2025,,,10/24/2025,10/29/2025,11/13/2025,10/29/2025,,11/4/2025,11/5/2025,,11/10/2025,8/28/2025,,,,,11/4/2025,10/9/2025,10/28/2025,,10/28/2025,12/5/2024,2/6/2025,,11/4/2025,11/27/2024,12/12/2024,11/7/2025,,10/30/2025,,11/5/2025,,11/3/2025,7/25/2025,10/30/2025,10/28/2025,11/6/2025,10/29/2025,11/6/2025,10/31/2025,,10/23/2025,,10/21/2025,,3/11/2025,11/5/2025,,10/23/2025,11/3/2025,11/6/2025,,10/28/2025,11/21/2025,10/29/2025,,10/30/2025,,10/31/2025,10/28/2025,10/21/2025,12/5/2024,11/7/2025,10/28/2025,10/23/2025,11/5/2025,11/5/2025,4/30/2025,10/31/2025,,11/7/2025,,11/5/2025,10/31/2025,10/29/2025,11/7/2025,11/4/2025,10/31/2025,12/13/2024,9/4/2025,,,10/29/2025,11/4/2025,,10/29/2025,,,,,,,2/10/2025,10/31/2025,,10/31/2025,,10/31/2025,,5/27/2025
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.340303
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.300158
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"7,295,000",100,NA,NA,NA,"8,631,000","1,897,000","17,000","162,477",NA,"6,500","248,000","412,000",NA,NA,NA,NA,"1,422,884","7,442,000",NA,NA,"49,573","16,000","678,000",NA,"152,700","1,752,000","811,279,000",NA,"78,500",409,"1,793,000","5,425,000","1,613,000","1,656,000",NA,NA,NA,"10,787,000",NA,NA,"2,081,000","386,766","376,000","16,000","8,000",933,"8,000",NA,"35,328","468,200","616,000",NA,NA,"61,437",NA,NA,"27,707,000","811,300","106,308","3,550,000",NA,"2,941,940","1,185,100",NA,"400,728","2,785,000",NA,NA,NA,NA,"130,000","50,022,028",NA,NA,"552,000","190,000","1,688,000",NA,"60,903","1,531,000","364,000","84,421",NA,"181,225",NA,"1,225,000",NA,"1,071,000","50,572","1,404,000","497,070","15,550","1,203,000","795,000","494,000",NA,"975,000",NA,"3,326,000",NA,"9,904,000","499,000",NA,"712,000","381,000","52,606",NA,"291,300","4,400","4,800",NA,"22,000",NA,"1,690,053","418,000","6,682,000","311,000","90,009","91,000","9,382,000","401,653","456,643","598,322",NA,NA,"15,000",NA,"7,811,000","165,876,000","10,449,000","72,271,000","19,600","1,036,030,000","1,725,000","221,100",NA,NA,"301,000","2,154,200",NA,"5,013,000",NA,NA,NA,NA,NA,NA,"1,651,228","28,000",NA,"365,310,000",NA,"877,000",NA,NA
