SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022,FQ42022
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,12/31/2022,12/31/2022,12/31/2022,,,12/31/2022,12/31/2022,12/31/2022,12/31/2022,,12/31/2022,12/31/2022,1/29/2022,,,,,12/31/2022,12/31/2022,,,12/31/2022,12/31/2022,12/31/2022,,12/31/2022,12/31/2022,12/31/2022,,5/29/2022,12/31/2022,12/31/2022,12/31/2022,12/31/2022,12/31/2022,,,,12/31/2022,,,12/31/2022,12/31/2022,12/31/2022,12/31/2022,12/31/2022,12/31/2022,12/31/2022,,12/31/2022,12/31/2022,12/31/2022,,,12/31/2022,,,12/31/2022,12/31/2022,12/31/2022,12/31/2022,,12/31/2022,12/25/2022,,12/31/2022,10/31/2022,,,,,12/31/2022,11/30/2022,12/31/2022,12/31/2022,12/31/2022,1/29/2022,3/31/2022,,12/31/2022,1/28/2022,1/29/2022,12/31/2022,,12/31/2022,,12/31/2022,,12/31/2022,10/1/2022,12/31/2022,12/31/2022,12/31/2022,12/31/2022,12/31/2022,12/31/2022,,12/31/2022,,12/31/2022,,5/31/2022,12/31/2022,,12/31/2022,12/31/2022,12/31/2022,,12/31/2022,12/31/2022,12/31/2022,,12/31/2022,,12/31/2022,12/31/2022,12/31/2022,1/28/2022,12/31/2022,12/31/2022,12/31/2022,12/31/2022,12/31/2022,7/2/2022,12/31/2022,,12/31/2022,,12/31/2022,12/31/2022,12/31/2022,12/31/2022,12/31/2022,12/31/2022,1/29/2022,10/31/2022,,,12/31/2022,12/31/2022,,12/31/2022,,,,,,,3/31/2022,12/31/2022,,12/31/2022,,12/31/2022,,12/31/2022
Financial Filing Date,309159,2/7/2024,2/26/2024,2/26/2024,,,2/20/2024,2/27/2024,2/29/2024,2/23/2024,,2/26/2024,2/13/2024,3/17/2023,,,,,2/27/2024,2/22/2024,,,2/22/2024,2/20/2024,2/20/2024,,2/21/2024,2/26/2024,2/23/2024,,7/13/2023,3/29/2024,2/27/2024,2/15/2024,2/12/2024,2/14/2024,,,,2/23/2024,,,2/23/2024,2/9/2024,2/23/2024,2/23/2024,2/23/2024,3/12/2024,2/23/2024,,2/29/2024,2/22/2024,2/21/2024,,,2/14/2024,,,2/7/2024,2/27/2024,3/13/2024,2/6/2024,,2/14/2024,2/28/2024,,2/27/2024,12/18/2023,,,,,2/9/2024,1/26/2024,3/8/2024,2/3/2023,2/22/2024,3/16/2023,5/26/2023,,2/20/2024,3/27/2023,3/24/2023,2/23/2024,,3/1/2024,,2/22/2024,,2/26/2024,11/14/2023,2/15/2024,2/9/2024,2/20/2024,2/26/2024,3/14/2024,2/21/2024,,2/5/2024,,1/25/2024,,6/20/2023,2/14/2024,,2/22/2024,2/26/2024,2/29/2024,,2/16/2024,3/28/2024,2/26/2024,,2/22/2024,,8/12/2024,2/21/2024,2/5/2024,4/3/2023,2/16/2024,2/22/2024,2/6/2024,2/28/2024,2/28/2024,8/25/2023,2/23/2024,,2/26/2024,,2/21/2024,2/28/2024,1/31/2024,2/23/2024,2/27/2024,2/23/2024,3/28/2023,12/20/2023,,,2/15/2024,2/20/2024,,2/9/2024,,,,,,,5/22/2023,2/23/2024,,2/20/2024,,2/16/2024,,4/30/2024
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.204892
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.174869
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"3,893,000",100,NA,NA,NA,"5,594,000","4,030,000","250,000","69,155",NA,"7,500","176,915","1,979,000",NA,NA,NA,NA,"690,333","5,500,000",NA,NA,"31,715","14,000","617,000",NA,"129,800","1,264,000","891,029,000",NA,"83,300","1,070","403,000","4,883,000","1,671,000","2,087,000",NA,NA,NA,"8,856,000",NA,NA,"119,000","380,868","409,000","45,000","112,000","3,326","16,000",NA,"109,174","285,200","407,000",NA,NA,"170,277",NA,NA,"32,184,000","709,200","200,512","1,440,000",NA,"1,997,566","498,600",NA,"626,653","3,145,000",NA,NA,NA,NA,"4,000","39,704,546",NA,"207,600","535,000","1,587,000","2,134,000",NA,"31,998","1,470,000","1,712,000","49,121",NA,"370,592",NA,"2,583,800",NA,"261,000","101,990","1,325,000","993,196","19,291","1,591,000","221,000","287,000",NA,"456,000",NA,"2,577,000",NA,"21,902,000","1,099,000",NA,"609,000","641,000","22,847",NA,"330,400",300,"4,000",NA,"8,000",NA,"1,388,737","1,935,000","6,220,000","106,000","101,621","766,000","12,292,000","51,823","123,078","867,086","2,940",NA,"14,000",NA,"4,912,000","142,083,000","17,187,000","85,315,000","19,700","917,085,000","1,821,000","188,200",NA,NA,"430,000","1,514,000",NA,"2,605,000",NA,NA,NA,NA,NA,NA,"310,459","523,000",NA,"334,964,000",NA,"1,581,000",NA,"29,496"
