SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"10,007,000","11,776,300","13,342,600",NA,NA,"11,831,000","1,608,000","31,262,000","10,599,255",NA,"12,452,800","874,010","2,030,000",NA,NA,NA,NA,"18,525,035",NA,NA,NA,"58,918","10,411,000","27,162,000",NA,"1,978,300","202,000","26,253,000",NA,"2,948,700","832,386","15,261,000",NA,"16,213,000","34,747,000",NA,NA,NA,"396,000",NA,NA,"52,763,000","1,201,883","111,392,000","19,821,000","12,149,000","2,170,438","9,265,000",NA,"4,991,150","1,587,000","69,341,000",NA,NA,"4,446,139",NA,NA,"39,663,000","583,900","236,829","2,314,000",NA,"2,199,292","422,800",NA,"7,274,398","4,010,000",NA,NA,NA,NA,"10,637,000","906,864","5,971,000","9,345,200","3,372,000","9,552,000","4,146,000",NA,"37,897","23,179,000","8,473,000",NA,NA,"1,886,935",NA,"36,339,300",NA,"21,092,000","737,980","1,412,000","180,437","2,118,210","74,000","499,000","1,762,000",NA,"32,563,000",NA,"10,611,000",NA,"9,716,000","4,060,000",NA,"77,518,000","24,450,000","514,246",NA,"1,129,400","2,602,000","5,732,600",NA,"8,341,000",NA,"115,212","28,084,000","16,999,000","309,000","1,675,325","54,791,000","18,360,000","7,057,652","8,169,427","5,179,717","2,309,183",NA,"11,667,000",NA,"1,221,000","3,256,000","12,001,000","4,608,000","1,861,500","19,246,000","30,484,000","647,800",NA,NA,"55,000","489,400",NA,"133,564,000",NA,NA,NA,NA,NA,NA,"4,048,330","38,773,000",NA,"17,977,000",NA,"14,313,000",NA,NA
Total Assets,268552,"46,455,000","12,892,200","13,814,200",NA,NA,"191,826,000","36,954,000","37,904,000","12,175,059",NA,"15,222,200","21,763,182","6,026,000",NA,NA,NA,NA,"23,957,763","224,847,000",NA,NA,"1,024,870","15,704,000","38,546,000",NA,"6,206,800","29,732,000","2,416,676,000",NA,"22,435,100","1,245,392","46,869,000","360,322,000","29,499,000","41,912,000",NA,NA,NA,"131,706,000",NA,NA,"104,795,000","10,896,519","178,086,000","25,554,000","14,654,000","2,463,158","11,506,000",NA,"5,758,701","11,547,900","95,349,000",NA,NA,"4,963,603",NA,NA,"255,884,000","15,890,600","1,238,128","27,539,000",NA,"44,809,014","9,295,900",NA,"9,603,463","38,494,000",NA,NA,NA,NA,"12,131,000","51,057,683","8,632,000","10,677,400","51,837,000","15,054,000","13,442,000",NA,"3,124,828","44,640,000","17,590,000","4,241,885",NA,"9,293,259",NA,"50,435,600",NA,"25,254,000","3,431,841","12,814,000","4,997,535","2,507,424","70,795,000","11,507,000","13,262,000",NA,"38,885,000",NA,"43,755,000",NA,"109,297,000","10,752,000",NA,"118,378,000","29,405,000","2,782,471",NA,"5,217,900","3,350,700","6,965,900",NA,"18,956,000",NA,"34,586,508","33,776,000","158,864,000","5,746,000","2,235,897","77,807,000","35,369,000","8,803,681","13,196,614","22,085,688","4,214,146",NA,"13,803,000",NA,"97,989,000","405,783,000","137,100,000","551,772,000","2,405,900","1,441,799,000","49,086,000","3,556,000",NA,NA,"3,443,000","61,148,500",NA,"379,680,000",NA,NA,NA,NA,NA,NA,"6,389,346","53,194,000",NA,"1,881,020,000",NA,"17,340,000",NA,"255,309"
Net Debt,268593,"13,064,000","5,880,700","5,014,900",NA,NA,"14,746,000","22,650,000","14,845,000","4,467,598",NA,"5,688,600","3,892,445","4,034,000",NA,NA,NA,NA,"14,004,024","6,403,000",NA,NA,"469,168","5,329,000","16,258,000",NA,"4,475,900","-373,000","-306,891,000",NA,"9,141,200","215,952","6,075,000","17,917,000","6,146,000","16,635,000",NA,NA,NA,"11,252,000",NA,NA,"42,059,000","3,514,550","74,349,000","10,525,000","4,681,000","865,441","3,746,000",NA,"2,942,344","5,502,100","39,956,000",NA,NA,"1,918,543",NA,NA,"108,290,000","2,711,500","215,852","7,195,000",NA,"12,727,911","3,507,800",NA,"4,171,851","9,227,000",NA,NA,NA,NA,"6,987,000","-17,316,142","2,272,000","3,672,300","13,300,000","5,198,000","2,391,000",NA,"1,090,185","27,935,000","5,011,000","1,949,981",NA,"3,144,083",NA,"46,206,700",NA,"7,708,000","841,740","5,226,000","3,650,325","1,128,220","65,563,000","5,782,000","5,814,000",NA,"15,670,000",NA,"12,091,000",NA,"53,957,000","2,125,000",NA,"48,316,000","9,047,000","1,427,508",NA,"1,838,500","1,185,500","2,396,200",NA,"2,228,000",NA,"22,727,766","22,059,000","27,636,000","2,679,000","2,248,291","27,850,000","-2,861,000","3,424,473","6,004,832","10,525,383","774,965",NA,"4,958,000",NA,"7,228,000","-71,088,000","41,395,000","-42,243,000","813,000","-397,075,000","18,678,000","881,900",NA,NA,"-29,000","3,384,500",NA,"177,658,000",NA,NA,NA,NA,NA,NA,"2,541,834","18,888,000",NA,"-84,417,000",NA,"3,590,000",NA,"199,842"
Total Debt,274444,"16,957,000","5,880,800","5,014,900",NA,NA,"20,340,000","26,680,000","15,095,000","4,536,753",NA,"5,696,100","4,069,360","6,013,000",NA,NA,NA,NA,"14,694,357","10,518,000",NA,NA,"500,883","5,343,000","16,875,000",NA,"4,605,700","891,000","584,138,000",NA,"9,224,500","217,022","6,478,000","18,469,000","7,817,000","18,722,000",NA,NA,NA,"20,108,000",NA,NA,"42,178,000","3,895,418","74,758,000","10,570,000","4,793,000","868,767","3,762,000",NA,"3,051,518","5,787,300","40,363,000",NA,NA,"2,088,820",NA,NA,"140,474,000","3,420,700","416,364","8,635,000",NA,"14,725,477","4,006,400",NA,"4,798,504","12,372,000",NA,NA,NA,NA,"6,991,000","22,388,404","2,272,000","3,879,900","13,835,000","6,785,000","4,525,000",NA,"1,122,183","29,405,000","6,723,000","1,999,102",NA,"3,514,675",NA,"48,790,500",NA,"7,969,000","943,730","6,551,000","4,643,521","1,147,511","67,154,000","6,003,000","6,101,000",NA,"16,126,000",NA,"15,000,000",NA,"75,859,000","3,224,000",NA,"48,925,000","9,688,000","1,450,355",NA,"2,168,900","1,185,800","2,400,200",NA,"2,236,000",NA,"24,116,503","23,994,000","33,856,000","2,813,000","2,349,912","28,616,000","9,431,000","3,476,296","6,127,910","11,392,469","777,905",NA,"4,972,000",NA,"7,964,000","70,995,000","58,582,000","43,072,000","832,700","520,010,000","20,499,000","1,070,100",NA,NA,"552,000","3,503,700",NA,"180,263,000",NA,NA,NA,NA,NA,NA,"2,852,293","19,411,000",NA,"250,547,000",NA,"5,171,000",NA,"229,338"
Total Common Equity,268583,"14,722,000","3,904,300","5,873,000",NA,NA,"10,535,000","(3,973,000)","10,508,000","6,952,818",NA,"4,975,400","5,546,357","-1,518,000",NA,NA,NA,NA,"5,285,710","5,533,000",NA,NA,"384,430","5,363,000","9,252,000",NA,"551,500","10,562,000","182,194,000",NA,"8,787,700","468,784","11,060,000","9,380,000","12,008,000","12,615,000",NA,NA,NA,"13,288,000",NA,NA,"25,876,000","4,286,366","47,360,000","9,023,000","4,703,000","880,185","4,766,000",NA,"2,535,571","3,956,500","24,744,000",NA,NA,"2,524,802",NA,NA,"43,242,000","9,683,400","405,932","9,357,000",NA,"22,303,506","2,832,800",NA,"3,540,499","-3,025,000",NA,NA,NA,NA,"2,672,000","10,232,846","3,967,000","4,463,800","25,126,000","4,661,000","2,618,000",NA,"1,642,412","-4,816,000","3,621,000","2,108,586",NA,"2,737,329",NA,"-6,003,400",NA,"10,679,000","1,436,813","116,000","-1,007,925","1,270,225","2,977,000","1,480,000","3,519,000",NA,"12,733,000",NA,"15,312,000",NA,"-6,220,000","4,575,000",NA,"27,226,000","10,739,000","955,169",NA,"1,099,000","1,244,200","2,419,100",NA,"13,567,000",NA,"5,685,747","2,869,000","72,632,000","1,619,000","-591,598","18,844,000","10,687,000","2,569,175","3,058,759","1,382,260","949,767",NA,"5,420,000",NA,"15,518,000","35,896,000","-15,883,000","26,902,000","741,800","106,486,000","9,452,000","1,351,700",NA,NA,"775,000","8,735,000",NA,"91,144,000",NA,NA,NA,NA,NA,NA,"2,633,866","16,949,000",NA,"161,208,000",NA,"10,749,000",NA,"25,956"
Total Minority Interest,268584,"48,000",NA,NA,NA,NA,NA,"50,000","129,000",NA,NA,NA,"64,996.00","1,000.00",NA,NA,NA,NA,"2,828,203.00","65,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"649,000.00",NA,"74,500.00",340.00,"354,000.00","939,000.00","267,000.00","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"2,531,000.00",NA,NA,NA,NA,NA,NA,"16,800.00",NA,NA,NA,"14,778.00",NA,NA,"-75,000.00","5,200.00","-2,923.00","235,000.00",NA,"236,704.00","29,100.00",NA,"65,613.00",NA,NA,NA,NA,NA,NA,"69,094.00",NA,"331,000.00","-1,000.00",NA,"94,000.00",NA,NA,NA,NA,NA,NA,"3,858.00",NA,NA,NA,NA,NA,"15,000.00",NA,"19,681.00",NA,"-1,000.00",NA,NA,NA,NA,NA,NA,"452,000.00","46,000.00",NA,NA,NA,NA,NA,"2,500.00",NA,NA,NA,NA,NA,"67,067.00",NA,"1,582,000.00","10,000.00",-4.00,NA,NA,NA,"159,349.00","31,948.00",NA,NA,NA,NA,"-125,000.00","116,000.00","35,000.00",NA,NA,"649,000.00","-23,000.00",NA,NA,NA,NA,NA,NA,"1,319,000.00",NA,NA,NA,NA,NA,NA,"48,728.00",NA,NA,"1,986,000.00",NA,NA,NA,NA
Total Equity,268585,"14,770,000","3,904,300","5,873,000",NA,NA,"12,859,000","(3,923,000)","10,637,000","7,174,658.00",NA,"4,975,400.00","5,611,353.00","-1,517,000.00",NA,NA,NA,NA,"8,113,913.00","5,598,000.00",NA,NA,"384,430.00","5,363,000.00","10,042,000.00",NA,"551,500.00","10,562,000.00","201,838,000.00",NA,"8,862,200.00","469,124.00","11,414,000.00","10,319,000.00","12,275,000.00","12,625,000.00",NA,NA,NA,"14,344,000.00",NA,NA,"27,659,000.00","4,286,366.00","51,853,000.00","9,023,000.00","4,703,000.00","880,185.00","4,766,000.00",NA,"2,541,752.00","3,973,300.00","24,744,000.00",NA,NA,"2,539,580.00",NA,NA,"43,167,000.00","9,688,600.00","403,009.00","9,592,000.00",NA,"22,540,210.00","2,861,900.00",NA,"3,606,112.00","-3,025,000.00",NA,NA,NA,NA,"2,672,000.00","10,426,940.00","3,967,000.00","4,794,800.00","25,125,000.00","4,661,000.00","2,712,000.00",NA,"1,642,412.00","-4,816,000.00","3,621,000.00","2,108,586.00",NA,"2,741,187.00",NA,"-6,003,400.00",NA,"10,679,000.00","1,436,813.00","131,000.00","-1,007,925.00","1,289,906.00","2,977,000.00","1,754,000.00","3,519,000.00",NA,"12,733,000.00",NA,"15,312,000.00",NA,"-5,768,000.00","4,621,000.00",NA,"27,484,000.00","10,741,000.00","955,169.00",NA,"1,101,500.00","1,244,200.00","2,419,100.00",NA,"13,567,000.00",NA,"7,010,068.00","2,869,000.00","74,214,000.00","1,629,000.00","-591,602.00","20,789,000.00","10,687,000.00","2,569,175.00","3,218,108.00","1,414,208.00","949,767.00",NA,"5,420,000.00",NA,"17,363,000.00","40,850,000.00","-15,848,000.00","36,608,000.00","741,800.00","117,838,000.00","9,429,000.00","1,351,700.00",NA,NA,"775,000.00","8,735,000.00",NA,"92,463,000.00",NA,NA,NA,NA,NA,NA,"2,682,594.00","16,949,000.00",NA,"182,213,000.00",NA,"10,749,000.00",NA,"25,955.78"
Current Ratio (x),274464,1.54,0.43,0.14,NA,NA,NA,0.84,0.79,1.29,NA,0.91,1.48,2.33,NA,NA,NA,NA,3.08,0.68,NA,NA,1.40,0.88,0.92,NA,0.55,1.23,NA,NA,0.86,1.49,1.19,1.20,1.44,1.56,NA,NA,NA,1.18,NA,NA,0.73,1.23,0.70,0.92,0.68,0.58,0.34,NA,2.17,0.68,0.69,NA,NA,2.19,NA,NA,1.20,0.91,2.22,1.16,NA,0.92,1.37,NA,1.95,0.75,NA,NA,NA,NA,0.30,1.52,0.87,0.83,0.47,1.53,1.20,NA,27.73,1.02,1.25,1.53,NA,1.55,NA,1.43,NA,1.06,2.10,1.15,1.40,2.35,11.33,1.14,1.32,NA,0.76,NA,1.08,NA,1.62,1.69,NA,0.83,1.25,2.48,NA,1.19,0.70,0.58,NA,1.40,NA,1.37,0.37,1.09,0.93,0.61,0.79,1.43,1.20,1.08,1.20,0.68,NA,0.45,NA,0.39,NA,1.22,0.40,0.73,1.88,0.75,1.58,NA,NA,1.17,20.45,NA,0.76,NA,NA,NA,NA,NA,NA,1.51,0.69,NA,NA,NA,1.58,NA,5.48
Quick Ratio (x),274465,0.90,0.24,0.12,NA,NA,NA,0.69,0.40,0.31,NA,0.26,1.01,1.72,NA,NA,NA,NA,2.85,0.45,NA,NA,1.32,0.35,0.45,NA,0.36,0.98,NA,NA,0.27,0.83,0.55,0.19,0.66,1.38,NA,NA,NA,1.18,NA,NA,0.20,0.69,0.26,0.25,0.26,0.23,0.17,NA,1.82,0.60,0.37,NA,NA,1.37,NA,NA,1.02,0.64,1.08,0.74,NA,0.43,0.75,NA,1.36,0.38,NA,NA,NA,NA,0.19,1.52,0.79,0.64,0.27,0.54,0.88,NA,0.54,0.08,0.37,1.53,NA,1.40,NA,1.24,NA,0.71,1.30,0.85,1.33,1.56,10.78,0.28,0.50,NA,0.61,NA,0.94,NA,1.47,0.98,NA,0.62,0.72,0.57,NA,0.30,0.38,0.17,NA,0.48,NA,0.53,0.29,0.69,0.83,0.44,0.35,1.28,0.37,0.32,0.66,0.33,NA,0.16,NA,0.23,NA,0.32,0.40,0.34,1.82,0.22,0.49,NA,NA,0.41,4.64,NA,0.54,NA,NA,NA,NA,NA,NA,0.81,0.32,NA,NA,NA,1.14,NA,5.48
Total Debt/Equity (%),274466,114.81,150.62,85.39,NA,NA,NA,NM,141.91,63,NA,114,73,NM,NA,NA,NA,NA,181,188,NA,NA,130,100,168,NA,835,8,NA,NA,104,46,57,179,64,148,NA,NA,NA,140,NA,NA,152,91,144,117,102,99,79,NA,120,146,163,NA,NA,82,NA,NA,325,35,103,90,NA,65,140,NA,133,NM,NA,NA,NA,NA,262,215,57,81,55,146,167,NA,68,NM,186,95,NA,128,NA,NM,NA,75,66,"5,001",NM,89,"2,256",342,173,NA,127,NA,98,NA,NM,70,NA,178,90,152,NA,197,95,99,NA,16,NA,344,836,46,173,NM,138,88,135,190,806,82,NA,92,NA,46,NA,NM,118,112,441,217,79,NA,NA,71,40,NA,195,NA,NA,NA,NA,NA,NA,106,115,NA,NA,NA,48,NA,884
Total Debt / Total Capital (%),274467,53.45,60.10,46.06,NA,NA,NA,117.24,58.66,39,NA,53,42,134,NA,NA,NA,NA,64,65,NA,NA,57,50,63,NA,89,8,NA,NA,51,32,36,64,39,60,NA,NA,NA,58,NA,NA,60,48,59,54,50,50,44,NA,55,59,62,NA,NA,45,NA,NA,76,26,51,47,NA,40,58,NA,57,132,NA,NA,NA,NA,72,68,36,45,36,59,63,NA,41,120,65,49,NA,56,NA,114,NA,43,40,98,128,47,96,77,63,NA,56,NA,49,NA,108,41,NA,64,47,60,NA,66,49,50,NA,14,NA,77,89,31,63,134,58,47,58,66,89,45,NA,48,NA,31,NA,137,54,53,82,68,44,NA,NA,42,29,NA,66,NA,NA,NA,NA,NA,NA,52,53,NA,NA,NA,32,NA,90
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
