SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"10,023,000","12,314,700","14,037,700",NA,NA,"11,309,000","1,626,000","32,351,000","10,992,714",NA,"12,741,900","558,219","2,158,000",NA,NA,NA,NA,"18,714,548",NA,NA,NA,"45,201","11,015,000","28,470,000",NA,"2,229,900","198,000","27,818,000",NA,"2,688,200","842,596","20,239,000",NA,"14,681,000","34,972,000",NA,NA,NA,"1,053,000",NA,NA,"66,543,000","1,016,206","115,489,000","20,538,000","12,308,000","2,203,066","9,440,000",NA,"4,932,653","1,722,000","71,300,000",NA,NA,"4,618,339",NA,NA,"39,272,000","583,900","220,830","2,357,000",NA,"2,084,209","515,400",NA,"7,613,071","4,012,000",NA,NA,NA,NA,"10,962,000","907,234","6,133,000",NA,"3,358,000","10,524,000","3,685,000",NA,"42,786","22,871,000","8,371,000",NA,NA,"1,945,927",NA,"36,620,200",NA,"21,146,000","800,168","1,413,000","183,381","2,135,166","68,000","1,030,000","1,757,000",NA,"32,474,000",NA,"10,739,000",NA,"14,351,000","3,947,000",NA,"80,191,000","25,488,000","533,836",NA,"1,239,000","2,669,200","6,059,200",NA,"8,449,000",NA,"110,870","28,487,456","17,107,000","268,000","1,736,454","55,543,000","19,607,000","7,259,054","8,377,852","5,270,970","2,267,410",NA,"9,730,000",NA,"945,000","3,241,000","10,455,000","3,686,000","1,972,900","17,617,000","30,889,000","677,627",NA,NA,"56,000","460,000",NA,"132,615,000",NA,NA,NA,NA,NA,NA,"4,320,663","40,794,000",NA,"17,561,000",NA,"14,112,000",NA,NA
Total Assets,268552,"48,880,000","13,614,400","14,576,500",NA,NA,"197,241,000","37,151,000","38,947,000","12,522,438",NA,"15,458,000","20,535,899","4,901,000",NA,NA,NA,NA,"25,095,318","231,545,000",NA,NA,"1,085,543","14,646,000","38,097,000",NA,"6,578,600","31,352,000","2,423,675,000",NA,"22,414,000","1,189,393","46,534,000","367,470,000","28,645,000","41,217,000",NA,NA,NA,"138,082,000",NA,NA,"106,064,000","10,901,586","180,076,000","26,094,000","14,615,000","2,484,330","11,791,000",NA,"5,703,564","11,537,900","98,080,000",NA,NA,"5,098,657",NA,NA,"265,991,000","15,730,700","1,073,363","32,311,000",NA,"48,150,880","8,609,700",NA,"9,769,415","36,366,000",NA,NA,NA,NA,"12,814,000","53,740,010","8,838,000",NA,"51,801,000","15,623,000","11,629,000",NA,"3,139,539","46,725,000","16,342,000","4,420,238",NA,"9,287,820",NA,"50,442,000",NA,"25,425,000","3,699,609","12,252,000","4,762,828","2,498,495","65,598,000","11,279,000","13,020,000",NA,"39,261,000",NA,"45,609,000",NA,"128,469,000","11,001,000",NA,"120,304,000","30,552,000","2,707,030",NA,"5,469,600","3,255,700","7,314,000",NA,"19,905,000",NA,"33,858,079","32,923,348","162,161,000","5,654,000","2,316,418","79,293,000","36,519,000","9,188,441","11,950,922","22,087,231","4,262,237",NA,"12,482,000",NA,"100,514,000","430,382,000","134,774,000","511,505,000","2,512,000","1,571,386,000","48,741,000","3,741,375",NA,NA,"3,290,000","61,904,400",NA,"379,955,000",NA,NA,NA,NA,NA,NA,"6,510,280","54,704,000",NA,"1,876,320,000",NA,"17,470,000",NA,"278,558"
Net Debt,268593,"12,586,000","6,162,300","5,550,600",NA,NA,"12,472,000","26,321,000","16,000,000","4,197,486",NA,"5,927,300","3,920,614","5,614,000",NA,NA,NA,NA,"14,331,330","5,810,000",NA,NA,"422,363","4,234,000","16,237,000",NA,"4,245,400","119,000","-234,512,000",NA,"9,610,600","191,818","6,932,000","11,808,000","7,016,000","17,478,000",NA,NA,NA,"11,667,000",NA,NA,"48,710,000","3,136,971","78,316,000","10,737,000","4,747,000","903,714","4,110,000",NA,"2,945,063","5,508,000","42,224,000",NA,NA,"2,094,805",NA,NA,"115,096,000","2,431,300","291,469","8,672,000",NA,"15,669,025","3,855,400",NA,"4,608,207","10,053,000",NA,NA,NA,NA,"7,237,000","-18,597,511","2,397,000",NA,"14,095,000","7,370,000","2,403,000",NA,"1,015,500","31,513,000","5,703,000","1,963,104",NA,"3,557,534",NA,"46,921,100",NA,"7,454,000","959,413","5,810,000","3,871,354","1,117,404","60,640,000","5,198,000","5,797,000",NA,"15,107,000",NA,"13,726,000",NA,"83,569,000","2,291,000",NA,"50,556,000","9,963,000","1,363,310",NA,"1,835,200","1,048,900","2,565,300",NA,"2,232,000",NA,"22,310,318","20,291,946","31,532,000","2,506,000","2,455,645","30,182,000","-2,851,000","3,306,867","5,121,097","11,295,925","704,714",NA,"5,203,000",NA,"7,252,000","-100,563,000","38,527,000","1,841,000","919,400","-330,222,000","19,280,000","963,737",NA,NA,"-153,000","3,399,100",NA,"177,382,000",NA,NA,NA,NA,NA,NA,"2,876,689","20,067,000",NA,"-35,034,000",NA,"4,722,000",NA,"218,831"
Total Debt,274444,"16,900,000","6,162,400","5,550,600",NA,NA,"22,479,000","27,195,000","16,007,000","4,397,087",NA,"5,934,100","4,160,996","6,066,000",NA,NA,NA,NA,"15,912,905","9,547,000",NA,NA,"450,968","4,249,000","16,982,000",NA,"4,619,400","867,000","634,031,000",NA,"9,650,300","191,818","7,201,000","12,559,000","8,554,000","18,512,000",NA,NA,NA,"20,276,000",NA,NA,"48,978,000","3,422,748","78,823,000","10,774,000","4,758,000","904,511","4,118,000",NA,"3,046,133","5,672,100","42,623,000",NA,NA,"2,204,499",NA,NA,"144,850,000","3,144,100","423,576","10,608,000",NA,"17,588,616","4,067,100",NA,"4,997,612","11,993,000",NA,NA,NA,NA,"7,533,000","24,075,302","2,397,000",NA,"14,373,000","7,592,000","4,291,000",NA,"1,058,834","33,661,000","6,003,000","2,033,990",NA,"3,677,439",NA,"48,560,300",NA,"7,908,000","1,066,425","6,520,000","4,659,798","1,134,815","62,010,000","5,765,000","6,114,000",NA,"15,663,000",NA,"17,444,000",NA,"90,919,000","3,259,000",NA,"51,101,000","10,549,000","1,397,221",NA,"2,182,300","1,049,200","2,569,900",NA,"2,237,000",NA,"23,735,237","21,018,370","36,923,000","2,632,000","2,505,265","30,250,000","9,328,000","3,499,819","5,342,464","11,796,265","752,969",NA,"5,208,000",NA,"7,951,000","79,136,000","52,268,000","75,925,000","952,800","638,348,000","20,382,000","1,115,041",NA,NA,"544,000","3,507,400",NA,"182,302,000",NA,NA,NA,NA,NA,NA,"3,025,861","20,104,000",NA,"280,580,000",NA,"5,817,000",NA,"250,473"
Total Common Equity,268583,"7,798,000","4,334,600","6,142,800",NA,NA,"11,208,000","(3,827,000)","10,697,000","7,328,405",NA,"5,133,100","5,586,345","-2,663,000",NA,NA,NA,NA,"5,347,760","4,907,000",NA,NA,"477,457","5,806,000","9,576,000",NA,"853,800","11,030,000","188,474,000",NA,"8,666,300","491,197","11,365,000","10,561,000","11,412,000","12,270,000",NA,NA,NA,"12,800,000",NA,NA,"26,645,000","4,662,105","46,371,000","9,488,000","4,827,000","917,032","4,937,000",NA,"2,482,723","4,191,200","25,079,000",NA,NA,"2,564,172",NA,NA,"43,677,000","9,965,800","339,504","7,102,000",NA,"22,171,486","2,443,000",NA,"3,502,625","-2,484,000",NA,NA,NA,NA,"2,764,000","9,695,655","4,018,000",NA,"25,268,000","4,544,000","1,650,000",NA,"1,731,012","-8,442,000","3,531,000","2,254,948",NA,"2,679,052",NA,"-4,999,100",NA,"11,061,000","1,579,777","337,000","-1,193,668","1,268,968","2,930,000","1,555,000","3,315,000",NA,"12,640,000",NA,"15,486,000",NA,"-4,246,000","5,014,000",NA,"28,016,000","10,425,000","997,422",NA,"1,246,500","1,315,600","2,446,300",NA,"14,406,000",NA,"5,877,179","3,363,648","72,480,000","1,643,000","-762,650","18,936,000","10,789,000","3,176,878","3,262,826","1,436,589","1,003,071",NA,"4,670,000",NA,"13,516,000","36,095,000","-15,517,000","27,956,000","821,400","105,790,000","9,657,000","1,559,997",NA,NA,"915,000","9,245,900",NA,"95,193,000",NA,NA,NA,NA,NA,NA,"2,596,560","17,930,000",NA,"161,172,000",NA,"10,141,000",NA,"27,957"
Total Minority Interest,268584,"59,000",NA,NA,NA,NA,NA,"50,000","129,000",NA,NA,NA,"68,129.00","1,000.00",NA,NA,NA,NA,"2,692,421.00","65,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"703,000.00",NA,"71,400.00",340.00,"356,000.00","907,000.00","298,000.00","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"2,738,000.00",NA,NA,NA,NA,NA,NA,"17,100.00",NA,NA,NA,"6,945.00",NA,NA,"-71,000.00","6,000.00","-2,602.00","221,000.00",NA,"743,973.00","27,200.00",NA,"65,828.00",NA,NA,NA,NA,NA,NA,"70,001.00",NA,NA,"-1,000.00",NA,"96,000.00",NA,NA,NA,NA,NA,NA,"9,368.00",NA,NA,NA,NA,NA,"14,000.00",NA,"21,407.00",NA,"-1,000.00",NA,NA,NA,NA,NA,NA,"470,000.00","45,000.00",NA,NA,NA,NA,NA,"2,700.00",NA,NA,NA,NA,NA,"60,251.00","177,434.00","1,607,000.00","10,000.00",-8.00,NA,NA,NA,"158,180.00","33,306.00",NA,NA,NA,NA,"-145,000.00","169,000.00","24,000.00",NA,NA,"531,000.00","-18,000.00",NA,NA,NA,NA,NA,NA,"1,309,000.00",NA,NA,NA,NA,NA,NA,"31,631.00",NA,NA,"1,761,000.00",NA,NA,NA,NA
Total Equity,268585,"7,857,000","4,334,600","6,142,800",NA,NA,"13,532,000","(3,777,000)","10,826,000","7,550,245.00",NA,"5,133,100.00","5,654,474.00","-2,662,000.00",NA,NA,NA,NA,"8,040,181.00","4,972,000.00",NA,NA,"477,457.00","5,806,000.00","10,366,000.00",NA,"853,800.00","11,030,000.00","209,422,000.00",NA,"8,737,700.00","491,537.00","11,721,000.00","11,468,000.00","11,710,000.00","12,274,000.00",NA,NA,NA,"13,856,000.00",NA,NA,"28,428,000.00","4,662,105.00","51,071,000.00","9,488,000.00","4,827,000.00","917,032.00","4,937,000.00",NA,"2,488,903.00","4,208,300.00","25,079,000.00",NA,NA,"2,571,117.00",NA,NA,"43,606,000.00","9,971,800.00","336,902.00","7,323,000.00",NA,"22,915,459.00","2,470,200.00",NA,"3,568,453.00","-2,484,000.00",NA,NA,NA,NA,"2,764,000.00","9,765,656.00","4,018,000.00",NA,"25,267,000.00","4,544,000.00","1,746,000.00",NA,"1,731,012.00","-8,442,000.00","3,531,000.00","2,254,948.00",NA,"2,688,420.00",NA,"-4,999,100.00",NA,"11,061,000.00","1,579,777.00","351,000.00","-1,193,668.00","1,290,375.00","2,930,000.00","1,829,000.00","3,315,000.00",NA,"12,640,000.00",NA,"15,486,000.00",NA,"-3,776,000.00","5,059,000.00",NA,"28,274,000.00","10,427,000.00","997,422.00",NA,"1,249,200.00","1,315,600.00","2,446,300.00",NA,"14,406,000.00",NA,"7,194,684.00","3,541,082.00","74,087,000.00","1,653,000.00","-762,658.00","20,881,000.00","10,789,000.00","3,176,878.00","3,421,006.00","1,469,895.00","1,003,071.00",NA,"4,670,000.00",NA,"15,372,000.00","41,102,000.00","-15,493,000.00","37,147,000.00","821,400.00","117,024,000.00","9,639,000.00","1,559,997.00",NA,NA,"915,000.00","9,245,900.00",NA,"96,502,000.00",NA,NA,NA,NA,NA,NA,"2,628,191.00","17,930,000.00",NA,"181,952,000.00",NA,"10,141,000.00",NA,"27,957.45"
Current Ratio (x),274464,1.44,0.53,0.34,NA,NA,NA,0.37,0.62,1.22,NA,0.87,1.61,1.39,NA,NA,NA,NA,1.68,1.78,NA,NA,1.31,1.27,0.88,NA,0.90,1.08,NA,NA,0.92,2.19,1.47,1.32,1.65,1.42,NA,NA,NA,1.13,NA,NA,0.57,1.41,0.75,0.72,0.86,0.47,0.53,NA,1.95,1.20,0.95,NA,NA,2.01,NA,NA,1.21,0.96,2.48,1.22,NA,1.08,1.29,NA,1.73,0.71,NA,NA,NA,NA,0.73,1.44,0.34,NA,0.39,1.37,1.08,NA,26.58,1.11,1.17,1.51,NA,1.57,NA,1.35,NA,1.14,2.29,1.23,1.25,1.08,12.66,1.11,1.26,NA,0.68,NA,1.20,NA,0.65,2.07,NA,0.97,1.01,2.72,NA,1.20,0.61,0.85,NA,2.13,NA,1.05,0.20,1.10,1.07,0.53,0.86,1.25,2.58,2.12,1.24,4.94,NA,0.86,NA,0.39,NA,1.17,0.40,0.68,1.64,0.72,1.78,NA,NA,1.28,17.70,NA,0.73,NA,NA,NA,NA,NA,NA,1.43,0.59,NA,NA,NA,1.35,NA,3.05
Quick Ratio (x),274465,0.85,0.31,0.25,NA,NA,NA,0.23,0.29,0.47,NA,0.19,1.06,0.51,NA,NA,NA,NA,1.57,1.54,NA,NA,1.16,0.44,0.53,NA,0.70,0.85,NA,NA,0.26,0.99,0.51,0.20,0.73,1.15,NA,NA,NA,1.13,NA,NA,0.23,0.76,0.25,0.22,0.27,0.14,0.21,NA,1.64,1.01,0.43,NA,NA,1.14,NA,NA,0.99,0.64,0.92,0.79,NA,0.60,0.56,NA,1.16,0.34,NA,NA,NA,NA,0.60,1.44,0.26,NA,0.19,0.07,0.76,NA,0.82,0.11,0.11,1.51,NA,1.42,NA,1.04,NA,0.72,1.41,0.87,1.15,0.90,12.27,0.58,0.52,NA,0.55,NA,1.03,NA,0.50,1.30,NA,0.77,0.57,0.78,NA,0.27,0.14,0.29,NA,0.42,NA,0.46,0.11,0.68,0.95,0.30,0.30,1.14,0.75,1.14,0.65,1.95,NA,0.59,NA,0.24,NA,0.28,0.40,0.35,1.54,0.18,0.60,NA,NA,0.55,4.43,NA,0.56,NA,NA,NA,NA,NA,NA,0.58,0.31,NA,NA,NA,0.92,NA,3.05
Total Debt/Equity (%),274466,215.10,142.17,90.36,NA,NA,NA,NM,147.86,58,NA,116,74,NM,NA,NA,NA,NA,198,192,NA,NA,94,73,164,NA,541,8,NA,NA,110,39,61,110,73,151,NA,NA,NA,146,NA,NA,172,73,154,114,99,99,83,NA,122,135,170,NA,NA,86,NA,NA,332,32,126,145,NA,77,165,NA,140,NM,NA,NA,NA,NA,273,247,60,NA,57,167,246,NA,61,NM,170,90,NA,137,NA,NM,NA,71,68,"1,858",NM,88,"2,116",315,184,NA,124,NA,113,NA,NM,64,NA,181,101,140,NA,175,80,105,NA,16,NA,330,594,50,159,NM,145,86,110,156,803,75,NA,112,NA,52,NA,NM,204,116,545,211,71,NA,NA,59,38,NA,189,NA,NA,NA,NA,NA,NA,115,112,NA,NA,NA,57,NA,896
Total Debt / Total Capital (%),274467,68.26,58.71,47.47,NA,NA,NA,116.13,59.65,37,NA,54,42,178,NA,NA,NA,NA,66,66,NA,NA,49,42,62,NA,84,7,NA,NA,52,28,38,52,42,60,NA,NA,NA,59,NA,NA,63,42,61,53,50,50,45,NA,55,57,63,NA,NA,46,NA,NA,77,24,56,59,NA,43,62,NA,58,126,NA,NA,NA,NA,73,71,37,NA,36,63,71,NA,38,133,63,47,NA,58,NA,111,NA,42,40,95,134,47,95,76,65,NA,55,NA,53,NA,104,39,NA,64,50,58,NA,64,44,51,NA,13,NA,77,86,33,61,144,59,46,52,61,89,43,NA,53,NA,34,NA,142,67,54,85,68,42,NA,NA,37,28,NA,65,NA,NA,NA,NA,NA,NA,54,53,NA,NA,NA,36,NA,90
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
