SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023,FQ22023
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,6/30/2023,6/30/2023,6/30/2023,,,6/30/2023,6/30/2023,6/30/2023,6/30/2023,,6/30/2023,7/1/2023,7/30/2022,,,,,6/30/2023,6/30/2023,,,6/30/2023,6/30/2023,6/30/2023,,6/30/2023,6/30/2023,6/30/2023,,11/27/2022,6/30/2023,6/30/2023,6/30/2023,6/30/2023,6/30/2023,,,,6/30/2023,,,6/30/2023,6/30/2023,6/30/2023,6/30/2023,6/30/2023,6/30/2023,6/30/2023,,6/30/2023,6/30/2023,6/30/2023,,,6/30/2023,,,6/30/2023,6/30/2023,7/1/2023,6/30/2023,,6/30/2023,7/2/2023,,6/30/2023,4/30/2023,,,,,6/30/2023,5/31/2023,6/30/2023,,6/30/2023,7/30/2022,9/30/2022,,6/30/2023,7/29/2022,7/30/2022,6/30/2023,,6/30/2023,,6/30/2023,,6/30/2023,4/1/2023,7/1/2023,6/30/2023,6/30/2023,6/30/2023,6/30/2023,6/30/2023,,6/30/2023,,6/30/2023,,11/30/2022,6/30/2023,,6/30/2023,6/30/2023,7/2/2023,,6/30/2023,6/30/2023,6/30/2023,,6/30/2023,,6/30/2023,6/30/2023,6/30/2023,7/29/2022,6/25/2023,6/30/2023,6/30/2023,6/30/2023,6/30/2023,12/31/2022,6/30/2023,,6/30/2023,,6/30/2023,6/30/2023,6/30/2023,6/30/2023,6/30/2023,6/30/2023,8/13/2022,5/5/2023,,,6/30/2023,6/30/2023,,6/30/2023,,,,,,,9/30/2022,6/30/2023,,6/30/2023,,6/30/2023,,6/30/2023
Financial Filing Date,309159,7/26/2024,7/30/2024,7/30/2024,,,8/5/2024,7/31/2024,8/5/2024,8/2/2024,,7/30/2024,8/1/2024,9/1/2023,,,,,8/5/2024,8/8/2024,,,8/8/2024,7/30/2024,7/30/2024,,7/24/2024,7/25/2024,8/2/2024,,1/4/2024,8/10/2023,8/6/2024,8/1/2024,8/2/2024,8/5/2024,,,,12/23/2024,,,8/1/2024,10/24/2024,8/6/2024,8/6/2024,8/6/2024,8/22/2024,8/6/2024,,8/1/2024,7/22/2024,8/1/2024,,,7/18/2024,,,7/25/2024,7/24/2024,8/8/2024,7/31/2024,,8/7/2024,7/31/2024,,11/4/2024,5/30/2024,,,,,7/31/2024,7/9/2024,8/12/2023,,7/25/2024,8/31/2023,11/8/2023,,7/30/2024,11/29/2023,8/25/2023,8/9/2024,,8/1/2024,,8/8/2024,,8/5/2024,4/26/2024,8/1/2024,7/23/2024,8/6/2024,7/24/2024,11/7/2024,7/26/2024,,7/26/2024,,7/25/2024,,12/12/2023,8/6/2024,,7/25/2024,8/5/2024,8/8/2024,,7/23/2024,8/28/2024,7/30/2024,,8/6/2024,,11/5/2024,7/25/2024,7/25/2024,9/7/2023,8/8/2024,7/25/2024,7/29/2024,8/6/2024,8/6/2024,1/31/2024,8/2/2024,,8/9/2024,,7/31/2024,8/2/2024,7/31/2024,11/8/2024,8/1/2024,11/4/2024,9/15/2023,6/6/2024,,,7/26/2024,7/31/2024,,7/25/2024,,,,,,,11/9/2023,8/1/2024,,8/1/2024,,7/26/2024,,9/24/2024
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.270793
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.251908
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"4,314,000",100,NA,NA,NA,"10,007,000","874,000","7,000","199,601",NA,"6,800","240,382","452,000",NA,NA,NA,NA,"1,581,575","5,140,000",NA,NA,"28,605","15,000","745,000",NA,"374,000","748,000","868,543,000",NA,"39,700",NA,"269,000","4,789,000","1,538,000","1,034,000",NA,NA,NA,"8,609,000",NA,NA,"268,000","285,777","507,000","37,000","11,000",797,"8,000",NA,"101,070","164,100","399,000",NA,NA,"109,694",NA,NA,"29,754,000","712,800","132,107","1,936,000",NA,"1,919,591","211,700",NA,"389,405","1,940,000",NA,NA,NA,NA,"296,000","42,672,813",NA,NA,"278,000","222,000","1,888,000",NA,"43,334","2,148,000","300,000","70,886",NA,"119,905",NA,"1,639,200",NA,"454,000","107,012","710,000","788,444","17,411","1,370,000","567,000","317,000",NA,"556,000",NA,"3,384,000",NA,"7,350,000","968,000",NA,"545,000","586,000","33,911",NA,"347,100",300,"4,600",NA,"5,000",NA,"1,424,919","726,424","5,391,000","99,000","49,620","68,000","12,179,000","192,952","221,367","500,340","48,255",NA,"5,000",NA,"5,836,000","179,699,000","13,741,000","74,084,000","33,400","968,570,000","1,102,000","151,304",NA,NA,"551,000","1,761,100",NA,"4,920,000",NA,NA,NA,NA,NA,NA,"149,172","37,000",NA,"315,614,000",NA,"1,095,000",NA,"31,643"
