SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"10,130,000","12,008,000","13,712,000",NA,NA,"11,615,000","1,593,000","31,735,000","10,671,421",NA,"12,577,300","579,451","2,117,000",NA,NA,NA,NA,"18,665,194",NA,NA,NA,"45,692","10,648,000","27,617,000",NA,"2,095,400","199,000","27,119,000",NA,"2,704,600","835,638","20,074,000",NA,"15,137,000","34,782,000",NA,NA,NA,"1,031,000",NA,NA,"64,625,000","1,011,707","113,961,000","20,143,000","12,207,000","2,162,071","9,278,000",NA,"4,991,528","1,654,500","70,117,000",NA,NA,"4,479,516",NA,NA,"38,680,000","580,600","225,657","2,327,000",NA,"2,023,463","509,100",NA,"7,437,320","4,006,000",NA,NA,NA,NA,"10,814,000","904,064","6,044,000","9,508,700","3,372,000","10,014,000","3,824,000",NA,"40,673","23,021,000","8,337,000",NA,NA,"2,006,833",NA,"36,402,700",NA,"20,982,000","757,992","1,399,000","184,435","2,164,872","69,000","1,034,000","1,784,000",NA,"32,240,000",NA,"10,617,000",NA,"12,280,000","3,957,000",NA,"78,768,000","24,695,000","519,821",NA,"1,170,000","2,632,100","5,970,400",NA,"8,338,000",NA,"115,437","27,987,542","16,993,000","284,000","1,710,526","55,501,000","19,121,000","7,128,326","8,234,067","5,167,272","2,272,776","4,063,000","9,533,000",NA,"971,000","3,248,000","10,493,000","3,716,000","1,919,200","18,609,000","30,969,000","658,720",NA,NA,"60,000","456,100",NA,"132,934,000",NA,NA,NA,NA,NA,NA,"4,209,868","39,334,000",NA,"17,831,000",NA,"14,154,000",NA,NA
Total Assets,268552,"46,886,000","13,272,200","14,454,700",NA,NA,"196,165,000","36,826,000","38,064,000","12,420,013",NA,"15,256,400","20,276,532","4,860,000",NA,NA,NA,NA,"24,377,378","230,002,000",NA,NA,"1,002,221","14,372,000","37,752,000",NA,"6,273,500","30,474,000","2,455,113,000",NA,"22,219,500","1,203,068","46,175,000","366,691,000","28,822,000","41,478,000",NA,NA,NA,"133,061,000",NA,NA,"105,325,000","10,804,645","178,833,000","25,660,000","14,419,000","2,433,008","11,693,000",NA,"5,756,615","11,583,900","96,925,000",NA,NA,"4,960,133",NA,NA,"256,800,000","15,804,800","1,085,995","32,637,000",NA,"48,638,644","8,923,700",NA,"9,580,132","36,148,000",NA,NA,NA,NA,"12,337,000","52,032,943","8,694,000","10,591,100","51,660,000","15,253,000","12,304,000",NA,"3,100,923","49,725,000","16,972,000","4,293,255",NA,"9,055,336",NA,"52,014,400",NA,"25,087,000","3,658,045","12,353,000","5,058,700","2,533,230","66,913,000","11,442,000","13,276,000",NA,"39,169,000",NA,"44,244,000",NA,"130,309,000","10,840,000",NA,"119,382,000","29,119,000","2,816,830",NA,"5,289,900","3,271,600","7,164,600",NA,"19,470,000",NA,"31,818,651","32,870,487","161,636,000","5,716,000","2,209,741","78,603,000","35,546,000","9,249,463","11,810,173","22,210,943","4,436,532","9,311,000","12,273,000",NA,"99,631,000","425,112,000","136,347,000","535,552,000","2,446,500","1,538,349,000","49,091,000","3,654,946",NA,NA,"3,736,000","62,423,800",NA,"377,716,000",NA,NA,NA,NA,NA,NA,"6,483,355","52,618,000",NA,"1,886,400,000",NA,"16,580,000",NA,"271,180"
Net Debt,268593,"12,971,000","6,066,900","5,479,000",NA,NA,"12,235,000","21,474,000","15,519,000","4,146,094",NA,"5,773,500","3,657,766","5,387,000",NA,NA,NA,NA,"14,245,486","5,868,000",NA,NA,"435,345","4,428,000","15,845,000",NA,"4,248,800","-60,000","-272,745,000",NA,"8,974,800","193,483","6,393,000","14,194,000","6,651,000","17,034,000",NA,NA,NA,"8,021,000",NA,NA,"46,561,000","3,203,503","76,515,000","10,744,000","4,751,000","863,497","4,055,000",NA,"2,952,403","5,570,500","41,262,000",NA,NA,"2,013,204",NA,NA,"112,285,000","2,421,600","294,372","8,256,000",NA,"16,246,510","3,740,300",NA,"4,413,054","10,388,000",NA,NA,NA,NA,"7,180,000","-16,886,622","2,277,000","3,680,000","13,801,000","6,557,000","2,499,000",NA,"1,008,540","29,619,000","5,352,000","1,962,376",NA,"3,357,591",NA,"46,291,600",NA,"7,904,000","883,805","5,499,000","3,587,545","1,162,139","62,725,000","5,299,000","6,086,000",NA,"14,970,000",NA,"13,812,000",NA,"80,357,000","2,483,000",NA,"49,688,000","9,639,000","1,478,225",NA,"1,890,900","1,044,000","2,618,800",NA,"2,233,000",NA,"20,713,216","20,821,155","30,217,000","2,557,000","2,483,620","29,452,000","-2,298,000","3,884,878","5,004,922","11,111,514","760,208","2,986,000","5,163,000",NA,"7,793,000","-84,557,000","40,648,000","-4,443,000","933,600","-338,338,000","19,369,000","993,620",NA,NA,"-95,000","3,356,700",NA,"183,850,000",NA,NA,NA,NA,NA,NA,"2,775,521","18,744,000",NA,"-34,333,000",NA,"4,277,000",NA,"213,034"
Total Debt,274444,"16,940,000","6,067,000","5,479,000",NA,NA,"22,065,000","25,387,000","15,529,000","4,401,653",NA,"5,780,600","3,863,320","6,038,000",NA,NA,NA,NA,"15,164,438","9,553,000",NA,NA,"454,183","4,442,000","16,520,000",NA,"4,422,700","895,000","634,036,000",NA,"9,042,200","193,725","6,629,000","14,659,000","7,797,000","18,503,000",NA,NA,NA,"18,163,000",NA,NA,"48,459,000","3,475,929","77,059,000","10,770,000","4,762,000","865,267","4,081,000",NA,"3,049,749","5,803,000","41,784,000",NA,NA,"2,106,186",NA,NA,"140,908,000","3,094,400","421,483","10,580,000",NA,"18,248,181","4,113,100",NA,"4,830,800","12,157,000",NA,NA,NA,NA,"7,182,000","23,719,584","2,277,000","3,846,000","14,005,000","7,203,000","4,370,000",NA,"1,051,506","33,662,000","6,024,000","2,002,128",NA,"3,499,151",NA,"49,999,700",NA,"7,962,000","1,026,874","6,521,000","4,664,282","1,176,014","63,368,000","5,851,000","6,357,000",NA,"15,522,000",NA,"16,641,000",NA,"91,577,000","3,240,000",NA,"50,559,000","9,658,000","1,509,008",NA,"2,215,200","1,044,200","2,622,600",NA,"2,237,000",NA,"22,191,817","22,048,026","36,110,000","2,640,000","2,517,548","30,142,000","9,376,000","3,947,977","5,087,007","11,549,184","1,020,211","4,353,000","5,167,000",NA,"8,455,000","85,220,000","55,391,000","76,854,000","943,000","621,785,000","20,751,000","1,167,657",NA,NA,"843,000","3,479,800",NA,"186,201,000",NA,NA,NA,NA,NA,NA,"2,997,041","18,776,000",NA,"275,751,000",NA,"5,074,000",NA,"243,839"
Total Common Equity,268583,"15,298,000","4,051,300","6,005,700",NA,NA,"11,054,000","-3,876,000","10,607,000","7,296,064",NA,"5,086,900","5,530,532","-2,659,000",NA,NA,NA,NA,"5,431,722","5,754,000",NA,NA,"384,987","5,370,000","9,566,000",NA,"704,200","10,741,000","188,050,000",NA,"8,504,300","489,250","10,859,000","11,555,000","11,925,000","12,326,000",NA,NA,NA,"13,259,000",NA,NA,"26,573,000","4,460,561","47,298,000","9,231,000","4,734,000","904,368","4,866,000",NA,"2,531,014","4,064,000","25,066,000",NA,NA,"2,530,445",NA,NA,"42,366,000","9,869,900","369,132","6,690,000",NA,"22,083,278","2,730,800",NA,"3,516,758","-3,730,000",NA,NA,NA,NA,"2,714,000","9,755,244","3,988,000","4,421,900","25,103,000","4,456,000","2,117,000",NA,"1,674,229","-6,877,000","3,278,000","2,172,922",NA,"2,646,304",NA,"-5,776,100",NA,"10,828,000","1,525,181","234,000","-901,364","1,267,489","2,958,000","1,489,000","3,333,000",NA,"12,727,000",NA,"15,136,000",NA,"-5,875,000","4,791,000",NA,"27,740,000","10,319,000","969,822",NA,"1,152,100","1,316,400","2,397,800",NA,"14,008,000",NA,"5,636,952","2,851,618","72,795,000","1,640,000","-793,232","18,862,000","10,302,000","2,666,130","3,296,156","1,115,341","977,312","-516,000","4,517,000",NA,"15,524,000","35,796,000","-15,508,000","27,156,000","736,600","106,806,000","9,411,000","1,444,171",NA,NA,"825,000","9,247,400",NA,"92,883,000",NA,NA,NA,NA,NA,NA,"2,652,859","17,593,000",NA,"162,149,000",NA,"10,076,000",NA,"27,217"
Total Minority Interest,268584,"53,000",NA,NA,NA,NA,NA,"50,000","129,000",NA,NA,NA,"69,648.00","1,000.00",NA,NA,NA,NA,"2,626,718.00","65,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"724,000.00",NA,"72,400.00",340.00,"358,000.00","910,000.00","282,000.00","8,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"2,691,000.00",NA,NA,NA,NA,NA,NA,"18,200.00",NA,NA,NA,"6,801.00",NA,NA,"-169,000.00","5,800.00","-2,843.00","207,000.00",NA,"799,551.00","27,900.00",NA,"65,765.00",NA,NA,NA,NA,NA,NA,"57,987.00",NA,"331,200.00","-1,000.00",NA,"95,000.00",NA,NA,NA,NA,NA,NA,"1,328.00",NA,NA,NA,NA,NA,"15,000.00",NA,"21,107.00",NA,"-1,000.00",NA,NA,NA,NA,NA,NA,"426,000.00","46,000.00",NA,NA,NA,NA,NA,"2,700.00",NA,NA,NA,NA,NA,"60,337.00","173,803.00","1,590,000.00","10,000.00",-8.00,NA,NA,NA,"127,026.00","31,208.00",NA,"125,000.00",NA,NA,"-121,000.00","168,000.00","24,000.00",NA,NA,"621,000.00","-18,000.00",NA,NA,NA,NA,NA,NA,"1,336,000.00",NA,NA,NA,NA,NA,NA,"49,253.00",NA,NA,"2,052,000.00",NA,NA,NA,NA
Total Equity,268585,"15,351,000","4,051,300.00","6,005,700",NA,NA,"13,378,000","-3,826,000","10,736,000","7,517,904.00",NA,"5,086,900.00","5,600,180.00","-2,658,000.00",NA,NA,NA,NA,"8,058,440.00","5,819,000.00",NA,NA,"384,987.00","5,370,000.00","10,356,000.00",NA,"704,200.00","10,741,000.00","209,019,000.00",NA,"8,576,700.00","489,590.00","11,217,000.00","12,465,000.00","12,207,000.00","12,334,000.00",NA,NA,NA,"14,315,000.00",NA,NA,"28,356,000.00","4,460,561.00","51,951,000.00","9,231,000.00","4,734,000.00","904,368.00","4,866,000.00",NA,"2,537,195.00","4,082,200.00","25,066,000.00",NA,NA,"2,537,246.00",NA,NA,"42,197,000.00","9,875,700.00","366,289.00","6,897,000.00",NA,"22,882,829.00","2,758,700.00",NA,"3,582,523.00","-3,730,000.00",NA,NA,NA,NA,"2,714,000.00","9,813,231.00","3,988,000.00","4,753,100.00","25,102,000.00","4,456,000.00","2,212,000.00",NA,"1,674,229.00","-6,877,000.00","3,278,000.00","2,172,922.00",NA,"2,647,632.00",NA,"-5,776,100.00",NA,"10,828,000.00","1,525,181.00","249,000.00","-901,364.00","1,288,596.00","2,958,000.00","1,763,000.00","3,333,000.00",NA,"12,727,000.00",NA,"15,136,000.00",NA,"-5,449,000.00","4,837,000.00",NA,"27,998,000.00","10,321,000.00","969,822.00",NA,"1,154,800.00","1,316,400.00","2,397,800.00",NA,"14,008,000.00",NA,"6,954,543.00","3,025,421.00","74,385,000.00","1,650,000.00","-793,240.00","20,807,000.00","10,302,000.00","2,666,130.00","3,423,182.00","1,146,549.00","977,312.00","-391,000.00","4,517,000.00",NA,"17,373,000.00","40,802,000.00","-15,484,000.00","36,347,000.00","736,600.00","118,130,000.00","9,393,000.00","1,444,171.00",NA,NA,"825,000.00","9,247,400.00",NA,"94,219,000.00",NA,NA,NA,NA,NA,NA,"2,702,112.00","17,593,000.00",NA,"183,220,000.00",NA,"10,076,000.00",NA,"27,216.94"
Current Ratio (x),274464,1.42,0.34,0.44,NA,NA,NA,0.78,0.75,1.47,NA,0.96,1.62,1.41,NA,NA,NA,NA,1.37,1.96,NA,NA,1.35,0.88,1.00,NA,0.54,1.14,NA,NA,0.78,1.86,1.39,1.11,1.44,1.45,NA,NA,NA,1.14,NA,NA,0.75,1.32,0.77,0.79,0.85,0.49,0.62,NA,1.91,0.77,0.96,NA,NA,2.07,NA,NA,1.20,0.93,2.64,1.17,NA,0.92,1.34,NA,1.81,0.69,NA,NA,NA,NA,0.28,1.48,0.74,0.75,0.39,1.40,1.17,NA,24.50,1.17,1.12,0.97,NA,1.54,NA,1.47,NA,1.12,2.18,1.22,1.50,0.41,10.96,1.09,1.23,NA,0.75,NA,1.22,NA,0.60,1.86,NA,0.85,0.94,2.87,NA,1.21,0.70,0.79,NA,1.79,NA,1.07,0.26,1.13,0.97,0.45,0.96,1.26,1.46,1.40,1.20,1.62,0.92,0.85,NA,0.43,NA,1.16,0.39,0.53,1.64,0.76,1.78,NA,NA,1.18,17.53,NA,0.75,NA,NA,NA,NA,NA,NA,1.55,0.68,NA,NA,NA,1.24,NA,3.05
Quick Ratio (x),274465,0.82,0.18,0.16,NA,NA,NA,0.63,0.36,0.64,NA,0.23,1.05,0.66,NA,NA,NA,NA,1.23,1.74,NA,NA,1.24,0.59,0.62,NA,0.36,0.90,NA,NA,0.21,1.18,0.63,0.16,0.59,1.23,NA,NA,NA,1.14,NA,NA,0.37,0.69,0.26,0.24,0.27,0.16,0.23,NA,1.51,0.64,0.48,NA,NA,1.07,NA,NA,0.99,0.61,0.97,0.77,NA,0.50,0.56,NA,1.21,0.33,NA,NA,NA,NA,0.16,1.48,0.66,0.52,0.20,0.19,0.83,NA,0.54,0.19,0.16,0.97,NA,1.38,NA,1.25,NA,0.69,1.37,0.86,1.42,0.30,10.59,0.55,0.45,NA,0.61,NA,1.03,NA,0.49,1.11,NA,0.66,0.42,0.86,NA,0.28,0.30,0.22,NA,0.41,NA,0.42,0.17,0.72,0.87,0.22,0.39,1.14,0.38,0.65,0.65,1.07,0.44,0.55,NA,0.27,NA,0.29,0.39,0.26,1.54,0.20,0.56,NA,NA,0.53,3.97,NA,0.54,NA,NA,NA,NA,NA,NA,0.82,0.29,NA,NA,NA,0.77,NA,3.05
Total Debt/Equity (%),274466,110,150,91,NA,NA,NA,NM,145,59,NA,114,69,NM,NA,NA,NA,NA,188,164,NA,NA,118,83,160,NA,628,8,NA,NA,105,40,59,118,64,150,NA,NA,NA,127,NA,NA,171,78,148,117,101,96,84,NA,120,142,167,NA,NA,83,NA,NA,334,31,115,153,NA,80,149,NA,135,NM,NA,NA,NA,NA,265,242,57,81,56,162,198,NA,63,NM,184,92,NA,132,NA,NM,NA,74,67,"2,619",NM,91,"2,142",332,191,NA,122,NA,110,NA,NM,67,NA,181,94,156,NA,192,79,109,NA,16,NA,319,729,49,160,NM,145,91,148,149,"1,007",104,NM,114,NA,49,NA,NM,211,128,526,221,81,NA,NA,102,38,NA,198,NA,NA,NA,NA,NA,NA,111,107,NA,NA,NA,50,NA,896
Total Debt / Total Capital (%),274467,52,60,48,NA,NA,NA,118,59,37,NA,53,41,179,NA,NA,NA,NA,65,62,NA,NA,54,45,61,NA,86,8,NA,NA,51,28,37,54,39,60,NA,NA,NA,56,NA,NA,63,44,60,54,50,49,46,NA,55,59,63,NA,NA,45,NA,NA,77,24,54,61,NA,44,60,NA,57,144,NA,NA,NA,NA,73,71,36,45,36,62,66,NA,39,126,65,48,NA,57,NA,113,NA,42,40,96,124,48,96,77,66,NA,55,NA,52,NA,106,40,NA,64,48,61,NA,66,44,52,NA,14,NA,76,88,33,62,146,59,48,60,60,91,51,110,53,NA,33,NA,139,68,56,84,69,45,NA,NA,51,27,NA,66,NA,NA,NA,NA,NA,NA,53,52,NA,NA,NA,33,NA,90
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
