SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,3/31/2023,3/31/2023,3/31/2023,,,3/31/2023,3/31/2023,3/31/2023,3/31/2023,,3/31/2023,4/1/2023,4/30/2022,,,,,3/31/2023,3/31/2023,,,3/31/2023,3/31/2023,3/31/2023,,3/31/2023,3/31/2023,3/31/2023,,8/28/2022,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,,,,3/31/2023,,,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,,3/31/2023,3/31/2023,3/31/2023,,,3/31/2023,,,3/31/2023,3/31/2023,4/1/2023,3/31/2023,,3/31/2023,4/2/2023,,3/31/2023,1/31/2023,,,,,3/31/2023,2/28/2023,3/31/2023,3/31/2023,3/31/2023,4/30/2022,6/30/2022,,3/31/2023,4/29/2022,4/30/2022,3/31/2023,,3/31/2023,,3/31/2023,,3/31/2023,12/31/2022,4/1/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,,3/31/2023,,3/31/2023,,8/31/2022,3/31/2023,,3/31/2023,3/31/2023,4/2/2023,,3/31/2023,3/31/2023,3/31/2023,,3/31/2023,,3/31/2023,3/31/2023,3/31/2023,4/29/2022,3/26/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,10/1/2022,3/31/2023,3/31/2023,3/31/2023,,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,5/21/2022,2/3/2023,,,3/31/2023,3/31/2023,,3/31/2023,,,,,,,6/30/2022,3/31/2023,,3/31/2023,,3/31/2023,,3/31/2023
Financial Filing Date,309159,7/26/2024,4/30/2024,4/30/2024,,,5/6/2024,4/25/2024,5/6/2024,8/2/2024,,4/30/2024,5/2/2024,6/2/2023,,,,,5/10/2024,8/8/2024,,,5/9/2024,4/30/2024,4/30/2024,,4/24/2024,4/25/2024,5/3/2024,,10/5/2023,4/15/2023,5/9/2024,5/3/2024,5/2/2024,8/5/2024,,,,12/23/2024,,,5/2/2024,4/25/2024,5/7/2024,5/7/2024,5/7/2024,5/23/2024,5/7/2024,,5/2/2024,4/22/2024,5/2/2024,,,4/19/2024,,,4/25/2024,4/24/2024,5/9/2024,4/30/2024,,5/1/2024,5/1/2024,,5/8/2024,2/28/2024,,,,,5/1/2024,4/5/2024,5/13/2023,5/3/2023,4/25/2024,6/1/2023,8/8/2023,,4/30/2024,6/1/2023,6/6/2023,5/10/2024,,5/2/2024,,5/8/2024,,5/6/2024,1/26/2024,5/2/2024,4/23/2024,5/6/2024,4/24/2024,8/6/2024,4/26/2024,,4/24/2024,,4/25/2024,,9/12/2023,4/24/2024,,4/25/2024,5/6/2024,5/9/2024,,4/23/2024,5/30/2024,4/30/2024,,4/30/2024,,8/12/2024,4/25/2024,4/23/2024,6/5/2023,5/9/2024,4/30/2024,4/26/2024,5/8/2024,5/8/2024,11/1/2023,5/2/2024,5/16/2023,5/13/2024,,5/1/2024,5/3/2024,4/24/2024,8/8/2024,5/2/2024,8/2/2024,6/23/2023,3/7/2024,,,4/26/2024,5/1/2024,,4/25/2024,,,,,,,8/9/2023,5/2/2024,,5/2/2024,,4/26/2024,,9/24/2024
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.237134
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.215052
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"3,969,000",100,NA,NA,NA,"9,830,000","3,913,000","10,000","255,559",NA,"7,100","205,554","651,000",NA,NA,NA,NA,"918,952","5,478,000",NA,NA,"18,838","14,000","675,000",NA,"173,900","955,000","906,781,000",NA,"67,400",242,"236,000","4,416,000","1,146,000","1,469,000",NA,NA,NA,"10,142,000",NA,NA,"1,898,000","272,426","544,000","26,000","11,000","1,770","26,000",NA,"97,346","232,500","522,000",NA,NA,"92,982",NA,NA,"28,623,000","672,800","127,111","2,324,000",NA,"2,001,671","372,800",NA,"417,746","1,769,000",NA,NA,NA,NA,"2,000","40,606,206",NA,"166,000","204,000","646,000","1,871,000",NA,"42,966","4,043,000","672,000","39,752",NA,"141,560",NA,"3,708,100",NA,"58,000","143,069","1,022,000","1,076,737","13,875","643,000","552,000","271,000",NA,"552,000",NA,"2,495,000",NA,"11,220,000","757,000",NA,"871,000","19,000","30,783",NA,"324,300",200,"3,800",NA,"4,000",NA,"1,478,601","1,226,871","5,893,000","56,000","33,928","690,000","11,674,000","63,099","82,085","437,670","260,003","1,367,000","4,000",NA,"7,386,000","169,777,000","14,743,000","81,297,000","9,400","960,123,000","1,382,000","174,037",NA,NA,"796,000","1,445,900",NA,"2,351,000",NA,NA,NA,NA,NA,NA,"221,520","32,000",NA,"310,084,000",NA,"797,000",NA,"30,805"
