SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"10,287,000","10,709,000","11,937,700",NA,NA,"12,194,000","1,553,000","29,261,000","9,659,730",NA,"11,871,200","950,814","1,985,000",NA,NA,NA,NA,"17,454,155",NA,NA,NA,"57,605","9,120,000","23,506,000",NA,"994,900","205,000","24,328,000",NA,"2,755,800","788,616","17,815,000",NA,"16,545,000","33,516,000",NA,NA,NA,"425,000",NA,"6,595,000","60,280,000","1,126,332","105,290,000","18,348,000","11,813,000","2,028,027","8,644,000",NA,"4,936,261","1,315,900","64,829,000",NA,NA,"3,803,075",NA,NA,"39,670,000","571,100","267,364","2,235,000",NA,"2,181,668","421,100","6,211,609","7,090,266","3,738,000",NA,NA,NA,NA,"9,961,000","911,230","5,724,000","9,197,000","3,167,000","9,087,000","4,284,000",NA,"22,044","22,987,000","8,818,000",NA,NA,"1,696,497",NA,"38,272,600",NA,"20,302,000","706,133","1,424,000","211,299","2,317,880","95,000","1,122,000","1,762,000",NA,"32,064,000",NA,"9,549,000",NA,"7,049,000","4,126,000",NA,"71,060,000","22,936,000","477,676",NA,"1,018,200","2,519,100","4,871,700",NA,"8,249,000",NA,"173,748","26,450,077","16,930,000","344,000","1,727,037","52,495,000","16,432,000","6,549,698","8,760,554","5,035,226","2,235,764",NA,"10,626,000",NA,"1,253,000","3,431,000","12,355,000","4,284,000","1,679,200","20,386,000","29,182,000","554,721",NA,NA,"66,000","511,800",NA,"127,579,000",NA,NA,NA,NA,NA,NA,"3,390,939","34,912,000",NA,"18,558,000",NA,"14,098,000",NA,NA
Total Assets,268552,"47,072,000","11,836,700","12,524,400",NA,NA,"182,114,000","39,523,000","35,735,000","10,962,433",NA,"14,088,900","19,535,540","11,571,000",NA,NA,NA,NA,"22,103,814","259,840,000",NA,NA,"1,007,205","16,153,000","37,679,000",NA,"2,981,600","31,387,000","2,291,413,000",NA,"22,195,600","1,149,992","48,086,000","416,212,000","30,154,000","40,531,000",NA,NA,NA,"110,242,000",NA,"117,841,000","99,590,000","10,403,627","169,587,000","22,733,000","14,488,000","2,311,907","10,774,000",NA,"5,801,150","11,040,900","133,013,000",NA,NA,"4,188,333",NA,NA,"257,035,000","16,465,500","1,368,719","26,308,000",NA,"45,279,713","10,037,800","6,889,689","9,581,694","38,610,000",NA,NA,NA,NA,"11,445,000","56,107,311","8,416,000","10,428,100","50,598,000","15,337,000","13,213,000",NA,"2,351,865","46,735,000","17,706,000","3,690,290",NA,"7,121,393",NA,"53,854,300",NA,"24,531,000","3,433,169","12,189,000","5,506,703","2,838,876","80,605,000","11,641,000","14,269,000",NA,"38,493,000",NA,"42,579,000",NA,"131,107,000","10,015,000",NA,"103,177,000","26,456,000","2,650,731",NA,"5,047,800","3,176,100","6,399,000",NA,"18,370,000",NA,"39,742,190","32,258,355","161,404,000","5,723,000","2,313,020","74,538,000","36,320,000","7,950,263","12,765,257","21,413,539","4,372,624",NA,"12,196,000",NA,"99,440,000","444,438,000","138,552,000","667,270,000","2,162,600","1,463,988,000","48,662,000","2,936,140",NA,NA,"3,309,000","70,115,600",NA,"366,596,000",NA,NA,NA,NA,NA,NA,"5,349,467","47,932,000",NA,"1,948,068,000",NA,"17,652,000",NA,"286,075"
Net Debt,268593,"13,552,000","5,313,700","4,470,100",NA,NA,"12,197,000","23,500,000","13,596,000","3,851,003",NA,"5,238,900","2,693,602","3,913,000",NA,NA,NA,NA,"12,892,899","5,082,000",NA,NA,"461,555","5,543,000","14,429,000",NA,"1,676,700","-242,000","-241,752,000",NA,"9,146,600","198,346","8,469,000","18,909,000","5,681,000","14,592,000",NA,NA,NA,"11,477,000",NA,"2,462,000","41,187,000","2,925,688","67,922,000","8,958,000","4,371,000","835,031","3,307,000",NA,"2,734,600","5,070,200","34,183,000",NA,NA,"1,575,348",NA,NA,"103,028,000","3,324,200","123,470","-117,000",NA,"10,681,265","3,085,600","3,194,028","3,843,760","4,503,000",NA,NA,NA,NA,"6,658,000","-18,020,162","2,112,000","3,507,000","12,838,000","4,468,000","2,377,000",NA,"760,055","21,015,000","6,565,000","1,763,427",NA,"1,917,313",NA,"44,643,700",NA,"7,917,000","893,492","4,256,000","2,890,002","1,205,471","76,109,000","5,629,000","5,109,000",NA,"13,948,000",NA,"10,709,000",NA,"37,691,000","2,173,000",NA,"41,383,000","8,574,000","1,325,119",NA,"1,396,900","1,072,000","2,068,900",NA,"3,493,000",NA,"28,487,442","19,047,820","25,721,000","2,688,000","2,490,770","26,110,000","-3,219,000","2,926,912","6,213,869","8,813,124","652,095",NA,"4,138,000",NA,"7,680,000","-99,888,000","43,449,000","-87,231,000","559,900","-366,998,000","18,900,000","355,665",NA,NA,"-368,000","3,402,200",NA,"175,815,000",NA,NA,NA,NA,NA,NA,"1,899,865","16,275,000",NA,"-214,158,000",NA,"3,342,000",NA,"225,265"
Total Debt,274444,"18,317,000","5,313,800","4,470,100",NA,NA,"17,266,000","28,044,000","13,612,000","3,899,201",NA,"5,241,400","2,915,796","7,481,000",NA,NA,NA,NA,"13,345,591","9,556,000",NA,NA,"500,624","5,572,000","16,140,000",NA,"1,968,000","897,000","532,264,000",NA,"9,225,800","198,346","8,973,000","19,446,000","7,829,000","16,908,000",NA,NA,NA,"20,227,000",NA,"4,341,000","41,488,000","3,311,192","68,263,000","8,981,000","4,377,000","840,514","3,320,000",NA,"3,023,422","5,294,900","34,855,000",NA,NA,"1,635,280",NA,NA,"139,485,000","4,143,500","375,149","437,000",NA,"12,660,573","4,069,000","3,246,381","4,686,972","8,802,000",NA,NA,NA,NA,"6,663,000","25,826,603","2,282,000","3,846,300","13,407,000","6,739,000","4,600,000",NA,"810,569","26,211,000","8,244,000","1,796,056",NA,"2,285,949",NA,"49,353,200",NA,"8,150,000","993,091","6,130,000","4,311,451","1,242,883","77,232,000","6,076,000","5,549,000",NA,"14,787,000",NA,"14,657,000",NA,"84,245,000","3,143,000",NA,"41,548,000","8,753,000","1,447,968",NA,"1,899,200","1,086,600","2,070,200",NA,"3,495,000",NA,"29,958,190","21,756,068","33,553,000","2,886,000","2,552,367","26,389,000","12,285,000","2,965,603","6,436,566","11,820,247","741,296",NA,"4,156,000",NA,"8,443,000","68,281,000","59,641,000","31,859,000","574,300","586,220,000","20,587,000","761,277",NA,NA,"547,000","3,477,200",NA,"178,942,000",NA,NA,NA,NA,NA,NA,"2,195,814","16,302,000",NA,"208,998,000",NA,"5,221,000",NA,"257,571"
Total Common Equity,268583,"15,046,000","3,594,200","5,376,100",NA,NA,"14,726,000","(1,606,000)","9,700,000","6,366,865",NA,"4,647,900","5,282,295","-662,000",NA,NA,NA,NA,"4,136,628","16,142,000",NA,NA,"398,020","5,133,000","8,625,000",NA,"306,800","13,105,000","182,977,000",NA,"8,551,800","429,393","11,219,000","27,086,000","12,333,000","13,490,000",NA,NA,NA,"12,352,000",NA,"85,274,000","25,525,000","4,189,528","47,334,000","8,295,000","5,015,000","821,633","4,464,000",NA,"2,617,891","3,584,400","34,393,000",NA,NA,"2,252,653",NA,NA,"48,519,000","9,512,200","463,226","16,655,000",NA,"25,628,201","3,025,900","3,344,316","3,709,995","-1,650,000",NA,NA,NA,NA,"2,474,000","10,553,755","3,908,000","4,404,400","24,972,000","5,196,000","2,700,000",NA,"1,395,848","1,437,000","2,553,000","1,788,846",NA,"2,539,809",NA,"-4,601,000",NA,"9,801,000","1,400,144","-40,000","-163,467","1,507,083","2,597,000","1,256,000","4,158,000",NA,"13,641,000",NA,"12,926,000",NA,"5,238,000","4,296,000",NA,"25,352,000","9,911,000","767,557",NA,"1,224,300","1,210,900","2,291,600",NA,"11,635,000",NA,"5,341,551","5,085,556","73,068,000","1,542,000","-698,481","17,890,000","10,414,000","2,527,937","2,953,820","1,552,896","1,091,360",NA,"4,792,000",NA,"23,209,000","38,196,000","-14,999,000","46,307,000","782,200","99,223,000","9,576,000","1,151,132",NA,NA,"881,000","11,416,400",NA,"81,790,000",NA,NA,NA,NA,NA,NA,"2,351,469","15,980,000",NA,"168,195,000",NA,"10,767,000",NA,"28,504"
Total Minority Interest,268584,"71,000",NA,NA,NA,NA,NA,NA,"129,000",NA,NA,NA,"58,551.00","1,000.00",NA,NA,NA,NA,"3,635,156.00","65,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"700,000.00",NA,"79,600.00",340.00,"395,000.00","1,842,000.00","212,000.00","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"1,840,000.00",NA,NA,NA,NA,NA,NA,"16,800.00","402,000.00",NA,NA,"4,954.00",NA,NA,"103,000.00","4,800.00","2,132.00","241,000.00",NA,"241,216.00","61,100.00",NA,"23,175.00",NA,NA,NA,NA,NA,NA,"51,285.00",NA,"328,200.00",NA,NA,"3,000.00",NA,NA,NA,NA,NA,NA,"4,052.00",NA,NA,NA,NA,NA,"17,000.00",NA,"9,900.00","11,000.00","3,000.00",NA,NA,NA,NA,NA,NA,"714,000.00","39,000.00",NA,NA,NA,NA,NA,"2,000.00",NA,NA,NA,NA,NA,"65,348.00",NA,"1,631,000.00","10,000.00",-7.00,NA,NA,NA,"196,717.00","34,588.00",NA,NA,NA,NA,"-52,000.00","357,000.00","153,000.00",NA,NA,"840,000.00","-26,000.00",NA,NA,NA,NA,NA,NA,"1,410,000.00",NA,NA,NA,NA,NA,NA,"35,765.00",NA,NA,"2,504,000.00",NA,NA,NA,NA
Total Equity,268585,"15,117,000","3,594,200","5,376,100",NA,NA,"17,050,000","(1,606,000)","9,829,000","6,738,429.00",NA,"4,647,900.00","5,340,846.00","-661,000.00",NA,NA,NA,NA,"7,771,784.00","16,207,000.00",NA,NA,"398,020.00","5,133,000.00","9,415,000.00",NA,"306,800.00","13,105,000.00","202,672,000.00",NA,"8,631,400.00","429,733.00","11,614,000.00","28,928,000.00","12,545,000.00","13,500,000.00",NA,NA,NA,"13,408,000.00",NA,"85,274,000.00","28,918,000.00","4,189,528.00","51,136,000.00","8,295,000.00","5,015,000.00","821,633.00","4,464,000.00",NA,"2,624,073.00","3,601,200.00","34,795,000.00",NA,NA,"2,257,607.00",NA,NA,"48,622,000.00","9,517,000.00","465,358.00","16,896,000.00",NA,"25,869,417.00","3,087,000.00","3,344,316.00","3,733,170.00","-1,650,000.00",NA,NA,NA,NA,"2,474,000.00","10,730,040.00","3,908,000.00","4,732,600.00","24,972,000.00","5,196,000.00","2,703,000.00",NA,"1,395,848.00","1,437,000.00","2,553,000.00","1,788,846.00",NA,"2,543,861.00",NA,"-4,601,000.00",NA,"9,801,000.00","1,400,144.00","-23,000.00","-163,467.00","1,516,983.00","2,608,000.00","1,533,000.00","4,158,000.00",NA,"13,641,000.00",NA,"12,926,000.00",NA,"5,952,000.00","4,335,000.00",NA,"25,610,000.00","9,913,000.00","767,557.00",NA,"1,226,300.00","1,210,900.00","2,291,600.00",NA,"11,635,000.00",NA,"6,669,380.00","5,085,556.00","74,699,000.00","1,552,000.00","-698,488.00","19,835,000.00","10,414,000.00","2,527,937.00","3,150,537.00","1,587,484.00","1,091,360.00",NA,"4,792,000.00",NA,"25,127,000.00","43,391,000.00","-14,846,000.00","56,261,000.00","782,200.00","110,766,000.00","9,550,000.00","1,151,132.00",NA,NA,"881,000.00","11,416,400.00",NA,"83,200,000.00",NA,NA,NA,NA,NA,NA,"2,387,234.00","15,980,000.00",NA,"190,110,000.00",NA,"10,767,000.00",NA,"28,504.31"
Current Ratio (x),274464,1.71,0.27,0.26,NA,NA,NA,0.71,0.70,1.53,NA,0.65,1.40,1.97,NA,NA,NA,NA,3.17,1.59,NA,NA,1.56,2.18,1.72,NA,1.27,1.24,NA,NA,0.82,1.44,1.00,0.85,1.59,1.73,NA,NA,NA,1.27,NA,0.65,0.84,1.36,0.62,0.95,1.05,0.66,0.50,NA,3.89,0.49,0.87,NA,NA,1.70,NA,NA,1.20,0.68,1.91,1.04,NA,1.06,1.52,1.60,2.01,0.76,NA,NA,NA,NA,0.21,1.62,1.22,1.81,0.47,1.93,1.27,NA,30.94,1.19,1.15,0.45,NA,1.61,NA,1.78,NA,1.08,1.98,1.33,1.71,3.28,28.85,1.02,1.31,NA,0.86,NA,1.30,NA,2.30,1.83,NA,0.64,1.18,2.25,NA,1.15,0.70,0.69,NA,0.24,NA,1.90,0.49,1.19,1.01,0.69,0.68,1.97,0.81,0.52,1.47,1.91,NA,0.34,NA,0.44,NA,1.33,0.42,1.01,1.87,0.81,1.59,NA,NA,1.40,25.37,NA,0.78,NA,NA,NA,NA,NA,NA,1.40,0.82,NA,NA,NA,3.29,NA,5.38
Quick Ratio (x),274465,1.06,0.18,0.10,NA,NA,NA,0.54,0.30,0.36,NA,0.24,1.00,1.32,NA,NA,NA,NA,2.85,1.41,NA,NA,1.46,0.37,0.68,NA,1.01,0.99,NA,NA,0.26,0.79,0.43,0.14,0.86,1.55,NA,NA,NA,1.24,NA,0.51,0.33,0.78,0.24,0.34,0.19,0.19,0.24,NA,3.65,0.42,0.22,NA,NA,0.86,NA,NA,1.03,0.47,1.06,0.63,NA,0.66,1.01,0.96,1.48,0.45,NA,NA,NA,NA,0.13,1.62,1.16,1.41,0.28,1.01,1.00,NA,1.52,0.28,0.37,0.45,NA,1.47,NA,1.72,NA,0.76,1.20,1.08,1.67,2.12,27.82,0.50,0.59,NA,0.72,NA,1.16,NA,2.18,1.13,NA,0.50,0.66,0.70,NA,0.33,0.37,0.17,NA,0.18,NA,0.43,0.43,0.81,0.89,0.55,0.31,1.84,0.29,0.33,0.93,1.16,NA,0.16,NA,0.24,NA,0.34,0.42,0.47,1.77,0.23,0.76,NA,NA,0.62,5.22,NA,0.59,NA,NA,NA,NA,NA,NA,0.76,0.33,NA,NA,NA,2.53,NA,5.38
Total Debt/Equity (%),274466,121.17,147.84,83.15,NA,NA,NA,NM,138.49,58,NA,113,55,NM,NA,NA,NA,NA,172,59,NA,NA,126,109,171,NA,641,7,NA,NA,107,46,77,67,62,125,NA,NA,NA,151,NA,5,143,79,133,108,87,102,74,NA,115,147,100,NA,NA,72,NA,NA,287,44,81,3,NA,49,132,97,126,NM,NA,NA,NA,NA,269,241,58,81,54,130,170,NA,58,"1,824",323,100,NA,90,NA,NM,NA,83,71,NM,NM,82,"2,961",396,133,NA,108,NA,113,NA,"1,415",73,NA,162,88,189,NA,155,90,90,NA,30,NA,449,428,45,186,NM,133,118,117,204,745,68,NA,87,NA,34,NA,NM,57,73,529,216,66,NA,NA,62,30,NA,215,NA,NA,NA,NA,NA,NA,92,102,NA,NA,NA,48,NA,904
Total Debt / Total Capital (%),274467,54.79,59.65,45.40,NA,NA,NA,106.08,58.07,37,NA,53,35,110,NA,NA,NA,NA,63,37,NA,NA,56,52,63,NA,87,6,NA,NA,52,32,44,40,38,56,NA,NA,NA,60,NA,5,59,44,57,52,47,51,43,NA,54,60,50,NA,NA,42,NA,NA,74,30,45,3,NA,33,57,49,56,123,NA,NA,NA,NA,73,71,37,45,35,56,63,NA,37,95,76,50,NA,47,NA,110,NA,45,41,100,104,45,97,80,57,NA,52,NA,53,NA,93,42,NA,62,47,65,NA,61,47,47,NA,23,NA,82,81,31,65,138,57,54,54,67,88,40,NA,46,NA,25,NA,133,36,42,84,68,40,NA,NA,38,23,NA,68,NA,NA,NA,NA,NA,NA,48,50,NA,NA,NA,33,NA,90
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
