SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021,FQ42021
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,12/31/2021,12/31/2021,12/31/2021,,,12/31/2021,12/31/2021,12/31/2021,12/31/2021,,12/31/2021,12/31/2021,1/30/2021,,,,,12/31/2021,12/31/2021,,,12/31/2021,12/31/2021,12/31/2021,,12/31/2021,12/31/2021,12/31/2021,,5/30/2021,12/31/2021,12/31/2021,12/31/2021,12/31/2021,12/31/2021,,,,12/31/2021,,12/31/2021,12/31/2021,12/31/2021,12/31/2021,12/31/2021,12/31/2021,12/31/2021,12/31/2021,,12/31/2021,12/31/2021,12/31/2021,,,12/31/2021,,,12/31/2021,12/31/2021,1/1/2022,12/31/2021,,12/31/2021,12/26/2021,12/31/2021,12/31/2021,10/31/2021,,,,,12/31/2021,11/30/2021,12/31/2021,12/31/2021,12/31/2021,1/30/2021,12/31/2021,,12/31/2021,1/29/2021,1/30/2021,12/31/2021,,12/31/2021,,12/31/2021,,12/31/2021,10/2/2021,12/31/2021,12/31/2021,12/31/2021,12/31/2021,12/31/2021,12/31/2021,,12/31/2021,,12/31/2021,,5/31/2021,12/31/2021,,12/31/2021,12/31/2021,12/31/2021,,12/31/2021,12/31/2021,12/31/2021,,12/31/2021,,12/31/2021,12/31/2021,12/31/2021,1/29/2021,12/31/2021,12/31/2021,12/31/2021,12/31/2021,12/31/2021,7/3/2021,12/31/2021,,12/31/2021,,12/31/2021,12/31/2021,12/31/2021,12/31/2021,12/31/2021,12/31/2021,1/30/2021,10/31/2021,,,12/31/2021,12/31/2021,,12/31/2021,,,,,,,3/31/2021,12/31/2021,,12/31/2021,,12/31/2021,,12/31/2021
Financial Filing Date,309159,2/8/2023,2/23/2023,2/23/2023,,,2/24/2023,2/27/2023,2/22/2023,2/24/2023,,2/23/2023,2/9/2023,3/18/2022,,,,,2/27/2023,2/23/2023,,,2/23/2023,2/17/2023,2/17/2023,,2/22/2023,2/23/2023,2/27/2023,,7/21/2022,3/31/2023,2/16/2023,2/24/2023,2/13/2023,2/15/2023,,,,2/23/2023,,3/15/2022,2/21/2023,2/10/2023,2/27/2023,2/27/2023,2/27/2023,3/24/2023,2/27/2023,,2/23/2023,2/23/2023,2/14/2023,,,2/16/2023,,,2/3/2023,2/28/2023,3/9/2023,2/15/2023,,2/17/2023,2/22/2023,3/1/2022,2/27/2023,12/6/2022,,,,,2/10/2023,1/27/2023,3/10/2023,2/3/2023,2/23/2023,3/17/2022,3/10/2022,,2/21/2023,3/21/2022,3/25/2022,2/24/2023,,3/16/2023,,2/24/2023,,2/27/2023,11/14/2022,2/16/2023,2/10/2023,2/21/2023,2/24/2023,2/27/2023,2/15/2023,,2/3/2023,,1/26/2023,,6/21/2022,2/15/2023,,2/23/2023,2/27/2023,2/24/2023,,2/17/2023,3/30/2023,2/24/2022,,2/23/2023,,2/17/2023,2/23/2023,2/7/2023,3/28/2022,2/17/2023,2/23/2023,2/7/2023,2/28/2023,2/28/2023,8/26/2022,2/24/2023,,2/23/2023,,2/16/2023,2/27/2023,1/27/2023,2/24/2023,3/1/2023,2/24/2023,3/29/2022,12/22/2022,,,2/15/2023,2/23/2023,,2/10/2023,,,,,,,5/31/2022,2/21/2023,,2/21/2023,,2/17/2023,,4/28/2023
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.354059
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.348149
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"4,765,000",100,NA,NA,NA,"5,069,000","4,544,000","16,000","48,198",NA,"2,500","222,194","3,568,000",NA,NA,NA,NA,"452,692","7,409,000",NA,NA,"39,069","29,000","1,711,000",NA,"291,300","1,139,000","774,016,000",NA,"79,200",NA,"504,000","5,951,000","2,148,000","2,316,000",NA,NA,NA,"8,750,000",NA,"1,879,000","301,000","385,504","341,000","23,000","6,000","5,483","13,000",NA,"288,822","224,700","672,000",NA,NA,"59,932",NA,NA,"36,457,000","819,300","251,679","554,000",NA,"1,979,308","983,400","52,353","843,212","4,299,000",NA,NA,NA,NA,"5,000","43,846,765","170,000","339,300","569,000","2,271,000","2,223,000",NA,"50,514","5,196,000","1,679,000","32,629",NA,"368,636",NA,"4,709,500",NA,"233,000","99,599","1,874,000","1,421,449","37,412","1,123,000","447,000","440,000",NA,"839,000",NA,"3,530,000",NA,"46,554,000","970,000",NA,"165,000","179,000","122,849",NA,"502,300","14,600","1,300",NA,"2,000",NA,"1,470,748","2,708,248","7,832,000","171,000","61,597","279,000","15,504,000","38,691","222,697","3,007,123","89,201",NA,"18,000",NA,"4,773,000","168,169,000","16,192,000","119,090,000","14,400","953,218,000","1,687,000","405,612",NA,NA,"747,000","1,463,000",NA,"3,127,000",NA,NA,NA,NA,NA,NA,"295,949","27,000",NA,"423,156,000",NA,"1,879,000",NA,"32,305"
