SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,268552,"45,634,000","12,995,900","13,089,800",NA,NA,"185,703,000","36,746,000","37,108,000","11,854,752",NA,"14,567,000","19,894,450","10,392,000",NA,NA,NA,NA,"23,012,501","228,211,000",NA,NA,"1,051,459","14,278,000","36,216,000",NA,"4,619,600","29,192,000","2,380,904,000",NA,"22,592,000","1,101,186","45,260,000","368,271,000","29,718,000","40,366,000",NA,NA,NA,"114,600,000",NA,NA,"103,678,000","10,807,421","172,383,000","23,837,000","14,675,000","2,315,416","11,015,000",NA,"5,793,442","11,221,200","92,295,000",NA,NA,"4,672,292",NA,NA,"245,755,000","16,070,900","1,283,424","26,464,000",NA,"44,175,824","9,503,000","6,815,350","9,508,080","39,901,000",NA,NA,NA,NA,"11,893,000","57,213,810","8,650,000","10,750,400","51,428,000","15,506,000",NA,NA,"2,873,357","49,404,000","18,417,000","3,825,745",NA,"7,404,686",NA,"49,247,800",NA,"24,911,000","3,441,493","11,672,000","4,833,352","2,587,291","76,065,000","11,756,000","14,448,000",NA,"39,336,000",NA,"41,914,000",NA,"106,897,000","10,543,000",NA,"113,080,000","27,440,000","3,024,831",NA,"5,238,900","3,160,300","7,361,500",NA,"19,296,000",NA,"34,553,847","33,943,245","159,017,000","5,905,000","2,416,997","74,914,000","38,302,000","8,114,978","12,923,008","21,426,762","4,246,761",NA,"12,864,000",NA,"96,350,000","452,621,000","135,479,000","637,557,000","2,259,300","1,601,224,000","48,461,000","3,479,306",NA,NA,"3,044,000","63,121,100",NA,"370,147,000",NA,NA,NA,NA,NA,NA,"5,992,860","49,983,000",NA,"1,881,142,000",NA,"17,580,000",NA,"265,265"
Net Debt,268593,"14,212,000","6,198,400","4,945,400",NA,NA,"20,783,000","25,113,000","14,604,000","4,342,807",NA,"5,371,100","3,256,942","6,906,000",NA,NA,NA,NA,"13,647,757","6,518,000",NA,NA,"489,356","4,544,000","13,780,000",NA,"2,895,100","-213,000","-278,919,000",NA,"9,571,000","200,597","4,088,000","18,602,000","5,943,000","15,943,000",NA,NA,NA,"8,546,000",NA,NA,"43,507,000","2,814,407","70,513,000","9,142,000","4,579,000","791,286","3,550,000",NA,"2,878,508","5,461,600","37,871,000",NA,NA,"1,778,366",NA,NA,"102,018,000","2,999,200","297,834","-150,000",NA,"10,700,240","3,538,100","3,271,109","4,278,117","5,752,000",NA,NA,NA,NA,"6,887,000","-14,560,849","1,982,000","3,710,900","12,709,000","4,038,000",NA,NA,"1,118,704","22,457,000","5,800,000","1,817,658",NA,"2,395,056",NA,"45,707,800",NA,"7,665,000","809,354","5,698,000","3,826,781","1,061,060","71,559,000","5,599,000","5,555,000",NA,"14,329,000",NA,"12,983,000",NA,"55,593,000","2,364,000",NA,"44,976,000","8,333,000","1,573,627",NA,"1,810,500","1,063,200","2,802,100",NA,"3,422,000",NA,"22,303,026","21,743,813","28,239,000","2,700,000","2,435,320","27,239,000","-4,430,000","3,026,956","5,876,514","10,468,834","663,890",NA,"4,404,000",NA,"7,242,000","-109,407,000","45,793,000","-90,599,000","667,900","-433,088,000","18,982,000","906,532",NA,NA,"99,000","3,321,700",NA,"177,197,000",NA,NA,NA,NA,NA,NA,"2,285,132","17,286,000",NA,"-140,683,000",NA,"3,352,000",NA,"210,341"
Total Debt,274444,"17,196,000","6,198,500","4,945,400",NA,NA,"24,950,000","27,680,000","14,611,000","4,413,182",NA,"5,376,000","3,482,538","8,894,000",NA,NA,NA,NA,"14,104,248","11,589,000",NA,NA,"507,490","4,585,000","15,031,000",NA,"3,205,300","885,000","561,708,000",NA,"9,639,700","200,597","4,891,000","19,059,000","7,572,000","16,755,000",NA,NA,NA,"19,985,000",NA,NA,"45,823,000","3,329,778","71,238,000","9,186,000","4,660,000","794,590","3,565,000",NA,"3,047,675","5,685,200","38,687,000",NA,NA,"1,929,063",NA,NA,"130,234,000","3,682,100","464,901","373,000",NA,"12,633,878","4,124,400","3,308,544","4,850,891","10,229,000",NA,NA,NA,NA,"6,938,000","26,230,112","2,232,000","3,833,400","13,261,000","6,607,000",NA,NA,"1,160,675","28,712,000","7,937,000","1,861,041",NA,"2,534,985",NA,"47,646,400",NA,"8,162,000","929,749","6,415,000","4,669,081","1,104,495","72,636,000","5,997,000","5,878,000",NA,"15,588,000",NA,"14,502,000",NA,"78,431,000","3,203,000",NA,"45,098,000","8,723,000","1,650,652",NA,"2,130,100","1,068,200","2,805,700",NA,"3,427,000",NA,"24,008,381","23,846,018","33,006,000","2,863,000","2,560,582","27,305,000","12,001,000","3,129,099","6,092,477","11,843,110","798,615",NA,"4,415,000",NA,"8,008,000","67,763,000","57,200,000","28,295,000","712,800","602,317,000","21,207,000","1,169,765",NA,NA,"555,000","3,473,100",NA,"179,176,000",NA,NA,NA,NA,NA,NA,"2,502,786","17,342,000",NA,"208,992,000",NA,"5,075,000",NA,"239,383"
Total Common Equity,268583,"13,742,000","3,755,600","5,562,800",NA,NA,"11,660,000","(2,403,000)","9,880,000","6,287,195",NA,"4,821,100","5,340,466","-1,189,000",NA,NA,NA,NA,"4,689,353","10,191,000",NA,NA,"391,388","5,144,000","9,233,000",NA,"602,900","10,553,000","180,019,000",NA,"8,679,000","429,533","10,993,000","11,883,000","11,734,000","13,131,000",NA,NA,NA,"12,708,000",NA,NA,"26,514,000","4,388,523","47,758,000","8,725,000","4,861,000","850,453","4,597,000",NA,"2,578,429","3,805,000","23,656,000",NA,NA,"2,365,880",NA,NA,"44,169,000","9,444,300","397,274","17,031,000",NA,"23,755,655","2,983,600","3,241,301","3,393,398","-1,898,000",NA,NA,NA,NA,"2,586,000","10,300,177","3,938,000","4,622,800","25,391,000","5,219,000",NA,NA,"1,513,921","-175,000","3,146,000","1,865,163",NA,"2,480,828",NA,"-6,369,800",NA,"10,246,000","1,430,648","-443,000","-1,026,446","1,392,220","2,927,000","1,370,000","3,947,000",NA,"13,154,000",NA,"13,651,000",NA,"-10,101,000","4,540,000",NA,"26,200,000","10,024,000","897,590",NA,"1,071,400","1,230,900","2,342,600",NA,"12,655,000",NA,"5,735,160","3,398,098","70,441,000","1,618,000","-725,775","18,392,000","11,120,000","2,579,596","3,458,852","1,221,072","742,644",NA,"5,133,000",NA,"18,145,000","36,146,000","-14,888,000","33,819,000","773,500","107,168,000","9,278,000","1,223,516",NA,NA,"763,000","9,705,100",NA,"86,016,000",NA,NA,NA,NA,NA,NA,"2,634,813","16,418,000",NA,"158,121,000",NA,"10,816,000",NA,"25,882"
Total Minority Interest,268584,"74,000",NA,NA,NA,NA,NA,NA,"129,000","676,974.00",NA,NA,"57,817.00","1,000.00",NA,NA,NA,NA,"3,199,384.00","65,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"612,000.00",NA,"77,900.00",340.00,"389,000.00","1,266,000.00","248,000.00","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"1,864,000.00",NA,NA,NA,NA,NA,NA,"16,000.00",NA,NA,NA,"14,853.00",NA,NA,"68,000.00","5,100.00","-3,249.00","243,000.00",NA,"220,872.00","52,200.00",NA,"50,403.00",NA,NA,NA,NA,NA,NA,"86,803.00",NA,"330,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,114.00",NA,NA,NA,NA,NA,"13,000.00",NA,"20,768.00",NA,"3,000.00",NA,NA,NA,NA,NA,NA,"443,000.00","47,000.00",NA,NA,NA,NA,NA,"2,200.00",NA,NA,NA,NA,NA,"69,171.00",NA,"1,587,000.00","10,000.00",-7.00,NA,NA,NA,"122,656.00","32,690.00",NA,NA,NA,NA,"-91,000.00","161,000.00","97,000.00",NA,NA,"844,000.00","-20,000.00",NA,NA,NA,NA,NA,NA,"1,341,000.00",NA,NA,NA,NA,NA,NA,"38,657.00",NA,NA,"2,261,000.00",NA,NA,NA,NA
Total Equity,268585,"13,816,000","3,755,600","5,562,800",NA,NA,"13,984,000","(2,403,000)","10,009,000","6,964,261.00",NA,"4,821,100.00","5,398,283.00","-1,188,000.00",NA,NA,NA,NA,"7,888,737.00","10,256,000.00",NA,NA,"391,388.00","5,144,000.00","10,023,000.00",NA,"602,900.00","10,553,000.00","199,626,000.00",NA,"8,756,900.00","429,873.00","11,382,000.00","13,149,000.00","11,982,000.00","13,141,000.00",NA,NA,NA,"13,764,000.00",NA,NA,"28,297,000.00","4,388,523.00","51,584,000.00","8,725,000.00","4,861,000.00","850,453.00","4,597,000.00",NA,"2,584,610.00","3,821,000.00","23,656,000.00",NA,NA,"2,380,733.00",NA,NA,"44,237,000.00","9,449,400.00","394,025.00","17,274,000.00",NA,"23,976,527.00","3,035,800.00","3,241,301.00","3,443,801.00","-1,898,000.00",NA,NA,NA,NA,"2,586,000.00","10,511,980.00","3,938,000.00","4,952,800.00","25,391,000.00","5,219,000.00",NA,NA,"1,513,921.00","-175,000.00","3,146,000.00","1,865,163.00",NA,"2,484,942.00",NA,"-6,369,800.00",NA,"10,246,000.00","1,430,648.00","-430,000.00","-1,026,446.00","1,412,988.00","2,927,000.00","1,648,000.00","3,947,000.00",NA,"13,154,000.00",NA,"13,651,000.00",NA,"-9,658,000.00","4,587,000.00",NA,"26,458,000.00","10,026,000.00","897,590.00",NA,"1,073,600.00","1,230,900.00","2,342,600.00",NA,"12,655,000.00",NA,"7,062,998.00","3,398,098.00","72,028,000.00","1,628,000.00","-725,782.00","20,337,000.00","11,120,000.00","2,579,596.00","3,581,508.00","1,253,762.00","742,644.00",NA,"5,133,000.00",NA,"20,024,000.00","41,145,000.00","-14,791,000.00","44,513,000.00","773,500.00","118,715,000.00","9,258,000.00","1,223,516.00",NA,NA,"763,000.00","9,705,100.00",NA,"87,357,000.00",NA,NA,NA,NA,NA,NA,"2,673,470.00","16,418,000.00",NA,"179,793,000.00",NA,"10,816,000.00",NA,"25,882.50"
Current Ratio (x),274464,1.47,0.87,0.48,NA,NA,NA,0.49,0.67,1.16,NA,0.82,1.49,1.72,NA,NA,NA,NA,3.27,1.82,NA,NA,1.62,0.98,1.03,NA,3.79,1.15,NA,NA,0.93,1.63,1.38,1.04,1.43,1.16,NA,NA,NA,1.24,NA,NA,0.87,1.41,0.70,0.82,0.96,0.80,0.44,NA,2.90,0.51,0.91,NA,NA,1.75,NA,NA,1.16,0.94,2.29,1.11,NA,0.87,1.43,1.82,1.65,0.81,NA,NA,NA,NA,0.27,1.64,1.05,1.21,0.56,1.71,NA,NA,28.83,1.16,1.14,0.42,NA,1.61,NA,1.41,NA,1.26,2.03,1.16,1.33,2.78,15.25,1.08,1.03,NA,1.10,NA,1.30,NA,1.65,1.87,NA,0.79,0.99,2.58,NA,1.23,0.66,0.44,NA,0.72,NA,1.59,0.30,1.10,0.97,0.94,0.74,1.66,1.29,0.70,1.33,1.10,NA,0.59,NA,0.42,NA,1.25,0.42,1.02,1.64,0.79,1.50,NA,NA,1.24,19.27,NA,0.76,NA,NA,NA,NA,NA,NA,1.45,1.02,NA,NA,NA,3.20,NA,3.00
Quick Ratio (x),274465,0.80,0.24,0.17,NA,NA,NA,0.31,0.28,0.28,NA,0.19,1.00,0.85,NA,NA,NA,NA,2.97,1.57,NA,NA,1.45,0.24,0.55,NA,0.71,0.94,NA,NA,0.32,0.94,0.56,0.17,0.62,0.96,NA,NA,NA,1.24,NA,NA,0.37,0.80,0.28,0.31,0.27,0.27,0.24,NA,2.61,0.42,0.51,NA,NA,1.06,NA,NA,0.95,0.62,0.82,0.64,NA,0.49,0.87,1.17,1.19,0.44,NA,NA,NA,NA,0.20,1.64,0.92,0.72,0.30,0.78,NA,NA,0.99,0.31,0.43,0.42,NA,1.41,NA,1.09,NA,0.91,1.25,0.80,1.28,1.88,14.73,0.52,0.41,NA,0.95,NA,1.09,NA,1.45,1.11,NA,0.62,0.57,0.91,NA,0.27,0.17,0.09,NA,0.15,NA,0.53,0.23,0.71,0.87,0.45,0.36,1.51,0.44,0.44,0.75,0.60,NA,0.26,NA,0.25,NA,0.28,0.41,0.61,1.56,0.27,0.63,NA,NA,0.49,4.16,NA,0.54,NA,NA,NA,NA,NA,NA,0.80,0.38,NA,NA,NA,2.42,NA,3.00
Total Debt/Equity (%),274466,124.46,165.05,88.90,NA,NA,NA,NM,145.98,63,NA,112,65,NM,NA,NA,NA,NA,179,113,NA,NA,130,89,150,NA,532,8,NA,NA,110,47,43,145,63,128,NA,NA,NA,145,NA,NA,162,76,138,105,96,93,78,NA,118,149,164,NA,NA,81,NA,NA,294,39,118,2,NA,53,136,102,141,NM,NA,NA,NA,NA,268,250,57,77,52,127,NA,NA,77,NM,252,100,NA,102,NA,NM,NA,80,65,NM,NM,78,"2,482",364,149,NA,119,NA,106,NA,NM,70,NA,170,87,184,NA,198,87,120,NA,27,NA,340,702,46,176,NM,134,108,121,170,945,108,NA,86,NA,40,NA,NM,64,92,507,229,96,NA,NA,73,36,NA,205,NA,NA,NA,NA,NA,NA,94,106,NA,NA,NA,47,NA,925
Total Debt / Total Capital (%),274467,55.45,62.27,47.06,NA,NA,NA,109.51,59.35,39,NA,53,39,115,NA,NA,NA,NA,64,53,NA,NA,56,47,60,NA,84,8,NA,NA,52,32,30,59,39,56,NA,NA,NA,59,NA,NA,62,43,58,51,49,48,44,NA,54,60,62,NA,NA,45,NA,NA,75,28,54,2,NA,35,58,51,58,123,NA,NA,NA,NA,73,71,36,44,34,56,NA,NA,43,101,72,50,NA,50,NA,115,NA,44,39,107,128,44,96,78,60,NA,54,NA,52,NA,114,41,NA,63,47,65,NA,66,46,54,NA,21,NA,77,88,31,64,140,57,52,55,63,90,52,NA,46,NA,29,NA,135,39,48,84,70,49,NA,NA,42,26,NA,67,NA,NA,NA,NA,NA,NA,48,51,NA,NA,NA,32,NA,90
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
