SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022,FQ22022
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,6/30/2022,6/30/2022,6/30/2022,,,6/30/2022,6/30/2022,6/30/2022,6/30/2022,,6/30/2022,7/2/2022,7/31/2021,,,,,6/30/2022,6/30/2022,,,6/30/2022,6/30/2022,6/30/2022,,6/30/2022,6/30/2022,6/30/2022,,11/28/2021,6/30/2022,6/30/2022,6/30/2022,6/30/2022,6/30/2022,,,,6/30/2022,,,6/30/2022,6/30/2022,6/30/2022,6/30/2022,6/30/2022,6/30/2022,6/30/2022,,6/30/2022,6/30/2022,6/30/2022,,,6/30/2022,,,6/30/2022,7/1/2022,7/2/2022,6/30/2022,,6/30/2022,6/26/2022,6/30/2022,6/30/2022,4/30/2022,,,,,6/30/2022,5/31/2022,6/30/2022,6/30/2022,6/30/2022,7/31/2021,9/30/2021,,6/30/2022,7/30/2021,7/31/2021,6/30/2022,,6/30/2022,,6/30/2022,,6/30/2022,4/2/2022,7/2/2022,6/30/2022,6/30/2022,6/30/2022,6/30/2022,6/30/2022,,6/30/2022,,6/30/2022,,11/30/2021,6/30/2022,,6/30/2022,6/30/2022,6/26/2022,,6/30/2022,6/30/2022,6/30/2022,,6/30/2022,,6/30/2022,6/30/2022,6/30/2022,7/30/2021,6/26/2022,6/30/2022,6/30/2022,6/30/2022,6/30/2022,1/1/2022,6/30/2022,,6/30/2022,,6/30/2022,6/30/2022,6/30/2022,6/30/2022,6/30/2022,6/30/2022,8/14/2021,4/29/2022,,,6/30/2022,6/30/2022,,6/30/2022,,,,,,,9/30/2021,6/30/2022,,6/30/2022,,6/30/2022,,6/30/2022
Financial Filing Date,309159,7/25/2023,7/27/2023,7/27/2023,,,8/1/2023,8/1/2023,8/3/2023,8/1/2023,,7/27/2023,8/3/2023,9/2/2022,,,,,8/7/2023,8/9/2023,,,8/3/2023,7/27/2023,7/27/2023,,7/26/2023,7/27/2023,8/4/2023,,1/5/2023,7/15/2022,8/3/2023,8/4/2023,7/27/2023,7/20/2023,,,,7/28/2023,,,11/8/2023,7/25/2023,8/8/2023,8/8/2023,8/8/2023,8/25/2023,8/8/2023,,8/3/2023,7/25/2023,8/2/2023,,,7/21/2023,,,7/28/2023,7/26/2023,8/10/2023,7/25/2023,,8/1/2023,8/4/2023,8/18/2022,8/8/2023,9/11/2023,,,,,8/2/2023,10/6/2023,8/15/2022,7/28/2022,7/27/2023,9/1/2022,11/4/2022,,8/2/2023,8/25/2022,8/26/2022,8/4/2023,,8/3/2023,,8/2/2023,,8/7/2023,4/28/2023,8/3/2023,7/25/2023,8/8/2023,7/26/2023,8/2/2023,7/28/2023,,7/27/2023,,7/27/2023,,12/13/2022,7/26/2023,,7/27/2023,8/7/2023,8/10/2023,,7/25/2023,8/28/2023,7/27/2023,,8/1/2023,,11/1/2023,7/27/2023,7/25/2023,9/1/2022,8/3/2023,7/27/2023,7/28/2023,8/9/2023,8/9/2023,2/1/2023,8/3/2023,,8/11/2023,,8/1/2023,8/4/2023,7/26/2023,8/8/2023,8/4/2023,11/3/2023,9/16/2022,6/8/2023,,,7/26/2023,8/2/2023,,7/28/2023,,,,,,,2/9/2023,8/4/2023,,8/1/2023,,7/28/2023,,9/14/2023
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.215141
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.255931
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"2,984,000",100,NA,NA,NA,"4,167,000","2,567,000","7,000","70,375",NA,"4,900","225,596","1,988,000",NA,NA,NA,NA,"456,491","6,407,000",NA,NA,"18,134","41,000","1,251,000",NA,"310,200","1,098,000","840,627,000",NA,"68,700",NA,"803,000","5,366,000","1,629,000","812,000",NA,NA,NA,"11,439,000",NA,NA,"2,316,000","515,371","725,000","44,000","81,000","3,304","15,000",NA,"169,167","223,600","816,000",NA,NA,"150,697",NA,NA,"28,216,000","682,900","167,067","523,000",NA,"1,933,638","586,300","37,435","572,774","4,477,000",NA,NA,NA,NA,"51,000","40,790,961","250,000","122,500","552,000","2,569,000",NA,NA,"41,971","6,255,000","2,137,000","43,383",NA,"139,929",NA,"1,938,600",NA,"497,000","120,395","717,000","842,300","43,435","1,077,000","398,000","323,000",NA,"1,259,000",NA,"1,169,000",NA,"22,838,000","839,000",NA,"122,000","390,000","77,025",NA,"319,600","5,000","3,600",NA,"5,000",NA,"1,705,355","2,102,205","4,767,000","133,000","125,262","66,000","16,431,000","102,143","215,963","1,374,276","134,725",NA,"11,000",NA,"5,153,000","177,170,000","11,407,000","118,894,000","44,900","1,035,405,000","2,225,000","263,233",NA,NA,"456,000","1,487,500",NA,"1,979,000",NA,NA,NA,NA,NA,NA,"217,654","56,000",NA,"349,675,000",NA,"1,723,000",NA,"29,042"
"Net Property, Plant & Equipment",268541,"10,154,000","11,055,300","12,449,200",NA,NA,"11,885,000","1,557,000","30,086,000","10,343,423",NA,"12,051,300","625,587","4,565,000",NA,NA,NA,NA,"18,191,527",NA,NA,NA,"43,529","9,729,000","25,030,000",NA,"1,130,100","201,000","2,800,000",NA,"2,622,800","795,172","19,739,000",NA,"15,350,000","34,133,000",NA,NA,NA,"984,000",NA,NA,"61,264,000","963,780","115,073,000","18,897,000","11,935,000","2,058,413","8,884,000",NA,"5,049,650","1,433,900","66,456,000",NA,NA,"4,197,529",NA,NA,"37,067,000","407,600","249,174","2,161,000",NA,"1,689,292","409,900","6,181,675","7,396,431","3,711,000",NA,NA,NA,NA,"10,302,000","891,126","5,849,000","9,342,400","3,275,000","9,408,000",NA,NA,"25,311","22,851,000","8,532,000","3,500",NA,"1,784,236",NA,"36,128,700",NA,"20,505,000","730,261","1,405,000","187,512","2,187,266","91,000","1,039,000","1,701,000",NA,"31,787,000",NA,"9,794,000",NA,"8,029,000","3,873,000",NA,"74,780,000","23,414,000","505,255",NA,"1,052,700","2,548,800","5,562,300",NA,"8,202,000",NA,"143,307","28,125,884","16,607,000","326,000","1,617,756","53,434,000","16,452,000","6,721,266","8,941,379","5,032,017","2,292,412",NA,"10,992,000",NA,"975,000","3,354,000","10,617,000","3,670,000","1,758,700","20,705,000","29,690,000","587,963",NA,NA,"129,000","447,500",NA,"128,408,000",NA,NA,NA,NA,NA,NA,"3,805,532","35,912,000",NA,"18,225,000",NA,"14,187,000",NA,NA
