SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020,FQ32020
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,9/30/2020,9/30/2020,9/30/2020,,,9/30/2020,9/30/2020,9/30/2020,9/30/2020,,9/30/2020,9/26/2020,11/2/2019,,,,,9/30/2020,9/30/2020,,,9/30/2020,9/30/2020,9/30/2020,,9/30/2020,9/30/2020,9/30/2020,,2/23/2020,9/30/2020,,,9/30/2020,9/30/2020,,,,9/30/2020,,,9/30/2020,9/30/2020,9/30/2020,9/30/2020,9/30/2020,9/30/2020,9/30/2020,,9/30/2020,9/30/2020,9/30/2020,,,9/30/2020,,,9/30/2020,9/25/2020,10/3/2020,,,9/30/2020,9/27/2020,9/30/2020,9/30/2020,7/31/2020,,,,,9/30/2020,8/31/2020,9/30/2020,9/30/2020,9/30/2020,11/2/2019,9/30/2020,,9/30/2020,11/1/2019,11/2/2019,9/30/2020,,9/30/2020,,9/30/2020,,9/30/2020,6/27/2020,9/26/2020,9/30/2020,9/30/2020,9/30/2020,9/30/2020,9/30/2020,,9/30/2020,,9/30/2020,,2/29/2020,9/30/2020,,9/30/2020,9/30/2020,9/27/2020,,9/30/2020,9/30/2020,9/30/2020,,9/30/2020,,9/30/2020,9/30/2020,9/30/2020,11/1/2019,9/27/2020,9/30/2020,9/30/2020,9/30/2020,9/30/2020,3/28/2020,9/30/2020,,9/30/2020,,9/30/2020,9/30/2020,9/30/2020,9/30/2020,9/30/2020,9/30/2020,11/9/2019,7/31/2020,,,9/30/2020,9/30/2020,,9/30/2020,,,,,,,12/31/2019,9/30/2020,,9/30/2020,,9/30/2020,,9/30/2020
Financial Filing Date,309159,10/26/2021,10/28/2021,10/28/2021,,,11/2/2021,10/28/2021,11/4/2021,11/5/2021,,10/28/2021,11/4/2021,12/4/2020,,,,,11/5/2021,11/5/2021,,,11/4/2021,11/4/2021,11/4/2021,,10/27/2021,10/27/2021,11/8/2021,,4/8/2021,10/15/2020,,,10/29/2021,10/21/2021,,,,10/28/2021,,,11/5/2021,10/19/2021,11/4/2021,11/4/2021,11/4/2021,10/30/2021,11/4/2021,,11/4/2021,10/21/2021,11/3/2021,,,10/22/2021,,,10/28/2021,10/28/2021,11/12/2021,,,11/2/2021,10/27/2021,11/5/2021,11/4/2021,9/3/2021,,,,,10/29/2021,10/8/2021,12/1/2020,10/19/2021,10/28/2021,12/3/2020,11/22/2021,,11/2/2021,11/25/2020,12/8/2020,11/5/2021,,11/4/2021,,11/2/2021,,11/8/2021,7/30/2021,11/4/2021,10/26/2021,11/8/2021,10/27/2021,10/29/2021,10/29/2021,,10/27/2021,,10/28/2021,,3/11/2021,10/27/2021,,11/1/2021,11/8/2021,11/4/2021,,10/26/2021,11/19/2021,10/28/2021,,11/4/2021,,11/5/2021,10/29/2021,10/26/2021,12/4/2020,11/3/2021,11/2/2021,10/26/2021,11/9/2021,11/9/2021,5/5/2021,11/5/2021,,11/10/2021,,11/3/2021,11/5/2021,10/27/2021,11/8/2021,11/4/2021,11/1/2021,12/15/2020,9/2/2021,,,10/25/2021,11/3/2021,,10/26/2021,,,,,,,2/8/2021,11/5/2021,,11/1/2021,,10/29/2021,,4/30/2022
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.293159
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.292031
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"4,566,000",100,NA,NA,NA,"19,962,000","4,123,000","6,000","315,808",NA,"3,900","227,019","340,000",NA,NA,NA,NA,"1,714,783","13,886,000",NA,NA,"43,769","13,000","1,065,000",NA,"622,000","914,000","785,547,000",NA,"99,000",464,NA,NA,"2,514,000","2,899,000",NA,NA,NA,"9,513,000",NA,NA,"413,000","427,501","311,000","19,000","15,000","5,444","10,000",NA,"985,372","1,535,600","1,858,000",NA,NA,"171,121",NA,NA,"29,505,000","1,489,100","323,560",NA,NA,"2,220,822","1,074,589","227,138","857,390","4,679,000",NA,NA,NA,NA,"22,000","39,995,474",NA,"646,000","191,000","490,000",NA,NA,"46,335","921,000","301,000","27,121",NA,"238,174",NA,"3,683,800",NA,"193,000","102,323","1,007,000","1,302,858","42,198","2,092,000","1,605,000","858,000",NA,"1,359,000",NA,"4,995,000",NA,"25,858,000","647,000",NA,"202,000","590,000","62,347",NA,"820,600","1,200","3,000",NA,"6,000",NA,"1,096,518","3,016,788","10,001,000","162,000","225,633","30,000","14,562,000","22,234","23,945","2,253,760","11,931",NA,"17,000",NA,"4,929,000","169,781,000","27,033,000","57,560,000","26,100","710,001,000","545,000","394,141",NA,NA,"624,000","2,190,500",NA,"9,011,000",NA,NA,NA,NA,NA,NA,"47,778","62,000",NA,"425,989,000",NA,"787,000",NA,"30,335"
