SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"10,060,000","9,545,000","10,389,500",NA,NA,"10,299,000","2,009,000","25,541,000","8,416,435",NA,"11,366,100","793,855","5,701,000",NA,NA,NA,NA,"17,021,915",NA,NA,NA,"41,072","6,200,000","21,735,000",NA,"1,081,800","211,000","2,900,000",NA,"2,539,200","745,799",NA,NA,"15,449,000","32,881,000",NA,NA,NA,"1,121,000",NA,NA,"56,788,000","879,620","107,337,000","16,564,000","11,699,000","1,862,262","7,835,000",NA,"5,297,219","1,070,600","82,561,000",NA,NA,"3,273,361",NA,NA,"37,193,000","728,700","363,010",NA,NA,"1,526,178","477,154","6,005,178","6,691,513","3,757,000",NA,NA,NA,NA,"9,060,000","915,896","5,404,000","9,043,100","2,751,000","9,791,000",NA,NA,"7,284","22,244,000","9,154,000","4,400",NA,"1,149,224",NA,"37,494,500",NA,"19,049,000","654,169","1,448,000","232,692","2,687,959","127,000","731,000","1,658,000",NA,"31,239,000",NA,"8,666,000",NA,"8,048,000","3,877,000",NA,"66,557,000","22,042,000","302,825",NA,"971,100","2,358,000","4,246,000",NA,"8,321,000",NA,"54,497","25,947,026","16,757,000","282,000","1,826,635","47,573,000","17,512,000","6,057,658","6,746,993","5,225,174","2,201,808",NA,"9,821,000",NA,"1,076,000","3,617,000","11,969,000","2,346,000","1,493,700","25,783,000","28,648,000","539,525",NA,NA,"122,000","508,800",NA,"115,862,000",NA,NA,NA,NA,NA,NA,"2,825,522","32,028,000",NA,"20,971,000",NA,"13,800,000",NA,NA
Total Assets,268552,"45,390,000","10,985,000","10,698,700",NA,NA,"185,270,000","46,651,000","30,517,000","9,600,363",NA,"13,158,000","15,496,633","10,630,000",NA,NA,NA,NA,"22,686,185","239,681,000",NA,NA,"1,068,450","7,779,000","32,705,000",NA,"3,263,000","26,370,000","2,234,459,000",NA,"22,202,100","1,062,352",NA,NA,"30,267,000","39,443,000",NA,NA,NA,"124,349,000",NA,NA,"104,535,000","8,985,971","161,409,000","20,815,000","13,914,000","2,077,740","9,749,000",NA,"6,907,210","9,249,800","127,767,000",NA,NA,"3,748,318",NA,NA,"259,943,000","17,199,700","1,522,319",NA,NA,"44,549,782","10,703,177","6,774,572","9,041,245","34,244,000",NA,NA,NA,NA,"10,574,000","51,773,988","8,289,000","10,365,600","49,381,000","15,739,000",NA,NA,"1,762,843","39,764,000","22,547,000","2,657,468",NA,"5,201,749",NA,"50,699,300",NA,"22,548,000","3,252,349","10,361,000","4,111,719","3,139,273","89,664,000","9,828,000","14,720,000",NA,"38,179,000",NA,"44,772,000",NA,"96,704,000","9,398,000",NA,"95,151,000","25,527,000","1,574,939",NA,"4,783,600","2,893,200","4,859,200",NA,"18,854,000",NA,"30,406,364","31,828,810","162,399,000","4,700,000","2,501,518","68,453,000","35,605,000","6,931,570","8,429,657","20,432,332","4,072,901",NA,"10,763,000",NA,"122,750,000","428,398,000","161,261,000","419,355,000","1,890,500","1,132,059,000","45,393,000","2,813,863",NA,NA,"2,867,000","69,616,000",NA,"296,994,000",NA,NA,NA,NA,NA,NA,"4,513,684","42,737,000",NA,"1,922,220,000",NA,"16,356,000",NA,"272,695"
Net Debt,268593,"15,889,000","4,941,300","4,038,400",NA,NA,"8,944,000","25,132,000","10,795,000","2,505,384",NA,"4,914,500","2,037,344","8,803,000",NA,NA,NA,NA,"11,768,003","5,005,000",NA,NA,"561,805","2,600,000","12,280,000",NA,"1,573,700","53,000","-207,493,000",NA,"10,184,500","186,648",NA,NA,"6,259,000","14,068,000",NA,NA,NA,"23,030,000",NA,NA,"38,512,000","2,710,215","65,211,000","8,272,000","4,225,000","771,866","3,185,000",NA,"3,106,579","2,841,800","37,302,000",NA,NA,"1,474,398",NA,NA,"129,056,000","4,435,000","240,025",NA,NA,"7,563,775","4,288,125","3,018,645","3,488,121","2,739,000",NA,NA,NA,NA,"6,132,000","-15,624,585","2,086,000","3,180,000","14,671,000","5,613,000",NA,NA,"577,660","21,366,000","7,515,000","1,165,452",NA,"1,265,296",NA,"47,602,600",NA,"7,441,000","961,982","4,891,000","2,237,228","1,495,636","84,778,000","3,343,000","5,649,000",NA,"11,644,000",NA,"12,000,000",NA,"27,961,000","2,604,000",NA,"35,774,000","8,059,000","730,907",NA,"1,171,600","919,700","1,489,000",NA,"5,251,000",NA,"21,915,477","16,664,226","24,431,000","2,035,000","2,489,190","19,694,000","-1,928,000","2,323,642","2,760,680","9,144,742","580,680",NA,"3,453,000",NA,"6,265,000","-99,555,000","33,926,000","-48,292,000","548,000","-245,523,000","20,221,000","581,698",NA,NA,"38,000","3,274,800",NA,"129,495,000",NA,NA,NA,NA,NA,NA,"1,857,002","13,878,000",NA,"-136,265,000",NA,"5,217,000",NA,"215,500"
Total Debt,274444,"20,455,000","4,941,400","4,038,400",NA,NA,"28,906,000","29,255,000","10,801,000","2,821,192",NA,"4,918,400","2,264,363","9,143,000",NA,NA,NA,NA,"13,482,786","11,194,000",NA,NA,"605,574","2,613,000","13,345,000",NA,"2,195,700","967,000","578,054,000",NA,"10,283,500","187,112",NA,NA,"8,773,000","16,967,000",NA,NA,NA,"32,543,000",NA,NA,"38,925,000","3,137,716","65,522,000","8,291,000","4,240,000","777,310","3,195,000",NA,"4,091,951","4,377,400","39,160,000",NA,NA,"1,645,519",NA,NA,"158,561,000","5,924,100","563,585",NA,NA,"9,784,597","5,362,714","3,245,783","4,345,511","7,418,000",NA,NA,NA,NA,"6,154,000","24,370,889","2,086,000","3,826,000","14,862,000","6,103,000",NA,NA,"623,995","22,287,000","7,816,000","1,192,573",NA,"1,503,470",NA,"51,286,400",NA,"7,634,000","1,064,305","5,898,000","3,540,086","1,537,834","86,870,000","4,948,000","6,507,000",NA,"13,003,000",NA,"17,358,000",NA,"53,819,000","3,251,000",NA,"35,976,000","8,649,000","793,254",NA,"1,992,200","920,900","1,492,000",NA,"5,257,000",NA,"23,011,995","19,681,014","34,432,000","2,223,000","2,714,823","19,724,000","12,634,000","2,345,876","2,784,625","11,501,282","592,611",NA,"3,470,000",NA,"6,635,000","70,226,000","60,959,000","9,268,000","574,100","464,478,000","20,766,000","975,839",NA,NA,"662,000","3,378,600",NA,"138,506,000",NA,NA,NA,NA,NA,NA,"1,904,780","13,940,000",NA,"289,724,000",NA,"6,004,000",NA,"245,835"
Total Common Equity,268583,"11,880,000","3,159,100","4,498,600",NA,NA,"14,126,000","3,139,000","8,489,000","5,600,004",NA,"4,328,400","4,781,064","-1,242,000",NA,NA,NA,NA,"4,891,227","18,266,000",NA,NA,"322,373","2,345,000","5,932,000",NA,"372,200","9,745,000","175,896,000",NA,"7,785,000","410,640",NA,NA,"10,360,000","12,713,000",NA,NA,NA,"9,196,000",NA,NA,"23,949,000","3,246,421","44,044,000","7,411,000","4,674,000","710,729","3,884,000",NA,"2,649,921","2,929,000","32,884,000",NA,NA,"1,893,064",NA,NA,"33,125,000","7,676,100","422,808",NA,NA,"27,745,657","2,773,751","3,274,351","3,713,287","-1,986,000",NA,NA,NA,NA,"2,274,000","9,410,665","3,692,000","4,462,600","23,296,000","5,355,000",NA,NA,"1,012,670","2,458,000","6,057,000","1,423,182",NA,"1,873,345",NA,"-8,472,100",NA,"8,796,000","1,245,761","-756,000","-386,586","1,493,049","2,254,000","1,195,000","3,726,000",NA,"14,941,000",NA,"10,467,000",NA,"14,235,000","3,852,000",NA,"24,962,000","9,064,000","525,829",NA,"947,500","1,061,800","1,489,200",NA,"10,077,000",NA,"4,516,202","8,328,594","68,379,000","1,380,000","-551,324","16,234,000","9,769,000","2,144,273","2,619,238","2,028,890","719,983",NA,"4,164,000",NA,"25,293,000","40,385,000","-11,821,000","26,068,000","630,300","81,447,000","8,915,000","1,054,032",NA,NA,"620,000","10,892,200",NA,"65,069,000",NA,NA,NA,NA,NA,NA,"2,006,268","14,315,000",NA,"160,950,000",NA,"8,527,000",NA,"26,860"
Total Minority Interest,268584,"63,000",NA,NA,NA,NA,NA,"132,000","142,000",NA,NA,NA,"56,708.00","4,000.00",NA,NA,NA,NA,"3,137,158.00","65,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"719,000.00",NA,"78,900.00",340.00,NA,NA,"197,000.00","14,000.00",NA,NA,NA,NA,NA,NA,"1,730,000.00",NA,"1,289,000.00",NA,NA,NA,NA,NA,NA,"37,800.00","2,219,000.00",NA,NA,"4,996.00",NA,NA,"36,000.00","12,000.00",743.00,NA,NA,"218,185.00","57,556.00",NA,"30,736.00",NA,NA,NA,NA,NA,NA,"58,059.00",NA,"325,800.00","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"3,800.00",NA,NA,NA,NA,NA,"16,000.00",NA,"10,953.00","11,000.00","4,000.00","24,000.00",NA,NA,NA,NA,NA,"646,000.00","40,000.00",NA,NA,NA,NA,NA,300.00,NA,NA,NA,NA,NA,"99,437.00",NA,"1,731,000.00","9,000.00",-6.00,NA,NA,NA,"107,284.00","31,553.00",NA,NA,NA,NA,NA,"430,000.00","268,000.00",NA,NA,"1,668,000.00","-187,000.00",NA,NA,NA,NA,NA,NA,"1,461,000.00",NA,NA,NA,NA,NA,NA,"19,043.00",NA,NA,"859,000.00",NA,NA,NA,NA
Total Equity,268585,"11,943,000","3,159,100","4,498,600",NA,NA,"14,126,000","3,271,000","8,631,000","6,454,439.00",NA,"4,328,400.00","4,837,772.00","-1,238,000.00",NA,NA,NA,NA,"8,222,008.00","18,331,000.00",NA,NA,"322,373.00","2,345,000.00","8,388,000.00",NA,"372,200.00","9,745,000.00","194,595,000.00",NA,"7,863,900.00","410,980.00",NA,NA,"12,857,000.00","12,727,000.00",NA,NA,NA,"10,252,000.00",NA,NA,"28,066,000.00","3,246,421.00","47,295,000.00","7,411,000.00","4,674,000.00","710,729.00","3,884,000.00",NA,"2,656,103.00","2,966,800.00","35,103,000.00",NA,NA,"1,898,060.00",NA,NA,"33,161,000.00","7,688,100.00","423,551.00",NA,NA,"27,963,842.00","2,831,307.00","3,274,351.00","3,744,023.00","-1,986,000.00",NA,NA,NA,NA,"2,274,000.00","9,593,724.00","3,692,000.00","4,793,900.00","23,297,000.00","5,355,000.00",NA,NA,"1,012,670.00","2,458,000.00","6,057,000.00","1,423,182.00",NA,"1,877,145.00",NA,"-8,472,100.00",NA,"8,796,000.00","1,245,761.00","-740,000.00","-386,586.00","1,504,002.00","2,265,000.00","1,607,000.00","3,750,000.00",NA,"14,941,000.00",NA,"10,467,000.00",NA,"14,881,000.00","3,892,000.00",NA,"25,220,000.00","9,066,000.00","525,829.00",NA,"947,800.00","1,061,800.00","1,489,200.00",NA,"10,077,000.00",NA,"5,428,631.00","8,328,594.00","70,110,000.00","1,389,000.00","-551,330.00","18,179,000.00","9,769,000.00","2,144,273.00","2,726,522.00","2,060,443.00","719,983.00",NA,"4,164,000.00",NA,"27,263,000.00","45,347,000.00","-11,553,000.00","31,331,000.00","630,300.00","94,318,000.00","8,728,000.00","1,054,032.00",NA,NA,"620,000.00","10,892,200.00",NA,"66,530,000.00",NA,NA,NA,NA,NA,NA,"2,025,311.00","14,315,000.00",NA,"182,032,000.00",NA,"8,527,000.00",NA,"26,860.21"
Current Ratio (x),274464,1.90,0.80,0.32,NA,NA,NA,0.77,0.76,2.29,NA,0.63,1.47,1.15,NA,NA,NA,NA,5.22,2.14,NA,NA,1.37,0.94,0.73,NA,1.71,1.20,NA,NA,0.87,1.17,NA,NA,2.09,1.84,NA,NA,NA,1.05,NA,NA,1.13,1.48,0.52,0.71,0.95,0.63,0.45,NA,13.68,0.97,1.09,NA,NA,2.93,NA,NA,1.20,1.24,1.83,NA,NA,1.13,1.62,2.24,2.26,0.81,NA,NA,NA,NA,0.51,1.69,0.54,2.29,0.33,1.42,NA,NA,25.83,1.04,1.28,0.81,NA,1.54,NA,1.07,NA,0.75,2.31,1.20,2.21,1.98,11.40,1.76,1.51,NA,1.29,NA,1.44,NA,2.13,1.95,NA,0.72,1.12,2.10,NA,1.06,0.43,0.24,NA,0.26,NA,1.05,0.76,1.22,1.20,1.15,0.70,2.07,0.58,0.87,1.49,0.39,NA,0.33,NA,0.47,NA,1.42,0.28,0.87,1.81,0.78,1.74,NA,NA,1.21,10.53,NA,1.07,NA,NA,NA,NA,NA,NA,1.39,0.99,NA,NA,NA,2.46,NA,5.31
Quick Ratio (x),274465,1.24,0.38,0.15,NA,NA,NA,0.52,0.39,1.20,NA,0.22,1.03,0.25,NA,NA,NA,NA,4.79,1.98,NA,NA,1.18,0.57,0.57,NA,1.52,0.93,NA,NA,0.31,0.67,NA,NA,1.20,1.69,NA,NA,NA,0.98,NA,NA,0.15,0.92,0.20,0.31,0.17,0.17,0.21,NA,13.32,0.90,0.56,NA,NA,1.94,NA,NA,1.04,0.89,0.93,NA,NA,0.69,1.20,1.98,1.72,0.52,NA,NA,NA,NA,0.31,1.69,0.47,1.89,0.18,0.12,NA,NA,1.69,0.06,0.07,0.81,NA,1.44,NA,0.97,NA,0.44,1.39,0.98,2.08,1.85,11.05,1.25,0.86,NA,1.12,NA,1.25,NA,1.91,1.23,NA,0.51,0.73,0.94,NA,0.48,0.13,0.09,NA,0.19,NA,0.31,0.68,0.84,1.08,0.89,0.37,1.98,0.30,0.69,0.90,0.11,NA,0.19,NA,0.25,NA,0.42,0.28,0.61,1.66,0.15,0.86,NA,NA,0.61,4.25,NA,0.89,NA,NA,NA,NA,NA,NA,0.68,0.56,NA,NA,NA,1.61,NA,5.31
Total Debt/Equity (%),274466,171.27,156.42,89.77,NA,NA,NA,894.38,125.14,44,NA,114,47,NM,NA,NA,NA,NA,164,61,NA,NA,188,111,159,NA,590,10,NA,NA,131,46,NA,NA,68,133,NA,NA,NA,317,NA,NA,139,97,139,112,91,109,82,NA,154,148,112,NA,NA,87,NA,NA,478,77,133,NA,NA,35,189,99,116,NM,NA,NA,NA,NA,271,254,57,80,64,114,NA,NA,62,907,129,84,NA,80,NA,NM,NA,87,85,NM,NM,102,"3,835",308,174,NA,87,NA,166,NA,362,84,NA,143,95,151,NA,210,87,100,NA,52,NA,424,236,49,160,NM,108,129,109,102,558,82,NA,83,NA,24,NA,NM,30,91,492,238,93,NA,NA,107,31,NA,208,NA,NA,NA,NA,NA,NA,94,97,NA,NA,NA,70,NA,915
Total Debt / Total Capital (%),274467,63.14,61.00,47.31,NA,NA,NA,89.94,55.58,30,NA,53,32,116,NA,NA,NA,NA,62,38,NA,NA,65,53,61,NA,86,9,NA,NA,57,31,NA,NA,41,57,NA,NA,NA,76,NA,NA,58,49,58,53,48,52,45,NA,61,60,53,NA,NA,46,NA,NA,83,44,57,NA,NA,26,65,50,54,137,NA,NA,NA,NA,73,72,36,44,39,53,NA,NA,38,90,56,46,NA,44,NA,120,NA,46,46,114,112,51,97,75,63,NA,47,NA,62,NA,78,46,NA,59,49,60,NA,68,46,50,NA,34,NA,81,70,33,62,125,52,56,52,51,85,45,NA,45,NA,20,NA,123,23,48,83,70,48,NA,NA,52,24,NA,68,NA,NA,NA,NA,NA,NA,48,49,NA,NA,NA,41,NA,90
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
