SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"10,285,000","9,897,700","10,774,400",NA,NA,"10,527,000","2,012,000","26,807,000","8,555,888",NA,"11,472,900","1,105,714","5,539,000",NA,NA,NA,NA,"17,096,570",NA,NA,NA,"57,323","6,577,000","22,393,000",NA,"1,082,100","213,000","2,800,000",NA,"2,574,700","755,180",NA,NA,"16,422,000","32,916,000",NA,NA,NA,"487,000",NA,NA,"58,412,000","1,067,415","106,854,000","16,907,000","11,776,000","1,922,532","8,029,000",NA,"5,072,698","1,139,400","81,023,000",NA,NA,"3,280,445",NA,NA,"39,674,000","610,700","340,841",NA,NA,"2,059,729","489,000","6,125,043","6,741,324","3,734,000",NA,NA,NA,NA,"9,327,000","897,204","5,482,000","8,949,500","2,857,000","9,743,000","5,122,000",NA,"8,518","22,660,000","9,301,000",NA,NA,"1,124,601",NA,"38,785,900",NA,"19,279,000","668,891","1,490,000","233,776","2,667,432","116,000","717,000","1,706,000",NA,"31,778,000",NA,"8,604,000",NA,"6,244,000","4,036,000",NA,"67,872,000","22,458,000","369,309",NA,"1,014,200","2,420,600","4,362,600",NA,"8,376,000",NA,"53,912","25,846,580","16,842,000","281,000","1,815,508","48,787,000","17,418,000","6,178,818","6,869,452","5,062,183","2,188,927",NA,"10,146,000",NA,"1,450,000","3,602,000","13,072,000","3,820,000","1,544,000","25,427,000","28,685,000","546,671",NA,NA,"130,000","580,900",NA,"117,364,000",NA,NA,NA,NA,NA,NA,"2,895,176","32,754,000",NA,"20,592,000",NA,"14,287,000",NA,NA
Total Assets,268552,"47,344,000","11,030,200","11,246,000",NA,NA,"182,165,000","47,414,000","32,030,000","9,593,625",NA,"13,315,200","17,053,911","10,125,000",NA,NA,NA,NA,"22,586,907","247,869,000",NA,NA,"1,075,712","8,308,000","33,471,000",NA,"2,686,400","27,542,000","2,260,090,000",NA,"22,304,000","1,103,705",NA,"410,155,000","30,775,000","39,793,000",NA,NA,NA,"112,889,000",NA,NA,"95,905,000","9,152,074","162,388,000","20,957,000","14,041,000","2,155,458","10,025,000",NA,"6,704,185","9,611,800","129,317,000",NA,NA,"3,801,308",NA,NA,"267,261,000","16,051,500","1,478,505",NA,NA,"44,201,545","10,818,400","6,790,692","9,140,332","34,681,000",NA,NA,NA,NA,"10,825,000","53,118,352","8,080,000","9,964,000","49,779,000","14,555,000","11,205,000",NA,"1,826,087","39,471,000","21,172,000","2,769,364",NA,"5,227,849",NA,"52,626,800",NA,"22,711,000","3,225,831","10,876,000","4,198,647","3,120,489","87,412,000","8,414,000","14,700,000",NA,"37,962,000",NA,"44,469,000",NA,"115,438,000","9,481,000",NA,"97,462,000","25,702,000","1,753,435",NA,"4,632,700","3,018,300","4,990,700",NA,"18,659,000",NA,"33,252,114","32,465,187","162,153,000","4,711,000","2,693,412","69,286,000","34,588,000","7,256,636","8,735,853","22,628,266","4,413,968",NA,"11,048,000",NA,"125,987,000","469,633,000","152,136,000","549,009,000","2,014,700","1,163,028,000","45,256,000","2,853,228",NA,NA,"3,043,000","70,625,800",NA,"316,481,000",NA,NA,NA,NA,NA,NA,"4,883,868","43,654,000",NA,"1,952,911,000",NA,"16,311,000",NA,"287,908"
Net Debt,268593,"14,730,000","5,006,000","4,106,800",NA,NA,"8,741,000","24,526,000","11,437,000","2,699,518",NA,"4,967,900","2,214,315","7,600,000",NA,NA,NA,NA,"11,817,221","4,780,000",NA,NA,"561,580","2,459,000","12,431,000",NA,"1,554,900","-1,000","-211,280,000",NA,"9,444,600","188,812",NA,"14,292,000","6,029,000","14,074,000",NA,NA,NA,"7,676,000",NA,NA,"37,470,000","2,789,927","63,976,000","8,442,000","4,271,000","808,960","3,271,000",NA,"2,880,812","2,693,800","39,972,000",NA,NA,"1,469,377",NA,NA,"132,246,000","1,487,400","205,696",NA,NA,"8,325,136","3,722,700","3,124,916","3,393,532","2,257,000",NA,NA,NA,NA,"6,358,000","-14,261,691","2,185,000","3,652,600","14,251,000","5,401,000","1,368,000",NA,"507,743","22,874,000","6,726,000","1,176,706",NA,"1,051,611",NA,"48,014,100",NA,"7,588,000","935,211","4,449,000","2,218,598","1,463,090","82,938,000","3,386,000","5,329,000",NA,"12,533,000",NA,"11,306,000",NA,"28,808,000","2,582,000",NA,"37,686,000","8,720,000","899,283",NA,"961,100","925,700","1,584,300",NA,"5,146,000",NA,"24,649,425","16,455,514","25,019,000","2,004,000","2,626,797","20,830,000","-1,129,000","2,456,378","2,884,494","9,016,727","562,805",NA,"3,664,000",NA,"8,025,000","-139,642,000","39,428,000","-70,093,000","582,400","-229,489,000","20,798,000","393,319",NA,NA,"72,000","3,148,700",NA,"129,476,000",NA,NA,NA,NA,NA,NA,"1,875,838","14,644,000",NA,"-159,637,000",NA,"5,113,000",NA,"227,522"
Total Debt,274444,"19,775,000","5,006,100","4,106,800",NA,NA,"24,362,000","29,471,000","11,576,000","2,836,578",NA,"4,973,700","2,587,930","9,099,000",NA,NA,NA,NA,"13,485,963","8,888,000",NA,NA,"629,299","2,473,000","13,492,000",NA,"1,622,300","899,000","571,782,000",NA,"9,997,900","189,643",NA,"14,946,000","8,701,000","17,205,000",NA,NA,NA,"21,241,000",NA,NA,"37,642,000","3,303,002","64,253,000","8,453,000","4,278,000","813,257","3,285,000",NA,"3,906,389","4,378,400","40,635,000",NA,NA,"1,631,467",NA,NA,"162,998,000","4,431,400","522,899",NA,NA,"10,271,004","5,099,200","3,240,323","4,408,218","7,399,000",NA,NA,NA,NA,"6,362,000","25,553,886","2,185,000","3,840,800","14,491,000","6,124,000","1,392,000",NA,"543,685","23,750,000","7,411,000","1,208,625",NA,"1,491,729",NA,"51,463,200",NA,"7,627,000","1,019,794","5,703,000","3,519,119","1,506,434","84,428,000","3,726,000","6,310,000",NA,"13,648,000",NA,"16,609,000",NA,"71,865,000","3,299,000",NA,"37,947,000","8,733,000","944,050",NA,"1,595,800","926,200","1,586,900",NA,"5,160,000",NA,"25,884,423","20,140,249","33,821,000","2,219,000","3,003,813","20,885,000","12,205,000","2,497,448","2,967,846","15,077,542","805,274",NA,"3,674,000",NA,"8,336,000","69,198,000","64,935,000","22,214,000","594,100","501,172,000","21,197,000","873,211",NA,NA,"430,000","3,345,700",NA,"151,647,000",NA,NA,NA,NA,NA,NA,"2,180,147","14,679,000",NA,"293,420,000",NA,"5,608,000",NA,"259,549"
Total Common Equity,268583,"12,867,000","3,206,000","4,712,900",NA,NA,"14,703,000","2,839,000","8,938,000","5,617,995",NA,"4,344,300","5,089,319","-1,499,000",NA,NA,NA,NA,"4,504,749","18,023,000",NA,NA,"340,176","2,567,000","5,985,000",NA,"367,100","10,789,000","179,962,000",NA,"7,876,100","426,289",NA,"37,232,000","10,957,000","13,101,000",NA,NA,NA,"9,828,000",NA,NA,"23,730,000","3,385,773","46,002,000","7,558,000","4,783,000","718,236","3,935,000",NA,"2,630,437","3,168,400","32,585,000",NA,NA,"1,951,762",NA,NA,"30,690,000","8,964,200","439,090",NA,NA,"27,332,370","2,896,700","3,234,919","3,714,603","-2,228,000",NA,NA,NA,NA,"2,294,000","9,403,893","3,707,000","4,051,800","23,829,000","5,450,000","4,873,000",NA,"1,139,005","1,972,000","6,377,000","1,514,767",NA,"2,001,922",NA,"-7,824,900",NA,"8,919,000","1,243,083","-558,000","-443,234","1,512,234","2,433,000","1,048,000","3,874,000",NA,"14,791,000",NA,"10,579,000",NA,"12,074,000","3,901,000",NA,"25,218,000","9,171,000","559,441",NA,"1,144,500","1,192,100","1,545,600",NA,"10,098,000",NA,"4,508,024","8,760,669","72,163,000","1,417,000","-666,430","16,705,000","8,876,000","2,233,468","2,674,953","1,158,613","1,080,546",NA,"4,216,000",NA,"28,247,000","41,260,000","-18,316,000","48,327,000","616,700","84,729,000","8,602,000","1,114,828",NA,NA,"607,000","10,871,000",NA,"67,842,000",NA,NA,NA,NA,NA,NA,"2,027,787","14,557,000",NA,"164,419,000",NA,"8,731,000",NA,"28,359"
Total Minority Interest,268584,"64,000",NA,NA,NA,NA,NA,"126,000","142,000",NA,NA,NA,"59,633.00","4,000.00",NA,NA,NA,NA,"3,369,957.00","65,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"758,000.00",NA,"74,600.00",340.00,NA,"2,600,000.00","191,000.00","9,000.00",NA,NA,NA,NA,NA,NA,"344,000.00",NA,"1,220,000.00",NA,NA,NA,NA,NA,NA,"41,900.00","2,283,000.00",NA,NA,"4,928.00",NA,NA,"121,000.00","8,500.00",942.00,NA,NA,"154,674.00","64,400.00",NA,"29,534.00",NA,NA,NA,NA,NA,NA,"59,308.00",NA,"326,400.00","1,000.00",NA,"58,000.00",NA,NA,NA,NA,NA,NA,"3,603.00",NA,NA,NA,NA,NA,"17,000.00",NA,"10,711.00","14,000.00","3,000.00","26,000.00",NA,NA,NA,NA,NA,"643,000.00","40,000.00",NA,NA,NA,NA,NA,300.00,NA,NA,NA,NA,NA,"108,668.00",NA,"1,721,000.00","10,000.00",-7.00,NA,NA,NA,"165,716.00","34,265.00",NA,NA,NA,NA,NA,"319,000.00","241,000.00",NA,NA,"1,640,000.00","-29,000.00",NA,NA,NA,NA,NA,NA,"1,430,000.00",NA,NA,NA,NA,NA,NA,"22,355.00",NA,NA,"1,032,000.00",NA,NA,NA,NA
Total Equity,268585,"12,931,000","3,206,000","4,712,900",NA,NA,"14,703,000","2,965,000","9,080,000","6,472,430.00",NA,"4,344,300.00","5,148,952.00","-1,495,000.00",NA,NA,NA,NA,"8,068,329.00","18,088,000.00",NA,NA,"340,176.00","2,567,000.00","8,348,000.00",NA,"367,100.00","10,789,000.00","200,200,000.00",NA,"7,950,700.00","426,629.00",NA,"39,832,000.00","13,448,000.00","13,110,000.00",NA,NA,NA,"10,884,000.00",NA,NA,"26,461,000.00","3,385,773.00","49,184,000.00","7,558,000.00","4,783,000.00","718,236.00","3,935,000.00",NA,"2,636,619.00","3,210,300.00","34,868,000.00",NA,NA,"1,956,690.00",NA,NA,"30,811,000.00","8,972,700.00","440,032.00",NA,NA,"27,487,044.00","2,961,100.00","3,234,919.00","3,744,137.00","-2,228,000.00",NA,NA,NA,NA,"2,294,000.00","9,588,201.00","3,707,000.00","4,383,600.00","23,830,000.00","5,450,000.00","4,931,000.00",NA,"1,139,005.00","1,972,000.00","6,377,000.00","1,514,767.00",NA,"2,005,525.00",NA,"-7,824,900.00",NA,"8,919,000.00","1,243,083.00","-541,000.00","-443,234.00","1,522,945.00","2,447,000.00","1,324,000.00","3,900,000.00",NA,"14,791,000.00",NA,"10,579,000.00",NA,"12,717,000.00","3,941,000.00",NA,"25,476,000.00","9,173,000.00","559,441.00",NA,"1,144,800.00","1,192,100.00","1,545,600.00",NA,"10,098,000.00",NA,"5,429,684.00","8,760,669.00","73,884,000.00","1,427,000.00","-666,437.00","18,650,000.00","8,876,000.00","2,233,468.00","2,840,669.00","1,192,878.00","1,080,546.00",NA,"4,216,000.00",NA,"30,217,000.00","46,120,000.00","-18,075,000.00","56,060,000.00","616,700.00","97,572,000.00","8,573,000.00","1,114,828.00",NA,NA,"607,000.00","10,871,000.00",NA,"69,272,000.00",NA,NA,NA,NA,NA,NA,"2,050,142.00","14,557,000.00",NA,"185,712,000.00",NA,"8,731,000.00",NA,"28,358.64"
Current Ratio (x),274464,1.89,0.46,0.21,NA,NA,NA,0.79,0.76,1.93,NA,0.55,1.44,1.37,NA,NA,NA,NA,4.73,1.90,NA,NA,1.97,0.97,0.61,NA,0.55,1.25,NA,NA,0.88,1.68,NA,1.10,2.13,2.20,NA,NA,NA,1.20,NA,NA,0.64,1.51,0.53,0.58,0.85,0.44,0.40,NA,11.36,1.00,0.98,NA,NA,3.20,NA,NA,1.20,1.55,1.77,NA,NA,1.01,1.60,1.47,2.27,0.79,NA,NA,NA,NA,0.51,1.75,0.46,1.31,0.31,1.68,0.73,NA,20.42,1.01,1.18,1.88,NA,1.67,NA,1.01,NA,0.62,2.27,1.24,1.89,2.01,12.11,1.19,1.28,NA,1.07,NA,1.60,NA,3.03,1.81,NA,0.70,0.82,2.32,NA,1.17,0.99,0.38,NA,0.14,NA,0.85,0.95,1.21,1.27,1.85,0.51,2.02,0.78,0.96,1.84,1.82,NA,0.27,NA,0.81,NA,1.39,0.39,0.93,1.81,0.77,1.67,NA,NA,1.16,32.39,NA,1.38,NA,NA,NA,NA,NA,NA,1.73,0.94,NA,NA,NA,1.69,NA,5.31
Quick Ratio (x),274465,1.24,0.30,0.10,NA,NA,NA,0.56,0.41,0.72,NA,0.24,1.05,0.76,NA,NA,NA,NA,4.45,1.73,NA,NA,1.79,0.71,0.48,NA,0.36,0.95,NA,NA,0.43,1.02,NA,0.26,1.28,2.00,NA,NA,NA,1.20,NA,NA,0.25,0.96,0.21,0.23,0.19,0.15,0.22,NA,11.10,0.94,0.48,NA,NA,1.80,NA,NA,1.05,1.31,1.06,NA,NA,0.60,1.27,1.24,1.83,0.52,NA,NA,NA,NA,0.27,1.75,0.37,0.91,0.18,0.33,0.39,NA,1.79,0.06,0.19,1.88,NA,1.55,NA,0.95,NA,0.28,1.32,1.03,1.82,1.89,11.75,0.70,0.73,NA,0.91,NA,1.29,NA,2.87,1.14,NA,0.48,0.41,0.81,NA,0.47,0.56,0.13,NA,0.11,NA,0.20,0.87,0.78,1.14,1.60,0.25,1.93,0.51,0.77,1.35,1.18,NA,0.14,NA,0.17,NA,0.41,0.39,0.45,1.69,0.15,0.87,NA,NA,0.33,7.26,NA,1.18,NA,NA,NA,NA,NA,NA,1.05,0.51,NA,NA,NA,1.08,NA,5.31
Total Debt/Equity (%),274466,152.93,156.15,87.14,NA,NA,NA,993.96,127.49,44,NA,114,50,NM,NA,NA,NA,NA,167,49,NA,NA,185,96,162,NA,442,8,NA,NA,126,44,NA,38,65,131,NA,NA,NA,195,NA,NA,142,98,131,112,89,113,83,NA,148,136,117,NA,NA,83,NA,NA,529,49,119,NA,NA,37,172,100,118,NM,NA,NA,NA,NA,277,267,59,88,61,112,28,NA,48,"1,204",116,80,NA,74,NA,NM,NA,86,82,NM,NM,99,"3,450",281,162,NA,92,NA,157,NA,565,84,NA,149,95,169,NA,139,78,103,NA,51,NA,477,230,46,156,NM,112,138,112,104,"1,264",75,NA,87,NA,28,NA,NM,40,96,514,247,78,NA,NA,71,31,NA,219,NA,NA,NA,NA,NA,NA,106,101,NA,NA,NA,64,NA,915
Total Debt / Total Capital (%),274467,60.46,60.96,46.56,NA,NA,NA,90.86,56.04,30,NA,53,33,120,NA,NA,NA,NA,63,33,NA,NA,65,49,62,NA,82,8,NA,NA,56,31,NA,27,39,57,NA,NA,NA,66,NA,NA,59,49,57,53,47,53,45,NA,60,58,54,NA,NA,45,NA,NA,84,33,54,NA,NA,27,63,50,54,143,NA,NA,NA,NA,73,73,37,47,38,53,22,NA,32,92,54,44,NA,43,NA,118,NA,46,45,110,114,50,97,74,62,NA,48,NA,61,NA,85,46,NA,60,49,63,NA,58,44,51,NA,34,NA,83,70,31,61,129,53,58,53,51,93,43,NA,47,NA,22,NA,139,28,49,84,71,44,NA,NA,41,24,NA,69,NA,NA,NA,NA,NA,NA,52,50,NA,NA,NA,39,NA,90
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
