SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020,FQ42020
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,12/31/2020,12/31/2020,12/31/2020,,,12/31/2020,12/31/2020,12/31/2020,12/31/2020,,12/31/2020,12/31/2020,2/1/2020,,,,,12/31/2020,12/31/2020,,,12/31/2020,12/31/2020,12/31/2020,,12/31/2020,12/31/2020,12/31/2020,,5/31/2020,12/31/2020,,12/31/2020,12/31/2020,12/31/2020,,,,12/31/2020,,,12/31/2020,12/31/2020,12/31/2020,12/31/2020,12/31/2020,12/31/2020,12/31/2020,,12/31/2020,12/31/2020,12/31/2020,,,12/31/2020,,,12/31/2020,12/31/2020,1/2/2021,,,12/31/2020,12/27/2020,12/31/2020,12/31/2020,10/31/2020,,,,,12/31/2020,11/30/2020,12/31/2020,12/31/2020,12/31/2020,2/1/2020,12/31/2020,,12/31/2020,1/31/2020,2/1/2020,12/31/2020,,12/31/2020,,12/31/2020,,12/31/2020,10/3/2020,12/31/2020,12/31/2020,12/31/2020,12/31/2020,12/31/2020,12/31/2020,,12/31/2020,,12/31/2020,,5/31/2020,12/31/2020,,12/31/2020,12/31/2020,12/31/2020,,12/31/2020,12/31/2020,12/31/2020,,12/31/2020,,12/31/2020,12/31/2020,12/31/2020,1/31/2020,12/31/2020,12/31/2020,12/31/2020,12/31/2020,12/31/2020,6/27/2020,12/31/2020,,12/31/2020,,12/31/2020,12/31/2020,12/31/2020,12/31/2020,12/31/2020,12/31/2020,2/1/2020,10/31/2020,,,12/31/2020,12/31/2020,,12/31/2020,,,,,,,3/31/2020,12/31/2020,,12/31/2020,,12/31/2020,,12/31/2020
Financial Filing Date,309159,2/9/2022,2/24/2022,2/24/2022,,,2/25/2022,2/25/2022,2/23/2022,2/25/2022,,2/24/2022,2/11/2022,3/19/2021,,,,,2/25/2022,2/24/2022,,,2/25/2022,2/22/2022,2/22/2022,,2/23/2022,2/24/2022,2/28/2022,,7/23/2021,3/31/2022,,3/11/2022,2/14/2022,2/16/2022,,,,2/24/2022,,,2/24/2022,2/11/2022,2/24/2022,2/24/2022,2/24/2022,3/11/2022,2/24/2022,,2/23/2022,2/24/2022,2/25/2022,,,2/18/2022,,,2/4/2022,3/1/2022,3/10/2022,,,2/18/2022,2/23/2022,3/1/2022,2/28/2022,12/9/2021,,,,,2/11/2022,1/28/2022,3/12/2022,2/1/2022,2/24/2022,3/18/2021,3/10/2022,,2/15/2022,3/22/2021,3/29/2021,2/25/2022,,3/1/2022,,2/24/2022,,2/28/2022,11/15/2021,2/16/2022,2/11/2022,2/22/2022,2/25/2022,2/25/2022,2/14/2022,,2/4/2022,,1/27/2022,,6/21/2021,2/16/2022,,2/10/2022,2/28/2022,2/25/2022,,2/15/2022,3/29/2022,2/24/2022,,2/24/2022,,2/17/2022,3/1/2022,2/11/2022,3/26/2021,2/18/2022,2/24/2022,2/7/2022,3/1/2022,3/1/2022,8/30/2021,2/25/2022,,2/14/2022,,2/18/2022,2/25/2022,1/31/2022,2/24/2022,2/28/2022,2/25/2022,3/30/2021,12/17/2021,,,2/14/2022,2/25/2022,,2/11/2022,,,,,,,5/28/2021,2/24/2022,,2/22/2022,,2/18/2022,,4/30/2022
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.365300
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.321567
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"5,045,000",100,NA,NA,NA,"15,621,000","4,945,000","139,000","137,060",NA,"5,800","373,615","1,499,000",NA,NA,NA,NA,"1,668,742","9,444,000",NA,NA,"67,719","14,000","1,061,000",NA,"67,400","900,000","783,062,000",NA,"553,300",831,NA,"9,831,000","2,672,000","3,131,000",NA,NA,NA,"13,565,000",NA,NA,"172,000","513,075","277,000","11,000","7,000","4,297","14,000",NA,"1,025,577","1,684,600","663,000",NA,NA,"162,090",NA,NA,"30,752,000","2,944,000","317,203",NA,NA,"1,945,868","1,376,500","115,407","1,014,686","5,142,000",NA,NA,NA,NA,"4,000","39,815,577",NA,"188,200","240,000","723,000","24,000",NA,"35,942","876,000","685,000","31,919",NA,"440,118",NA,"3,449,100",NA,"39,000","84,583","1,254,000","1,300,521","43,344","1,490,000","340,000","981,000",NA,"1,115,000",NA,"4,907,000",NA,"43,057,000","717,000",NA,"261,000","13,000","44,767",NA,"634,700",500,"2,600",NA,"14,000",NA,"1,234,998","3,684,735","8,802,000","188,000","377,016","55,000","13,334,000","41,070","83,352","6,060,815","242,469",NA,"10,000",NA,"7,118,000","208,840,000","25,507,000","92,307,000","11,700","730,661,000","399,000","479,892",NA,NA,"358,000","1,667,000",NA,"22,171,000",NA,NA,NA,NA,NA,NA,"304,309","35,000",NA,"453,057,000",NA,"495,000",NA,"32,027"
