SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Equity,268585,"10,915,000","3,076,200","4,381,000",NA,NA,"13,826,000","5,824,000","8,369,000","6,029,809.00",NA,"4,262,100.00","4,749,948.00","-929,000.00",NA,NA,NA,NA,"8,272,366.00","20,974,000.00",NA,NA,"328,781.00","2,357,000.00","8,392,000.00",NA,"322,700.00","9,258,000.00","192,302,000.00",NA,"7,690,600.00","412,286.00",NA,NA,"12,133,000.00","12,163,000.00",NA,NA,NA,"9,643,000.00",NA,NA,"30,884,000.00","3,089,527.00","46,611,000.00","7,124,000.00","4,655,000.00","698,333.00","3,814,000.00",NA,"2,742,291.00","2,734,300.00","34,871,000.00",NA,NA,"1,806,280.00",NA,NA,"30,855,000.00","7,406,900.00","396,563.00",NA,NA,"27,632,989.00","2,666,284.00","3,348,764.00","3,739,703.00","-743,000.00",NA,NA,NA,NA,"2,263,000.00","9,508,375.00","3,598,000.00","4,745,000.00","22,923,000.00","5,455,000.00",NA,NA,"918,782.00","2,640,000.00","6,315,000.00","1,370,944.00",NA,"1,750,836.00",NA,"-9,463,100.00",NA,"8,459,000.00","1,245,678.00","-815,000.00","-310,932.00","1,503,469.00","2,126,000.00","1,525,000.00","3,516,000.00",NA,"14,861,000.00",NA,"9,712,000.00",NA,"16,185,000.00","3,663,000.00",NA,"5,313,000.00","8,780,000.00","493,268.00",NA,"753,200.00","1,067,600.00","1,409,200.00",NA,"10,123,000.00",NA,"5,388,972.00","9,548,774.00","68,927,000.00","1,349,000.00","-411,862.00","18,781,000.00","10,878,000.00","2,151,977.00","2,698,216.00","2,561,596.00","709,919.00",NA,"4,003,000.00",NA,"26,986,000.00","43,966,000.00","-11,382,000.00","30,815,000.00","640,100.00","91,054,000.00","8,653,000.00","984,950.00",NA,NA,"616,000.00","10,561,400.00",NA,"64,113,000.00",NA,NA,NA,NA,NA,NA,"2,005,836.00","13,944,000.00",NA,"180,122,000.00",NA,"8,202,000.00",NA,"25,630.23"
Current Ratio (x),274464,1.94,0.41,0.42,NA,NA,NA,0.75,0.81,1.67,NA,0.61,1.45,1.20,NA,NA,NA,NA,5.55,2.12,NA,NA,1.49,0.46,0.58,NA,1.68,1.15,NA,NA,0.88,1.25,NA,NA,2.27,1.62,NA,NA,NA,1.17,NA,NA,0.64,1.32,0.55,0.89,0.96,0.45,0.45,NA,14.57,1.27,1.13,NA,NA,3.11,NA,NA,1.34,1.13,1.90,NA,NA,1.03,1.61,1.35,2.22,0.78,NA,NA,NA,NA,0.66,1.66,0.65,2.44,0.31,1.65,NA,NA,19.98,1.06,1.48,1.35,NA,1.40,NA,0.91,NA,0.81,2.36,1.17,2.26,2.16,11.02,1.80,1.47,NA,1.21,NA,1.36,NA,2.37,1.87,NA,0.45,1.15,2.46,NA,0.99,0.53,0.24,NA,0.44,NA,1.49,0.99,1.20,1.17,1.79,0.81,1.70,0.77,0.95,1.25,1.04,NA,0.34,NA,0.50,NA,1.41,0.31,1.31,1.76,0.76,1.61,NA,NA,1.23,7.69,NA,0.96,NA,NA,NA,NA,NA,NA,1.51,0.88,NA,NA,NA,2.28,NA,2.96
Quick Ratio (x),274465,1.23,0.22,0.23,NA,NA,NA,0.53,0.45,0.31,NA,0.24,1.00,0.51,NA,NA,NA,NA,4.77,1.96,NA,NA,1.38,0.32,0.46,NA,1.50,0.88,NA,NA,0.33,0.75,NA,NA,1.28,1.47,NA,NA,NA,1.17,NA,NA,0.31,0.85,0.19,0.33,0.10,0.09,0.18,NA,13.82,1.17,0.60,NA,NA,1.56,NA,NA,1.17,0.76,0.88,NA,NA,0.62,1.08,1.10,1.68,0.48,NA,NA,NA,NA,0.48,1.66,0.52,1.85,0.17,0.22,NA,NA,1.37,0.13,0.21,1.35,NA,1.28,NA,0.84,NA,0.53,1.51,0.98,2.19,1.90,10.70,1.28,0.78,NA,1.02,NA,1.20,NA,2.16,1.13,NA,0.20,0.78,1.17,NA,0.40,0.22,0.10,NA,0.18,NA,0.45,0.91,0.75,1.06,1.48,0.35,1.63,0.56,0.78,0.71,0.24,NA,0.19,NA,0.28,NA,0.47,0.31,0.91,1.64,0.16,0.70,NA,NA,0.68,3.38,NA,0.81,NA,NA,NA,NA,NA,NA,0.76,0.47,NA,NA,NA,1.54,NA,2.96
Total Debt/Equity (%),274466,198.05,155.15,90.27,NA,NA,NA,498.66,127.23,49,NA,116,49,NM,NA,NA,NA,NA,163,58,NA,NA,199,103,154,NA,681,10,NA,NA,140,39,NA,NA,70,140,NA,NA,NA,241,NA,NA,131,113,142,119,100,107,82,NA,149,160,115,NA,NA,93,NA,NA,572,80,153,NA,NA,35,203,91,122,NM,NA,NA,NA,NA,273,261,52,81,66,111,NA,NA,65,837,125,83,NA,83,NA,NM,NA,92,94,NM,NM,104,"4,157",338,194,NA,87,NA,179,NA,333,98,NA,649,98,159,NA,273,79,108,NA,57,NA,309,205,50,172,NM,97,106,112,106,373,84,NA,84,NA,25,NA,NM,33,90,497,238,99,NA,NA,109,36,NA,212,NA,NA,NA,NA,NA,NA,90,98,NA,NA,NA,77,NA,951
Total Debt / Total Capital (%),274467,66.45,60.81,47.44,NA,NA,NA,83.30,55.99,33,NA,54,33,111,NA,NA,NA,NA,62,37,NA,NA,67,51,61,NA,87,9,NA,NA,58,28,NA,NA,41,58,NA,NA,NA,71,NA,NA,57,53,59,54,50,52,45,NA,60,62,54,NA,NA,48,NA,NA,85,44,60,NA,NA,26,67,48,55,113,NA,NA,NA,NA,73,72,34,45,40,53,NA,NA,39,89,55,45,NA,45,NA,122,NA,48,48,115,110,51,98,77,66,NA,47,NA,64,NA,77,50,NA,87,50,61,NA,73,44,52,NA,36,NA,76,67,33,63,118,49,51,53,52,79,46,NA,46,NA,20,NA,123,25,47,83,70,50,NA,NA,52,26,NA,68,NA,NA,NA,NA,NA,NA,47,50,NA,NA,NA,44,NA,90
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"7,176,000","401,500","238,100",NA,NA,"1,575,000","5,062,000","1,336,000","280,689",NA,"637,500","6,606,494","2,902,000",NA,NA,NA,NA,"656,313","-922,000",NA,NA,"102,009","483,000","1,575,000",NA,"185,100","2,714,000","10,992,000",NA,"2,820,800","63,524",NA,NA,"2,561,000","2,255,000",NA,NA,NA,"616,000",NA,NA,"3,106,000","1,499,175","5,421,000","1,250,000","617,000","95,732","423,000",NA,"104,228","982,800","7,325,000",NA,NA,"109,157",NA,NA,"19,371,000","1,041,600","259,009",NA,NA,"1,671,952","860,300","179,224","156,173","12,469,000",NA,NA,NA,NA,"342,000","1,123,603","400,000","547,900","2,864,000","4,430,000","4,737,000",NA,"481,602","20,992,000","5,722,000","52,007",NA,"1,569,297",NA,"3,761,500",NA,"616,000","765,277","1,618,000","409,616","83,326","389,000","1,484,000","2,111,000",NA,"2,085,000",NA,"8,884,000",NA,"9,614,000","1,625,000",NA,"4,533,000","1,144,000","424,045",NA,"1,537,200","78,600","308,600",NA,"1,799,000",NA,"420,332","175,605","14,061,000","1,594,000","6,586","2,980,000","1,008,000","262,434","757,247","15,025,042","126,049",NA,"549,000",NA,"10,403,000","3,867,000","11,807,000","2,450,000","153,100","11,705,000","28,168,000","929,398",NA,NA,"948,000","3,021,200",NA,"30,447,000",NA,NA,NA,NA,NA,NA,"592,256","1,805,000",NA,"8,782,000",NA,"1,631,000",NA,NA
Gross Profit,271473,"3,371,000","282,300","215,100",NA,NA,"1,575,000","3,339,000","744,000","146,037.00",NA,"278,000.00","750,463.00","983,000.00",NA,NA,NA,NA,"414,221.00","-1,945,000.00",NA,NA,"67,066.00","160,000.00","661,000.00",NA,"22,200.00","1,189,000.00","10,992,000.00",NA,"797,900.00","18,691.00",NA,NA,"854,000.00","1,190,000.00",NA,NA,NA,"499,000.00",NA,NA,"1,646,000.00","559,155.00","2,660,000.00","599,000.00","285,000.00","39,876.00","245,000.00",NA,"88,899.00","573,500.00","1,966,000.00",NA,NA,"81,106.00",NA,NA,"-792,000.00","582,800.00","140,596.00",NA,NA,"778,212.00","459,100.00","122,992.00","78,065.00","2,493,000.00",NA,NA,NA,NA,"322,000.00","764,435.00","212,000.00","283,700.00","1,580,000.00","1,880,000.00","519,000.00",NA,"119,225.00","6,740,000.00","2,327,000.00","52,007.00",NA,"227,472.00",NA,"1,725,300.00",NA,"320,000.00","208,054.00","781,000.00","339,160.00","81,876.00","389,000.00","377,000.00","664,000.00",NA,"915,000.00",NA,"1,826,000.00",NA,"7,566,000.00","344,000.00",NA,"1,495,000.00","518,000.00","73,721.00",NA,"358,100.00","30,300.00","117,000.00",NA,"1,309,000.00",NA,"420,332.00","-479,200.00","1,847,000.00","185,000.00","-62,402.00","1,171,000.00","-1,440,000.00","95,641.00","156,731.00","2,828,399.00","71,573.00",NA,"306,000.00",NA,"3,705,000.00","3,867,000.00","-326,000.00","2,372,000.00","60,900.00","10,346,000.00","6,161,000.00","309,967.00",NA,NA,"275,000.00","874,600.00",NA,"18,698,000.00",NA,NA,NA,NA,NA,NA,"182,157.00","1,071,000.00",NA,"8,782,000.00",NA,"348,000.00",NA,NA
Earnings from Cont. Ops.,271505,"1,303,000","66,900","73,700",NA,NA,"242,000","1,938,000","244,000","31,807.0",NA,"81,300.0","133,337.0","38,000.0",NA,NA,NA,NA,"303,833.0","-1,991,000.0",NA,NA,"-24,644.0","17,000.0","135,000.0",NA,"-23,600.0","909,000.0","1,057,000.0",NA,"261,500.0","-1,022.0",NA,NA,"-71,000.0","499,000.0",NA,NA,NA,"-368,000.0",NA,NA,"869,000.0","124,766.0","-892,000.0","216,000.0","81,000.0","9,908.0","66,000.0",NA,"-62,965.0","100,400.0","574,000.0",NA,NA,"36,426.0",NA,NA,"1,118,000.0","59,800.0","-22,960.0",NA,NA,"39,444.0","-32,900.0","13,725.0","-34,103.0","764,000.0",NA,NA,NA,NA,"121,000.0","40,719.0","48,000.0","110,300.0","298,000.0","241,000.0","-373,000.0",NA,"55,624.0","1,676,000.0","86,000.0","43,369.0",NA,"56,827.0",NA,"483,800.0",NA,"208,000.0","49,745.0","136,000.0","115,123.0","44,425.0","125,000.0","64,000.0","78,000.0",NA,"392,000.0",NA,"1,005,000.0",NA,"2,311,000.0","95,000.0",NA,"-473,000.0","166,000.0",714.0,NA,"-235,400.0","2,700.0","46,400.0",NA,"430,000.0",NA,"44,129.0","-1,631,848.0","-3,820,000.0","57,000.0","-132,552.0","411,000.0","-915,000.0","11,942.0","39,881.0","383,410.0","28,991.0",NA,"117,000.0",NA,"1,106,000.0","965,000.0","-2,395,000.0","671,000.0","17,800.0","373,000.0","287,000.0","98,446.0",NA,NA,"126,000.0","265,500.0",NA,"4,839,000.0",NA,NA,NA,NA,NA,NA,"8,062.0","490,000.0",NA,"-3,798,000.0",NA,"72,000.0",NA,124.2
Net Income,271510,"1,306,000","66,900","73,700",NA,NA,"241,000","1,943,000","243,000","31,807.00",NA,"81,300.00","132,804.00","38,000.00",NA,NA,NA,NA,"304,600.00","-1,991,000.00",NA,NA,"-24,644.00","13,000.00","105,000.00",NA,"-118,800.00","909,000.00","1,056,000.00",NA,"260,500.00","-1,022.00",NA,NA,"-71,000.00","499,000.00",NA,NA,NA,"-368,000.00",NA,NA,"-1,169,000.00","124,766.00","-802,000.00","216,000.00","81,000.00","9,908.00","66,000.00",NA,"-62,965.00","100,200.00","521,000.00",NA,NA,"36,332.00",NA,NA,"1,117,000.00","130,000.00","-22,543.00",NA,NA,"37,331.00","-33,900.00","13,725.00","-34,084.00","764,000.00",NA,NA,NA,NA,"121,000.00","43,497.00","48,000.00","109,700.00","298,000.00","241,000.00","-373,000.00",NA,"55,624.00","1,676,000.00","86,000.00","43,369.00",NA,"57,005.00",NA,"483,800.00",NA,"208,000.00","49,745.00","135,000.00","115,123.00","44,368.00","125,000.00","64,000.00","78,000.00",NA,"392,000.00",NA,"1,005,000.00",NA,"2,311,000.00","96,000.00",NA,"-473,000.00","166,000.00",714.00,NA,"-235,400.00","2,700.00","46,400.00",NA,"430,000.00",NA,"5,489.00","-1,639,292.00","-3,835,000.00","57,000.00","-132,550.00","411,000.00","-915,000.00","11,942.00","37,965.00","383,410.00","28,991.00",NA,"117,000.00",NA,"1,250,000.00","950,000.00","-2,376,000.00","671,000.00","17,800.00","373,000.00","297,000.00","98,446.00",NA,NA,"126,000.00","265,500.00",NA,"4,700,000.00",NA,NA,NA,NA,NA,NA,"3,194.00","490,000.00",NA,"-3,846,000.00",NA,"72,000.00",NA,124.16
EBIT,271530,"1,391,000","85,500","106,000",NA,NA,NA,"2,893,000","384,000","49,708.00",NA,"124,600.00","199,588.00","175,000.00",NA,NA,NA,NA,"200,069.00","-2,477,000.00",NA,NA,"-17,224.00","41,000.00","234,000.00",NA,-200.00,"1,159,000.00",NA,NA,"494,200.00","2,054.00",NA,NA,"244,000.00","846,000.00",NA,NA,NA,NA,NA,NA,"934,000.00","198,827.00","1,176,000.00","332,000.00","134,000.00","16,131.00","99,000.00",NA,"29,735.00","166,800.00","567,000.00",NA,NA,"40,640.00",NA,NA,"-2,065,000.00","101,800.00","-22,907.00",NA,NA,"189,774.00","12,500.00","37,905.00","-8,402.00","969,000.00",NA,NA,NA,NA,"209,000.00",NA,"67,000.00","190,900.00","702,000.00","383,000.00","-268,000.00",NA,"69,086.00","2,381,000.00","157,000.00","43,192.00",NA,"75,033.00",NA,"1,002,300.00",NA,"117,000.00","70,517.00","291,000.00","215,175.00","57,602.00",NA,"98,000.00","175,000.00",NA,"633,000.00",NA,"1,297,000.00",NA,"3,224,000.00","180,000.00",NA,"691,000.00","258,000.00","12,106.00",NA,"83,800.00","7,800.00","61,700.00",NA,"679,000.00",NA,NA,"-1,125,990.00","-322,000.00","103,000.00","-141,052.00","523,000.00","-2,154,000.00","22,095.00","59,166.00","617,376.00","31,236.00",NA,"164,000.00",NA,"2,209,000.00",NA,"-2,042,000.00",NA,"20,700.00",NA,"557,000.00","129,656.00",NA,NA,"173,000.00","397,800.00",NA,"7,646,000.00",NA,NA,NA,NA,NA,NA,"18,425.00","679,000.00",NA,NA,NA,"228,000.00",NA,NA
EBIT / Interest Expense (x),274483,10.15,2.03,3.23,NA,NA,NA,9.10,3.56,1.68,NA,2.30,5.32,1.84,NA,NA,NA,NA,1.87,NM,NA,NA,NM,1.41,1.73,NA,NM,82.79,NA,NA,4.06,0.85,NA,NA,3.64,4.43,NA,NA,NA,NA,NA,NA,1.81,6.93,2.12,4.15,3.19,2.68,3.96,NA,0.78,4.56,1.33,NA,NA,3.11,NA,NA,NM,2.81,NM,NA,NA,2.34,0.25,1.56,NM,15.14,NA,NA,NA,NA,3.67,NA,3.05,5.01,4.47,7.23,NM,NA,NA,13.08,3.02,3.63,NA,5.07,NA,3.14,NA,1.50,6.88,4.85,5.22,4.25,NA,1.72,2.47,NA,4.06,NA,8.42,NA,6.96,5.00,NA,3.66,2.35,1.12,NA,4.68,0.76,3.98,NA,7.46,NA,NA,NM,NM,4.68,NM,2.71,NM,0.92,2.24,8.04,3.66,NA,4.69,NA,27.96,NA,NM,NA,3.23,NA,4.29,14.97,NA,NA,43.25,8.38,NA,7.02,NA,NA,NA,NA,NA,NA,1.93,4.96,NA,NA,NA,2.21,NA,NA
Avg. Days Sales Out.,274485,58.8,53.9,51.0,NA,NA,NA,2.6,50.3,10,NA,39,109,9,NA,NA,NA,NA,164,NM,NA,NA,78,80,59,NA,21,109,NA,NA,28,104,NA,NA,61,38,NA,NA,NA,NA,NA,NA,62,72,46,15,7,5,18,NA,95,55,44,NA,NA,73,NA,NA,17,107,50,NA,NA,43,127,61,45,36,NA,NA,NA,NA,30,NA,59,41,33,NA,NA,NA,10,NA,4,NA,NA,107,NA,56,NA,41,117,117,105,104,NA,78,66,NA,27,NA,79,NA,37,54,NA,95,47,32,NA,11,96,18,NA,20,NA,NA,96,120,59,466,42,8,57,59,27,42,NA,37,NA,59,NA,92,NA,35,NA,5,35,NA,NA,36,NA,NA,72,NA,NA,NA,NA,NA,NA,46,57,NA,NA,NA,NA,NA,NA
Accounts Receivable Turnover (x),274489,6.19,6.75,7.14,NA,NA,NA,141.10,7.24,36,NA,9,3,42,NA,NA,NA,NA,2,1,NA,NA,5,5,6,NA,18,3,NA,NA,13,3,NA,NA,6,10,NA,NA,NA,NA,NA,NA,6,5,8,25,53,72,20,NA,4,7,8,NA,NA,5,NA,NA,21,3,7,NA,NA,8,3,6,8,10,NA,NA,NA,NA,12,NA,6,9,11,NA,NA,NA,37,NA,93,NA,NA,3,NA,6,NA,9,3,3,3,3,NA,5,6,NA,13,NA,5,NA,10,7,NA,4,8,11,NA,33,4,20,NA,19,NA,NA,4,3,6,1,9,45,6,6,14,9,NA,10,NA,6,NA,4,NA,11,NA,72,10,NA,NA,10,NA,NA,5,NA,NA,NA,NA,NA,NA,8,6,NA,NA,NA,NA,NA,NA
Fixed Asset Turnover (x),274488,2.88,0.18,0.10,NA,NA,NA,10.13,0.22,0,NA,0,33,2,NA,NA,NA,NA,0,NA,NA,NA,8,0,0,NA,1,52,NA,NA,4,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,7,0,0,0,0,0,NA,0,4,0,NA,NA,0,NA,NA,2,6,3,NA,NA,5,7,0,0,13,NA,NA,NA,NA,0,NA,0,0,4,2,NA,NA,270,4,3,46,NA,6,NA,0,NA,0,5,4,7,0,NA,8,5,NA,0,NA,4,NA,5,2,NA,0,0,6,NA,6,0,0,NA,1,NA,NA,0,4,23,0,0,0,0,0,12,0,NA,0,NA,37,NA,4,NA,0,NA,4,7,NA,NA,29,23,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA
Total Asset Turnover (x),274487,0.63,0.15,0.09,NA,NA,NA,0.39,0.18,0,NA,0,2,1,NA,NA,NA,NA,0,NM,NA,NA,0,0,0,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,0,0,1,NA,NA,0,0,0,0,2,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,1,2,1,0,NA,1,NA,0,NA,0,1,1,0,0,0,1,1,NA,0,NA,1,NA,0,1,NA,0,0,1,NA,1,0,0,NA,0,NA,0,0,0,1,0,0,0,0,0,3,0,NA,0,NA,0,NA,0,0,0,0,3,1,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"1,905,000","183,900","106,100",NA,NA,"348,000","1,817,000","404,000","152,708",NA,"157,100","418,245","235,000",NA,NA,NA,NA,"379,075","371,000",NA,NA,"28,737","206,000","519,000",NA,NA,"447,000","6,325,000",NA,"220,500","33,485",NA,NA,"550,000","1,006,000",NA,NA,NA,"1,587,000",NA,NA,"1,503,000","271,809","1,803,000","398,000","243,000","26,397","155,000",NA,"-31,631","251,200","1,600,000",NA,NA,"77,241",NA,NA,"9,115,000","479,300","88,770",NA,NA,"523,715","-33,400","106,762","-25,462","-510,000",NA,NA,NA,NA,"132,000","1,079,043","62,000","242,300","648,000","540,000","45,000",NA,"87,269","1,446,000","388,000","-21,658",NA,"263,954",NA,"-213,100",NA,"109,000","38,598","209,000","262,616","59,727","142,000","232,000","109,000",NA,"803,000",NA,"2,337,000",NA,"513,000","281,000",NA,"1,188,000","333,000","26,208",NA,"381,100","37,100","65,900",NA,"699,000",NA,"1,454,897","-2,247,533","21,000","95,000","-114,522","349,000","897,000","94,552","103,574","582,890","24,294",NA,"190,000",NA,"1,849,000","6,810,000","-5,280,000","-16,443,000","38,700","-11,647,000","1,009,000","94,184",NA,NA,"152,000","632,500",NA,"14,728,000",NA,NA,NA,NA,NA,NA,"136,828","743,000",NA,"16,119,000",NA,"391,000",NA,0
Cash from Investing,272601,"577,000","(324,900)","(327,100)",NA,NA,"11,630,000","(11,000)","(631,000)","-143,252",NA,"-238,800","-31,571","-131,000",NA,NA,NA,NA,"-46,729","-641,000",NA,NA,"-2,970","80,000","511,000",NA,NA,"-106,000","-18,832,000",NA,"67,300","-14,181",NA,NA,"-245,000","-147,000",NA,NA,NA,"996,000",NA,NA,"-1,693,000","-67,763","-2,449,000","-542,000","-142,000","-46,756","-238,000",NA,"-13,219","-114,800","-644,000",NA,NA,"-62,720",NA,NA,"-11,101,000","-21,100","-3,665",NA,NA,"-100,641","-24,300","-38,065","-114,283","118,000",NA,NA,NA,NA,"-162,000","-114,108","-138,000","-110,600","-126,000","-201,000","-216,500",NA,-143,"-327,000","-217,000",NA,NA,"-77,933",NA,"-396,600",NA,"-348,000","-26,534","-115,000","-11,536","-29,108","2,407,000","-56,000","-32,000",NA,"-307,000",NA,"-269,000",NA,"1,233,000","7,000",NA,"-1,786,000","-605,000","-3,177",NA,"3,300","-44,600","-87,900",NA,"-75,000",NA,"-297,595","-250,300","3,096,000","-7,000","-42,605","-1,110,000","332,000","-182,352","-213,751","-281,066","-78,181",NA,"-329,000",NA,"-1,026,000","19,855,000","-12,307,000","-58,249,000","-36,800","3,907,000","-575,000","-151,756",NA,NA,"-27,000","-1,213,300",NA,"-5,144,000",NA,NA,NA,NA,NA,NA,"-176,952","-874,000",NA,"103,687,000",NA,"-65,000",NA,NA
Cash from Financing,272618,"(2,509,000)","177,500","221,000",NA,NA,"919,000","(2,576,000)","187,000","-9,940",NA,"85,000","-374,833","-397,000",NA,NA,NA,NA,"800,731","-1,335,000",NA,NA,"-156,166","-286,000","-1,083,000",NA,NA,"-121,000","36,365,000",NA,"-160,700","-19,622",NA,NA,"-178,000","-463,000",NA,NA,NA,"1,373,000",NA,NA,"-335,000","-67,458","-411,000","170,000","-100,000","16,048","77,000",NA,"-175,358","823,600","-268,000",NA,NA,"-48,682",NA,NA,"6,937,000","-445,300","-53,733",NA,NA,"-432,609","-141,000","-210,169","89,316","241,000",NA,NA,NA,NA,"104,000","-653,255","75,000","398,400","-573,000","-257,000","166,000",NA,"-156,256","-2,297,000","-239,000","36,009",NA,"-209,326",NA,"-1,577,900",NA,"146,000","-18,152","-456,000","65,030","-45,019","-2,328,000","292,000","66,000",NA,"39,000",NA,"-1,168,000",NA,"-8,294,000","52,000",NA,"8,858,000","931,000","-6,492",NA,"-270,300","7,200","22,300",NA,"-627,000",NA,"-513,050","2,753,994","-4,175,000","-60,000","431,221","563,000","7,182,000","222,060","248,658","-255,798","-38,452",NA,"133,000",NA,"-614,000","-29,490,000","22,462,000","26,298,000","50,400","34,850,000","-214,000","150,628",NA,NA,"-63,000","409,200",NA,"-8,795,000",NA,NA,NA,NA,NA,NA,"-2,274","95,000",NA,"-8,112,000",NA,"-1,141,000",NA,NA
Foreign Exchange Rate Adj.,272619,"(7,000)",NA,NA,NA,NA,"1,000",NA,NA,NA,NA,NA,"-7,011.00",0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5,000.00",NA,200.00,NA,NA,NA,"6,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"3,537.00",NA,NA,NA,NA,NA,NA,99.00,"17,500.00",NA,NA,NA,NA,NA,NA,"70,000.00","9,600.00","1,079.00",NA,NA,"35,099.00","-1,300.00",NA,NA,NA,NA,NA,NA,NA,NA,"-10,620.00",NA,"-1,000.00","5,000.00",NA,"-1,000.00",NA,NA,"1,000.00",NA,NA,NA,280.00,NA,"63,500.00",NA,NA,"-1,938.00","31,000.00","2,011.00",NA,NA,"-2,000.00","4,000.00",NA,NA,NA,NA,NA,"5,000.00","8,000.00",NA,NA,NA,NA,NA,"1,800.00",NA,NA,NA,NA,NA,NA,-281.00,"9,000.00",NA,746.00,NA,NA,NA,145.00,"11,050.00",NA,NA,NA,NA,NA,"6,000.00","36,000.00",NA,NA,NA,NA,"-1,966.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-440.00,NA,NA,NA,NA,NA,NA,NA
Net Change in Cash,272621,"(34,000)","36,500",NA,NA,NA,"12,898,000","(770,000)","(40,000)",-484.00,NA,"3,300.00","4,830.00","-293,000.00",NA,NA,NA,NA,"1,133,077.00","-1,605,000.00",NA,NA,"-130,399.00",0.00,"-53,000.00",NA,NA,"220,000.00","23,853,000.00",NA,"127,300.00",-318.00,NA,NA,"133,000.00","396,000.00",NA,NA,NA,"3,956,000.00",NA,NA,"-525,000.00","140,125.00","-1,057,000.00","26,000.00","1,000.00","-4,311.00","-6,000.00",NA,"-220,109.00","977,500.00","688,000.00",NA,NA,"-34,161.00",NA,NA,"5,021,000.00","22,500.00","32,451.00",NA,NA,"25,564.00","-200,000.00","-141,472.00","-50,429.00","-151,000.00",NA,NA,NA,NA,"74,000.00","301,060.00","-1,000.00","529,100.00","-46,000.00","82,000.00","-6,500.00",NA,"-69,130.00","-1,177,000.00","-68,000.00","14,351.00",NA,"-23,025.00",NA,"-2,124,100.00",NA,"-93,000.00","-8,026.00","-331,000.00","318,121.00","-14,400.00","221,000.00","466,000.00","147,000.00",NA,"535,000.00",NA,"900,000.00",NA,"-6,543,000.00","348,000.00",NA,"-809,000.00","659,000.00","16,539.00",NA,"115,900.00",-300.00,300.00,NA,"-3,000.00",NA,"644,252.00","255,880.00","-1,049,000.00","28,000.00","274,840.00","-198,000.00","8,411,000.00","134,260.00","138,626.00","57,076.00","-92,339.00",NA,"-6,000.00",NA,"209,000.00","-2,819,000.00","4,911,000.00","-48,394,000.00","52,300.00","27,110,000.00","220,000.00","91,090.00",NA,NA,"62,000.00","-171,600.00",NA,"789,000.00",NA,NA,NA,NA,NA,NA,"-42,838.00","-36,000.00",NA,"111,694,000.00",NA,"-815,000.00",NA,NA
