SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020,FQ22020
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,6/30/2020,6/30/2020,6/30/2020,,,6/30/2020,6/30/2020,6/30/2020,6/30/2020,,6/30/2020,6/27/2020,8/3/2019,,,,,6/30/2020,6/30/2020,,,6/30/2020,6/30/2020,6/30/2020,,6/30/2020,6/30/2020,6/30/2020,,11/24/2019,6/30/2020,,,6/30/2020,6/30/2020,,,,6/30/2020,,,6/30/2020,6/30/2020,6/30/2020,6/30/2020,6/30/2020,6/30/2020,6/30/2020,,6/30/2020,6/30/2020,6/30/2020,,,6/30/2020,,,6/30/2020,6/26/2020,7/4/2020,,,6/30/2020,6/28/2020,6/30/2020,6/30/2020,4/30/2020,,,,,6/30/2020,5/31/2020,6/30/2020,6/30/2020,6/30/2020,8/3/2019,6/30/2020,,6/30/2020,8/2/2019,8/3/2019,6/30/2020,,6/30/2020,,6/30/2020,,6/30/2020,3/28/2020,6/27/2020,6/30/2020,6/30/2020,6/30/2020,6/30/2020,6/30/2020,,6/30/2020,,6/30/2020,,11/30/2019,6/30/2020,,6/30/2020,6/30/2020,6/28/2020,,6/30/2020,6/30/2020,6/30/2020,,6/30/2020,,6/30/2020,6/30/2020,6/30/2020,8/2/2019,6/28/2020,6/30/2020,6/30/2020,6/30/2020,6/30/2020,12/28/2019,6/30/2020,,6/30/2020,,6/30/2020,6/30/2020,6/30/2020,6/30/2020,6/30/2020,6/30/2020,8/17/2019,5/1/2020,,,6/30/2020,6/30/2020,,6/30/2020,,,,,,,9/30/2019,6/30/2020,,6/30/2020,,6/30/2020,,6/30/2020
Financial Filing Date,309159,7/27/2021,7/22/2021,7/22/2021,,,8/2/2021,7/29/2021,8/6/2021,8/6/2021,,7/22/2021,8/5/2021,9/3/2020,,,,,8/6/2021,8/6/2021,,,8/5/2021,8/5/2021,8/5/2021,,7/28/2021,7/28/2021,11/8/2021,,1/7/2021,7/15/2020,,,7/27/2021,7/22/2021,,,,10/28/2021,,,8/6/2021,7/20/2021,8/5/2021,8/5/2021,8/5/2021,7/30/2021,8/5/2021,,7/28/2021,7/22/2021,11/3/2021,,,7/23/2021,,,7/29/2021,7/29/2021,8/12/2021,,,8/2/2021,7/28/2021,8/5/2021,8/4/2021,6/4/2021,,,,,7/29/2021,10/8/2021,8/20/2020,7/16/2021,7/29/2021,9/3/2020,9/28/2021,,8/3/2021,8/26/2020,9/3/2020,8/6/2021,,8/5/2021,,8/4/2021,,8/9/2021,4/30/2021,8/5/2021,7/27/2021,8/9/2021,7/28/2021,8/6/2021,7/30/2021,,7/28/2021,,7/29/2021,,12/11/2020,7/28/2021,,7/29/2021,8/9/2021,8/5/2021,,7/27/2021,8/24/2021,7/22/2021,,8/5/2021,,11/5/2021,8/5/2021,7/27/2021,9/3/2020,8/5/2021,7/29/2021,7/27/2021,8/5/2021,8/5/2021,2/3/2021,8/6/2021,,8/11/2021,,8/4/2021,8/5/2021,7/28/2021,8/6/2021,8/4/2021,11/1/2021,9/22/2020,6/3/2021,,,7/26/2021,8/4/2021,,7/28/2021,,,,,,,11/6/2020,8/6/2021,,7/28/2021,,7/30/2021,,9/17/2021
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.238175
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.241608
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"4,466,000",100,NA,NA,NA,"19,145,000","4,826,000","8,000","32,010",NA,"2,500","205,828","853,000",NA,NA,NA,NA,"1,691,047","16,365,000",NA,NA,"56,945","1,000","969,000",NA,"649,200","706,000","768,552,000",NA,"192,000",295,NA,NA,"2,158,000","2,594,000",NA,NA,NA,"15,138,000",NA,NA,"675,000","649,032","344,000","20,000","16,000","3,499","8,000",NA,"1,006,981","1,347,400","2,129,000",NA,NA,"94,955",NA,NA,"39,256,000","1,063,000","277,561",NA,NA,"1,825,625","978,953","75,326","930,597","4,054,000",NA,NA,NA,NA,"78,000","36,836,380",NA,"620,100","149,000","625,000",NA,NA,"49,102","2,071,000","674,000","68,539",NA,"48,638",NA,"3,255,700",NA,"8,000","115,984","1,341,000","1,384,977","46,853","1,950,000","1,681,000","619,000",NA,"1,143,000",NA,"4,178,000",NA,"27,444,000","582,000",NA,"746,000","711,000","111,062",NA,"544,400","1,200","1,400",NA,"5,000",NA,"1,179,821","4,146,691","6,975,000","179,000","301,291","254,000","14,459,000","190,784","199,591","539,625",107,NA,"10,000",NA,"5,891,000","184,714,000","32,388,000","67,325,000","74,100","732,624,000","629,000","200,004",NA,NA,"713,000","2,767,500",NA,"7,882,000",NA,NA,NA,NA,NA,NA,"87,045","37,000",NA,"451,838,000",NA,"643,000",NA,"28,602"
"Net Property, Plant & Equipment",268541,"9,929,000","9,336,000","10,057,100",NA,NA,"9,910,000","2,002,000","25,081,000","8,358,295",NA,"11,311,000","798,190","5,965,000",NA,NA,NA,NA,"16,979,587",NA,NA,NA,"40,674","6,046,000","21,348,000",NA,"1,043,200","209,000",NA,NA,"2,557,200","737,436",NA,NA,"14,691,000","32,773,000",NA,NA,NA,"1,115,000",NA,NA,"67,980,000","858,274","105,905,000","16,266,000","11,320,000","1,824,467","7,689,000",NA,"5,338,156","1,017,200","81,748,000",NA,NA,"3,248,308",NA,NA,"36,413,000","727,600","387,218",NA,NA,"1,477,635","482,215","6,017,573","7,049,513","3,825,000",NA,NA,NA,NA,"8,839,000","917,686","5,354,000","9,028,200","2,663,000","9,704,000",NA,NA,"7,176","22,170,000","9,119,000","4,500",NA,"1,057,621",NA,"36,832,300",NA,"18,756,000","683,562","1,427,000","241,672","2,691,376","129,000","741,000","1,671,000",NA,"31,217,000",NA,"8,591,000",NA,"8,170,000","3,884,000",NA,"65,522,000","21,553,000","280,862",NA,"979,100","2,284,400","4,215,500",NA,"8,294,000",NA,"53,213","26,257,137","16,907,000","281,000","1,875,906","46,216,000","17,786,000","5,938,352","6,616,829","5,224,925","2,229,887",NA,"9,578,000",NA,"1,100,000","3,598,000","12,182,000","2,314,000","1,464,100","26,045,000","28,681,000","537,852",NA,NA,"128,000","518,100",NA,"115,185,000",NA,NA,NA,NA,NA,NA,"2,683,614","31,499,000",NA,"21,503,000",NA,"14,123,000",NA,NA
Total Assets,268552,"45,079,000","10,777,000","10,475,700",NA,NA,"184,061,000","50,200,000","30,016,000","9,271,774",NA,"13,142,200","15,604,461","10,618,000",NA,NA,NA,NA,"22,725,997","235,367,000",NA,NA,"1,077,642","7,595,000","32,148,000",NA,"3,216,000","25,450,000","2,232,715,000",NA,"22,492,600","1,033,951",NA,NA,"27,546,000","38,904,000",NA,NA,NA,"113,792,000",NA,NA,"103,728,000","9,114,133","160,049,000","20,689,000","13,852,000","2,037,628","9,609,000",NA,"7,002,978","8,832,800","126,313,000",NA,NA,"3,661,491",NA,NA,"269,366,000","16,705,700","1,451,329",NA,NA,"44,001,477","10,222,050","6,644,496","9,244,558","33,773,000",NA,NA,NA,NA,"10,463,000","50,283,215","8,178,000","10,288,100","49,026,000","14,542,000",NA,NA,"1,636,375","40,695,000","20,741,000","2,545,795",NA,"4,989,985",NA,"49,938,900",NA,"22,327,000","3,384,973","10,374,000","4,187,418","3,166,971","91,045,000","9,949,000","14,257,000",NA,"37,962,000",NA,"43,475,000",NA,"98,443,000","9,370,000",NA,"103,511,000","24,967,000","1,492,796",NA,"4,312,700","2,815,000","4,858,800",NA,"19,447,000",NA,"23,752,149","33,306,543","161,517,000","4,627,000","2,657,534","66,736,000","35,596,000","6,975,743","8,426,035","19,372,034","4,027,070",NA,"10,489,000",NA,"121,266,000","442,316,000","162,872,000","400,484,000","1,933,100","1,141,523,000","44,462,000","2,811,475",NA,NA,"2,802,000","69,305,200",NA,"293,259,000",NA,NA,NA,NA,NA,NA,"4,367,051","42,040,000",NA,"1,968,766,000",NA,"16,254,000",NA,"269,303"
Net Debt,268593,"17,151,000","4,772,500","3,954,500",NA,NA,"13,885,000","24,216,000","10,640,000","2,922,919",NA,"4,923,800","2,139,893","8,341,000",NA,NA,NA,NA,"11,788,657","4,860,000",NA,NA,"598,001","2,419,000","11,944,000",NA,"1,548,000","261,000","-169,301,000",NA,"10,553,600","159,647",NA,NA,"6,341,000","14,393,000",NA,NA,NA,"8,063,000",NA,NA,"39,881,000","2,856,838","65,717,000","8,486,000","4,641,000","744,957","3,117,000",NA,"3,090,014","3,028,400","38,006,000",NA,NA,"1,576,375",NA,NA,"137,227,000","4,838,400","329,336",NA,NA,"7,974,173","4,420,464","2,968,014","3,617,810","2,587,000",NA,NA,NA,NA,"6,100,000","-12,015,063","1,888,000","3,214,900","15,023,000","5,424,000",NA,NA,"544,424","20,023,000","7,199,000","1,068,649",NA,"1,405,477",NA,"48,666,600",NA,"7,812,000","1,053,491","4,795,000","2,157,682","1,518,125","86,434,000","3,471,000","6,194,000",NA,"11,834,000",NA,"12,869,000",NA,"26,478,000","3,014,000",NA,"33,738,000","7,937,000","673,253",NA,"1,512,800","842,100","1,519,700",NA,"5,755,000",NA,"15,464,623","15,456,861","27,498,000","2,115,000","2,413,891","18,025,000","-2,963,000","2,221,634","2,669,394","8,909,644","596,754",NA,"3,354,000",NA,"6,087,000","-111,456,000","28,991,000","-57,146,000","500,400","-279,733,000","19,992,000","777,012",NA,NA,"-41,000","3,627,400",NA,"127,848,000",NA,NA,NA,NA,NA,NA,"1,725,523","13,648,000",NA,"-143,939,000",NA,"5,686,000",NA,"215,071"
Total Debt,274444,"21,617,000","4,772,600","3,954,500",NA,NA,"33,030,000","29,042,000","10,648,000","2,954,929",NA,"4,926,300","2,345,721","9,194,000",NA,NA,NA,NA,"13,479,704","12,185,000",NA,NA,"654,946","2,420,000","12,913,000",NA,"2,197,200","967,000","599,251,000",NA,"10,745,600","159,942",NA,NA,"8,499,000","16,987,000",NA,NA,NA,"23,201,000",NA,NA,"40,556,000","3,505,870","66,061,000","8,506,000","4,657,000","748,456","3,125,000",NA,"4,096,995","4,375,800","40,135,000",NA,NA,"1,671,330",NA,NA,"176,483,000","5,901,400","606,897",NA,NA,"9,799,798","5,399,417","3,043,340","4,548,407","6,641,000",NA,NA,NA,NA,"6,178,000","24,821,317","1,888,000","3,835,000","15,172,000","6,049,000",NA,NA,"593,526","22,094,000","7,873,000","1,137,188",NA,"1,454,115",NA,"51,922,300",NA,"7,820,000","1,169,475","6,136,000","3,542,659","1,564,978","88,384,000","5,152,000","6,813,000",NA,"12,977,000",NA,"17,395,000",NA,"53,922,000","3,596,000",NA,"34,484,000","8,648,000","784,315",NA,"2,057,200","843,300","1,521,100",NA,"5,760,000",NA,"16,644,444","19,603,552","34,473,000","2,319,000","2,715,182","18,279,000","11,496,000","2,412,418","2,868,985","9,557,133","596,861",NA,"3,364,000",NA,"6,634,000","73,258,000","61,379,000","10,179,000","574,500","452,891,000","20,621,000","977,016",NA,NA,"672,000","3,793,000",NA,"135,730,000",NA,NA,NA,NA,NA,NA,"1,812,568","13,685,000",NA,"307,899,000",NA,"6,329,000",NA,"243,673"
Total Common Equity,268583,"10,857,000","3,076,200","4,381,000",NA,NA,"13,826,000","5,688,000","8,227,000","5,175,374",NA,"4,262,100","4,694,821","-933,000",NA,NA,NA,NA,"4,773,145","20,909,000",NA,NA,"328,781","2,357,000","5,951,000",NA,"320,100","9,258,000","173,642,000",NA,"7,612,100","411,946",NA,NA,"9,749,000","12,150,000",NA,NA,NA,"8,587,000",NA,NA,"26,484,000","3,089,527","43,522,000","7,124,000","4,655,000","698,333","3,814,000",NA,"2,736,109","2,694,100","32,703,000",NA,NA,"1,805,527",NA,NA,"30,824,000","7,395,300","396,056",NA,NA,"27,425,859","2,604,007","3,348,764","3,554,815","-743,000",NA,NA,NA,NA,"2,263,000","9,326,554","3,598,000","4,414,900","22,923,000","5,455,000",NA,NA,"918,782","2,640,000","6,315,000","1,370,944",NA,"1,746,711",NA,"-9,463,100",NA,"8,459,000","1,245,678","-830,000","-310,932","1,492,359","2,115,000","1,120,000","3,492,000",NA,"14,861,000",NA,"9,712,000",NA,"15,563,000","3,624,000",NA,"5,055,000","8,778,000","493,268",NA,"753,000","1,067,600","1,409,200",NA,"10,123,000",NA,"4,479,299","8,963,905","67,225,000","1,339,000","-411,857","16,536,000","10,878,000","2,151,977","2,611,295","2,527,526","709,919",NA,"4,003,000",NA,"25,016,000","39,165,000","-11,667,000","25,552,000","640,100","78,826,000","8,711,000","984,950",NA,NA,"616,000","10,561,400",NA,"62,697,000",NA,NA,NA,NA,NA,NA,"1,990,907","13,944,000",NA,"159,163,000",NA,"8,202,000",NA,"25,630"
Total Minority Interest,268584,"58,000",NA,NA,NA,NA,NA,"136,000","142,000",NA,NA,NA,"55,127.00","4,000.00",NA,NA,NA,NA,"3,305,598.00","65,000.00",NA,NA,NA,NA,NA,NA,"2,600.00",NA,"680,000.00",NA,"78,500.00",340.00,NA,NA,"84,000.00","13,000.00",NA,NA,NA,NA,NA,NA,"2,013,000.00",NA,"1,127,000.00",NA,NA,NA,NA,NA,NA,"40,200.00","2,168,000.00",NA,NA,753.00,NA,NA,"31,000.00","11,600.00",507.00,NA,NA,"207,130.00","62,277.00",NA,"184,888.00",NA,NA,NA,NA,NA,NA,"56,821.00",NA,"324,500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,125.00",NA,NA,NA,NA,NA,"15,000.00",NA,"11,110.00","11,000.00","3,000.00","24,000.00",NA,NA,NA,NA,NA,"622,000.00","39,000.00",NA,NA,NA,NA,NA,200.00,NA,NA,NA,NA,NA,"96,681.00","584,869.00","1,702,000.00","10,000.00",-5.00,NA,NA,NA,"86,921.00","34,070.00",NA,NA,NA,NA,NA,"269,000.00","285,000.00",NA,NA,"1,025,000.00","-58,000.00",NA,NA,NA,NA,NA,NA,"1,416,000.00",NA,NA,NA,NA,NA,NA,"14,929.00",NA,NA,"736,000.00",NA,NA,NA,NA
