SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"7,784,000","15,169,300","16,728,700",NA,NA,"9,866,000","1,617,000","38,411,000","11,810,226",NA,"14,007,200","475,799","2,187,000",NA,NA,NA,NA,"20,503,808",NA,NA,NA,"35,284","12,214,000","34,547,000",NA,"2,925,500","213,000","32,819,000",NA,"2,739,000","938,822","21,990,000",NA,"14,397,000","37,004,000",NA,NA,NA,NA,NA,NA,"75,810,000","1,099,070","127,906,000","24,330,000","13,383,000","2,490,400","10,678,000",NA,"4,616,739","1,916,500","82,100,000",NA,NA,"5,019,466",NA,NA,"46,466,000","349,300","158,383","3,010,000",NA,"1,440,437","243,000",NA,"7,588,462","4,085,000",NA,NA,NA,NA,"12,912,000","1,255,000","7,460,000",NA,"3,874,000","9,972,000","3,192,000",NA,"106,650","21,357,000","7,483,000",NA,NA,"2,088,439",NA,"41,771,000",NA,"23,247,000","1,041,002","1,676,000","198,574","2,302,668","27,000","381,000","1,671,000",NA,"36,112,000",NA,"12,325,000",NA,"43,670,000","4,423,000",NA,"94,254,000","30,564,000","613,310",NA,"1,200,400","3,464,500","8,762,000",NA,"7,512,000",NA,"183,026","35,248,000","18,224,000","275,000","4,579,722","62,953,000","20,472,000","8,500,024","8,668,100","6,815,000","2,353,253",NA,"11,838,000",NA,"601,000","3,549,000","12,078,000","3,136,000","2,736,900","9,798,000","32,527,000","734,700",NA,NA,"48,000","496,600",NA,"132,227,000",NA,NA,NA,NA,NA,NA,"7,977,545","58,189,000",NA,"19,797,000",NA,"14,581,000",NA,NA
Total Assets,268552,"37,611,000","16,812,500","17,208,600",NA,NA,"191,711,000","35,008,000","47,416,000","13,242,120",NA,"16,993,100","24,526,488","4,984,000",NA,NA,NA,NA,"25,771,513","244,679,000",NA,NA,"1,071,387","15,459,000","45,049,000",NA,"7,454,800","40,567,000","2,642,475,000",NA,"20,744,500","1,268,291","56,102,000","411,294,000","29,916,000","43,279,000",NA,NA,NA,NA,NA,NA,"111,597,000","13,420,643","192,293,000","29,214,000","16,165,000","2,885,300","13,272,000",NA,"5,543,897","11,831,800","113,539,000",NA,NA,"5,507,547",NA,NA,"300,990,000","11,886,700","701,027","36,127,000",NA,"47,962,419","5,521,800",NA,"10,696,119","39,854,000",NA,NA,NA,NA,"14,535,000","69,319,709","11,490,000",NA,"54,605,000","15,054,000","9,925,000",NA,"4,039,831","44,743,000","17,293,000","5,282,934",NA,"9,693,450",NA,"60,608,000",NA,"28,582,000","4,396,574","18,799,000","5,389,140","2,690,064","49,306,000","4,003,000","11,287,000",NA,"44,580,000",NA,"49,300,000",NA,"161,378,000","13,517,000",NA,"137,933,000","36,157,000","3,147,175",NA,"5,305,400","4,226,500","9,924,000",NA,"17,855,000",NA,"47,165,394","40,109,000","168,672,000","5,275,000","7,889,486","90,317,000","28,312,000","9,725,477","10,328,579","26,347,000","4,903,004",NA,"13,878,000",NA,"120,402,000","455,312,000","150,023,000","465,255,000","3,531,900","1,807,982,000","62,418,000","3,519,800",NA,NA,"3,425,000","63,678,100",NA,"388,331,000",NA,NA,NA,NA,NA,NA,"15,600,351","75,905,000",NA,"2,062,926,000",NA,"16,668,000",NA,NA
Net Debt,268593,"7,991,000","7,318,400","6,352,300",NA,NA,"10,484,000","22,229,000","20,095,000","5,004,415",NA,"5,822,800","2,915,874","5,163,000",NA,NA,NA,NA,"16,495,139","2,867,000",NA,NA,"415,269","4,691,000","21,665,000",NA,"5,029,600","-577,000","-183,797,000",NA,"8,095,700","266,698","5,088,000","14,400,000","7,537,000","19,193,000",NA,NA,NA,NA,NA,NA,"47,987,000","1,518,204","88,959,000","11,182,000","5,117,000","1,079,800","4,505,000",NA,"2,957,658","4,624,100","48,396,000",NA,NA,"2,381,730",NA,NA,"131,711,000","2,971,100","241,500","6,739,000",NA,"13,657,062","2,725,700",NA,"3,833,190","7,904,000",NA,NA,NA,NA,"8,336,000","-18,332,672","2,980,000",NA,"18,114,000","7,607,000","2,451,000",NA,"1,695,016","36,506,000","5,511,000","2,129,967",NA,"2,537,655",NA,"53,425,000",NA,"8,146,000","1,216,596","9,042,000","5,250,760","1,027,440","45,794,000","1,049,000","5,369,000",NA,"16,199,000",NA,"15,018,000",NA,"91,353,000","5,322,000",NA,"53,917,000","14,213,000","1,511,523",NA,"1,520,200","1,281,200","3,694,400",NA,"1,718,000",NA,"31,319,317","20,543,000","34,743,000","2,267,000","5,170,224","33,653,000","2,240,000","3,325,124","2,728,489","13,082,000","962,975",NA,"5,034,000",NA,"7,159,000","-100,078,000","33,428,000","-34,401,000","1,305,700","-279,139,000","16,422,000","940,600",NA,NA,"622,000","3,676,300",NA,"167,209,000",NA,NA,NA,NA,NA,NA,"5,959,120","22,505,000",NA,"6,378,000",NA,"5,095,000",NA,NA
Total Debt,274444,"13,179,000","7,318,500","6,352,300",NA,NA,"20,734,000","25,701,000","20,104,000","5,112,931",NA,"5,826,700","3,129,486","5,354,000",NA,NA,NA,NA,"17,356,404","9,473,000",NA,NA,"470,341","4,707,000","22,303,000",NA,"5,210,100","883,000","778,542,000",NA,"8,145,100","267,053","9,037,000","14,716,000","9,185,000","19,811,000",NA,NA,NA,NA,NA,NA,"48,958,000","3,071,008","89,647,000","11,214,000","5,130,000","1,082,200","4,519,000",NA,"2,971,656","4,813,100","49,929,000",NA,NA,"2,423,397",NA,NA,"164,382,000","3,401,900","320,716","10,744,000",NA,"16,260,109","3,346,300",NA,"5,293,169","10,775,000",NA,NA,NA,NA,"8,340,000","36,447,112","3,688,000",NA,"18,630,000","7,781,000","3,952,000",NA,"1,756,995","39,777,000","5,826,000","2,160,535",NA,"2,769,073",NA,"55,838,000",NA,"9,080,000","1,274,787","9,936,000","5,647,193","1,109,065","46,413,000","1,331,000","5,598,000",NA,"17,617,000",NA,"17,491,000",NA,"109,176,000","5,608,000",NA,"54,170,000","14,259,000","1,532,221",NA,"1,855,700","1,300,100","3,697,500",NA,"1,754,000",NA,"32,983,959","20,975,000","40,709,000","2,349,000","5,241,156","33,958,000","5,258,000","3,507,120","3,507,120","14,609,000","1,090,762",NA,"5,040,000",NA,"8,090,000","76,399,000","55,703,000","49,280,000","1,384,400","731,218,000","29,780,000","1,141,600",NA,NA,"943,000","4,004,200",NA,"175,256,000",NA,NA,NA,NA,NA,NA,"7,515,609","23,176,000",NA,"424,137,000",NA,"5,496,000",NA,NA
Total Common Equity,268583,"4,628,000","5,724,400","6,667,900",NA,NA,"12,793,000","(2,646,000)","12,780,000","7,487,666",NA,"6,058,200","6,400,731","-1,749,000",NA,NA,NA,NA,"3,925,770","6,363,000",NA,NA,"477,569","6,038,000","11,035,000",NA,"1,034,900","15,406,000","193,973,000",NA,"8,779,100","481,607","14,381,000","13,542,000","11,536,000","12,753,000",NA,NA,NA,NA,NA,NA,"26,700,000","7,662,936","50,489,000","11,903,000","5,830,000","1,119,500","5,802,000",NA,"2,328,634","4,938,500","28,113,000",NA,NA,"2,651,353",NA,NA,"47,392,000","6,503,900","112,606","9,993,000",NA,"22,668,088","406,400",NA,"3,767,591","-901,000",NA,NA,NA,NA,"3,244,000","10,438,669","5,096,000",NA,"25,324,000","3,804,000","1,094,000",NA,"2,079,374","-13,419,000","4,147,000","2,934,575",NA,"3,112,397",NA,"-2,163,000",NA,"12,007,000","1,943,701","2,327,000","-1,915,975","1,480,899","2,439,000","848,000","2,697,000",NA,"15,141,000",NA,"15,988,000",NA,"16,730,000","4,399,000",NA,"37,084,000","11,047,000","1,168,506",NA,"1,149,500","1,881,500","3,580,200",NA,"12,980,000",NA,"7,107,727","10,092,000","64,514,000","1,612,000","614,314","20,641,000","7,776,000","3,416,463","3,928,679","1,922,000","958,024",NA,"5,857,000",NA,"25,504,000","39,043,000","-8,256,000","42,621,000","1,362,500","109,249,000","12,900,000","1,411,100",NA,NA,"110,000","10,908,800",NA,"105,042,000",NA,NA,NA,NA,NA,NA,"4,760,621","27,333,000",NA,"164,546,000",NA,"9,438,000",NA,NA
Total Minority Interest,268584,"47,000",NA,"1,045,100",NA,NA,NA,"50,000","129,000",NA,NA,NA,"74,888.00","1,000.00",NA,NA,NA,NA,"3,355,037.00","65,000.00",NA,NA,NA,NA,NA,NA,"44,200.00",NA,"854,000.00",NA,NA,340.00,"342,000.00","780,000.00","469,000.00","5,000.00",NA,NA,NA,NA,NA,NA,"4,035,000.00",NA,"1,165,000.00",NA,NA,NA,NA,NA,NA,"137,300.00",NA,NA,NA,"89,435.00",NA,NA,"25,000.00","7,600.00","-16,528.00","227,000.00",NA,"829,749.00","27,400.00",NA,"67,009.00",NA,NA,NA,NA,NA,NA,"62,592.00",NA,NA,NA,NA,"110,000.00",NA,NA,NA,NA,NA,NA,"66,936.00",NA,NA,NA,NA,NA,"17,000.00",NA,"17,599.00",NA,NA,NA,NA,NA,NA,NA,NA,"531,000.00","39,000.00",NA,NA,NA,NA,NA,"4,400.00",NA,NA,NA,NA,NA,"410,957.00","196,000.00","1,879,000.00",NA,"247,297.00",NA,NA,NA,NA,"23,000.00",NA,NA,NA,NA,"-16,000.00","482,000.00","-3,000.00",NA,NA,"349,000.00","-6,000.00",NA,NA,NA,NA,NA,NA,"1,303,000.00",NA,NA,NA,NA,NA,NA,"85,508.00","4,035,000.00",NA,"1,858,000.00",NA,NA,NA,NA
Total Equity,268585,"4,675,000","5,724,400","7,713,000",NA,NA,"15,117,000","(2,596,000)","12,909,000","7,709,506.00",NA,"6,058,200.00","6,475,619.00","-1,748,000.00",NA,NA,NA,NA,"7,280,807.00","6,428,000.00",NA,NA,"477,569.00","6,038,000.00","11,035,000.00",NA,"1,079,100.00","15,406,000.00","213,877,000.00",NA,"8,779,100.00","481,947.00","14,723,000.00","14,322,000.00","12,005,000.00","12,758,000.00",NA,NA,NA,NA,NA,NA,"31,726,000.00","7,662,936.00","52,627,000.00","11,903,000.00","5,830,000.00","1,119,500.00","5,802,000.00",NA,"2,334,814.00","5,075,800.00","28,113,000.00",NA,NA,"2,740,788.00",NA,NA,"47,417,000.00","6,511,500.00","96,078.00","10,220,000.00",NA,"23,497,837.00","433,800.00",NA,"3,834,600.00","-901,000.00",NA,NA,NA,NA,"3,244,000.00","10,501,316.00","5,096,000.00",NA,"25,324,000.00","3,804,000.00","1,204,000.00",NA,"2,079,374.00","-13,419,000.00","4,147,000.00","2,934,575.00",NA,"3,179,333.00",NA,"-2,163,000.00",NA,"12,007,000.00","1,943,701.00","2,344,000.00","-1,915,975.00","1,498,498.00","2,439,000.00","1,124,000.00","2,697,000.00",NA,"15,141,000.00",NA,"15,988,000.00",NA,"17,261,000.00","4,438,000.00",NA,"37,342,000.00","11,047,000.00","1,168,506.00",NA,"1,153,900.00","1,881,500.00","3,580,200.00",NA,"12,980,000.00",NA,"8,909,474.00","10,288,000.00","66,393,000.00","1,612,000.00","861,611.00","22,861,000.00","7,776,000.00","3,416,463.00","3,928,679.00","1,945,000.00","958,024.00",NA,"5,857,000.00",NA,"27,489,000.00","44,361,000.00","-8,253,000.00","49,384,000.00","1,362,500.00","124,751,000.00","12,894,000.00","1,411,100.00",NA,NA,"110,000.00","10,908,800.00",NA,"106,345,000.00",NA,NA,NA,NA,NA,NA,"4,846,129.00","31,368,000.00",NA,"183,012,000.00",NA,"9,438,000.00",NA,NA
Current Ratio (x),274464,1.84,0.77,0.25,NA,NA,NA,0.62,0.93,1.40,NA,0.81,1.46,1.09,NA,NA,NA,NA,1.71,1.55,NA,NA,1.82,0.75,0.51,NA,0.57,1.12,NA,NA,0.69,1.49,1.55,1.26,1.56,0.85,NA,NA,NA,NA,NA,NA,0.85,2.04,0.63,0.63,1.24,0.91,0.92,NA,1.15,0.74,0.94,NA,NA,0.40,NA,NA,1.12,0.70,1.56,1.18,NA,0.86,1.71,NA,1.94,0.74,NA,NA,NA,NA,0.29,1.57,1.17,NA,0.63,1.05,1.09,NA,38.79,1.13,1.26,1.30,NA,1.33,NA,1.00,NA,2.07,2.43,1.03,0.88,0.68,9.64,1.14,1.14,NA,0.86,NA,1.11,NA,1.02,1.40,NA,0.95,0.93,2.34,NA,1.02,1.05,0.46,NA,6.26,NA,0.82,0.17,1.07,0.87,0.58,0.83,0.49,0.86,1.55,1.26,4.95,NA,0.70,NA,0.43,NA,1.18,0.59,1.32,1.66,1.54,1.88,NA,NA,1.11,15.51,NA,0.74,NA,NA,NA,NA,NA,NA,1.80,1.34,NA,NA,NA,1.23,NA,NA
Quick Ratio (x),274465,1.03,0.29,0.18,NA,NA,NA,0.45,0.46,0.36,NA,0.28,1.10,0.25,NA,NA,NA,NA,1.52,1.18,NA,NA,1.57,0.34,0.34,NA,0.37,0.93,NA,NA,0.18,0.65,1.14,0.20,0.75,0.67,NA,NA,NA,NA,NA,NA,0.36,1.36,0.24,0.30,0.42,0.28,0.46,NA,0.78,0.61,0.61,NA,NA,0.39,NA,NA,0.94,0.49,0.80,0.85,NA,0.41,1.24,NA,1.51,0.38,NA,NA,NA,NA,0.17,1.57,1.01,NA,0.30,0.04,0.74,NA,0.87,0.17,0.10,1.30,NA,1.22,NA,0.82,NA,1.52,1.34,0.79,0.77,0.66,9.37,0.75,0.45,NA,0.72,NA,0.92,NA,0.87,0.65,NA,0.73,0.37,0.73,NA,0.23,0.24,0.19,NA,1.66,NA,0.28,0.07,0.67,0.80,0.41,0.40,0.38,0.46,1.17,0.72,2.74,NA,0.27,NA,0.29,NA,0.34,0.59,0.74,1.49,0.96,0.71,NA,NA,0.36,4.05,NA,0.57,NA,NA,NA,NA,NA,NA,1.41,0.65,NA,NA,NA,0.58,NA,NA
Total Debt/Equity (%),274466,281.90,127.85,82.36,NA,NA,NA,NM,155.74,66,NA,96,48,NM,NA,NA,NA,NA,238,147,NA,NA,98,78,202,NA,483,6,NA,NA,93,55,61,103,77,155,NA,NA,NA,NA,NA,NA,154,40,170,94,88,97,78,NA,127,95,178,NA,NA,88,NA,NA,347,52,334,105,NA,69,771,NA,138,NM,NA,NA,NA,NA,257,347,72,NA,74,205,328,NA,84,NM,140,74,NA,87,NA,NM,NA,76,66,424,NM,74,"1,903",118,208,NA,116,NA,109,NA,633,126,NA,145,129,131,NA,161,69,103,NA,14,NA,370,204,61,146,608,149,68,103,89,751,114,NA,86,NA,29,NA,NM,100,102,586,231,81,NA,NA,857,37,NA,165,NA,NA,NA,NA,NA,NA,155,74,NA,NA,NA,58,NA,NA
Total Debt / Total Capital (%),274467,73.82,56.11,45.16,NA,NA,NA,111.24,60.90,40,NA,49,33,148,NA,NA,NA,NA,70,60,NA,NA,50,44,67,NA,83,5,NA,NA,48,36,38,51,43,61,NA,NA,NA,NA,NA,NA,61,29,63,49,47,49,44,NA,56,49,64,NA,NA,47,NA,NA,78,34,77,51,NA,41,89,NA,58,109,NA,NA,NA,NA,72,78,42,NA,42,67,77,NA,46,151,58,42,NA,47,NA,104,NA,43,40,81,151,43,95,54,67,NA,54,NA,52,NA,86,56,NA,59,56,57,NA,62,41,51,NA,12,NA,79,67,38,59,86,60,40,51,47,88,53,NA,46,NA,23,NA,117,50,50,85,70,45,NA,NA,90,27,NA,62,NA,NA,NA,NA,NA,NA,61,42,NA,NA,NA,37,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
