SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025,FQ32025
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,9/30/2025,9/30/2025,9/30/2025,,,9/30/2025,9/30/2025,9/30/2025,9/30/2025,,9/30/2025,9/27/2025,11/2/2024,,,,,9/30/2025,9/30/2025,,,9/30/2025,9/30/2025,9/30/2025,,9/30/2025,9/30/2025,9/30/2025,,2/23/2025,9/30/2025,9/30/2025,9/30/2025,9/30/2025,9/30/2025,,,,,,,9/30/2025,9/30/2025,9/30/2025,9/30/2025,9/30/2025,9/30/2025,9/30/2025,,9/30/2025,9/30/2025,9/30/2025,,,9/30/2025,,,9/30/2025,9/26/2025,10/4/2025,9/30/2025,,9/30/2025,9/28/2025,,9/30/2025,7/31/2025,,,,,9/30/2025,8/31/2025,9/30/2025,,9/30/2025,11/2/2024,12/31/2024,,9/30/2025,11/1/2024,11/2/2024,9/30/2025,,9/30/2025,,9/30/2025,,9/30/2025,6/28/2025,9/27/2025,9/30/2025,9/30/2025,9/30/2025,9/30/2025,9/30/2025,,9/30/2025,,9/30/2025,,2/28/2025,9/30/2025,,9/30/2025,9/30/2025,9/28/2025,,9/30/2025,9/30/2025,9/30/2025,,9/30/2025,,9/30/2025,9/30/2025,9/30/2025,11/1/2024,9/28/2025,9/30/2025,9/30/2025,9/30/2025,9/30/2025,3/29/2025,9/30/2025,,9/30/2025,,9/30/2025,9/30/2025,9/30/2025,9/30/2025,9/30/2025,9/30/2025,11/9/2024,8/1/2025,,,9/30/2025,9/30/2025,,9/30/2025,,,,,,,12/31/2024,9/30/2025,,9/30/2025,,9/30/2025,,
Financial Filing Date,309159,4/21/2026,10/29/2025,10/29/2025,,,10/30/2025,4/30/2026,11/6/2025,2/20/2026,,10/29/2025,5/7/2026,11/20/2025,,,,,11/7/2025,11/7/2025,,,5/7/2026,11/7/2025,4/23/2026,,4/22/2026,10/27/2025,5/7/2026,,4/1/2026,11/12/2025,11/7/2025,5/6/2026,10/31/2025,10/16/2025,,,,,,,10/31/2025,10/23/2025,11/7/2025,11/7/2025,11/7/2025,11/21/2025,11/7/2025,,5/7/2026,10/21/2025,5/6/2026,,,10/17/2025,,,4/30/2026,4/30/2026,11/13/2025,10/29/2025,,5/8/2026,11/5/2025,,5/7/2026,5/28/2026,,,,,11/4/2025,10/9/2025,10/28/2025,,10/28/2025,12/3/2025,2/17/2026,,11/4/2025,11/26/2025,12/10/2025,11/7/2025,,4/30/2026,,11/5/2025,,11/3/2025,4/24/2026,10/30/2025,4/21/2026,11/6/2025,10/29/2025,5/7/2026,10/31/2025,,10/23/2025,,10/21/2025,,3/11/2026,5/6/2026,,10/23/2025,11/3/2025,11/6/2025,,10/28/2025,11/21/2025,10/29/2025,,10/30/2025,,5/4/2026,4/30/2026,10/21/2025,12/4/2025,5/7/2026,10/28/2025,4/23/2026,5/5/2026,5/5/2026,4/29/2026,10/31/2025,,11/7/2025,,11/5/2025,10/31/2025,4/22/2026,11/7/2025,11/4/2025,10/31/2025,12/12/2025,9/4/2025,,,10/29/2025,11/4/2025,,10/29/2025,,,,,,,2/6/2026,10/31/2025,,10/31/2025,,10/31/2025,,
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,NA
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"5,188,000",100,NA,NA,NA,"10,250,000","3,472,000","9,000","108,516",NA,"3,900","213,612","191,000",NA,NA,NA,NA,"861,265","7,912,000",NA,NA,"55,072","16,000","638,000",NA,"180,500","1,609,000","962,339,000",NA,"49,400",355,"3,949,000","4,955,000","1,648,000","618,000",NA,NA,NA,NA,NA,NA,"971,000","1,552,804","688,000","32,000","13,000","2,400","14,000",NA,"13,998","189,000","1,533,000",NA,NA,"41,667",NA,NA,"32,671,000","430,800","79,216","4,005,000",NA,"2,603,047","620,600",NA,"1,459,979","2,871,000",NA,NA,NA,NA,"4,000","54,779,784","708,000",NA,"516,000","174,000","1,501,000",NA,"61,979","3,271,000","315,000","30,568",NA,"231,418",NA,"2,413,000",NA,"934,000","58,191","894,000","396,433","81,625","619,000","282,000","229,000",NA,"1,418,000",NA,"1,957,000",NA,"17,823,000","286,000",NA,"253,000","46,000","20,698",NA,"335,500","18,900","3,100",NA,"36,000",NA,"1,664,642","432,000","5,966,000","46,000","70,932","305,000","3,018,000","181,996","778,631","1,527,000","127,787",NA,"6,000",NA,"9,674,000","176,477,000","22,275,000","83,681,000","78,700","1,010,357,000","13,358,000","201,000",NA,NA,"321,000","2,929,900",NA,"7,738,000",NA,NA,NA,NA,NA,NA,"1,556,489","671,000",NA,"417,759,000",NA,"401,000",NA,NA
