SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024,FQ42024
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,12/31/2024,12/31/2024,12/31/2024,,,12/31/2024,12/31/2024,12/31/2024,12/31/2024,,12/31/2024,12/31/2024,2/3/2024,,,,,12/31/2024,12/31/2024,,,12/31/2024,12/31/2024,12/31/2024,,12/31/2024,12/31/2024,12/31/2024,,5/26/2024,12/31/2024,12/31/2024,12/31/2024,12/31/2024,12/31/2024,,,,12/31/2024,,,12/31/2024,12/31/2024,12/31/2024,12/31/2024,12/31/2024,12/31/2024,12/31/2024,,12/31/2024,12/31/2024,12/31/2024,,,12/31/2024,,,12/31/2024,12/31/2024,12/28/2024,12/31/2024,,12/31/2024,12/29/2024,,12/31/2024,10/31/2024,,,,,12/31/2024,11/30/2024,12/31/2024,,12/31/2024,2/3/2024,3/31/2024,,12/31/2024,2/2/2024,2/3/2024,12/31/2024,,12/31/2024,,12/31/2024,,12/31/2024,9/28/2024,12/31/2024,12/31/2024,12/31/2024,12/31/2024,12/31/2024,12/31/2024,,12/31/2024,,12/31/2024,,5/31/2024,12/31/2024,,12/31/2024,12/31/2024,12/31/2024,,12/31/2024,12/31/2024,12/31/2024,,12/31/2024,,12/31/2024,12/31/2024,12/31/2024,2/2/2024,12/31/2024,12/31/2024,12/31/2024,12/31/2024,12/31/2024,6/29/2024,12/31/2024,,12/31/2024,,12/31/2024,12/31/2024,12/31/2024,12/31/2024,12/31/2024,12/31/2024,2/3/2024,10/31/2024,,,12/31/2024,12/31/2024,,12/31/2024,,,,,,,3/31/2024,12/31/2024,,12/31/2024,,12/31/2024,,12/31/2024
Financial Filing Date,309159,2/3/2026,2/13/2025,2/13/2025,,,2/25/2026,2/25/2026,2/18/2026,2/20/2026,,2/12/2026,2/11/2026,3/14/2025,,,,,2/27/2025,2/24/2026,,,2/26/2026,2/19/2026,2/19/2026,,2/25/2026,2/23/2026,2/20/2026,,7/10/2025,4/1/2026,2/24/2026,2/11/2026,2/12/2026,2/12/2026,,,,2/20/2025,,,2/23/2026,2/13/2026,2/26/2026,2/26/2026,2/26/2026,3/19/2025,2/26/2026,,2/26/2026,2/19/2026,2/12/2026,,,2/11/2026,,,2/11/2026,2/25/2026,3/12/2026,2/4/2026,,2/20/2026,2/25/2026,,2/19/2026,12/10/2025,,,,,2/12/2026,1/28/2026,2/18/2026,,2/24/2026,3/20/2025,5/30/2025,,2/20/2026,3/24/2025,3/21/2025,2/27/2026,,2/26/2026,,2/24/2026,,3/2/2026,11/26/2025,2/12/2026,2/6/2026,2/26/2026,2/26/2026,2/26/2026,2/13/2026,,2/9/2026,,1/27/2026,,6/18/2025,2/25/2026,,2/12/2026,3/2/2026,2/19/2026,,2/13/2026,3/29/2025,2/12/2026,,2/20/2026,,2/19/2026,2/11/2026,2/6/2026,3/17/2025,2/26/2026,2/18/2026,2/5/2026,2/25/2026,2/25/2026,8/22/2025,2/19/2026,,2/23/2026,,2/20/2026,2/25/2026,1/30/2026,2/25/2026,3/2/2026,2/25/2026,4/1/2025,12/17/2025,,,2/12/2026,2/17/2026,,2/17/2026,,,,,,,5/27/2025,2/23/2026,,2/24/2026,,2/13/2026,,5/27/2025
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.251925
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.281450
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"7,728,000",100,NA,NA,NA,"10,292,000","3,127,000","7,000","199,413",NA,"4,000","188,807","1,084,000",NA,NA,NA,NA,"1,259,325","7,200,000",NA,NA,"60,173","2,000","585,000",NA,"175,500","1,281,000","780,508,000",NA,"77,700",220,"3,018,000","5,783,000","1,768,000","1,005,000",NA,NA,NA,"8,475,000",NA,NA,"548,000","1,844,877","314,000","44,000","49,000","4,659","24,000",NA,"22,739","169,900","371,000",NA,NA,"66,771",NA,NA,"28,370,000","813,300","125,172","2,873,000",NA,"2,356,470","694,700",NA,"605,165","3,238,000",NA,NA,NA,NA,"19,000","50,817,374",NA,NA,"510,000","183,000","1,553,000",NA,"53,197","921,000","1,034,000","78,251",NA,"399,903",NA,"1,119,000",NA,"552,000","61,694","2,102,000","405,854","24,289","747,000","722,000","198,000",NA,"1,641,000",NA,"4,353,000",NA,"10,661,000","321,000",NA,"1,610,000","46,000","33,561",NA,"288,800","212,800","2,000",NA,"26,000",NA,"1,533,890","388,000","5,578,000","94,000","83,464","78,000","8,725,000","311,073","314,770","696,000","28,908",NA,"4,000",NA,"5,241,000","157,845,000","26,261,000","83,542,000","24,600","978,937,000","1,883,000","199,500",NA,NA,"360,000","2,703,100",NA,"4,194,000",NA,NA,NA,NA,NA,NA,"1,901,033","297,000",NA,"380,147,000",NA,"684,000",NA,NA
