SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"7,953,000","14,097,900","15,818,800",NA,NA,"9,336,000","1,617,000","36,376,000","11,669,653",NA,"13,680,000","720,389","2,276,000",NA,NA,NA,NA,"20,100,115",NA,NA,NA,"57,514","11,421,000","32,116,000",NA,"2,874,900","214,000","30,192,000",NA,"2,992,300","919,081","15,777,000","75,000","14,155,000","36,145,000",NA,NA,NA,"359,000",NA,NA,"69,450,000","1,196,303","121,080,000","23,117,000","13,159,000","2,399,546","10,250,000",NA,"4,720,985","1,891,900","78,406,000",NA,NA,"4,780,550",NA,NA,"45,494,000","324,700","162,957","2,550,000",NA,"1,668,770","302,600",NA,"7,053,282","4,079,000",NA,NA,NA,NA,"12,129,000","1,194,720","6,912,000",NA,"3,844,000","10,219,000","3,538,000",NA,"62,638","21,386,000","7,613,000",NA,NA,"1,767,967",NA,"38,634,000",NA,"22,766,000","981,179","1,551,000","190,320","2,211,253","52,000","421,000","1,623,000",NA,"36,102,000",NA,"12,306,000",NA,"28,826,000","4,488,000",NA,"88,749,000","29,153,000","585,600",NA,"1,313,900","3,148,100","6,638,000",NA,"8,929,000",NA,"169,719","32,508,000","17,953,000","243,000","4,524,239","60,296,000","20,012,000","8,113,564","8,119,334","6,420,000","2,394,715",NA,"11,122,000",NA,"834,000","3,266,000","13,396,000","3,929,000","2,546,200","9,991,000","31,922,000","759,300",NA,NA,"34,000","532,700",NA,"132,994,000",NA,NA,NA,NA,NA,NA,"7,950,283","52,927,000",NA,"19,433,000",NA,"14,494,000",NA,NA
Total Assets,268552,"39,868,000","15,199,600","16,370,300",NA,NA,"191,836,000","35,177,000","44,598,000","13,381,151",NA,"16,666,000","21,757,707","5,463,000",NA,NA,NA,NA,"25,848,890","238,537,000",NA,NA,"1,111,865","16,425,000","43,768,000",NA,"7,275,900","36,501,000","2,352,945,000",NA,"20,862,300","1,320,023","52,893,000","389,397,000","27,735,000","42,764,000",NA,NA,NA,"147,640,000",NA,NA,"102,415,000","12,509,160","186,343,000","28,569,000","15,727,000","2,738,860","12,768,000",NA,"5,616,507","11,759,400","107,784,000",NA,NA,"5,270,655",NA,NA,"285,196,000","17,016,100","763,567","33,089,000",NA,"46,890,255","6,340,300",NA,"9,211,236","39,909,000",NA,NA,NA,NA,"13,721,000","64,360,309","9,913,000",NA,"53,430,000","14,009,000","10,590,000",NA,"3,758,534","41,795,000","16,246,000","5,121,341",NA,"8,975,275",NA,"55,182,000",NA,"27,390,000","4,077,647","14,595,000","5,445,439","2,614,371","51,789,000","4,452,000","11,004,000",NA,"43,682,000",NA,"49,359,000",NA,"140,976,000","14,075,000",NA,"133,266,000","35,004,000","3,020,954",NA,"5,525,200","4,098,100","7,910,000",NA,"17,362,000",NA,"46,048,957","37,070,000","162,861,000","5,314,000","9,130,516","85,345,000","33,750,000","9,531,725","12,072,906","24,917,000","4,642,474",NA,"13,107,000",NA,"111,617,000","416,064,000","156,363,000","479,843,000","3,355,200","1,675,972,000","50,505,000","3,582,800",NA,NA,"4,119,000","61,959,300",NA,"384,711,000",NA,NA,NA,NA,NA,NA,"16,329,364","68,387,000",NA,"1,929,845,000",NA,"16,536,000",NA,"268,494"
Net Debt,268593,"5,965,000","6,807,600","5,855,300",NA,NA,"8,939,000","21,799,000","18,787,000","4,827,658",NA,"5,839,000","3,202,361","4,489,000",NA,NA,NA,NA,"15,724,745","4,736,000",NA,NA,"415,745","5,197,000","20,406,000",NA,"4,740,400","-108,000","-138,637,000",NA,"8,569,600","247,026","5,977,000","14,666,000","6,323,000","18,180,000",NA,NA,NA,"7,779,000",NA,NA,"42,485,000","1,318,222","85,124,000","11,051,000","4,798,000","928,375","4,311,000",NA,"3,050,119","4,840,600","46,534,000",NA,NA,"2,160,140",NA,NA,"132,492,000","2,991,900","190,657","6,503,000",NA,"14,642,511","2,715,900",NA,"4,527,760","7,661,000",NA,NA,NA,NA,"7,873,000","-18,327,048","2,416,000",NA,"17,820,000","7,193,000","2,592,000",NA,"1,433,655","39,300,000","5,308,000","2,044,120",NA,"2,231,695",NA,"50,869,000",NA,"8,525,000","987,193","4,449,000","4,226,115","1,123,452","47,815,000","678,000","4,989,000",NA,"16,371,000",NA,"13,696,000",NA,"83,753,000","5,210,000",NA,"51,117,000","13,817,000","1,489,096",NA,"1,912,100","1,034,100","2,978,000",NA,"1,965,000",NA,"34,371,466","20,432,000","37,682,000","2,159,000","5,107,011","32,164,000","-667,000","3,193,404","3,869,707","12,250,000","1,060,828",NA,"4,602,000",NA,"7,617,000","-88,131,000","29,697,000","-24,531,000","1,278,200","-230,962,000","17,367,000","841,700",NA,NA,"662,000","3,832,700",NA,"167,501,000",NA,NA,NA,NA,NA,NA,"5,737,461","22,160,000",NA,"-88,372,000",NA,"4,550,000",NA,"238,583"
Total Debt,274444,"13,693,000","6,807,700","5,855,300",NA,NA,"19,231,000","24,926,000","18,794,000","5,027,071",NA,"5,843,000","3,391,168","5,573,000",NA,NA,NA,NA,"16,984,070","9,781,000",NA,NA,"475,918","5,199,000","20,991,000",NA,"4,915,900","875,000","641,871,000",NA,"8,647,300","247,246","8,995,000","15,472,000","8,091,000","19,185,000",NA,NA,NA,"16,254,000",NA,NA,"43,033,000","3,163,099","85,438,000","11,095,000","4,847,000","933,034","4,335,000",NA,"3,072,858","5,010,500","46,905,000",NA,NA,"2,226,911",NA,NA,"160,862,000","3,805,200","315,829","9,376,000",NA,"16,998,981","3,410,600",NA,"5,132,925","10,899,000",NA,NA,NA,NA,"7,892,000","32,490,326","2,416,000",NA,"18,330,000","7,376,000","4,145,000",NA,"1,486,852","40,221,000","6,342,000","2,122,371",NA,"2,631,598",NA,"51,988,000",NA,"9,077,000","1,048,887","6,551,000","4,631,969","1,147,741","48,562,000","1,400,000","5,187,000",NA,"18,012,000",NA,"18,396,000",NA,"94,414,000","5,531,000",NA,"52,727,000","13,863,000","1,522,657",NA,"2,200,900","1,246,900","2,980,000",NA,"1,991,000",NA,"35,905,356","20,820,000","43,260,000","2,285,000","5,190,475","32,242,000","8,058,000","3,504,477","4,184,477","12,946,000","1,089,736",NA,"4,606,000",NA,"8,321,000","69,714,000","55,958,000","59,011,000","1,302,800","747,975,000","19,250,000","1,041,200",NA,NA,"1,022,000","3,995,500",NA,"171,695,000",NA,NA,NA,NA,NA,NA,"7,638,494","22,457,000",NA,"291,775,000",NA,"5,234,000",NA,"238,583"
Total Common Equity,268583,"3,842,000","4,884,600","6,950,900",NA,NA,"11,579,000","(2,238,000)","12,114,000","7,626,790",NA,"5,748,000","5,761,151","-1,627,000",NA,NA,NA,NA,"4,389,913","4,959,000",NA,NA,"511,485","6,268,000","10,666,000",NA,"1,083,600","13,935,000","190,748,000",NA,"8,440,400","496,124","13,210,000","11,462,000","10,686,000","12,502,000",NA,NA,NA,"16,870,000",NA,NA,"25,872,000","6,953,996","49,154,000","10,981,000","5,526,000","1,107,506","5,459,000",NA,"2,323,097","4,796,900","26,921,000",NA,NA,"2,747,317",NA,NA,"44,835,000","10,188,600","148,703","8,446,000",NA,"22,280,686","1,157,600",NA,"2,776,226","-1,323,000",NA,NA,NA,NA,"2,994,000","10,156,717","4,967,000",NA,"24,243,000","3,893,000","1,015,000",NA,"2,037,228","-15,050,000","4,035,000","2,797,838",NA,"2,911,857",NA,"-3,797,000",NA,"11,199,000","1,828,817","1,703,000","-939,997","1,366,475","2,641,000","933,000","2,751,000",NA,"14,306,000",NA,"15,290,000",NA,"8,704,000","5,077,000",NA,"35,292,000","10,510,000","1,128,366",NA,"1,289,900","1,804,800","2,686,000",NA,"12,243,000",NA,"6,537,720","7,563,000","60,156,000","1,785,000","2,041,863","19,531,000","10,350,000","3,235,486","3,504,187","1,860,000","972,039",NA,"5,322,000",NA,"19,441,000","36,975,000","-3,914,000","39,184,000","1,177,800","108,743,000","11,615,000","1,551,900",NA,NA,"69,000","10,961,100",NA,"99,237,000",NA,NA,NA,NA,NA,NA,"5,025,430","22,157,000",NA,"160,512,000",NA,"9,721,000",NA,"29,911"
Total Minority Interest,268584,"52,000",NA,NA,NA,NA,NA,"50,000","129,000",NA,NA,NA,"70,377.00","1,000.00",NA,NA,NA,NA,"3,312,118.00","65,000.00",NA,NA,NA,NA,NA,NA,"19,700.00",NA,"768,000.00",NA,"70,900.00",340.00,"373,000.00","864,000.00","384,000.00","5,000.00",NA,NA,NA,NA,NA,NA,"2,939,000.00",NA,"1,129,000.00",NA,NA,NA,NA,NA,NA,"122,700.00",NA,NA,NA,"7,940.00",NA,NA,"23,000.00","7,000.00","-11,979.00","206,000.00",NA,"735,881.00","27,400.00",NA,"65,548.00",NA,NA,NA,NA,NA,NA,"68,621.00",NA,NA,NA,NA,"107,000.00",NA,NA,NA,NA,NA,NA,"75,486.00",NA,NA,NA,NA,NA,"16,000.00",NA,"18,702.00",NA,"-2,000.00",NA,NA,NA,NA,NA,NA,"535,000.00","43,000.00",NA,NA,NA,NA,NA,"4,200.00",NA,NA,NA,NA,NA,"91,336.00","172,000.00","1,802,000.00",NA,"241,816.00",NA,NA,NA,"184,895.00","31,000.00",NA,NA,NA,NA,"-75,000.00","446,000.00","-6,000.00",NA,NA,"417,000.00","-14,000.00",NA,NA,NA,NA,NA,NA,"1,338,000.00",NA,NA,NA,NA,NA,NA,"47,074.00","2,939,000.00",NA,"1,946,000.00",NA,NA,NA,NA
Total Equity,268585,"3,894,000","4,884,600","6,950,900",NA,NA,"13,903,000","(2,188,000)","12,243,000","7,848,630.00",NA,"5,748,000.00","5,831,528.00","-1,626,000.00",NA,NA,NA,NA,"7,702,031.00","5,024,000.00",NA,NA,"511,485.00","6,268,000.00","10,666,000.00",NA,"1,103,300.00","13,935,000.00","209,366,000.00",NA,"8,511,300.00","496,464.00","13,583,000.00","12,326,000.00","11,070,000.00","12,507,000.00",NA,NA,NA,"17,926,000.00",NA,NA,"29,802,000.00","6,953,996.00","51,256,000.00","10,981,000.00","5,526,000.00","1,107,506.00","5,459,000.00",NA,"2,329,277.00","4,919,600.00","26,921,000.00",NA,NA,"2,755,257.00",NA,NA,"44,858,000.00","10,195,600.00","136,724.00","8,652,000.00",NA,"23,016,567.00","1,185,000.00",NA,"2,841,774.00","-1,323,000.00",NA,NA,NA,NA,"2,994,000.00","10,225,393.00","4,967,000.00",NA,"24,243,000.00","3,893,000.00","1,122,000.00",NA,"2,037,228.00","-15,050,000.00","4,035,000.00","2,797,838.00",NA,"2,987,343.00",NA,"-3,797,000.00",NA,"11,199,000.00","1,828,817.00","1,719,000.00","-939,997.00","1,385,177.00","2,641,000.00","1,207,000.00","2,751,000.00",NA,"14,306,000.00",NA,"15,290,000.00",NA,"9,239,000.00","5,120,000.00",NA,"35,550,000.00","10,512,000.00","1,128,366.00",NA,"1,294,100.00","1,804,800.00","2,686,000.00",NA,"12,243,000.00",NA,"7,886,310.00","7,735,000.00","61,958,000.00","1,785,000.00","2,283,679.00","21,751,000.00","10,350,000.00","3,235,486.00","3,689,082.00","1,891,000.00","972,039.00",NA,"5,322,000.00",NA,"21,367,000.00","41,764,000.00","-3,914,000.00","48,375,000.00","1,177,800.00","122,413,000.00","11,601,000.00","1,551,900.00",NA,NA,"69,000.00","10,961,100.00",NA,"100,575,000.00",NA,NA,NA,NA,NA,NA,"5,072,504.00","25,096,000.00",NA,"181,066,000.00",NA,"9,721,000.00",NA,"29,910.99"
Current Ratio (x),274464,1.41,0.36,0.17,NA,NA,NA,0.51,0.66,1.44,NA,0.54,1.46,1.64,NA,NA,NA,NA,1.45,0.60,NA,NA,1.83,2.01,1.08,NA,0.57,1.08,NA,NA,0.97,1.73,1.55,1.24,1.63,0.86,NA,NA,NA,1.02,NA,NA,0.71,2.04,0.67,0.82,1.11,0.83,0.63,NA,0.31,0.75,0.87,NA,NA,0.52,NA,NA,1.17,1.16,1.70,1.04,NA,0.97,1.60,NA,1.63,0.72,NA,NA,NA,NA,0.62,1.49,1.10,NA,0.49,1.31,1.03,NA,27.95,1.23,1.34,1.53,NA,1.22,NA,1.19,NA,1.64,2.10,1.28,0.85,1.64,9.41,1.18,1.14,NA,0.90,NA,1.01,NA,0.72,1.47,NA,1.07,1.02,2.33,NA,1.15,2.09,0.98,NA,1.35,NA,1.26,0.17,0.99,0.98,0.43,0.96,0.92,1.11,0.80,1.20,0.92,NA,0.50,NA,0.39,NA,1.32,0.54,0.75,1.69,0.81,1.81,NA,NA,1.07,11.49,NA,0.63,NA,NA,NA,NA,NA,NA,2.69,0.76,NA,NA,NA,1.79,NA,5.96
Quick Ratio (x),274465,0.97,0.20,0.14,NA,NA,NA,0.38,0.29,0.49,NA,0.19,1.05,1.02,NA,NA,NA,NA,1.34,0.35,NA,NA,1.66,0.59,0.48,NA,0.40,0.90,NA,NA,0.29,0.83,1.08,0.23,0.78,0.71,NA,NA,NA,1.02,NA,NA,0.33,1.47,0.25,0.19,0.44,0.37,0.37,NA,0.26,0.62,0.48,NA,NA,0.50,NA,NA,0.98,0.71,0.88,0.75,NA,0.50,1.37,NA,1.18,0.40,NA,NA,NA,NA,0.37,1.49,1.01,NA,0.25,0.13,0.69,NA,0.66,0.06,0.29,1.53,NA,1.11,NA,0.91,NA,0.99,1.16,1.05,0.77,1.53,9.15,0.88,0.44,NA,0.76,NA,0.85,NA,0.61,0.64,NA,0.90,0.39,0.63,NA,0.22,1.39,0.24,NA,0.26,NA,0.43,0.08,0.60,0.87,0.28,0.42,0.80,0.79,0.34,0.65,0.28,NA,0.14,NA,0.22,NA,0.39,0.54,0.26,1.52,0.25,0.68,NA,NA,0.25,3.65,NA,0.47,NA,NA,NA,NA,NA,NA,2.19,0.37,NA,NA,NA,1.02,NA,5.96
Total Debt/Equity (%),274466,351.64,139.37,84.24,NA,NA,NA,NM,153.51,64,NA,102,58,NM,NA,NA,NA,NA,221,195,NA,NA,93,83,197,NA,446,6,NA,NA,102,50,66,126,73,153,NA,NA,NA,91,NA,NA,144,45,167,101,88,84,79,NA,132,102,174,NA,NA,81,NA,NA,359,37,231,108,NA,74,288,NA,181,NM,NA,NA,NA,NA,264,318,49,NA,76,189,369,NA,73,NM,157,76,NA,88,NA,NM,NA,81,57,381,NM,83,"1,839",116,189,NA,126,NA,120,NA,"1,022",108,NA,148,132,135,NA,170,69,111,NA,16,NA,455,269,70,128,227,148,78,108,113,685,112,NA,87,NA,39,NA,NM,122,111,611,166,67,NA,NA,"1,481",36,NA,171,NA,NA,NA,NA,NA,NA,151,89,NA,NA,NA,54,NA,798
Total Debt / Total Capital (%),274467,77.86,58.22,45.72,NA,NA,NA,109.62,60.55,39,NA,50,37,141,NA,NA,NA,NA,69,66,NA,NA,48,45,66,NA,82,6,NA,NA,50,33,40,56,42,61,NA,NA,NA,48,NA,NA,59,31,63,50,47,46,44,NA,57,50,64,NA,NA,45,NA,NA,78,27,70,52,NA,42,74,NA,64,114,NA,NA,NA,NA,72,76,33,NA,43,65,79,NA,42,160,61,43,NA,47,NA,108,NA,45,36,79,125,45,95,54,65,NA,56,NA,55,NA,91,52,NA,60,57,57,NA,63,41,53,NA,14,NA,82,73,41,56,69,60,44,52,53,87,53,NA,46,NA,28,NA,108,55,53,86,62,40,NA,NA,94,27,NA,63,NA,NA,NA,NA,NA,NA,60,47,NA,NA,NA,35,NA,89
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
