SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"8,082,000","13,374,800","15,086,000",NA,NA,"9,737,000","1,620,000","34,873,000","11,119,544",NA,"13,322,500","499,724","2,316,000",NA,NA,NA,NA,"19,877,427",NA,NA,NA,"42,978","10,963,000","30,234,000",NA,"2,752,400","213,000","29,399,000",NA,"2,876,500","885,633","21,973,000",NA,"13,742,000","35,454,000",NA,NA,NA,"1,087,000",NA,NA,"63,363,000","1,025,444","121,208,000","22,413,000","13,072,000","2,315,846","10,010,000",NA,"4,804,834","1,885,300","75,646,000",NA,NA,"4,701,605",NA,NA,"41,590,000","576,900","187,384","2,458,000",NA,"2,309,347","542,900",NA,"7,596,813","3,937,000",NA,NA,NA,NA,"11,635,000","1,206,489","6,581,000",NA,"3,535,000","10,438,000","3,544,000",NA,"60,845","21,023,000","8,568,000",NA,NA,"1,933,553",NA,"38,045,000",NA,"22,213,000","926,377","1,514,000","193,516","2,106,324","59,000","438,000","1,634,000",NA,"35,280,000",NA,"11,594,000",NA,"18,009,000","5,096,000",NA,"85,815,000","27,941,000","559,050",NA,"1,349,400","2,966,600","6,403,500",NA,"8,810,000",NA,"142,411","32,348,000","17,357,000","230,000","1,764,204","58,537,000","20,331,000","7,792,951","8,872,154","5,981,540","2,363,133",NA,"10,644,000",NA,"777,000","3,267,000","10,976,000","3,436,000","2,414,000","8,418,000","31,591,000","755,100",NA,NA,"35,000","483,400",NA,"131,954,000",NA,NA,NA,NA,NA,NA,"8,131,015","47,587,000",NA,"18,873,000",NA,"14,212,000",NA,NA
Total Assets,268552,"43,377,000","14,948,400","15,786,200",NA,NA,"192,531,000","34,387,000","42,334,000","13,303,940",NA,"16,244,500","20,107,766","5,195,000",NA,NA,NA,NA,"25,234,950","237,438,000",NA,NA,"1,120,542","15,527,000","40,976,000",NA,"7,170,100","34,802,000","2,405,686,000",NA,"22,120,000","1,280,982","51,321,000","382,492,000","27,179,000","42,362,000",NA,NA,NA,"150,867,000",NA,NA,"100,417,000","11,291,760","181,575,000","27,078,000","15,649,000","2,811,695","12,601,000",NA,"5,645,367","12,152,300","105,113,000",NA,NA,"5,215,221",NA,NA,"276,586,000","17,285,000","785,682","31,852,000",NA,"50,752,158","6,864,100",NA,"9,901,211","37,433,000",NA,NA,NA,NA,"13,399,000","63,000,530","9,498,000",NA,"52,344,000","14,794,000","10,602,000",NA,"3,701,927","44,521,000","16,304,000","4,957,335",NA,"8,678,986",NA,"53,801,000",NA,"27,368,000","4,039,120","13,345,000","5,456,833","2,476,912","56,622,000","4,783,000","12,048,000",NA,"42,558,000",NA,"47,670,000",NA,"134,324,000","14,991,000",NA,"130,383,000","34,608,000","3,003,870",NA,"5,708,900","3,534,600","7,693,200",NA,"16,626,000",NA,"42,018,889","36,974,000","161,169,000","5,672,000","2,347,830","84,299,000","35,563,000","9,360,652","11,985,344","24,740,601","4,559,811",NA,"12,239,000",NA,"108,368,000","428,539,000","142,720,000","449,675,000","3,084,300","1,653,313,000","50,202,000","3,852,200",NA,NA,"3,703,000","62,044,400",NA,"379,146,000",NA,NA,NA,NA,NA,NA,"17,072,044","63,199,000",NA,"1,940,073,000",NA,"16,800,000",NA,"278,540"
Net Debt,268593,"3,453,000","6,558,400","5,910,600",NA,NA,"11,842,000","23,224,000","17,751,000","4,291,129",NA,"5,737,500","3,126,842","5,101,000",NA,NA,NA,NA,"15,431,471","4,676,000",NA,NA,"440,599","4,574,000","18,563,000",NA,"4,806,100","103,000","-105,580,000",NA,"9,008,100","247,093","8,816,000","12,698,000","6,778,000","17,891,000",NA,NA,NA,"8,285,000",NA,NA,"42,187,000","2,842,633","82,984,000","10,732,000","4,829,000","933,305","4,493,000",NA,"3,004,302","5,330,400","45,262,000",NA,NA,"2,170,090",NA,NA,"126,459,000","3,302,200","219,234","7,664,000",NA,"16,089,845","2,884,600",NA,"5,113,428","8,386,000",NA,NA,NA,NA,"7,611,000","-17,875,819","2,129,000",NA,"16,311,000","7,788,000","2,770,000",NA,"1,455,019","36,800,000","5,534,000","2,179,225",NA,"2,693,665",NA,"51,265,000",NA,"8,674,000","1,044,853","5,472,000","4,216,962","1,121,269","51,974,000","2,658,000","5,287,000",NA,"17,467,000",NA,"14,563,000",NA,"80,099,000","5,829,000",NA,"54,945,000","12,461,000","1,469,857",NA,"1,954,100","1,172,600","2,758,800",NA,"1,985,000",NA,"29,164,056","21,381,000","37,555,000","2,033,000","2,372,404","32,408,000","-893,000","2,938,404","4,606,132","12,007,221","791,756",NA,"4,288,000",NA,"7,485,000","-104,601,000","45,327,000","11,523,000","1,125,500","-312,224,000","17,492,000","950,800",NA,NA,"700,000","3,511,200",NA,"175,843,000",NA,NA,NA,NA,NA,NA,"5,792,812","20,914,000",NA,"-70,731,000",NA,"4,096,000",NA,"249,220"
Total Debt,274444,"13,791,000","6,558,500","5,910,600",NA,NA,"19,219,000","25,023,000","17,770,000","5,009,509",NA,"5,741,500","3,339,851","5,891,000",NA,NA,NA,NA,"16,128,917","9,117,000",NA,NA,"469,670","4,590,000","19,141,000",NA,"4,946,400","874,000","674,252,000",NA,"9,069,600","247,286","9,124,000","13,335,000","8,197,000","19,133,000",NA,NA,NA,"19,152,000",NA,NA,"42,326,000","3,171,385","83,374,000","10,767,000","4,842,000","934,566","4,504,000",NA,"3,038,033","5,512,300","46,196,000",NA,NA,"2,243,141",NA,NA,"152,895,000","3,946,300","324,140","9,662,000",NA,"18,187,004","3,994,100",NA,"5,564,895","10,828,000",NA,NA,NA,NA,"7,758,000","30,736,303","2,129,000",NA,"16,749,000","7,992,000","4,178,000",NA,"1,506,090","40,668,000","5,972,000","2,209,697",NA,"2,991,251",NA,"52,057,000",NA,"9,607,000","1,103,919","6,853,000","4,664,480","1,136,035","53,094,000","2,862,000","5,669,000",NA,"18,126,000",NA,"18,166,000",NA,"88,789,000","6,083,000",NA,"56,005,000","13,750,000","1,513,817",NA,"2,281,600","1,173,600","2,761,300",NA,"2,003,000",NA,"30,457,149","21,772,000","43,566,000","2,415,000","2,425,661","32,476,000","9,109,000","3,503,298","5,205,771","12,969,386","822,834",NA,"4,298,000",NA,"8,084,000","66,697,000","57,927,000","62,220,000","1,147,700","701,744,000","19,912,000","1,139,600",NA,NA,"1,105,000","3,643,900",NA,"178,330,000",NA,NA,NA,NA,NA,NA,"7,754,395","20,955,000",NA,"318,619,000",NA,"5,093,000",NA,"249,220"
Total Common Equity,268583,"3,916,000","5,011,900","6,653,800",NA,NA,"11,527,000","(3,016,000)","11,539,000","7,490,147",NA,"5,580,000","5,743,303","-2,155,000",NA,NA,NA,NA,"5,010,305","4,141,000",NA,NA,"496,891","6,233,000","10,354,000",NA,"1,030,900","12,777,000","190,210,000",NA,"9,004,000","494,261","11,520,000","10,996,000","10,585,000","12,616,000",NA,NA,NA,"15,011,000",NA,NA,"25,725,000","5,363,623","47,745,000","10,550,000","5,401,000","1,198,382","5,290,000",NA,"2,424,648","4,696,000","26,152,000",NA,NA,"2,680,818",NA,NA,"43,567,000","10,499,300","189,646","7,801,000",NA,"22,387,414","1,150,600",NA,"2,969,887","-916,000",NA,NA,NA,NA,"2,938,000","9,875,014","4,924,000",NA,"24,718,000","3,735,000","1,013,000",NA,"1,923,842","-14,732,000","4,210,000","2,578,956",NA,"2,714,364",NA,"-4,824,000",NA,"10,677,000","1,753,259","802,000","-734,483","1,244,417","2,748,000","-85,000","3,080,000",NA,"12,979,000",NA,"14,301,000",NA,"3,866,000","5,472,000",NA,"30,359,000","10,022,000","1,098,504",NA,"1,338,100","1,394,300","2,609,100",NA,"11,487,000",NA,"6,069,339","6,008,000","58,985,000","1,843,000","-682,071","18,767,000","10,465,000","3,257,535","3,492,765","2,404,034","1,094,505",NA,"5,194,000",NA,"16,592,000","36,500,000","-17,976,000","34,762,000","1,113,600","106,710,000","10,626,000","1,651,400",NA,NA,"100,000","10,464,600",NA,"96,172,000",NA,NA,NA,NA,NA,NA,"5,189,966","22,359,000",NA,"159,822,000",NA,"10,045,000",NA,"29,320"
Total Minority Interest,268584,"72,000",NA,NA,NA,NA,NA,"50,000","129,000",NA,NA,NA,"70,747.00","1,000.00",NA,NA,NA,NA,"3,032,524.00","65,000.00",NA,NA,NA,NA,NA,NA,"16,100.00",NA,"834,000.00",NA,"70,200.00",340.00,"356,000.00","816,000.00","342,000.00","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"1,099,000.00",NA,NA,NA,NA,NA,NA,"137,600.00",NA,NA,NA,"7,620.00",NA,NA,"28,000.00","6,500.00","-2,570.00","193,000.00",NA,"773,638.00","22,300.00",NA,"66,146.00",NA,NA,NA,NA,NA,NA,"77,536.00",NA,NA,NA,NA,"100,000.00",NA,NA,NA,NA,NA,NA,"19,743.00",NA,NA,NA,NA,NA,"15,000.00",NA,"19,055.00",NA,"-2,000.00",NA,NA,NA,NA,NA,NA,"512,000.00","53,000.00",NA,NA,NA,NA,NA,"4,700.00",NA,NA,NA,NA,NA,"94,021.00","174,000.00","1,696,000.00",NA,-7.00,NA,NA,NA,"181,870.00","33,367.00",NA,NA,NA,NA,"-20,000.00","278,000.00","-6,000.00",NA,NA,"415,000.00","-22,000.00",NA,NA,NA,NA,NA,NA,"1,367,000.00",NA,NA,NA,NA,NA,NA,"37,737.00",NA,NA,"1,718,000.00",NA,NA,NA,NA
Total Equity,268585,"3,988,000","5,011,900","6,653,800",NA,NA,"13,851,000","(2,966,000)","11,668,000","7,711,987.00",NA,"5,580,000.00","5,814,050.00","-2,154,000.00",NA,NA,NA,NA,"8,042,829.00","4,206,000.00",NA,NA,"496,891.00","6,233,000.00","10,354,000.00",NA,"1,047,000.00","12,777,000.00","209,144,000.00",NA,"9,074,200.00","494,601.00","11,876,000.00","11,812,000.00","10,927,000.00","12,620,000.00",NA,NA,NA,"16,067,000.00",NA,NA,"27,073,000.00","5,363,623.00","50,806,000.00","10,550,000.00","5,401,000.00","1,198,382.00","5,290,000.00",NA,"2,430,828.00","4,833,600.00","26,152,000.00",NA,NA,"2,688,438.00",NA,NA,"43,595,000.00","10,505,800.00","187,076.00","7,994,000.00",NA,"23,161,052.00","1,172,900.00",NA,"3,036,033.00","-916,000.00",NA,NA,NA,NA,"2,938,000.00","9,952,592.00","4,924,000.00",NA,"24,718,000.00","3,735,000.00","1,113,000.00",NA,"1,923,842.00","-14,732,000.00","4,210,000.00","2,578,956.00",NA,"2,734,107.00",NA,"-4,824,000.00",NA,"10,677,000.00","1,753,259.00","817,000.00","-734,483.00","1,263,472.00","2,748,000.00","189,000.00","3,080,000.00",NA,"12,979,000.00",NA,"14,301,000.00",NA,"4,378,000.00","5,525,000.00",NA,"30,617,000.00","10,024,000.00","1,098,504.00",NA,"1,342,800.00","1,394,300.00","2,609,100.00",NA,"11,487,000.00",NA,"7,420,614.00","6,182,000.00","60,681,000.00","1,843,000.00","-682,078.00","21,262,000.00","10,465,000.00","3,257,535.00","3,674,635.00","2,437,401.00","1,094,505.00",NA,"5,194,000.00",NA,"18,573,000.00","41,121,000.00","-17,982,000.00","43,953,000.00","1,113,600.00","119,878,000.00","10,604,000.00","1,651,400.00",NA,NA,"100,000.00","10,464,600.00",NA,"97,539,000.00",NA,NA,NA,NA,NA,NA,"5,227,703.00","22,359,000.00",NA,"178,148,000.00",NA,"10,045,000.00",NA,"29,319.95"
Current Ratio (x),274464,1.36,1.02,0.42,NA,NA,NA,0.46,0.67,2.15,NA,0.67,1.48,1.56,NA,NA,NA,NA,0.84,1.54,NA,NA,1.53,2.17,1.20,NA,0.57,1.00,NA,NA,0.91,2.52,1.34,1.33,1.57,1.16,NA,NA,NA,1.11,NA,NA,0.93,1.53,0.81,0.83,1.19,2.67,0.75,NA,0.66,0.79,1.03,NA,NA,2.58,NA,NA,1.17,1.23,1.94,1.06,NA,0.92,1.46,NA,1.52,0.75,NA,NA,NA,NA,0.94,1.47,0.57,NA,0.51,1.15,1.02,NA,28.42,1.26,1.26,2.41,NA,1.27,NA,1.08,NA,1.30,2.15,1.20,0.96,0.82,9.96,0.85,0.98,NA,0.63,NA,1.11,NA,0.79,1.37,NA,0.91,1.35,2.29,NA,1.42,0.52,0.63,NA,0.83,NA,4.90,0.19,0.99,1.14,0.50,1.10,0.90,1.60,1.58,1.37,1.20,NA,0.65,NA,0.38,NA,1.18,0.44,0.70,1.59,0.78,1.93,NA,NA,1.04,15.46,NA,0.63,NA,NA,NA,NA,NA,NA,2.62,0.80,NA,NA,NA,2.19,NA,3.17
Quick Ratio (x),274465,0.97,0.43,0.19,NA,NA,NA,0.28,0.30,1.31,NA,0.23,0.98,0.78,NA,NA,NA,NA,0.76,1.32,NA,NA,1.35,0.55,0.51,NA,0.36,0.82,NA,NA,0.27,0.91,0.51,0.23,0.69,0.98,NA,NA,NA,1.11,NA,NA,0.23,0.89,0.33,0.33,0.42,0.66,0.37,NA,0.49,0.67,0.56,NA,NA,1.28,NA,NA,0.96,0.83,0.85,0.72,NA,0.35,1.12,NA,1.05,0.38,NA,NA,NA,NA,0.69,1.46,0.47,NA,0.26,0.06,0.69,NA,0.78,0.22,0.18,2.41,NA,1.16,NA,0.82,NA,0.92,1.27,0.95,0.84,0.72,9.43,0.51,0.42,NA,0.50,NA,0.93,NA,0.64,0.71,NA,0.73,0.76,0.79,NA,0.30,0.14,0.24,NA,0.36,NA,1.87,0.08,0.60,1.08,0.31,0.42,0.80,1.23,1.33,0.76,0.42,NA,0.33,NA,0.24,NA,0.26,0.44,0.29,1.46,0.26,0.77,NA,NA,0.30,4.21,NA,0.47,NA,NA,NA,NA,NA,NA,2.19,0.37,NA,NA,NA,1.42,NA,3.17
Total Debt/Equity (%),274466,345.81,130.86,88.83,NA,NA,NA,NM,152.30,65,NA,103,57,NM,NA,NA,NA,NA,201,217,NA,NA,95,74,185,NA,472,7,NA,NA,100,50,77,113,75,152,NA,NA,NA,119,NA,NA,156,59,164,102,90,78,85,NA,125,114,177,NA,NA,83,NA,NA,351,38,173,121,NA,79,341,NA,183,NM,NA,NA,NA,NA,264,309,43,NA,68,214,375,NA,78,NM,142,86,NA,109,NA,NM,NA,90,63,839,NM,90,"1,932","1,514",184,NA,140,NA,127,NA,"2,028",110,NA,183,137,138,NA,170,84,106,NA,17,NA,410,352,72,131,NM,153,87,108,142,532,75,NA,83,NA,44,NA,NM,142,103,585,188,69,NA,NA,"1,105",35,NA,183,NA,NA,NA,NA,NA,NA,148,94,NA,NA,NA,51,NA,850
Total Debt / Total Capital (%),274467,77.57,56.68,47.04,NA,NA,NA,113.45,60.36,39,NA,51,36,158,NA,NA,NA,NA,67,68,NA,NA,49,42,65,NA,83,6,NA,NA,50,33,43,53,43,60,NA,NA,NA,54,NA,NA,61,37,62,51,47,44,46,NA,56,53,64,NA,NA,45,NA,NA,78,27,63,55,NA,44,77,NA,65,109,NA,NA,NA,NA,73,76,30,NA,40,68,79,NA,44,157,59,46,NA,52,NA,110,NA,47,39,89,119,47,95,94,65,NA,58,NA,56,NA,95,52,NA,65,58,58,NA,63,46,51,NA,15,NA,80,78,42,57,139,60,47,52,59,84,43,NA,45,NA,30,NA,145,59,51,85,65,41,NA,NA,92,26,NA,65,NA,NA,NA,NA,NA,NA,60,48,NA,NA,NA,34,NA,89
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
