SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024,FQ22024
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,6/30/2024,6/30/2024,6/30/2024,,,6/30/2024,6/30/2024,6/30/2024,6/30/2024,,6/30/2024,6/29/2024,7/29/2023,,,,,6/30/2024,6/30/2024,,,6/30/2024,6/30/2024,6/30/2024,,6/30/2024,6/30/2024,6/30/2024,,11/26/2023,6/30/2024,6/30/2024,6/30/2024,6/30/2024,6/30/2024,,,,6/30/2024,,,6/30/2024,6/30/2024,6/30/2024,6/30/2024,6/30/2024,6/30/2024,6/30/2024,,6/30/2024,6/30/2024,6/30/2024,,,6/30/2024,,,6/30/2024,6/28/2024,6/29/2024,6/30/2024,,6/30/2024,6/30/2024,,6/30/2024,4/30/2024,,,,,6/30/2024,5/31/2024,6/30/2024,,6/30/2024,7/29/2023,9/30/2023,,6/30/2024,8/4/2023,7/29/2023,6/30/2024,,6/30/2024,,6/30/2024,,6/30/2024,3/30/2024,6/29/2024,6/30/2024,6/30/2024,6/30/2024,6/30/2024,6/30/2024,,6/30/2024,,6/30/2024,,11/30/2023,6/30/2024,,6/30/2024,6/30/2024,6/30/2024,,6/30/2024,6/30/2024,6/30/2024,,6/30/2024,,6/30/2024,6/30/2024,6/30/2024,8/4/2023,6/30/2024,6/30/2024,6/30/2024,6/30/2024,6/30/2024,12/30/2023,6/30/2024,,6/30/2024,,6/30/2024,6/30/2024,6/30/2024,6/30/2024,6/30/2024,6/30/2024,8/12/2023,5/3/2024,,,6/30/2024,6/30/2024,,6/30/2024,,,,,,,9/30/2023,6/30/2024,,6/30/2024,,6/30/2024,,6/30/2024
Financial Filing Date,309159,7/18/2025,7/30/2025,7/30/2025,,,8/4/2025,7/30/2025,8/4/2025,8/1/2025,,7/30/2025,7/31/2025,8/28/2024,,,,,8/6/2025,11/7/2025,,,8/7/2025,7/24/2025,7/24/2025,,10/22/2025,7/28/2025,11/6/2025,,12/19/2024,8/13/2025,8/7/2025,11/4/2025,8/1/2025,7/23/2025,,,,12/23/2024,,,8/1/2025,7/24/2025,8/5/2025,8/5/2025,8/5/2025,8/20/2025,8/5/2025,,7/31/2025,7/22/2025,7/31/2025,,,10/17/2025,,,7/31/2025,10/29/2025,8/14/2025,7/30/2025,,8/6/2025,7/31/2025,,8/6/2025,5/29/2025,,,,,8/1/2025,7/9/2025,7/30/2025,,7/24/2025,9/5/2024,11/7/2024,,8/5/2025,8/29/2024,9/4/2024,8/8/2025,,7/31/2025,,8/6/2025,,8/4/2025,4/25/2025,8/7/2025,7/22/2025,8/6/2025,7/30/2025,8/7/2025,8/1/2025,,7/29/2025,,7/22/2025,,12/10/2024,8/6/2025,,7/31/2025,8/4/2025,8/7/2025,,7/29/2025,8/27/2025,7/30/2025,,7/31/2025,,8/1/2025,7/29/2025,7/22/2025,9/5/2024,8/6/2025,7/31/2025,7/24/2025,8/6/2025,11/5/2025,1/29/2025,8/1/2025,,8/8/2025,,7/30/2025,8/1/2025,7/29/2025,8/8/2025,11/4/2025,10/31/2025,9/20/2024,6/5/2025,,,7/25/2025,7/30/2025,,7/25/2025,,,,,,,11/8/2024,8/1/2025,,8/5/2025,,7/25/2025,,9/26/2025
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.263791
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.261949
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"10,338,000",100,NA,NA,NA,"7,377,000","1,799,000","19,000","718,380",NA,"4,000","213,009","790,000",NA,NA,NA,NA,"697,446","6,050,000",NA,NA,"29,071","16,000","578,000",NA,"140,300","771,000","779,832,000",NA,"61,500",193,"308,000","5,632,000","1,419,000","1,242,000",NA,NA,NA,"10,867,000",NA,NA,"139,000","328,752","390,000","35,000","13,000","1,261","11,000",NA,"33,731","181,900","934,000",NA,NA,"73,051",NA,NA,"26,436,000","644,100","104,906","1,998,000",NA,"2,097,159","1,109,500",NA,"451,467","2,442,000",NA,NA,NA,NA,"147,000","48,612,122",NA,NA,"438,000","204,000","1,408,000",NA,"51,071","3,868,000","438,000","30,472",NA,"297,586",NA,"792,000",NA,"933,000","59,066","1,381,000","447,518","14,766","1,120,000","204,000","382,000",NA,"659,000",NA,"3,272,000",NA,"8,690,000","254,000",NA,"1,060,000","1,289,000","43,960",NA,"327,500","1,000","2,500",NA,"18,000",NA,"1,293,093","391,000","6,011,000","352,000","53,257","68,000","10,002,000","564,894","599,639","962,165","31,078",NA,"10,000",NA,"5,888,000","171,298,000","12,600,000","50,697,000","22,200","1,013,968,000","2,420,000","188,800",NA,NA,"249,000","1,926,200",NA,"2,487,000",NA,NA,NA,NA,NA,NA,"1,961,583","41,000",NA,"389,350,000",NA,"997,000",NA,NA
