SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"10,254,000","10,842,100","12,163,800",NA,NA,"12,083,000","1,547,000","29,578,000","9,998,721",NA,"11,937,100","658,199","4,626,000",NA,NA,NA,NA,"17,471,681",NA,NA,NA,"42,949","6,004,000","24,229,000",NA,"1,035,800","203,000","2,900,000",NA,"2,646,200","788,955","19,837,000",NA,"15,780,000","33,480,000",NA,NA,NA,"984,000",NA,NA,"60,121,000","960,130","113,571,000","18,545,000","11,853,000","2,037,695","8,734,000",NA,"4,926,946","1,383,300","65,465,000",NA,NA,"3,989,445",NA,NA,"37,583,000","412,600","251,789",NA,NA,"1,716,257","422,600","6,198,901","7,251,166","3,793,000",NA,NA,NA,NA,"10,148,000","909,565","5,780,000","9,300,600","3,245,000","9,045,000",NA,NA,"24,520","22,945,000","8,651,000","3,600",NA,"1,704,025",NA,"37,813,300",NA,"20,345,000","726,155","1,467,000","199,050","2,201,084","91,000","1,075,000","1,739,000",NA,"31,657,000",NA,"9,719,000",NA,"7,610,000","4,007,000",NA,"72,643,000","23,081,000","498,878",NA,"1,165,200","2,535,800","5,512,400",NA,"8,184,000",NA,"160,781","27,476,399","16,748,000","333,000","1,762,008","52,836,000","16,238,000","6,624,805","8,830,423","5,093,938","2,302,868",NA,"10,788,000",NA,"966,000","3,359,000","10,755,000","3,499,000","1,708,100","20,625,000","29,720,000","585,855",NA,NA,"130,000","454,900",NA,"127,337,000",NA,NA,NA,NA,NA,NA,"3,734,099","35,253,000",NA,"18,295,000",NA,"13,950,000",NA,NA
Total Assets,268552,"45,855,000","12,142,600","12,714,400",NA,NA,"184,297,000","40,235,000","36,197,000","11,441,385",NA,"14,024,300","19,512,853","10,546,000",NA,NA,NA,NA,"22,216,611","245,052,000",NA,NA,"1,069,217","9,243,000","35,202,000",NA,"3,036,900","30,250,000","2,394,105,000",NA,"22,539,900","1,134,701","46,829,000","394,667,000","30,257,000","40,452,000",NA,NA,NA,"107,412,000",NA,NA,"100,852,000","10,501,047","171,220,000","23,057,000","14,219,000","2,273,051","10,731,000",NA,"5,818,070","11,391,700","92,698,000",NA,NA,"4,388,077",NA,NA,"252,986,000","16,266,400","1,265,322",NA,NA,"45,435,260","9,518,700","6,814,908","9,467,687","38,912,000",NA,NA,NA,NA,"11,666,000","60,036,451","8,418,000","10,409,200","51,244,000","14,689,000",NA,NA,"2,594,233","51,200,000","18,082,000","3,780,983",NA,"7,087,996",NA,"50,877,700",NA,"24,626,000","3,384,605","11,649,000","4,691,829","2,802,503","78,158,000","11,715,000","14,204,000",NA,"39,361,000",NA,"41,903,000",NA,"122,924,000","10,316,000",NA,"103,875,000","26,844,000","2,971,380",NA,"5,128,900","3,158,500","7,077,300",NA,"18,828,000",NA,"37,868,547","32,939,998","159,366,000","5,812,000","2,350,300","74,533,000","37,262,000","8,484,318","13,249,487","22,102,866","4,379,851",NA,"12,448,000",NA,"97,150,000","473,811,000","135,801,000","680,950,000","2,175,700","1,589,441,000","48,811,000","3,253,045",NA,NA,"3,204,000","66,471,700",NA,"365,716,000",NA,NA,NA,NA,NA,NA,"5,994,533","48,790,000",NA,"1,939,709,000",NA,"17,116,000",NA,"286,957"
Net Debt,268593,"14,245,000","5,505,200","4,669,700",NA,NA,"16,153,000","22,569,000","14,162,000","3,898,692",NA,"5,054,800","2,865,427","5,545,000",NA,NA,NA,NA,"13,024,084","5,846,000",NA,NA,"480,155","3,183,000","13,017,000",NA,"1,718,200","-97,000","-250,257,000",NA,"9,453,900","188,535","4,214,000","18,676,000","5,712,000","14,780,000",NA,NA,NA,"7,507,000",NA,NA,"41,622,000","2,805,418","69,477,000","9,153,000","4,300,000","780,954","3,322,000",NA,"2,696,565","5,613,100","36,976,000",NA,NA,"1,733,738",NA,NA,"108,371,000","3,054,400","239,179","-117,000",NA,"10,307,857","3,152,000","3,252,382","4,063,683","4,961,000",NA,NA,NA,NA,"6,809,000","-16,994,903","2,043,000","3,720,900","12,600,000","4,664,000",NA,NA,"955,653","20,552,000","6,220,000","1,800,847",NA,"1,960,335",NA,"45,236,300",NA,"8,031,000","764,050","5,237,000","3,646,071","1,212,923","74,007,000","5,575,000","5,230,000",NA,"13,807,000",NA,"11,915,000",NA,"43,408,000","2,399,000",NA,"41,917,000","8,387,000","1,606,856",NA,"1,760,700","1,044,600","2,731,100",NA,"3,420,000",NA,"25,129,753","21,131,961","27,059,000","2,501,000","2,615,812","26,717,000","-3,498,000","2,927,680","5,700,161","9,857,104","707,098","4,487,000","4,239,000",NA,"6,853,000","-130,559,000","45,504,000","-112,813,000","631,400","-434,120,000","18,844,000","979,997",NA,NA,"169,000","3,371,700",NA,"180,524,000",NA,NA,NA,NA,NA,NA,"2,233,536","16,301,000",NA,"-210,120,000",NA,"3,871,000",NA,"227,542"
Total Debt,274444,"17,604,000","5,505,300","4,669,700",NA,NA,"20,085,000","27,922,000","14,169,000","3,955,318",NA,"5,060,800","3,108,218","8,352,000",NA,NA,NA,NA,"13,460,355","9,947,000",NA,NA,"510,608","3,187,000","13,901,000",NA,"2,012,700","890,000","558,794,000",NA,"9,520,900","189,501","5,819,000","19,259,000","7,728,000","16,812,000",NA,NA,NA,"17,132,000",NA,NA,"42,119,000","3,095,402","70,424,000","9,166,000","4,319,000","789,955","3,337,000",NA,"3,020,965","5,814,000","39,452,000",NA,NA,"1,788,766",NA,NA,"136,984,000","3,738,700","401,798","437,000",NA,"12,353,134","4,171,100","3,267,018","4,751,720","8,355,000",NA,NA,NA,NA,"6,835,000","27,644,877","2,150,000","3,825,500","13,192,000","6,273,000",NA,NA,"1,008,978","27,720,000","8,018,000","1,818,799",NA,"2,196,468",NA,"47,593,800",NA,"8,163,000","869,255","6,115,000","4,325,386","1,249,044","74,866,000","5,987,000","5,574,000",NA,"15,378,000",NA,"14,493,000",NA,"82,718,000","3,168,000",NA,"42,116,000","8,722,000","1,670,702",NA,"2,138,800","1,057,100","2,734,000",NA,"3,429,000",NA,"27,323,792","23,101,206","33,099,000","2,792,000","2,666,249","26,836,000","12,242,000","3,403,556","6,324,827","11,924,977","805,353","4,763,000","4,259,000",NA,"7,983,000","68,672,000","57,741,000","33,328,000","649,300","608,821,000","21,153,000","1,172,956",NA,NA,"558,000","3,478,300",NA,"182,313,000",NA,NA,NA,NA,NA,NA,"2,509,224","16,371,000",NA,"206,852,000",NA,"5,076,000",NA,"258,958"
Total Common Equity,268583,"14,930,000","3,664,100","5,491,500",NA,NA,"13,089,000","-1,760,000","9,806,000","6,739,215",NA,"4,748,000","5,369,954","-534,000",NA,NA,NA,NA,"3,886,347","12,814,000",NA,NA,"396,087","2,859,000","9,161,000",NA,"317,800","12,092,000","178,714,000",NA,"8,557,000","427,382","11,127,000","19,481,000","12,395,000","13,184,000",NA,NA,NA,"12,377,000",NA,NA,"25,737,000","4,329,776","47,484,000","8,465,000","4,824,000","846,132","4,542,000",NA,"2,600,966","3,834,100","23,491,000",NA,NA,"2,276,535",NA,NA,"44,985,000","9,561,400","427,166","16,655,000",NA,"25,159,564","3,046,000","3,296,367","3,552,884","-2,328,000",NA,NA,NA,NA,"2,532,000","10,490,300","3,917,000","4,374,900","25,511,000","5,117,000",NA,NA,"1,422,751","445,000","2,675,000","1,873,654",NA,"2,508,006",NA,"-5,990,800",NA,"10,042,000","1,424,423","-316,000","-879,189","1,479,293","2,824,000","1,323,000","3,980,000",NA,"13,461,000",NA,"13,287,000",NA,"-1,541,000","4,341,000",NA,"25,822,000","10,042,000","799,972",NA,"1,118,600","1,255,000","2,297,400",NA,"12,163,000",NA,"5,863,967","3,988,928","72,462,000","1,577,000","-787,573","17,707,000","10,417,000","2,611,534","3,489,082","1,673,292","1,122,792","733,000","5,000,000",NA,"21,242,000","36,961,000","-15,398,000","37,404,000","790,500","104,536,000","9,249,000","1,119,549",NA,NA,"695,000","10,623,100",NA,"83,762,000",NA,NA,NA,NA,NA,NA,"2,620,123","16,348,000",NA,"159,832,000",NA,"10,237,000",NA,"27,999"
Total Minority Interest,268584,"74,000",NA,NA,NA,NA,NA,NA,"129,000",NA,NA,NA,"58,929.00","1,000.00",NA,NA,NA,NA,"3,896,289.00","65,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"644,000.00",NA,"78,900.00",340.00,"400,000.00","1,647,000.00","234,000.00","11,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"1,806,000.00",NA,NA,NA,NA,NA,NA,"17,000.00",NA,NA,NA,"5,044.00",NA,NA,"99,000.00","5,300.00","2,298.00",NA,NA,"235,241.00","58,200.00",NA,514.00,NA,NA,NA,NA,NA,NA,"72,646.00",NA,"328,800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,071.00",NA,NA,NA,NA,NA,"18,000.00",NA,"9,504.00","6,000.00","2,000.00",NA,NA,NA,NA,NA,NA,"411,000.00","24,000.00",NA,NA,NA,NA,NA,"2,000.00",NA,NA,NA,NA,NA,"62,078.00",NA,"1,560,000.00","10,000.00",-8.00,NA,NA,NA,"135,984.00","34,156.00",NA,NA,NA,NA,"-74,000.00","353,000.00","130,000.00",NA,NA,"903,000.00","-20,000.00",NA,NA,NA,NA,NA,NA,"1,413,000.00",NA,NA,NA,NA,NA,NA,"36,887.00",NA,NA,"2,446,000.00",NA,NA,NA,NA
Total Equity,268585,"15,004,000","3,664,100.00","5,491,500",NA,NA,"15,413,000","-1,760,000","9,935,000","7,110,779.00",NA,"4,748,000.00","5,428,883.00","-533,000.00",NA,NA,NA,NA,"7,782,636.00","12,879,000.00",NA,NA,"396,087.00","2,859,000.00","9,951,000.00",NA,"317,800.00","12,092,000.00","198,353,000.00",NA,"8,635,900.00","427,722.00","11,527,000.00","21,128,000.00","12,629,000.00","13,195,000.00",NA,NA,NA,"13,433,000.00",NA,NA,"29,130,000.00","4,329,776.00","51,252,000.00","8,465,000.00","4,824,000.00","846,132.00","4,542,000.00",NA,"2,607,147.00","3,851,100.00","23,491,000.00",NA,NA,"2,281,579.00",NA,NA,"45,084,000.00","9,566,700.00","429,464.00","16,896,000.00",NA,"25,394,805.00","3,104,200.00","3,296,367.00","3,553,398.00","-2,328,000.00",NA,NA,NA,NA,"2,532,000.00","10,687,946.00","3,917,000.00","4,703,700.00","25,511,000.00","5,117,000.00",NA,NA,"1,422,751.00","445,000.00","2,675,000.00","1,873,654.00",NA,"2,512,077.00",NA,"-5,990,800.00",NA,"10,042,000.00","1,424,423.00","-298,000.00","-879,189.00","1,488,797.00","2,830,000.00","1,599,000.00","3,980,000.00",NA,"13,461,000.00",NA,"13,287,000.00",NA,"-1,130,000.00","4,365,000.00",NA,"26,080,000.00","10,044,000.00","799,972.00",NA,"1,120,600.00","1,255,000.00","2,297,400.00",NA,"12,163,000.00",NA,"7,184,712.00","3,988,928.00","74,022,000.00","1,587,000.00","-787,581.00","19,652,000.00","10,417,000.00","2,611,534.00","3,625,066.00","1,707,448.00","1,122,792.00","733,000.00","5,000,000.00",NA,"23,138,000.00","42,152,000.00","-15,268,000.00","48,098,000.00","790,500.00","116,142,000.00","9,229,000.00","1,119,549.00",NA,NA,"695,000.00","10,623,100.00",NA,"85,175,000.00",NA,NA,NA,NA,NA,NA,"2,657,010.00","16,348,000.00",NA,"181,689,000.00",NA,"10,237,000.00",NA,"27,999.05"
Current Ratio (x),274464,1.58,0.23,0.25,NA,NA,NA,0.62,0.65,1.46,NA,0.64,1.49,1.72,NA,NA,NA,NA,3.60,1.62,NA,NA,1.45,1.04,0.91,NA,1.20,1.15,NA,NA,0.96,1.40,1.37,0.82,1.55,1.46,NA,NA,NA,1.23,NA,NA,0.79,1.44,0.72,0.93,0.96,0.62,0.42,NA,3.92,0.54,0.94,NA,NA,1.59,NA,NA,1.18,0.96,2.17,NA,NA,1.06,1.59,1.73,1.83,0.74,NA,NA,NA,NA,0.21,1.63,1.18,1.58,0.54,1.77,NA,NA,32.68,1.17,1.31,0.34,NA,1.49,NA,1.10,NA,1.26,1.96,1.10,1.15,4.42,19.00,1.05,1.39,NA,0.96,NA,1.31,NA,2.04,1.72,NA,0.64,1.29,2.37,NA,1.18,0.73,0.32,NA,0.48,NA,1.53,0.40,1.16,1.03,0.65,0.71,1.87,1.32,0.78,1.38,1.98,NA,0.40,NA,0.45,NA,1.30,0.44,0.77,1.65,0.83,1.46,NA,NA,1.17,19.61,NA,0.76,NA,NA,NA,NA,NA,NA,1.52,0.84,NA,NA,NA,2.82,NA,3.00
Quick Ratio (x),274465,0.89,0.14,0.11,NA,NA,NA,0.49,0.30,0.34,NA,0.22,1.02,1.13,NA,NA,NA,NA,3.13,1.43,NA,NA,1.32,0.34,0.49,NA,0.93,0.92,NA,NA,0.29,0.93,0.70,0.13,0.78,1.29,NA,NA,NA,1.23,NA,NA,0.28,0.77,0.30,0.35,0.17,0.18,0.22,NA,3.62,0.45,0.65,NA,NA,0.78,NA,NA,0.96,0.63,0.84,NA,NA,0.62,1.10,1.02,1.33,0.40,NA,NA,NA,NA,0.14,1.63,1.11,1.03,0.30,0.55,NA,NA,1.37,0.31,0.46,0.34,NA,1.32,NA,0.95,NA,0.89,1.18,0.78,1.10,2.17,18.35,0.52,0.56,NA,0.84,NA,1.13,NA,1.90,1.08,NA,0.51,0.69,0.84,NA,0.28,0.42,0.06,NA,0.17,NA,0.47,0.31,0.76,0.92,0.47,0.30,1.72,0.77,0.55,0.82,1.12,NA,0.17,NA,0.26,NA,0.29,0.44,0.40,1.56,0.28,0.57,NA,NA,0.40,4.09,NA,0.56,NA,NA,NA,NA,NA,NA,0.86,0.32,NA,NA,NA,1.99,NA,3.00
Total Debt/Equity (%),274466,117,150,85,NA,NA,NA,NM,143,56,NA,107,57,NM,NA,NA,NA,NA,173,77,NA,NA,129,111,140,NA,633,7,NA,NA,110,44,50,91,61,127,NA,NA,NA,128,NA,NA,145,71,137,108,90,93,73,NA,116,151,168,NA,NA,78,NA,NA,304,39,94,3,NA,49,134,99,134,NM,NA,NA,NA,NA,270,259,55,81,52,123,NA,NA,71,"6,229",300,97,NA,87,NA,NM,NA,81,61,NM,NM,84,"2,645",374,140,NA,114,NA,109,NA,NM,73,NA,161,87,209,NA,191,84,119,NA,28,NA,380,579,45,176,NM,137,118,130,174,698,72,650,85,NA,35,NA,NM,69,82,524,229,105,NA,NA,80,33,NA,214,NA,NA,NA,NA,NA,NA,94,100,NA,NA,NA,50,NA,925
Total Debt / Total Capital (%),274467,54,60,46,NA,NA,NA,107,59,36,NA,52,36,107,NA,NA,NA,NA,63,44,NA,NA,56,53,58,NA,86,7,NA,NA,52,31,34,48,38,56,NA,NA,NA,56,NA,NA,59,42,58,52,47,48,42,NA,54,60,63,NA,NA,44,NA,NA,75,28,48,3,NA,33,57,50,57,139,NA,NA,NA,NA,73,72,35,45,34,55,NA,NA,41,98,75,49,NA,47,NA,114,NA,45,38,105,126,46,96,79,58,NA,53,NA,52,NA,101,42,NA,62,46,68,NA,66,46,54,NA,22,NA,79,85,31,64,142,58,54,57,64,87,42,87,46,NA,26,NA,136,41,45,84,70,51,NA,NA,45,25,NA,68,NA,NA,NA,NA,NA,NA,49,50,NA,NA,NA,33,NA,90
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
