SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,3/31/2022,3/31/2022,3/31/2022,,,3/31/2022,3/31/2022,3/31/2022,3/31/2022,,3/31/2022,4/2/2022,5/1/2021,,,,,3/31/2022,3/31/2022,,,3/31/2022,3/31/2022,3/31/2022,,3/31/2022,3/31/2022,3/31/2022,,8/29/2021,3/31/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,,,,3/31/2022,,,3/31/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,,3/31/2022,3/31/2022,3/31/2022,,,3/31/2022,,,3/31/2022,4/1/2022,4/2/2022,3/31/2022,,3/31/2022,3/27/2022,3/31/2022,3/31/2022,1/31/2022,,,,,3/31/2022,2/28/2022,3/31/2022,3/31/2022,3/31/2022,5/1/2021,6/30/2021,,3/31/2022,4/30/2021,5/1/2021,3/31/2022,,3/31/2022,,3/31/2022,,3/31/2022,1/1/2022,4/2/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,,3/31/2022,,3/31/2022,,8/31/2021,3/31/2022,,3/31/2022,3/31/2022,3/27/2022,,3/31/2022,3/31/2022,3/31/2022,,3/31/2022,,3/31/2022,3/31/2022,3/31/2022,4/30/2021,3/27/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,10/2/2021,3/31/2022,3/31/2022,3/31/2022,,3/31/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,5/22/2021,1/28/2022,,,3/31/2022,3/31/2022,,3/31/2022,,,,,,,6/30/2021,3/31/2022,,3/31/2022,,3/31/2022,,3/31/2022
Financial Filing Date,309159,4/25/2023,5/4/2023,5/4/2023,,,5/2/2023,4/27/2023,5/5/2023,5/5/2023,,5/4/2023,5/4/2023,6/2/2022,,,,,5/3/2023,5/9/2023,,,5/4/2023,7/27/2023,4/27/2023,,4/26/2023,4/27/2023,5/5/2023,,10/6/2022,4/15/2022,5/4/2023,8/4/2023,4/28/2023,4/20/2023,,,,7/28/2023,,,5/5/2023,4/26/2023,5/9/2023,5/9/2023,5/9/2023,4/30/2023,5/9/2023,,4/27/2023,4/20/2023,5/3/2023,,,4/21/2023,,,5/3/2023,4/26/2023,5/11/2023,4/25/2023,,5/3/2023,5/3/2023,5/9/2022,5/8/2023,3/1/2023,,,,,5/3/2023,4/10/2023,5/17/2022,4/28/2022,4/27/2023,6/2/2022,8/3/2022,,5/2/2023,5/26/2022,6/7/2022,5/5/2023,,5/4/2023,,5/4/2023,,5/8/2023,2/3/2023,5/4/2023,4/25/2023,5/9/2023,4/26/2023,5/5/2023,4/28/2023,,4/26/2023,,4/27/2023,,9/13/2022,4/26/2023,,5/4/2023,5/8/2023,5/11/2023,,4/25/2023,6/29/2023,5/4/2023,,5/3/2023,,5/5/2023,5/4/2023,4/25/2023,6/6/2022,5/4/2023,5/2/2023,4/28/2023,5/9/2023,5/9/2023,11/2/2022,5/4/2023,5/16/2023,5/12/2023,,5/3/2023,5/5/2023,4/26/2023,8/8/2023,5/4/2023,8/3/2023,6/24/2022,3/9/2023,,,4/26/2023,5/3/2023,,4/27/2023,,,,,,,11/9/2022,5/5/2023,,8/1/2023,,4/28/2023,,9/14/2023
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.314510
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.341476
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"3,359,000",100,NA,NA,NA,"3,932,000","5,353,000","7,000","56,626",NA,"6,000","242,791","2,807,000",NA,NA,NA,NA,"436,271","5,597,000",NA,NA,"30,453","4,000","884,000",NA,"294,500","987,000","809,051,000",NA,"67,000",966,"1,605,000","5,009,000","2,016,000","2,032,000",NA,NA,NA,"9,625,000",NA,NA,"497,000","289,984","947,000","13,000","19,000","9,001","15,000",NA,"324,400","200,900","2,476,000",NA,NA,"55,028",NA,NA,"28,613,000","684,300","162,619","554,000",NA,"2,045,277","1,019,100","14,636","688,037","3,394,000",NA,NA,NA,NA,"26,000","44,639,780","107,000","104,600","592,000","1,609,000",NA,NA,"53,325","7,168,000","1,798,000","17,952",NA,"236,133",NA,"2,357,500",NA,"132,000","105,205","878,000","679,315","36,121","859,000","412,000","344,000",NA,"1,571,000",NA,"2,174,000",NA,"39,310,000","769,000",NA,"199,000","335,000","63,846",NA,"378,100","12,500","2,900",NA,"9,000",NA,"2,194,039","1,969,245","6,040,000","261,000","50,437","119,000","15,740,000","475,876","624,666","2,067,873","98,255","276,000","20,000",NA,"5,474,000","199,231,000","12,237,000","146,141,000","17,900","1,042,941,000","2,309,000","192,959",NA,NA,"389,000","1,402,100",NA,"1,789,000",NA,NA,NA,NA,NA,NA,"275,688","70,000",NA,"416,972,000",NA,"1,205,000",NA,"31,417"
