SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"10,163,000","10,313,400","11,628,900",NA,NA,"12,275,000","1,518,000","28,559,000","9,370,472",NA,"11,692,200","705,395","4,789,000",NA,NA,NA,NA,"17,436,176",NA,NA,NA,"46,194","5,677,000","22,614,000",NA,"1,053,400","209,000","2,800,000",NA,"2,526,800","772,954",NA,NA,"15,383,000","33,322,000",NA,NA,NA,"987,000",NA,NA,"58,386,000","906,268","111,523,000","17,773,000","11,821,000","1,984,305","8,448,000",NA,"4,996,714","1,252,900","82,852,000",NA,NA,"3,600,252",NA,NA,"37,658,000","575,300","280,723",NA,NA,"1,667,287","441,900","6,150,832","6,918,950","3,614,000",NA,NA,NA,NA,"9,765,000","914,537","5,657,000","9,247,700","3,052,000","9,298,000","4,646,000",NA,"17,964","22,506,000","9,150,000","4,000",NA,"1,226,639",NA,"37,957,600",NA,"19,774,000","701,709","1,426,000","224,374","2,428,449","114,000","1,106,000","1,645,000",NA,"31,429,000",NA,"8,829,000",NA,"6,816,000","3,912,000",NA,"70,704,000","22,748,000","451,889",NA,"1,096,500","2,465,900","4,794,100",NA,"8,168,000",NA,"175,209","26,259,936","16,393,000","349,000","1,743,833","51,273,000","16,667,000","6,399,157","7,554,565","4,959,336","2,182,126",NA,"10,732,000",NA,"965,000","3,422,000","11,113,000","3,164,000","1,629,000","20,459,000","28,745,000","529,228",NA,NA,"122,000","462,500",NA,"123,725,000",NA,NA,NA,NA,NA,NA,"3,304,799","33,876,000",NA,"19,200,000",NA,"13,957,000",NA,NA
Total Assets,268552,"48,278,000","11,631,500","11,931,100",NA,NA,"179,184,000","39,564,000","34,665,000","10,505,367",NA,"13,736,800","17,430,460","11,161,000",NA,NA,NA,NA,"22,584,087","254,691,000",NA,NA,"998,127","10,702,000","37,160,000",NA,"2,973,500","29,907,000","2,361,876,000",NA,"22,105,100","1,121,697",NA,"414,231,000","29,706,000","40,129,000",NA,NA,NA,"108,544,000",NA,NA,"99,804,000","9,902,983","167,007,000","21,958,000","14,428,000","2,215,132","10,505,000",NA,"5,721,157","11,083,300","132,621,000",NA,NA,"3,984,773",NA,NA,"252,677,000","14,976,100","1,355,961",NA,NA,"45,754,475","10,230,400","6,775,631","9,514,913","35,523,000",NA,NA,NA,NA,"11,265,000","58,037,399","8,332,000","10,542,800","50,330,000","15,444,000","12,063,000",NA,"2,153,557","50,880,000","19,214,000","3,243,772",NA,"6,013,248",NA,"52,727,000",NA,"24,218,000","3,383,310","11,422,000","5,142,669","2,912,177","81,939,000","11,589,000","14,520,000",NA,"38,604,000",NA,"42,346,000",NA,"118,109,000","9,981,000",NA,"103,384,000","27,071,000","2,358,458",NA,"4,870,300","3,046,800","6,319,100",NA,"18,793,000",NA,"41,604,115","32,665,566","158,772,000","5,875,000","2,814,487","72,905,000","37,110,000","7,712,611","10,369,635","22,043,281","4,358,424",NA,"11,796,000",NA,"133,440,000","470,533,000","146,846,000","607,548,000","2,067,600","1,443,230,000","48,465,000","2,968,049",NA,NA,"3,069,000","70,597,900",NA,"353,457,000",NA,NA,NA,NA,NA,NA,"5,248,706","46,403,000",NA,"1,954,901,000",NA,"18,092,000",NA,"285,252"
Net Debt,268593,"13,273,000","5,294,600","4,409,200",NA,NA,"4,258,000","25,170,000","13,047,000","3,489,693",NA,"5,003,800","2,177,744","7,031,000",NA,NA,NA,NA,"12,823,321","5,209,000",NA,NA,"466,368","4,461,000","15,056,000",NA,"1,688,100","-181,000","-282,147,000",NA,"9,425,500","175,265",NA,"10,944,000","5,579,000","14,696,000",NA,NA,NA,"5,799,000",NA,NA,"41,382,000","2,321,040","65,538,000","8,389,000","4,127,000","781,404","3,550,000",NA,"2,754,305","3,444,500","38,744,000",NA,NA,"1,583,641",NA,NA,"114,456,000","2,151,600","198,514",NA,NA,"9,030,255","3,262,700","3,286,301","3,515,947","4,906,000",NA,NA,NA,NA,"6,591,000","-17,593,081","2,082,000","3,354,900","13,875,000","4,844,000","808,000",NA,"624,221","16,144,000","7,103,000","1,418,711",NA,"1,477,964",NA,"44,508,400",NA,"7,604,000","917,729","4,486,000","3,049,646","1,238,722","77,403,000","5,723,000","5,250,000",NA,"12,901,000",NA,"9,686,000",NA,"33,425,000","2,209,000",NA,"39,394,000","8,306,000","1,187,496",NA,"1,386,500","987,500","1,980,300",NA,"4,355,000",NA,"30,112,548","18,259,492","25,313,000","2,717,000","2,440,471","24,647,000","-3,187,000","2,712,099","3,956,364","8,508,046","582,630",NA,"3,876,000",NA,"7,291,000","-129,738,000","42,480,000","-45,740,000","684,400","-361,690,000","18,491,000","231,637",NA,NA,"-130,000","3,319,700",NA,"168,832,000",NA,NA,NA,NA,NA,NA,"1,873,459","15,168,000",NA,"-257,153,000",NA,"2,947,000",NA,"224,618"
Total Debt,274444,"19,007,000","5,294,700","4,409,200",NA,NA,"15,182,000","28,127,000","13,054,000","3,553,690",NA,"5,008,800","2,393,676","9,653,000",NA,NA,NA,NA,"13,826,049","9,317,000",NA,NA,"517,875","4,472,000","16,505,000",NA,"2,003,800","904,000","562,976,000",NA,"9,506,200","189,129",NA,"11,462,000","7,791,000","16,875,000",NA,NA,NA,"18,516,000",NA,NA,"41,562,000","3,060,184","66,090,000","8,429,000","4,141,000","789,549","3,567,000",NA,"2,898,738","5,470,000","41,701,000",NA,NA,"1,635,909",NA,NA,"145,873,000","2,990,000","380,296",NA,NA,"11,377,987","4,349,000","3,299,137","4,526,566","8,353,000",NA,NA,NA,NA,"6,594,000","26,361,496","2,182,000","3,824,900","14,078,000","6,783,000","1,543,000",NA,"670,938","26,245,000","8,654,000","1,478,280",NA,"1,717,888",NA,"48,816,300",NA,"8,146,000","1,008,279","6,139,000","4,334,310","1,287,115","78,676,000","6,106,000","5,744,000",NA,"14,366,000",NA,"14,147,000",NA,"69,299,000","3,129,000",NA,"39,663,000","9,199,000","1,232,378",NA,"1,703,000","991,100","1,983,900",NA,"4,357,000",NA,"31,746,130","21,548,834","32,789,000","2,923,000","3,003,693","25,131,000","12,817,000","2,834,857","4,143,054","13,404,972","745,772",NA,"3,906,000",NA,"7,981,000","66,905,000","62,419,000","31,783,000","714,200","576,117,000","20,671,000","766,967",NA,NA,"550,000","3,441,400",NA,"178,985,000",NA,NA,NA,NA,NA,NA,"2,190,803","15,206,000",NA,"222,576,000",NA,"5,273,000",NA,"256,830"
Total Common Equity,268583,"14,460,000","3,432,300","5,230,100",NA,NA,"14,965,000","(1,267,000)","9,685,000","6,211,091",NA,"4,587,300","5,178,478","-1,568,000",NA,NA,NA,NA,"4,168,314","16,031,000",NA,NA,"366,560","2,775,000","8,075,000",NA,"338,800","11,841,000","182,880,000",NA,"8,251,800","424,857",NA,"36,509,000","12,145,000","13,163,000",NA,NA,NA,"12,207,000",NA,NA,"24,519,000","3,891,818","47,345,000","8,188,000","5,055,000","812,591","4,123,000",NA,"2,631,333","3,539,200","33,851,000",NA,NA,"2,077,965",NA,NA,"36,593,000","9,318,000","440,926",NA,NA,"26,147,027","3,019,000","3,199,337","3,682,593","-3,942,000",NA,NA,NA,NA,"2,431,000","10,381,883","3,805,000","3,899,800","24,405,000","4,838,000","5,430,000",NA,"1,335,774","4,073,000","2,243,000","1,684,307",NA,"2,273,181",NA,"-5,675,000",NA,"9,647,000","1,367,205","-263,000","-280,025","1,539,057","2,723,000","1,183,000","4,055,000",NA,"13,887,000",NA,"11,417,000",NA,"8,900,000","4,210,000",NA,"24,793,000","9,898,000","692,048",NA,"1,211,800","1,189,200","2,287,100",NA,"11,101,000",NA,"5,293,592","6,467,498","71,308,000","1,499,000","-682,638","17,423,000","10,250,000","2,462,794","2,909,816","1,395,597","1,088,239",NA,"4,716,000",NA,"24,759,000","39,060,000","-14,440,000","47,488,000","643,000","96,344,000","10,070,000","1,237,178",NA,NA,"809,000","11,118,200",NA,"77,044,000",NA,NA,NA,NA,NA,NA,"2,318,681","15,617,000",NA,"169,633,000",NA,"10,369,000",NA,"28,422"
Total Minority Interest,268584,"70,000",NA,NA,NA,NA,NA,"41,000","129,000",NA,NA,NA,"59,150.00","4,000.00",NA,NA,NA,NA,"3,621,712.00","65,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"735,000.00",NA,"78,000.00",340.00,NA,"2,489,000.00","210,000.00","9,000.00",NA,NA,NA,NA,NA,NA,"326,000.00",NA,"1,933,000.00",NA,NA,NA,NA,NA,NA,"15,900.00","408,000.00",NA,NA,"4,946.00",NA,NA,"111,000.00","4,800.00","1,974.00",NA,NA,"207,322.00","61,100.00",NA,"25,391.00",NA,NA,NA,NA,NA,NA,"57,079.00",NA,"327,600.00",NA,NA,"51,000.00",NA,NA,NA,NA,NA,NA,"4,301.00",NA,NA,NA,NA,NA,"15,000.00",NA,"10,149.00","11,000.00","5,000.00","2,000.00",NA,NA,NA,NA,NA,"737,000.00","39,000.00",NA,NA,NA,NA,NA,"1,900.00",NA,NA,NA,NA,NA,"71,023.00",NA,"1,661,000.00","11,000.00",-7.00,NA,NA,NA,"183,547.00","34,471.00",NA,NA,NA,NA,"-22,000.00","451,000.00","174,000.00",NA,NA,"1,598,000.00","-26,000.00",NA,NA,NA,NA,NA,NA,"1,445,000.00",NA,NA,NA,NA,NA,NA,"28,645.00",NA,NA,"2,043,000.00",NA,NA,NA,NA
Total Equity,268585,"14,530,000","3,432,300","5,230,100",NA,NA,"17,289,000","(1,226,000)","9,814,000","6,582,655.00",NA,"4,587,300.00","5,237,628.00","-1,564,000.00",NA,NA,NA,NA,"7,790,026.00","16,096,000.00",NA,NA,"366,560.00","2,775,000.00","8,865,000.00",NA,"338,800.00","11,841,000.00","201,610,000.00",NA,"8,329,800.00","425,197.00",NA,"38,998,000.00","12,355,000.00","13,172,000.00",NA,NA,NA,"13,263,000.00",NA,NA,"27,232,000.00","3,891,818.00","51,240,000.00","8,188,000.00","5,055,000.00","812,591.00","4,123,000.00",NA,"2,637,514.00","3,555,100.00","34,259,000.00",NA,NA,"2,082,911.00",NA,NA,"36,704,000.00","9,322,800.00","442,900.00",NA,NA,"26,354,349.00","3,080,100.00","3,199,337.00","3,707,984.00","-3,942,000.00",NA,NA,NA,NA,"2,431,000.00","10,563,962.00","3,805,000.00","4,232,800.00","24,405,000.00","4,838,000.00","5,481,000.00",NA,"1,335,774.00","4,073,000.00","2,243,000.00","1,684,307.00",NA,"2,277,482.00",NA,"-5,675,000.00",NA,"9,647,000.00","1,367,205.00","-248,000.00","-280,025.00","1,549,206.00","2,734,000.00","1,462,000.00","4,057,000.00",NA,"13,887,000.00",NA,"11,417,000.00",NA,"9,637,000.00","4,249,000.00",NA,"25,051,000.00","9,900,000.00","692,048.00",NA,"1,213,700.00","1,189,200.00","2,287,100.00",NA,"11,101,000.00",NA,"6,627,113.00","6,467,498.00","72,969,000.00","1,510,000.00","-682,645.00","19,368,000.00","10,250,000.00","2,462,794.00","3,093,363.00","1,430,068.00","1,088,239.00",NA,"4,716,000.00",NA,"26,707,000.00","44,052,000.00","-14,266,000.00","57,442,000.00","643,000.00","107,895,000.00","10,044,000.00","1,237,178.00",NA,NA,"809,000.00","11,118,200.00",NA,"78,489,000.00",NA,NA,NA,NA,NA,NA,"2,347,326.00","15,617,000.00",NA,"191,071,000.00",NA,"10,369,000.00",NA,"28,422.33"
Current Ratio (x),274464,1.71,0.52,0.29,NA,NA,NA,0.74,0.94,1.34,NA,0.74,1.45,1.48,NA,NA,NA,NA,4.32,1.68,NA,NA,1.68,3.25,1.71,NA,1.50,1.24,NA,NA,0.80,1.82,NA,1.19,1.77,1.72,NA,NA,NA,1.26,NA,NA,0.70,1.65,0.61,0.63,0.89,0.47,0.34,NA,2.51,1.53,0.94,NA,NA,1.79,NA,NA,1.20,0.85,1.73,NA,NA,1.15,1.52,1.59,1.91,0.75,NA,NA,NA,NA,0.44,1.75,1.38,0.72,0.41,1.60,1.04,NA,27.03,1.38,1.11,2.03,NA,1.52,NA,1.33,NA,1.36,2.07,1.38,1.82,2.92,26.40,1.02,1.25,NA,1.13,NA,1.47,NA,2.16,1.86,NA,0.65,1.27,2.11,NA,1.33,0.67,1.05,NA,0.30,NA,1.88,0.80,1.23,0.98,1.80,0.75,2.03,0.74,1.03,1.65,2.31,NA,0.42,NA,0.73,NA,1.36,0.37,0.54,1.73,0.83,1.61,NA,NA,1.42,29.16,NA,0.97,NA,NA,NA,NA,NA,NA,1.51,0.67,NA,NA,NA,2.32,NA,5.38
Quick Ratio (x),274465,1.11,0.30,0.17,NA,NA,NA,0.37,0.41,0.39,NA,0.24,1.01,0.88,NA,NA,NA,NA,3.85,1.49,NA,NA,1.56,0.23,0.53,NA,1.19,0.97,NA,NA,0.28,1.03,NA,0.22,1.00,1.55,NA,NA,NA,1.26,NA,NA,0.17,1.04,0.26,0.26,0.14,0.12,0.16,NA,2.22,1.44,0.52,NA,NA,0.86,NA,NA,1.01,0.58,0.76,NA,NA,0.65,1.15,0.86,1.42,0.41,NA,NA,NA,NA,0.27,1.75,1.24,0.58,0.22,0.55,0.69,NA,1.29,0.52,0.26,2.03,NA,1.39,NA,1.20,NA,1.00,1.23,1.13,1.75,2.61,25.60,0.49,0.59,NA,1.00,NA,1.30,NA,2.00,1.22,NA,0.47,0.86,0.83,NA,0.30,0.23,0.27,NA,0.13,NA,0.31,0.70,0.82,0.86,1.65,0.40,1.91,0.30,0.70,1.16,1.38,NA,0.25,NA,0.18,NA,0.38,0.37,0.36,1.63,0.24,0.87,NA,NA,0.64,6.17,NA,0.80,NA,NA,NA,NA,NA,NA,0.81,0.28,NA,NA,NA,1.90,NA,5.38
Total Debt/Equity (%),274466,130.81,154.26,84.30,NA,NA,NA,NM,133.01,54,NA,109,46,NM,NA,NA,NA,NA,177,58,NA,NA,141,161,186,NA,591,8,NA,NA,114,44,NA,29,63,128,NA,NA,NA,140,NA,NA,153,79,129,103,82,97,87,NA,110,154,122,NA,NA,79,NA,NA,397,32,86,NA,NA,43,141,103,122,NM,NA,NA,NA,NA,271,250,57,90,58,140,28,NA,50,644,386,88,NA,75,NA,NM,NA,84,74,NM,NM,83,"2,878",418,142,NA,103,NA,124,NA,719,74,NA,158,93,178,NA,140,83,87,NA,39,NA,479,333,45,194,NM,130,125,115,134,937,69,NA,83,NA,30,NA,NM,55,111,534,206,62,NA,NA,68,31,NA,228,NA,NA,NA,NA,NA,NA,93,97,NA,NA,NA,51,NA,904
Total Debt / Total Capital (%),274467,56.68,60.67,45.74,NA,NA,NA,104.56,57.08,35,NA,52,31,119,NA,NA,NA,NA,64,37,NA,NA,59,62,65,NA,86,7,NA,NA,53,31,NA,23,39,56,NA,NA,NA,58,NA,NA,60,44,56,51,45,49,46,NA,52,61,55,NA,NA,44,NA,NA,80,24,46,NA,NA,30,59,51,55,189,NA,NA,NA,NA,73,71,36,47,37,58,22,NA,33,87,79,47,NA,43,NA,113,NA,46,42,104,107,45,97,81,59,NA,51,NA,55,NA,88,42,NA,61,48,64,NA,58,45,46,NA,28,NA,83,77,31,66,129,56,56,54,57,90,41,NA,45,NA,23,NA,130,36,53,84,67,38,NA,NA,40,24,NA,70,NA,NA,NA,NA,NA,NA,48,49,NA,NA,NA,34,NA,90
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
