SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021,FQ32021
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,9/30/2021,9/30/2021,9/30/2021,,,9/30/2021,9/30/2021,9/30/2021,9/30/2021,,9/30/2021,10/2/2021,10/31/2020,,,,,9/30/2021,9/30/2021,,,9/30/2021,9/30/2021,9/30/2021,,9/30/2021,9/30/2021,9/30/2021,,2/28/2021,9/30/2021,9/30/2021,9/30/2021,9/30/2021,9/30/2021,,,,9/30/2021,,,9/30/2021,9/30/2021,9/30/2021,9/30/2021,9/30/2021,9/30/2021,9/30/2021,,9/30/2021,9/30/2021,9/30/2021,,,9/30/2021,,,9/30/2021,10/1/2021,10/2/2021,9/30/2021,,9/30/2021,9/26/2021,9/30/2021,9/30/2021,7/31/2021,,,,,9/30/2021,8/31/2021,9/30/2021,9/30/2021,9/30/2021,10/31/2020,9/30/2021,,9/30/2021,10/30/2020,10/31/2020,9/30/2021,,9/30/2021,,9/30/2021,,9/30/2021,7/3/2021,10/2/2021,9/30/2021,9/30/2021,9/30/2021,9/30/2021,9/30/2021,,9/30/2021,,9/30/2021,,2/28/2021,9/30/2021,,9/30/2021,9/30/2021,9/26/2021,,9/30/2021,9/30/2021,9/30/2021,,9/30/2021,,9/30/2021,9/30/2021,9/30/2021,10/30/2020,9/26/2021,9/30/2021,9/30/2021,9/30/2021,9/30/2021,3/27/2021,9/30/2021,,9/30/2021,,9/30/2021,9/30/2021,9/30/2021,9/30/2021,9/30/2021,9/30/2021,11/7/2020,7/30/2021,,,9/30/2021,9/30/2021,,9/30/2021,,,,,,,12/31/2020,9/30/2021,,9/30/2021,,9/30/2021,,9/30/2021
Financial Filing Date,309159,10/25/2022,10/27/2022,10/27/2022,,,11/2/2022,10/27/2022,11/4/2022,11/4/2022,,10/27/2022,11/3/2022,12/3/2021,,,,,11/4/2022,11/8/2022,,,11/3/2022,11/1/2022,11/1/2022,,10/26/2022,10/31/2022,11/4/2022,,4/7/2022,10/15/2021,11/8/2022,11/9/2022,10/27/2022,10/21/2022,,,,10/27/2022,,,11/4/2022,10/20/2022,11/4/2022,11/4/2022,11/4/2022,10/30/2022,11/4/2022,,11/3/2022,10/20/2022,11/3/2022,,,10/21/2022,,,10/27/2022,10/26/2022,11/10/2022,11/7/2022,,10/31/2022,10/26/2022,11/5/2021,11/2/2022,9/2/2022,,,,,10/28/2022,10/7/2022,11/23/2021,10/27/2022,10/27/2022,12/2/2021,11/22/2021,,11/1/2022,11/24/2021,12/7/2021,11/4/2022,,11/3/2022,,11/7/2022,,11/7/2022,7/29/2022,11/3/2022,10/25/2022,11/8/2022,10/26/2022,10/31/2022,10/28/2022,,10/26/2022,,10/27/2022,,3/11/2022,10/26/2022,,10/27/2022,11/7/2022,11/3/2022,,10/25/2022,12/20/2022,10/28/2021,,11/3/2022,,11/3/2022,11/3/2022,10/25/2022,12/6/2021,11/2/2022,11/1/2022,10/31/2022,11/9/2022,11/9/2022,5/11/2022,11/3/2022,,11/14/2022,,11/2/2022,11/7/2022,10/26/2022,11/8/2022,11/4/2022,11/3/2022,12/10/2021,9/1/2022,,,10/25/2022,11/2/2022,,10/25/2022,,,,,,,2/7/2022,11/4/2022,,10/31/2022,,10/28/2022,,4/28/2023
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.350165
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.377952
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"5,734,000",100,NA,NA,NA,"10,924,000","2,957,000","7,000","63,997",NA,"5,000","215,932","2,622,000",NA,NA,NA,NA,"1,002,728","6,745,000",NA,NA,"51,507","11,000","1,449,000",NA,"315,700","1,085,000","845,123,000",NA,"80,700","13,864",NA,"7,870,000","2,212,000","2,179,000",NA,NA,NA,"12,717,000",NA,NA,"180,000","739,144","552,000","40,000","14,000","8,145","17,000",NA,"144,433","2,025,500","2,957,000",NA,NA,"52,268",NA,NA,"31,417,000","838,400","181,782",NA,NA,"2,347,732","1,086,300","12,836","1,010,619","3,447,000",NA,NA,NA,NA,"3,000","43,954,577","100,000","470,000","203,000","1,939,000","735,000",NA,"46,717","10,101,000","1,551,000","59,569",NA,"239,924",NA,"4,307,900",NA,"542,000","90,550","1,653,000","1,284,664","48,393","1,273,000","383,000","494,000",NA,"1,465,000",NA,"4,055,000",NA,"35,874,000","920,000",NA,"269,000","893,000","44,882",NA,"316,500","3,600","3,600",NA,"2,000",NA,"1,633,582","3,289,342","7,476,000","182,000","563,222","484,000","16,004,000","122,758","186,690","4,896,926","163,142",NA,"30,000",NA,"7,118,000","196,643,000","19,939,000","77,523,000","29,800","937,807,000","2,180,000","535,330",NA,NA,"680,000","1,594,400",NA,"10,153,000",NA,NA,NA,NA,NA,NA,"317,344","38,000",NA,"479,729,000",NA,"2,326,000",NA,"32,212"
