SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"9,997,000","11,311,700","12,742,600",NA,NA,"11,960,000","1,587,000","30,608,000","10,482,639",NA,"12,224,800","595,867","2,040,000",NA,NA,NA,NA,"18,573,454",NA,NA,NA,"45,403","10,105,000","25,925,000",NA,"1,240,900","204,000","2,932,000",NA,"2,655,500","813,007","19,705,000",NA,"14,645,000","34,462,000",NA,NA,NA,"1,015,000",NA,NA,"62,894,000","958,894","117,106,000","19,268,000","12,045,000","2,140,183","9,098,000",NA,"5,025,095","1,487,000","67,572,000",NA,NA,"4,348,648",NA,NA,"59,084,000","405,200","233,827","2,080,000",NA,"1,759,235","411,800",NA,"7,172,857","3,770,000",NA,NA,NA,NA,"10,471,000","912,842","5,841,000","9,404,300","3,315,000","9,622,000",NA,NA,"31,051","23,086,000","8,408,000","3,400",NA,"1,791,746",NA,"34,891,100",NA,"20,781,000","742,420","1,204,000","186,113","2,140,853","77,000","997,000","1,709,000",NA,"31,838,000",NA,"10,005,000",NA,"8,609,000","3,842,000",NA,"76,273,000","23,893,000","507,987",NA,"1,063,400","2,575,200",NA,NA,"8,246,000",NA,"123,643","28,247,664","16,470,000","326,000","1,658,500","54,118,000","17,199,000","6,863,392","9,073,708","5,132,445","2,276,413",NA,"11,268,000",NA,"1,008,000","3,311,000","10,508,000","3,687,000","1,797,900","19,234,000","29,971,000","605,165",NA,NA,"128,000","442,400",NA,"129,592,000",NA,NA,NA,NA,NA,NA,"3,947,680","37,121,000",NA,"18,189,000",NA,"14,168,000",NA,NA
Total Assets,268552,"46,176,000","12,690,000","13,319,200",NA,NA,"188,640,000","33,953,000","37,657,000","12,098,842",NA,"15,043,000","20,505,729","6,031,000",NA,NA,NA,NA,"23,474,477","221,641,000",NA,NA,"1,050,168","14,800,000","36,719,000",NA,"4,674,100","28,199,000","2,381,064,000",NA,"22,499,300","1,158,912","46,503,000","354,595,000","28,735,000","42,242,000",NA,NA,NA,"121,886,000",NA,NA,"103,535,000","10,652,341","176,340,000","24,919,000","14,816,000","2,413,033","11,315,000",NA,"5,792,759","11,308,000","93,455,000",NA,NA,"4,873,684",NA,NA,"246,919,000","15,893,100","1,314,986","26,067,000",NA,"43,938,749","9,626,100",NA,"9,508,681","39,247,000",NA,NA,NA,NA,"11,959,000","55,229,811","8,469,000","10,867,300","51,440,000","15,951,000",NA,NA,"3,112,800","49,400,000","18,279,000","4,134,966",NA,"7,475,663",NA,"48,501,600",NA,"25,312,000","3,439,056","11,625,000","4,777,527","2,508,785","73,625,000","11,783,000","14,678,000",NA,"39,306,000",NA,"42,733,000",NA,"108,644,000","10,721,000",NA,"116,439,000","28,013,000","2,896,650",NA,"5,093,400","3,247,700",NA,NA,"18,523,000",NA,"35,334,535","33,464,190","158,225,000","5,916,000","2,414,456","76,560,000","35,946,000","8,193,769","13,102,577","22,323,675","4,237,121",NA,"13,452,000",NA,"97,676,000","427,953,000","137,558,000","577,563,000","2,234,700","1,555,994,000","49,829,000","3,439,949",NA,NA,"3,079,000","60,866,700",NA,"375,090,000",NA,NA,NA,NA,NA,NA,"6,086,794","51,988,000",NA,"1,877,745,000",NA,"17,590,000",NA,"236,112"
Net Debt,268593,"13,042,000","5,762,100","4,950,700",NA,NA,"18,963,000","23,808,000","14,946,000","4,312,300",NA,"5,598,000","3,457,561","4,547,000",NA,NA,NA,NA,"13,910,197","7,712,000",NA,NA,"463,649","5,077,000","15,005,000",NA,"3,112,500","-196,000","-411,335,000",NA,"9,328,000","212,859","4,223,000","15,181,000","5,848,000","16,258,000",NA,NA,NA,"10,173,000",NA,NA,"44,252,000","3,325,520","73,281,000","9,594,000","4,735,000","859,428","3,757,000",NA,"2,883,629","5,640,400","38,217,000",NA,NA,"1,814,826",NA,NA,"97,788,000","2,853,600","331,491","-134,000",NA,"11,894,747","3,558,300",NA,"4,324,522","6,874,000",NA,NA,NA,NA,"6,925,000","-16,963,271","2,118,000","3,678,400","12,456,000","4,904,000",NA,NA,"1,182,843","24,242,000","6,209,000","1,981,226",NA,"2,381,220",NA,"44,551,600",NA,"7,540,000","868,141","5,570,000","3,805,291","1,086,188","68,671,000","5,628,000","5,879,000",NA,"14,388,000",NA,"12,582,000",NA,"55,024,000","2,407,000",NA,"47,279,000","8,410,000","1,455,327",NA,"1,914,300","1,180,500",NA,NA,"2,203,000",NA,"22,257,823","22,380,913","29,605,000","2,649,000","2,061,580","28,005,000","-3,561,000","3,241,931","6,112,804","11,054,470","593,726",NA,"4,556,000",NA,"7,182,000","-91,122,000","42,998,000","-64,711,000","740,300","-386,818,000","18,418,000","900,648",NA,NA,"-139,000","3,342,300",NA,"176,492,000",NA,NA,NA,NA,NA,NA,"2,380,940","17,940,000",NA,"-125,762,000",NA,"3,155,000",NA,"184,816"
Total Debt,274444,"16,631,000","5,762,200","4,950,700",NA,NA,"23,967,000","26,291,000","14,953,000","4,409,544",NA,"5,604,700","3,791,546","5,988,000",NA,NA,NA,NA,"14,285,971","12,505,000",NA,NA,"495,569","5,091,000","15,603,000",NA,"3,223,100","887,000","579,580,000",NA,"9,407,700","212,859","5,354,000","15,563,000","7,478,000","18,657,000",NA,NA,NA,"20,177,000",NA,NA,"44,469,000","3,631,522","73,922,000","9,619,000","4,840,000","861,712","3,766,000",NA,"3,045,841","5,882,100","38,663,000",NA,NA,"2,002,011",NA,NA,"129,765,000","3,558,900","494,103","364,000",NA,"13,888,587","4,103,800",NA,"4,679,127","12,260,000",NA,NA,NA,NA,"6,928,000","24,463,148","2,148,000","3,842,200","13,381,000","6,777,000",NA,NA,"1,235,503","30,949,000","6,525,000","2,042,384",NA,"2,477,896",NA,"47,379,900",NA,"8,122,000","962,053","6,392,000","4,672,403","1,114,999","70,091,000","6,075,000","6,515,000",NA,"15,602,000",NA,"14,568,000",NA,"78,413,000","3,196,000",NA,"47,386,000","8,629,000","1,508,596",NA,"2,240,200","1,182,600",NA,NA,"2,208,000",NA,"24,030,906","23,947,126","34,986,000","2,828,000","2,350,239","28,095,000","10,112,000","3,267,082","6,288,076","11,930,609","788,961",NA,"4,641,000",NA,"7,968,000","67,223,000","57,219,000","26,428,000","767,900","583,748,000","20,706,000","1,132,212",NA,NA,"552,000","3,485,600",NA,"178,639,000",NA,NA,NA,NA,NA,NA,"2,546,972","17,958,000",NA,"232,617,000",NA,"5,075,000",NA,"212,093"
Total Common Equity,268583,"14,080,000","3,850,000","5,736,900",NA,NA,"10,110,000","(4,232,000)","10,201,000","6,920,595",NA,"4,914,000","5,245,747","-1,676,000",NA,NA,NA,NA,"5,181,594","5,814,000",NA,NA,"376,527","5,124,000","9,199,000",NA,"612,700","9,431,000","179,565,000",NA,"8,774,600","454,290","10,782,000","7,529,000","11,284,000","12,874,000",NA,NA,NA,"13,230,000",NA,NA,"26,790,000","3,991,426","48,383,000","9,043,000","4,979,000","872,466","4,701,000",NA,"2,555,999","3,759,000","24,582,000",NA,NA,"2,480,679",NA,NA,"42,125,000","9,390,800","393,049","16,859,000",NA,"22,660,579","2,976,000",NA,"3,485,890","-2,318,000",NA,NA,NA,NA,"2,632,000","10,292,531","3,978,000","4,661,900","25,102,000","4,931,000",NA,NA,"1,606,981","-1,576,000","3,008,000","1,979,420",NA,"2,542,073",NA,"-6,566,200",NA,"10,547,000","1,431,425","-408,000","-1,077,391","1,306,370","2,973,000","1,445,000","3,776,000",NA,"13,024,000",NA,"13,943,000",NA,"-8,696,000","4,640,000",NA,"26,465,000","10,433,000","946,676",NA,"1,016,900","1,187,500",NA,NA,"13,114,000",NA,"5,731,904","3,205,424","70,187,000","1,635,000","-470,783","17,991,000","10,924,000","2,529,039","3,412,915","1,321,409","770,001",NA,"5,346,000",NA,"15,703,000","34,899,000","-17,699,000","26,744,000","749,000","108,587,000","9,519,000","1,286,602",NA,NA,"856,000","8,659,500",NA,"87,468,000",NA,NA,NA,NA,NA,NA,"2,634,450","16,998,000",NA,"156,778,000",NA,"10,838,000",NA,"24,004"
Total Minority Interest,268584,"76,000",NA,NA,NA,NA,NA,NA,"129,000",NA,NA,NA,"56,939.00","1,000.00",NA,NA,NA,NA,"2,959,263.00","65,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"557,000.00",NA,"78,700.00",340.00,"366,000.00","862,000.00","264,000.00","9,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"1,824,000.00",NA,NA,NA,NA,NA,NA,"16,600.00",NA,NA,NA,"15,057.00",NA,NA,"-36,000.00","4,900.00","-2,816.00","217,000.00",NA,"212,376.00","23,000.00",NA,"65,001.00",NA,NA,NA,NA,NA,NA,"81,223.00",NA,"330,400.00","-1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"4,440.00",NA,NA,NA,NA,NA,"14,000.00",NA,"20,275.00",NA,"1,000.00",NA,NA,NA,NA,NA,NA,"485,000.00","46,000.00",NA,NA,NA,NA,NA,"2,500.00",NA,NA,NA,NA,NA,"71,055.00",NA,"1,581,000.00","10,000.00",-4.00,NA,NA,NA,"114,692.00","33,014.00",NA,NA,NA,NA,"-112,000.00","159,000.00","64,000.00",NA,NA,"824,000.00","-28,000.00",NA,NA,NA,NA,NA,NA,"1,315,000.00",NA,NA,NA,NA,NA,NA,"41,280.00",NA,NA,"2,220,000.00",NA,NA,NA,NA
Total Equity,268585,"14,156,000","3,850,000","5,736,900",NA,NA,"12,434,000","(4,232,000)","10,330,000","7,142,435.00",NA,"4,914,000.00","5,302,686.00","-1,675,000.00",NA,NA,NA,NA,"8,140,857.00","5,879,000.00",NA,NA,"376,527.00","5,124,000.00","9,989,000.00",NA,"612,700.00","9,431,000.00","199,117,000.00",NA,"8,853,300.00","454,630.00","11,148,000.00","8,391,000.00","11,548,000.00","12,883,000.00",NA,NA,NA,"14,286,000.00",NA,NA,"28,573,000.00","3,991,426.00","52,169,000.00","9,043,000.00","4,979,000.00","872,466.00","4,701,000.00",NA,"2,562,180.00","3,775,600.00","24,582,000.00",NA,NA,"2,495,736.00",NA,NA,"42,089,000.00","9,395,700.00","390,233.00","17,076,000.00",NA,"22,872,955.00","2,999,000.00",NA,"3,550,891.00","-2,318,000.00",NA,NA,NA,NA,"2,632,000.00","10,498,754.00","3,978,000.00","4,992,300.00","25,101,000.00","4,931,000.00",NA,NA,"1,606,981.00","-1,576,000.00","3,008,000.00","1,979,420.00",NA,"2,546,513.00",NA,"-6,566,200.00",NA,"10,547,000.00","1,431,425.00","-394,000.00","-1,077,391.00","1,326,645.00","2,973,000.00","1,721,000.00","3,776,000.00",NA,"13,024,000.00",NA,"13,943,000.00",NA,"-8,211,000.00","4,686,000.00",NA,"26,723,000.00","10,435,000.00","946,676.00",NA,"1,019,400.00","1,187,500.00",NA,NA,"13,114,000.00",NA,"7,061,626.00","3,205,424.00","71,768,000.00","1,645,000.00","-470,787.00","19,936,000.00","10,924,000.00","2,529,039.00","3,527,607.00","1,354,423.00","770,001.00",NA,"5,346,000.00",NA,"17,561,000.00","39,896,000.00","-17,635,000.00","37,041,000.00","749,000.00","120,114,000.00","9,491,000.00","1,286,602.00",NA,NA,"856,000.00","8,659,500.00",NA,"88,783,000.00",NA,NA,NA,NA,NA,NA,"2,675,730.00","16,998,000.00",NA,"178,409,000.00",NA,"10,838,000.00",NA,"24,004.10"
Current Ratio (x),274464,1.56,0.67,0.49,NA,NA,NA,0.50,0.79,1.15,NA,1.06,1.50,2.08,NA,NA,NA,NA,3.16,1.86,NA,NA,1.46,0.85,0.89,NA,3.67,1.15,NA,NA,0.83,1.71,1.24,1.37,1.51,1.72,NA,NA,NA,1.24,NA,NA,0.72,1.17,0.77,0.86,0.95,0.80,0.38,NA,2.26,0.64,0.81,NA,NA,1.89,NA,NA,1.20,0.94,2.37,1.10,NA,0.96,1.38,NA,1.76,0.86,NA,NA,NA,NA,0.34,1.62,1.21,1.23,0.60,1.50,NA,NA,24.71,1.19,1.14,0.60,NA,1.57,NA,1.65,NA,1.09,2.12,1.25,1.43,2.36,11.86,1.15,1.25,NA,0.97,NA,1.14,NA,1.52,1.77,NA,0.87,0.83,2.54,NA,1.28,0.64,NA,NA,0.85,NA,1.29,0.29,1.09,0.99,0.95,0.67,1.58,1.20,1.30,1.24,1.16,NA,0.68,NA,0.41,NA,1.22,0.40,0.71,1.70,0.80,1.59,NA,NA,1.29,20.25,NA,0.75,NA,NA,NA,NA,NA,NA,1.31,0.82,NA,NA,NA,2.89,NA,5.48
Quick Ratio (x),274465,0.87,0.32,0.20,NA,NA,NA,0.31,0.35,0.32,NA,0.30,1.01,1.17,NA,NA,NA,NA,2.74,1.58,NA,NA,1.31,0.17,0.37,NA,0.37,0.93,NA,NA,0.28,0.73,0.51,0.22,0.63,1.54,NA,NA,NA,1.22,NA,NA,0.22,0.62,0.29,0.25,0.30,0.25,0.19,NA,2.06,0.54,0.45,NA,NA,1.19,NA,NA,0.99,0.62,0.88,0.62,NA,0.53,0.89,NA,0.99,0.48,NA,NA,NA,NA,0.22,1.62,1.00,0.73,0.35,0.48,NA,NA,0.75,0.34,0.17,0.60,NA,1.40,NA,1.35,NA,0.76,1.31,0.86,1.31,1.79,11.43,0.56,0.52,NA,0.85,NA,0.99,NA,1.34,1.04,NA,0.67,0.46,0.78,NA,0.34,0.14,NA,NA,0.38,NA,0.45,0.21,0.70,0.90,0.79,0.38,1.43,0.26,0.77,0.68,0.71,NA,0.26,NA,0.23,NA,0.29,0.40,0.46,1.61,0.25,0.58,NA,NA,0.61,4.11,NA,0.50,NA,NA,NA,NA,NA,NA,0.67,0.28,NA,NA,NA,2.24,NA,5.48
Total Debt/Equity (%),274466,117.48,149.67,86.30,NA,NA,NA,NM,144.75,62,NA,114,72,NM,NA,NA,NA,NA,175,213,NA,NA,132,99,156,NA,526,9,NA,NA,106,47,48,185,65,145,NA,NA,NA,141,NA,NA,156,91,142,106,97,99,80,NA,119,156,157,NA,NA,80,NA,NA,308,38,127,2,NA,61,137,NA,132,NM,NA,NA,NA,NA,263,233,54,77,53,137,NA,NA,77,NM,217,103,NA,97,NA,NM,NA,77,67,NM,NM,84,"2,358",353,173,NA,120,NA,104,NA,NM,68,NA,177,83,159,NA,220,100,NA,NA,17,NA,340,747,49,172,NM,141,93,129,178,881,102,NA,87,NA,45,NA,NM,71,103,486,218,88,NA,NA,64,40,NA,201,NA,NA,NA,NA,NA,NA,95,106,NA,NA,NA,47,NA,884
Total Debt / Total Capital (%),274467,54.02,59.95,46.32,NA,NA,NA,119.19,59.14,38,NA,53,42,139,NA,NA,NA,NA,64,68,NA,NA,57,50,61,NA,84,9,NA,NA,52,32,32,65,39,59,NA,NA,NA,59,NA,NA,61,48,59,52,49,50,44,NA,54,61,61,NA,NA,45,NA,NA,76,27,56,2,NA,38,58,NA,57,123,NA,NA,NA,NA,72,70,35,43,35,58,NA,NA,43,105,68,51,NA,49,NA,116,NA,44,40,107,130,46,96,78,63,NA,55,NA,51,NA,112,41,NA,64,45,61,NA,69,50,NA,NA,14,NA,77,88,33,63,125,58,48,56,64,90,51,NA,46,NA,31,NA,145,42,51,83,69,47,NA,NA,39,29,NA,67,NA,NA,NA,NA,NA,NA,49,51,NA,NA,NA,32,NA,90
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
