SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022,FQ32022
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,9/30/2022,9/30/2022,9/30/2022,,,9/30/2022,9/30/2022,9/30/2022,9/30/2022,,9/30/2022,10/1/2022,10/30/2021,,,,,9/30/2022,9/30/2022,,,9/30/2022,9/30/2022,9/30/2022,,9/30/2022,9/30/2022,9/30/2022,,2/27/2022,9/30/2022,9/30/2022,9/30/2022,9/30/2022,9/30/2022,,,,9/30/2022,,,9/30/2022,9/30/2022,9/30/2022,9/30/2022,9/30/2022,9/30/2022,9/30/2022,,9/30/2022,9/30/2022,9/30/2022,,,9/30/2022,,,9/30/2022,9/30/2022,10/1/2022,9/30/2022,,9/30/2022,9/25/2022,,9/30/2022,7/31/2022,,,,,9/30/2022,8/31/2022,9/30/2022,9/30/2022,9/30/2022,10/30/2021,12/31/2021,,9/30/2022,10/29/2021,10/30/2021,9/30/2022,,9/30/2022,,9/30/2022,,9/30/2022,7/2/2022,10/1/2022,9/30/2022,9/30/2022,9/30/2022,9/30/2022,9/30/2022,,9/30/2022,,9/30/2022,,2/28/2022,9/30/2022,,9/30/2022,9/30/2022,9/25/2022,,9/30/2022,9/30/2022,9/30/2022,,9/30/2022,,9/30/2022,9/30/2022,9/30/2022,10/29/2021,9/25/2022,9/30/2022,9/30/2022,9/30/2022,9/30/2022,4/2/2022,9/30/2022,,9/30/2022,,9/30/2022,9/30/2022,9/30/2022,9/30/2022,9/30/2022,9/30/2022,11/6/2021,7/29/2022,,,9/30/2022,9/30/2022,,9/30/2022,,,,,,,12/31/2021,9/30/2022,,9/30/2022,,9/30/2022,,9/30/2022
Financial Filing Date,309159,10/24/2023,11/2/2023,11/2/2023,,,10/31/2023,10/26/2023,11/9/2023,11/3/2023,,11/2/2023,11/2/2023,11/30/2022,,,,,11/7/2023,11/8/2023,,,11/2/2023,10/26/2023,10/26/2023,,10/25/2023,10/26/2023,11/3/2023,,4/5/2023,10/15/2022,11/6/2023,11/3/2023,10/30/2023,10/20/2023,,,,10/26/2023,,,11/8/2023,10/24/2023,11/2/2023,11/2/2023,11/2/2023,10/30/2023,11/2/2023,,10/26/2023,10/23/2023,11/2/2023,,,10/20/2023,,,10/27/2023,10/25/2023,11/9/2023,10/31/2023,,10/31/2023,11/1/2023,,11/6/2023,9/11/2023,,,,,10/27/2023,10/6/2023,11/14/2022,10/27/2022,10/26/2023,12/1/2022,2/9/2023,,10/31/2023,11/23/2022,11/30/2022,11/3/2023,,11/2/2023,,11/2/2023,,11/6/2023,7/28/2023,11/2/2023,10/31/2023,11/7/2023,10/25/2023,11/14/2023,10/27/2023,,10/25/2023,,10/26/2023,,3/10/2023,10/25/2023,,10/26/2023,11/6/2023,11/9/2023,,10/24/2023,10/30/2023,11/2/2023,,10/31/2023,,11/1/2023,10/26/2023,10/24/2023,12/5/2022,11/2/2023,11/1/2023,10/30/2023,11/8/2023,11/8/2023,5/2/2023,11/2/2023,,11/13/2023,,11/1/2023,11/3/2023,10/25/2023,11/8/2023,11/2/2023,11/3/2023,12/9/2022,9/7/2023,,,10/25/2023,11/1/2023,,10/26/2023,,,,,,,2/9/2023,11/8/2023,,10/31/2023,,10/27/2023,,4/30/2024
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.114293
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.176689
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"3,589,000",100,NA,NA,NA,"5,004,000","2,483,000","7,000","97,244",NA,"6,700","333,985","1,441,000",NA,NA,NA,NA,"375,774","6,342,000",NA,NA,"31,920","14,000","598,000",NA,"110,600","1,083,000","990,915,000",NA,"79,700",NA,"1,131,000","5,529,000","1,630,000","2,399,000",NA,NA,NA,"10,004,000",NA,NA,"217,000","306,002","641,000","25,000","105,000","2,284","9,000",NA,"162,212","241,700","446,000",NA,NA,"187,185",NA,NA,"31,977,000","705,300","162,612","498,000",NA,"1,993,840","545,500",NA,"354,605","5,386,000",NA,NA,NA,NA,"3,000","41,426,419","30,000","163,800","925,000","1,873,000",NA,NA,"52,660","6,707,000","316,000","61,158",NA,"96,676",NA,"2,828,300",NA,"582,000","93,912","822,000","867,112","28,811","1,420,000","447,000","636,000",NA,"1,214,000",NA,"1,666,000",NA,"23,389,000","789,000",NA,"107,000","219,000","53,269",NA,"325,900","2,100",NA,NA,"5,000",NA,"1,773,083","1,566,213","5,381,000","148,000","288,659","90,000","13,673,000","25,151","175,272","876,139","195,235",NA,"85,000",NA,"4,830,000","158,345,000","14,221,000","91,139,000","27,600","970,566,000","2,288,000","231,564",NA,NA,"549,000","1,326,500",NA,"2,147,000",NA,NA,NA,NA,NA,NA,"166,032","18,000",NA,"358,379,000",NA,"1,920,000",NA,"27,278"
