SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021,FQ22021
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,6/30/2021,6/30/2021,6/30/2021,,,6/30/2021,6/30/2021,6/30/2021,6/30/2021,,6/30/2021,7/3/2021,8/1/2020,,,,,6/30/2021,6/30/2021,,,6/30/2021,6/30/2021,6/30/2021,,6/30/2021,6/30/2021,6/30/2021,,11/29/2020,6/30/2021,6/30/2021,6/30/2021,6/30/2021,6/30/2021,,,,6/30/2021,,,6/30/2021,6/30/2021,6/30/2021,6/30/2021,6/30/2021,6/30/2021,6/30/2021,,6/30/2021,6/30/2021,6/30/2021,,,6/30/2021,,,6/30/2021,7/2/2021,7/3/2021,6/30/2021,,6/30/2021,6/27/2021,6/30/2021,6/30/2021,4/30/2021,,,,,6/30/2021,5/31/2021,6/30/2021,6/30/2021,6/30/2021,8/1/2020,6/30/2021,,6/30/2021,7/31/2020,8/1/2020,6/30/2021,,6/30/2021,,6/30/2021,,6/30/2021,4/3/2021,7/3/2021,6/30/2021,6/30/2021,6/30/2021,6/30/2021,6/30/2021,,6/30/2021,,6/30/2021,,11/30/2020,6/30/2021,,6/30/2021,6/30/2021,6/27/2021,,6/30/2021,6/30/2021,6/30/2021,,6/30/2021,,6/30/2021,6/30/2021,6/30/2021,7/31/2020,6/27/2021,6/30/2021,6/30/2021,6/30/2021,6/30/2021,12/26/2020,6/30/2021,,6/30/2021,,6/30/2021,6/30/2021,6/30/2021,6/30/2021,6/30/2021,6/30/2021,8/15/2020,4/30/2021,,,6/30/2021,6/30/2021,,6/30/2021,,,,,,,9/30/2020,6/30/2021,,6/30/2021,,6/30/2021,,6/30/2021
Financial Filing Date,309159,7/27/2022,7/27/2022,7/27/2022,,,8/1/2022,7/28/2022,8/8/2022,8/5/2022,,7/27/2022,8/4/2022,12/3/2021,,,,,8/5/2022,8/5/2022,,,8/3/2022,8/2/2022,8/2/2022,,7/27/2022,7/27/2022,11/4/2022,,1/6/2022,8/12/2021,8/4/2022,9/16/2022,7/29/2022,7/21/2022,,,,7/27/2022,,,8/8/2022,7/21/2022,8/4/2022,8/4/2022,8/4/2022,7/30/2022,8/4/2022,,8/2/2022,7/21/2022,8/3/2022,,,7/22/2022,,,7/28/2022,7/28/2022,8/11/2022,9/13/2022,,8/1/2022,7/26/2022,8/18/2022,8/3/2022,6/3/2022,,,,,7/28/2022,10/7/2022,8/23/2021,7/28/2022,7/28/2022,9/2/2021,9/28/2021,,8/2/2022,8/26/2021,9/3/2021,8/5/2022,,8/4/2022,,8/4/2022,,8/8/2022,4/29/2022,8/4/2022,7/26/2022,8/8/2022,7/27/2022,7/29/2022,7/29/2022,,7/27/2022,,7/28/2022,,12/10/2021,7/27/2022,,7/28/2022,8/8/2022,8/4/2022,,7/26/2022,8/30/2022,7/27/2022,,8/4/2022,,8/5/2022,7/29/2022,7/26/2022,9/3/2021,8/3/2022,7/28/2022,8/2/2022,8/9/2022,8/9/2022,2/9/2022,8/4/2022,,8/10/2022,,8/3/2022,8/5/2022,7/27/2022,8/8/2022,8/4/2022,8/4/2022,9/17/2021,6/2/2022,,,7/26/2022,8/3/2022,,7/28/2022,,,,,,,11/9/2021,8/8/2022,,10/31/2022,,7/29/2022,,9/20/2022
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.381120
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.398362
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"5,503,000",100,NA,NA,NA,"13,680,000","1,877,000","99,000","40,585",NA,"3,900","244,070","2,611,000",NA,NA,NA,NA,"557,307","7,123,000",NA,NA,"52,185","12,000","1,101,000",NA,"342,200","1,003,000","793,879,000",NA,"68,000","11,429",NA,NA,"2,320,000","2,990,000",NA,NA,NA,"15,446,000",NA,NA,"240,000","601,359","419,000","22,000","12,000","5,261","12,000",NA,"509,836","458,100","1,578,000",NA,NA,"55,574",NA,NA,"25,043,000","1,565,800","252,251",NA,NA,"1,799,549","1,145,100","19,796","1,063,261","3,438,000",NA,NA,NA,NA,"3,000","42,920,325","200,000","325,800","169,000","2,428,000","29,000",NA,"111,704","12,726,000","1,395,000","58,796",NA,"237,271",NA,"3,053,400",NA,"31,000","90,110","1,921,000","1,972,002","32,544","1,699,000","449,000","637,000",NA,"1,670,000",NA,"3,941,000",NA,"38,610,000","888,000",NA,"233,000","44,000","58,402",NA,"288,800","4,900","2,600",NA,"7,000",NA,"1,081,874","4,250,444","8,051,000","197,000","292,957","51,000","16,875,000","37,718","47,565","5,769,712","119,222",NA,"24,000",NA,"6,172,000","194,365,000","21,306,000","71,346,000","4,800","891,986,000","2,820,000","497,635",NA,NA,"595,000","1,719,700",NA,"4,841,000",NA,NA,NA,NA,NA,NA,"350,433","49,000",NA,"476,165,000",NA,"1,777,000",NA,"32,456"
