SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"10,230,000","10,152,700","11,376,500",NA,NA,"11,975,000","1,933,000","28,020,000","8,944,551",NA,"11,600,500","727,411","4,927,000",NA,NA,NA,NA,"17,308,976",NA,NA,NA,"46,450","5,518,000","22,096,000",NA,"1,057,600","213,000","2,800,000",NA,"2,478,000","763,913",NA,NA,"15,455,000","32,948,000",NA,NA,NA,"986,000",NA,NA,"59,226,000","895,551","110,136,000","17,510,000","11,752,000","1,954,394","8,303,000",NA,"5,049,088","1,215,600","82,120,000",NA,NA,"3,472,239",NA,NA,"37,829,000","580,100","297,117",NA,NA,"1,642,283","466,200","6,073,764","6,966,023","3,612,000",NA,NA,NA,NA,"9,630,000","903,010","5,605,000","9,210,800","3,068,000","9,388,000","4,757,000",NA,"13,270","22,410,000","9,314,000","4,000",NA,"1,281,788",NA,"38,327,500",NA,"19,474,000","693,960","1,458,000","217,502","2,618,756","113,000","1,115,000","1,649,000",NA,"31,355,000",NA,"8,739,000",NA,"6,627,000","3,936,000",NA,"69,818,000","22,675,000","437,598",NA,"1,024,300","2,497,300","4,552,600",NA,"8,200,000",NA,"53,375","26,432,415","16,565,000","354,000","1,815,721","50,023,000","17,211,000","6,337,701","7,048,905","5,018,401","2,177,987",NA,"10,463,000",NA,"1,026,000","3,442,000","11,341,000","3,136,000","1,595,100","23,140,000","28,703,000","527,322",NA,NA,"124,000","499,800",NA,"122,382,000",NA,NA,NA,NA,NA,NA,"3,188,410","33,495,000",NA,"19,571,000",NA,"13,972,000",NA,NA
Total Assets,268552,"48,307,000","11,483,800","11,790,300",NA,NA,"180,470,000","44,388,000","33,916,000","9,968,726",NA,"13,646,700","16,842,773","10,880,000",NA,NA,NA,NA,"21,792,618","253,856,000",NA,NA,"1,020,884","10,379,000","36,466,000",NA,"2,970,600","29,677,000","2,327,868,000",NA,"22,276,700","1,104,074",NA,NA,"29,806,000","40,015,000",NA,NA,NA,"110,985,000",NA,NA,"97,963,000","9,630,000","165,385,000","21,629,000","14,155,000","2,172,590","10,322,000",NA,"6,142,212","9,340,300","129,396,000",NA,NA,"3,873,180",NA,NA,"248,532,000","14,495,500","1,337,438",NA,NA,"45,149,673","10,102,200","6,725,404","9,309,069","34,549,000",NA,NA,NA,NA,"11,189,000","57,978,969","8,335,000","10,393,700","50,344,000","15,235,000","11,066,000",NA,"2,058,837","51,763,000","17,614,000","3,090,155",NA,"5,901,628",NA,"51,893,100",NA,"23,331,000","3,405,840","11,131,000","4,791,076","3,077,445","83,348,000","12,063,000","14,620,000",NA,"38,754,000",NA,"42,142,000",NA,"110,014,000","9,977,000",NA,"100,245,000","26,083,000","2,224,707",NA,"4,525,200","3,035,700","5,958,400",NA,"18,408,000",NA,"37,250,397","33,691,962","158,838,000","5,947,000","2,664,233","71,038,000","38,206,000","7,528,683","9,039,022","22,489,851","4,386,187",NA,"11,459,000",NA,"132,643,000","466,963,000","148,935,000","574,532,000","2,025,500","1,387,922,000","47,543,000","2,996,109",NA,NA,"2,978,000","70,807,900",NA,"349,190,000",NA,NA,NA,NA,NA,NA,"5,203,396","45,156,000",NA,"1,945,996,000",NA,"17,830,000",NA,"300,946"
Net Debt,268593,"13,616,000","5,307,800","4,216,200",NA,NA,"3,756,000","26,364,000","12,832,000","3,406,729",NA,"5,020,500","1,997,309","7,440,000",NA,NA,NA,NA,"12,448,733","4,138,000",NA,NA,"500,120","4,334,000","15,059,000",NA,"1,661,600","-96,000","-212,120,000",NA,"9,471,800","178,015",NA,NA,"5,770,000","13,811,000",NA,NA,NA,"3,904,000",NA,NA,"39,535,000","2,481,887","66,613,000","8,515,000","4,132,000","763,963","3,493,000",NA,"2,794,706","3,423,500","39,387,000",NA,NA,"1,569,559",NA,NA,"123,183,000","1,200,500","189,438",NA,NA,"9,006,053","3,625,200","3,275,086","3,494,001","3,885,000",NA,NA,NA,NA,"6,595,000","-16,333,529","1,990,000","3,502,000","14,243,000","5,301,000","1,503,000",NA,"477,007","13,500,000","7,264,000","1,360,646",NA,"1,574,655",NA,"46,208,600",NA,"7,616,000","970,329","4,243,000","2,158,282","1,405,833","78,422,000","6,085,000","5,488,000",NA,"12,581,000",NA,"9,797,000",NA,"32,309,000","2,424,000",NA,"39,209,000","8,471,000","1,171,207",NA,"1,182,500","916,100","1,810,500",NA,"4,526,000",NA,"28,118,388","17,518,671","24,994,000","2,936,000","2,710,068","23,956,000","-3,572,000","2,692,114","3,068,675","8,739,610","631,717",NA,"3,832,000",NA,"7,340,000","-128,826,000","42,253,000","-38,690,000","669,200","-322,849,000","17,806,000","270,756",NA,NA,"-42,000","3,318,300",NA,"175,170,000",NA,NA,NA,NA,NA,NA,"1,857,949","15,109,000",NA,"-231,618,000",NA,"3,496,000",NA,"239,486"
Total Debt,274444,"19,119,000","5,307,900","4,216,200",NA,NA,"17,436,000","28,241,000","12,931,000","3,447,314",NA,"5,024,400","2,241,379","10,051,000",NA,NA,NA,NA,"13,006,040","9,020,000",NA,NA,"552,305","4,346,000","16,160,000",NA,"2,003,800","907,000","581,759,000",NA,"9,539,800","189,444",NA,NA,"8,090,000","16,801,000",NA,NA,NA,"19,350,000",NA,NA,"39,775,000","3,083,246","67,032,000","8,537,000","4,144,000","769,224","3,505,000",NA,"3,304,542","3,881,600","40,965,000",NA,NA,"1,625,133",NA,NA,"148,226,000","2,766,300","441,689",NA,NA,"10,805,602","4,770,300","3,294,882","4,557,262","7,323,000",NA,NA,NA,NA,"6,598,000","26,586,796","2,190,000","3,827,800","14,412,000","7,729,000","1,532,000",NA,"588,711","26,226,000","8,659,000","1,419,442",NA,"1,811,926",NA,"49,262,000",NA,"7,647,000","1,060,439","6,164,000","4,130,284","1,438,377","80,121,000","6,534,000","6,125,000",NA,"14,251,000",NA,"14,159,000",NA,"70,919,000","3,312,000",NA,"39,442,000","8,515,000","1,229,609",NA,"1,471,300","921,000","1,813,100",NA,"4,533,000",NA,"29,200,262","21,769,115","33,045,000","3,157,000","3,003,025","24,007,000","13,303,000","2,729,832","3,116,240","14,509,322","750,939",NA,"3,856,000",NA,"7,996,000","65,539,000","63,559,000","32,656,000","674,000","569,137,000","20,626,000","768,391",NA,NA,"553,000","3,441,400",NA,"180,011,000",NA,NA,NA,NA,NA,NA,"2,208,382","15,158,000",NA,"244,547,000",NA,"5,273,000",NA,"271,943"
Total Common Equity,268583,"14,448,000","3,332,500","5,197,200",NA,NA,"15,206,000","3,257,000","9,353,000","5,801,941",NA,"4,514,800","5,164,922","-1,908,000",NA,NA,NA,NA,"4,089,714","16,115,000",NA,NA,"357,442","2,776,000","7,131,000",NA,"317,400","11,858,000","184,164,000",NA,"8,392,000","412,385",NA,NA,"11,960,000","13,426,000",NA,NA,NA,"12,115,000",NA,NA,"24,163,000","3,719,304","46,170,000","7,891,000","4,999,000","799,066","4,065,000",NA,"2,653,147","3,460,500","32,140,000",NA,NA,"2,006,451",NA,NA,"34,664,000","9,205,000","407,857",NA,NA,"26,693,763","2,850,500","3,159,888","3,671,571","-3,360,000",NA,NA,NA,NA,"2,383,000","10,072,634","3,789,000","3,783,700","24,242,000","4,837,000","4,822,000",NA,"1,286,406","4,356,000","2,324,000","1,604,841",NA,"2,158,362",NA,"-5,808,000",NA,"9,273,000","1,338,457","-358,000","-367,807","1,546,715","2,701,000","1,154,000","3,986,000",NA,"14,317,000",NA,"11,172,000",NA,"7,917,000","4,117,000",NA,"25,835,000","9,565,000","643,271",NA,"1,120,600","1,211,100","2,203,900",NA,"10,519,000",NA,"5,259,059","7,884,015","71,115,000","1,437,000","-841,551","17,942,000","9,688,000","2,429,736","2,846,881","1,426,799","1,108,740",NA,"4,538,000",NA,"26,037,000","40,740,000","-16,682,000","47,496,000","638,500","92,687,000","9,820,000","1,229,417",NA,NA,"744,000","10,947,500",NA,"73,684,000",NA,NA,NA,NA,NA,NA,"2,280,046","15,064,000",NA,"171,317,000",NA,"10,400,000",NA,"29,004"
Total Minority Interest,268584,"68,000",NA,NA,NA,NA,NA,"43,000","129,000",NA,NA,NA,"59,539.00","4,000.00",NA,NA,NA,NA,"3,733,821.00","65,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"751,000.00",NA,"77,500.00",340.00,NA,NA,"182,000.00","8,000.00",NA,NA,NA,NA,NA,NA,"334,000.00",NA,"1,413,000.00",NA,NA,NA,NA,NA,NA,"38,100.00","2,360,000.00",NA,NA,"4,949.00",NA,NA,"120,000.00","4,700.00","1,470.00",NA,NA,"156,377.00","64,400.00",NA,"27,113.00",NA,NA,NA,NA,NA,NA,"57,241.00",NA,"327,300.00","1,000.00",NA,"53,000.00",NA,NA,NA,NA,NA,NA,"3,007.00",NA,NA,NA,NA,NA,"14,000.00",NA,"10,345.00","11,000.00","4,000.00","25,000.00",NA,NA,NA,NA,NA,"699,000.00","39,000.00",NA,NA,NA,NA,NA,"1,700.00",NA,NA,NA,NA,NA,"94,100.00",NA,"1,636,000.00","13,000.00",-9.00,NA,NA,NA,"200,529.00","35,958.00",NA,NA,NA,NA,"-15,000.00","513,000.00","197,000.00",NA,NA,"1,631,000.00","-27,000.00",NA,NA,NA,NA,NA,NA,"1,428,000.00",NA,NA,NA,NA,NA,NA,"27,645.00",NA,NA,"1,865,000.00",NA,NA,NA,NA
Total Equity,268585,"14,516,000","3,332,500","5,197,200",NA,NA,"17,530,000","3,300,000","9,482,000","6,173,505.00",NA,"4,514,800.00","5,224,461.00","-1,904,000.00",NA,NA,NA,NA,"7,823,535.00","16,180,000.00",NA,NA,"357,442.00","2,776,000.00","8,870,000.00",NA,"317,400.00","11,858,000.00","202,910,000.00",NA,"8,469,500.00","412,725.00",NA,NA,"12,142,000.00","13,434,000.00",NA,NA,NA,"13,171,000.00",NA,NA,"26,884,000.00","3,719,304.00","49,545,000.00","7,891,000.00","4,999,000.00","799,066.00","4,065,000.00",NA,"2,659,328.00","3,498,600.00","34,500,000.00",NA,NA,"2,011,400.00",NA,NA,"34,784,000.00","9,209,700.00","409,327.00",NA,NA,"26,850,140.00","2,914,900.00","3,159,888.00","3,698,684.00","-3,360,000.00",NA,NA,NA,NA,"2,383,000.00","10,254,875.00","3,789,000.00","4,116,400.00","24,243,000.00","4,837,000.00","4,875,000.00",NA,"1,286,406.00","4,356,000.00","2,324,000.00","1,604,841.00",NA,"2,161,369.00",NA,"-5,808,000.00",NA,"9,273,000.00","1,338,457.00","-344,000.00","-367,807.00","1,557,060.00","2,712,000.00","1,431,000.00","4,011,000.00",NA,"14,317,000.00",NA,"11,172,000.00",NA,"8,616,000.00","4,156,000.00",NA,"26,093,000.00","9,567,000.00","643,271.00",NA,"1,122,300.00","1,211,100.00","2,203,900.00",NA,"10,519,000.00",NA,"6,166,151.00","7,884,015.00","72,751,000.00","1,450,000.00","-841,560.00","19,887,000.00","9,688,000.00","2,429,736.00","3,047,410.00","1,462,757.00","1,108,740.00",NA,"4,538,000.00",NA,"28,192,000.00","45,794,000.00","-16,485,000.00","57,450,000.00","638,500.00","103,521,000.00","9,793,000.00","1,229,417.00",NA,NA,"744,000.00","10,947,500.00",NA,"75,112,000.00",NA,NA,NA,NA,NA,NA,"2,307,691.00","15,064,000.00",NA,"193,127,000.00",NA,"10,400,000.00",NA,"29,003.52"
Current Ratio (x),274464,1.73,0.51,0.24,NA,NA,NA,0.72,0.97,1.32,NA,0.72,1.44,1.31,NA,NA,NA,NA,3.45,1.71,NA,NA,1.69,2.56,1.54,NA,1.44,1.21,NA,NA,0.84,1.70,NA,NA,1.65,2.34,NA,NA,NA,1.17,NA,NA,0.59,1.61,0.55,0.66,0.89,0.49,0.34,NA,7.05,0.71,0.89,NA,NA,2.26,NA,NA,1.21,1.20,1.82,NA,NA,1.12,1.77,1.72,2.07,0.72,NA,NA,NA,NA,0.44,1.73,1.45,0.65,0.38,2.22,0.83,NA,17.44,1.30,1.16,2.00,NA,1.47,NA,1.45,NA,0.91,2.05,1.46,2.69,2.31,19.00,1.05,1.23,NA,1.08,NA,1.49,NA,2.17,1.91,NA,0.66,0.72,2.32,NA,1.17,0.68,0.52,NA,0.15,NA,0.93,1.07,1.18,1.03,1.18,0.66,1.54,0.61,0.79,1.79,2.32,NA,0.52,NA,0.73,NA,1.35,0.37,0.67,1.66,0.84,1.58,NA,NA,1.36,25.81,NA,0.89,NA,NA,NA,NA,NA,NA,1.67,0.73,NA,NA,NA,2.85,NA,2.97
Quick Ratio (x),274465,1.11,0.31,0.11,NA,NA,NA,0.35,0.43,0.34,NA,0.26,1.00,0.84,NA,NA,NA,NA,3.06,1.53,NA,NA,1.59,0.30,0.62,NA,1.17,0.96,NA,NA,0.30,1.10,NA,NA,0.95,2.14,NA,NA,NA,1.16,NA,NA,0.19,1.02,0.22,0.26,0.19,0.13,0.17,NA,6.69,0.61,0.47,NA,NA,1.02,NA,NA,1.01,0.93,0.84,NA,NA,0.61,1.11,0.90,1.76,0.40,NA,NA,NA,NA,0.29,1.73,1.24,0.50,0.19,1.03,0.46,NA,1.64,0.60,0.33,2.00,NA,1.35,NA,1.24,NA,0.58,1.22,1.21,2.59,1.94,18.42,0.58,0.62,NA,0.93,NA,1.31,NA,2.02,1.29,NA,0.48,0.38,0.98,NA,0.28,0.25,0.15,NA,0.11,NA,0.23,0.98,0.79,0.90,0.99,0.30,1.46,0.22,0.49,1.29,1.40,NA,0.30,NA,0.17,NA,0.38,0.37,0.35,1.56,0.30,0.90,NA,NA,0.62,5.62,NA,0.67,NA,NA,NA,NA,NA,NA,0.96,0.36,NA,NA,NA,2.11,NA,2.97
Total Debt/Equity (%),274466,131.71,159.28,81.12,NA,NA,NA,855.79,136.37,56,NA,111,43,NM,NA,NA,NA,NA,166,56,NA,NA,155,157,182,NA,631,8,NA,NA,113,46,NA,NA,67,125,NA,NA,NA,147,NA,NA,148,83,135,108,83,96,86,NA,124,111,119,NA,NA,81,NA,NA,426,30,108,NA,NA,40,164,104,123,NM,NA,NA,NA,NA,277,259,58,93,59,160,31,NA,46,602,373,88,NA,84,NA,NM,NA,82,79,NM,NM,92,"2,954",457,153,NA,100,NA,127,NA,823,80,NA,151,89,191,NA,131,76,82,NA,43,NA,474,276,45,218,NM,121,137,112,102,992,68,NA,85,NA,28,NA,NM,57,106,550,211,63,NA,NA,74,31,NA,240,NA,NA,NA,NA,NA,NA,96,101,NA,NA,NA,51,NA,938
Total Debt / Total Capital (%),274467,56.84,61.43,44.79,NA,NA,NA,89.54,57.69,36,NA,53,30,123,NA,NA,NA,NA,62,36,NA,NA,61,61,65,NA,86,7,NA,NA,53,31,NA,NA,40,56,NA,NA,NA,60,NA,NA,60,45,58,52,45,49,46,NA,55,53,54,NA,NA,45,NA,NA,81,23,52,NA,NA,29,62,51,55,185,NA,NA,NA,NA,73,72,37,48,37,62,24,NA,31,86,79,47,NA,46,NA,113,NA,45,44,106,110,48,97,82,60,NA,50,NA,56,NA,89,44,NA,60,47,66,NA,57,43,45,NA,30,NA,83,73,31,69,139,55,58,53,51,91,40,NA,46,NA,22,NA,135,36,51,85,68,38,NA,NA,43,24,NA,71,NA,NA,NA,NA,NA,NA,49,50,NA,NA,NA,34,NA,90
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
