SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025,FQ22025
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,6/30/2025,6/30/2025,6/30/2025,,,6/30/2025,6/30/2025,6/30/2025,6/30/2025,,6/30/2025,6/28/2025,8/3/2024,,,,,6/30/2025,6/30/2025,,,6/30/2025,6/30/2025,6/30/2025,,6/30/2025,6/30/2025,6/30/2025,,11/24/2024,6/30/2025,6/30/2025,6/30/2025,6/30/2025,6/30/2025,,,,,,,6/30/2025,6/30/2025,6/30/2025,6/30/2025,6/30/2025,6/30/2025,6/30/2025,,6/30/2025,6/30/2025,6/30/2025,,,6/30/2025,,,6/30/2025,6/27/2025,7/5/2025,6/30/2025,,6/30/2025,6/29/2025,,6/30/2025,4/30/2025,,,,,6/30/2025,5/31/2025,6/30/2025,,6/30/2025,8/3/2024,9/30/2024,,6/30/2025,8/2/2024,8/3/2024,6/30/2025,,6/30/2025,,6/30/2025,,6/30/2025,3/29/2025,6/28/2025,6/30/2025,6/30/2025,6/30/2025,6/30/2025,6/30/2025,,6/30/2025,,6/30/2025,,11/30/2024,6/30/2025,,6/30/2025,6/30/2025,6/29/2025,,6/30/2025,6/30/2025,6/30/2025,,6/30/2025,,6/30/2025,6/30/2025,6/30/2025,8/2/2024,6/29/2025,6/30/2025,6/30/2025,6/30/2025,6/30/2025,12/28/2024,6/30/2025,,6/30/2025,,6/30/2025,6/30/2025,6/30/2025,6/30/2025,6/30/2025,6/30/2025,8/17/2024,5/2/2025,,,6/30/2025,6/30/2025,,6/30/2025,,,,,,,9/30/2024,6/30/2025,,6/30/2025,,6/30/2025,,6/30/2025
Financial Filing Date,309159,4/21/2026,7/30/2025,7/30/2025,,,8/4/2025,4/30/2026,8/4/2025,8/1/2025,,7/30/2025,5/7/2026,8/28/2025,,,,,8/6/2025,11/7/2025,,,5/7/2026,7/24/2025,4/23/2026,,4/22/2026,7/28/2025,5/7/2026,,12/19/2025,8/13/2025,8/7/2025,5/6/2026,8/1/2025,7/23/2025,,,,,,,8/1/2025,7/24/2025,8/5/2025,8/5/2025,8/5/2025,8/20/2025,8/5/2025,,5/7/2026,7/22/2025,5/6/2026,,,10/17/2025,,,4/30/2026,10/29/2025,8/14/2025,7/30/2025,,5/8/2026,7/31/2025,,5/7/2026,5/28/2026,,,,,8/1/2025,7/9/2025,7/30/2025,,7/24/2025,9/4/2025,11/5/2025,,8/5/2025,8/28/2025,9/10/2025,8/8/2025,,4/30/2026,,8/6/2025,,8/4/2025,4/24/2026,8/7/2025,4/21/2026,8/6/2025,7/30/2025,5/7/2026,8/1/2025,,7/29/2025,,7/22/2025,,12/11/2025,5/6/2026,,7/31/2025,8/4/2025,8/7/2025,,7/29/2025,8/27/2025,7/30/2025,,7/31/2025,,5/4/2026,4/30/2026,7/22/2025,9/4/2025,5/7/2026,7/31/2025,4/23/2026,5/5/2026,11/5/2025,1/28/2026,8/1/2025,,8/8/2025,,7/30/2025,8/1/2025,4/22/2026,8/8/2025,11/4/2025,8/1/2025,9/19/2025,6/5/2025,,,7/25/2025,7/30/2025,,7/25/2025,,,,,,,11/10/2025,8/1/2025,,8/5/2025,,7/25/2025,,9/26/2025
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.370051
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.335743
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"4,214,000",100,NA,NA,NA,"10,593,000","1,287,000","11,000","323,258",NA,"6,200","221,970","514,000",NA,NA,NA,NA,"447,582","7,230,000",NA,NA,"27,704","15,000","796,000",NA,"182,400","1,095,000","991,104,000",NA,"37,400",309,"1,964,000","4,097,000","1,491,000","393,000",NA,NA,NA,NA,NA,NA,"363,000","1,264,893","344,000","19,000","9,000","1,600","10,000",NA,"13,343","189,000","724,000",NA,NA,"45,335",NA,NA,"28,281,000","1,832,700","109,862","3,737,000",NA,"2,611,662","546,600",NA,"1,445,096","2,697,000",NA,NA,NA,NA,"14,000","53,211,743",NA,NA,"509,000","231,000","1,325,000",NA,"59,560","4,360,000","646,000","86,984",NA,"191,052",NA,"1,879,000",NA,"915,000","62,124","3,206,000","343,683","18,640","759,000","276,000","219,000",NA,"1,303,000",NA,"1,899,000",NA,"11,311,000","230,000",NA,"236,000","302,000","21,974",NA,"324,700","120,800","3,800",NA,"25,000",NA,"1,659,777","735,000","4,782,000","48,000","107,697","77,000","3,839,000","323,037","355,627","793,000","31,789",NA,"12,000",NA,"10,635,000","210,182,000","22,258,000","82,111,000","37,800","983,176,000","2,786,000","176,500",NA,NA,"407,000","3,481,400",NA,"3,467,000",NA,NA,NA,NA,NA,NA,"3,529,770","163,000",NA,"382,126,000",NA,"592,000",NA,NA
