SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"7,966,000","14,732,500","16,435,200",NA,NA,"9,278,000","1,610,000","37,816,000","11,755,485",NA,"13,904,200","474,598","2,209,000",NA,NA,NA,NA,"20,282,057",NA,NA,NA,"35,998","11,888,000","33,901,000",NA,"2,917,400","214,000","32,312,000",NA,"2,820,300","929,497","21,820,000",NA,"13,881,000","36,724,000",NA,NA,NA,NA,NA,NA,"73,284,000","1,079,756","127,857,000","23,881,000","13,353,000","2,453,200","10,540,000",NA,"4,664,493","1,912,800","80,609,000",NA,NA,"4,970,710",NA,NA,"45,527,000","607,200","160,387","2,962,000",NA,"1,414,244","251,800",NA,"7,436,823","4,055,000",NA,NA,NA,NA,"12,648,000","1,235,343","7,232,000",NA,"3,835,000","10,009,000","3,540,000",NA,"99,002","21,334,000","7,579,000",NA,NA,"2,059,445",NA,"41,325,000",NA,"23,021,000","1,015,369","1,660,000","202,787","2,316,452","28,000","398,000","1,678,000",NA,"35,921,000",NA,"12,320,000",NA,"26,432,000","4,369,000",NA,"92,296,000","30,070,000","597,459",NA,"1,271,600","3,359,100","8,322,200",NA,"7,493,000",NA,"179,448","33,007,000","18,074,000","263,000","4,625,526","62,141,000","20,423,000","8,353,639","9,359,678","6,620,000","2,325,597",NA,"11,649,000",NA,"619,000","3,289,000","11,658,000","3,197,000","2,676,700","9,831,000","32,494,000","746,700",NA,NA,"49,000","499,100",NA,"132,018,000",NA,NA,NA,NA,NA,NA,"7,899,624","56,280,000",NA,"19,622,000",NA,"14,273,000",NA,NA
Total Assets,268552,"37,989,000","15,908,400","17,032,800",NA,NA,"189,473,000","32,332,000","46,625,000","13,592,318",NA,"16,922,000","24,252,578","4,948,000",NA,NA,NA,NA,"25,388,605","242,645,000",NA,NA,"1,064,654","15,012,000","44,099,000",NA,"7,375,700","38,842,000","2,622,772,000",NA,"21,018,100","1,278,535","52,994,000","399,163,000","28,745,000","42,929,000",NA,NA,NA,NA,NA,NA,"107,441,000","13,161,284","189,713,000","29,092,000","16,180,000","2,756,400","12,996,000",NA,"5,560,880","11,917,900","111,147,000",NA,NA,"5,461,303",NA,NA,"292,725,000","18,244,200","704,514","35,500,000",NA,"48,518,510","5,174,400",NA,"10,297,679","38,799,000",NA,NA,NA,NA,"14,338,000","67,285,344","10,450,000",NA,"54,368,000","14,180,000","10,396,000",NA,"4,006,078","44,934,000","15,833,000","5,287,766",NA,"9,132,156",NA,"59,555,000",NA,"28,164,000","4,319,255","16,412,000","5,373,676","2,695,959","50,222,000","3,984,000","11,507,000",NA,"44,155,000",NA,"49,451,000",NA,"148,483,000","14,483,000",NA,"135,961,000","35,997,000","3,079,212",NA,"5,388,000","4,169,700","9,605,100",NA,"17,828,000",NA,"44,315,953","38,542,000","167,139,000","5,250,000","9,452,915","88,644,000","28,712,000","9,688,433","12,213,945","25,318,000","4,660,737",NA,"13,730,000",NA,"115,894,000","485,781,000","155,120,000","458,936,000","3,462,600","1,785,009,000","51,443,000","3,788,100",NA,NA,"3,688,000","62,843,800",NA,"383,285,000",NA,NA,NA,NA,NA,NA,"17,754,984","73,096,000",NA,"1,981,269,000",NA,"16,478,000",NA,"303,877"
Net Debt,268593,"9,568,000","6,995,100","6,149,000",NA,NA,"9,237,000","23,433,000","19,970,000","4,851,432",NA,"6,008,300","2,599,454","4,850,000",NA,NA,NA,NA,"16,136,905","3,642,000",NA,NA,"447,600","4,332,000","20,822,000",NA,"4,911,800","-111,000","-212,201,000",NA,"8,426,200","246,896","6,347,000","14,059,000","7,008,000","19,424,000",NA,NA,NA,NA,NA,NA,"46,390,000","1,804,250","88,109,000","11,281,000","5,117,000","931,300","4,490,000",NA,"2,996,038","4,709,000","48,127,000",NA,NA,"2,365,759",NA,NA,"131,958,000","3,144,600","214,530","6,979,000",NA,"14,056,360","2,802,200",NA,"3,784,409","9,219,000",NA,NA,NA,NA,"8,321,000","-18,176,749","2,596,000",NA,"18,166,000","7,247,000","2,774,000",NA,"1,686,965","35,936,000","5,366,000","2,141,052",NA,"2,479,608",NA,"54,013,000",NA,"8,170,000","1,289,527","5,126,000","4,311,826","1,100,195","46,417,000","1,061,000","5,702,000",NA,"16,598,000",NA,"15,774,000",NA,"88,233,000","5,747,000",NA,"53,818,000","14,131,000","1,445,446",NA,"1,628,000","1,126,300","3,965,200",NA,"1,965,000",NA,"30,160,463","19,002,000","38,813,000","2,241,000","5,409,706","33,986,000","1,502,000","3,183,200","4,329,341","12,899,000","1,062,607",NA,"4,981,000",NA,"7,096,000","-133,622,000","33,389,000","-26,792,000","1,285,300","-250,987,000","16,595,000","1,035,300",NA,NA,"628,000","2,832,700",NA,"170,979,000",NA,NA,NA,NA,NA,NA,"5,733,502","23,175,000",NA,"-1,116,000",NA,"4,599,000",NA,"270,311"
Total Debt,274444,"13,782,000","6,995,200","6,149,000",NA,NA,"19,830,000","24,720,000","19,981,000","5,174,690",NA,"6,014,500","2,821,424","5,364,000",NA,NA,NA,NA,"16,584,487","9,182,000",NA,NA,"475,304","4,347,000","21,618,000",NA,"5,094,200","884,000","778,903,000",NA,"8,463,600","247,205","8,311,000","14,349,000","8,499,000","19,817,000",NA,NA,NA,NA,NA,NA,"46,753,000","3,069,143","88,453,000","11,300,000","5,126,000","932,900","4,500,000",NA,"3,009,381","4,898,000","48,851,000",NA,NA,"2,411,094",NA,NA,"160,239,000","4,977,300","324,392","10,716,000",NA,"16,668,022","3,348,800",NA,"5,229,505","11,916,000",NA,NA,NA,NA,"8,335,000","35,034,994","2,596,000",NA,"18,675,000","7,478,000","4,099,000",NA,"1,746,525","40,296,000","6,012,000","2,228,036",NA,"2,670,660",NA,"55,892,000",NA,"9,085,000","1,351,651","8,332,000","4,655,509","1,118,835","47,176,000","1,337,000","5,921,000",NA,"17,901,000",NA,"18,086,000",NA,"99,544,000","5,977,000",NA,"54,054,000","14,433,000","1,467,420",NA,"1,952,700","1,247,100","3,969,000",NA,"1,990,000",NA,"31,820,240","19,737,000","43,595,000","2,325,000","5,517,403","34,063,000","5,341,000","3,506,237","4,684,968","13,692,000","1,094,396",NA,"4,993,000",NA,"8,091,000","76,560,000","55,647,000","55,319,000","1,323,100","732,189,000","19,381,000","1,211,800",NA,NA,"1,035,000","4,027,500",NA,"174,741,000",NA,NA,NA,NA,NA,NA,"9,263,272","23,338,000",NA,"381,010,000",NA,"5,191,000",NA,"270,311"
Total Common Equity,268583,"4,290,000","5,357,400","6,671,200",NA,NA,"12,223,000","(3,256,000)","12,314,000","7,623,703",NA,"5,976,100","6,333,890","-1,719,000",NA,NA,NA,NA,"4,325,791","5,673,000",NA,NA,"483,217","6,009,000","11,019,000",NA,"1,041,600","14,301,000","196,872,000",NA,"8,800,700","485,079","13,507,000","12,302,000","11,116,000","12,372,000",NA,NA,NA,NA,NA,NA,"26,224,000","7,441,305","49,918,000","11,556,000","5,699,000","1,153,700","5,624,000",NA,"2,330,943","5,103,500","27,620,000",NA,NA,"2,735,023",NA,NA,"45,057,000","10,382,100","150,270","9,712,000",NA,"22,593,075","241,100",NA,"3,644,678","-1,276,000",NA,NA,NA,NA,"3,112,000","10,304,970","5,065,000",NA,"24,985,000","3,830,000","1,065,000",NA,"2,057,145","-13,763,000","4,303,000","2,884,217",NA,"2,947,147",NA,"-2,760,000",NA,"11,669,000","1,835,417","1,968,000","-886,208","1,479,645","2,564,000","867,000","2,692,000",NA,"14,787,000",NA,"15,471,000",NA,"13,746,000","5,163,000",NA,"36,232,000","10,790,000","1,143,109",NA,"1,185,100","1,897,500","3,075,500",NA,"12,804,000",NA,"6,741,129","9,169,000","62,398,000","1,625,000","1,774,801","20,175,000","8,000,000","3,408,373","3,674,657","2,014,000","941,753",NA,"5,701,000",NA,"22,018,000","38,619,000","-3,301,000","42,688,000","1,345,100","108,943,000","12,518,000","1,476,600",NA,NA,"107,000","11,320,000",NA,"103,063,000",NA,NA,NA,NA,NA,NA,"4,935,478","25,265,000",NA,"164,503,000",NA,"9,524,000",NA,"33,566"
Total Minority Interest,268584,"61,000",NA,"1,053,100",NA,NA,NA,"50,000","129,000",NA,NA,NA,"75,184.00","1,000.00",NA,NA,NA,NA,"3,289,054.00","65,000.00",NA,NA,NA,NA,NA,NA,"22,500.00",NA,"908,000.00",NA,NA,340.00,"357,000.00","867,000.00","429,000.00","5,000.00",NA,NA,NA,NA,NA,NA,"3,657,000.00",NA,"1,139,000.00",NA,NA,NA,NA,NA,NA,"132,300.00",NA,NA,NA,"8,558.00",NA,NA,"24,000.00","7,100.00","-16,359.00","241,000.00",NA,"828,514.00","28,600.00",NA,"66,966.00",NA,NA,NA,NA,NA,NA,"77,555.00",NA,NA,NA,NA,"107,000.00",NA,NA,NA,NA,NA,NA,"67,218.00",NA,NA,NA,NA,NA,"16,000.00",NA,"17,649.00",NA,NA,NA,NA,NA,NA,NA,NA,"490,000.00","41,000.00",NA,NA,NA,NA,NA,"4,300.00",NA,NA,NA,NA,NA,"371,789.00","191,000.00","1,849,000.00",NA,"247,297.00",NA,NA,NA,"448,847.00","15,000.00",NA,NA,NA,NA,"-14,000.00","589,000.00","-1,000.00",NA,NA,"343,000.00","-6,000.00",NA,NA,NA,NA,NA,NA,"1,298,000.00",NA,NA,NA,NA,NA,NA,"74,002.00","3,657,000.00",NA,"1,843,000.00",NA,NA,NA,NA
Total Equity,268585,"4,351,000","5,357,400","7,724,300",NA,NA,"14,547,000","(3,206,000)","12,443,000","7,845,543.00",NA,"5,976,100.00","6,409,074.00","-1,718,000.00",NA,NA,NA,NA,"7,614,845.00","5,738,000.00",NA,NA,"483,217.00","6,009,000.00","11,019,000.00",NA,"1,064,100.00","14,301,000.00","214,130,000.00",NA,"8,800,700.00","485,419.00","13,864,000.00","13,169,000.00","11,545,000.00","12,377,000.00",NA,NA,NA,NA,NA,NA,"30,872,000.00","7,441,305.00","52,030,000.00","11,556,000.00","5,699,000.00","1,153,700.00","5,624,000.00",NA,"2,337,123.00","5,235,800.00","27,620,000.00",NA,NA,"2,743,581.00",NA,NA,"45,081,000.00","10,389,200.00","133,911.00","9,953,000.00",NA,"23,421,589.00","269,700.00",NA,"3,711,644.00","-1,276,000.00",NA,NA,NA,NA,"3,112,000.00","10,382,580.00","5,065,000.00",NA,"24,985,000.00","3,830,000.00","1,172,000.00",NA,"2,057,145.00","-13,763,000.00","4,303,000.00","2,884,217.00",NA,"3,014,365.00",NA,"-2,760,000.00",NA,"11,669,000.00","1,835,417.00","1,984,000.00","-886,208.00","1,497,294.00","2,564,000.00","1,143,000.00","2,692,000.00",NA,"14,787,000.00",NA,"15,471,000.00",NA,"14,236,000.00","5,204,000.00",NA,"36,490,000.00","10,790,000.00","1,143,109.00",NA,"1,189,400.00","1,897,500.00","3,075,500.00",NA,"12,804,000.00",NA,"8,320,172.00","9,360,000.00","64,247,000.00","1,625,000.00","2,022,098.00","22,395,000.00","8,000,000.00","3,408,373.00","4,123,504.00","2,029,000.00","941,753.00",NA,"5,701,000.00",NA,"24,005,000.00","44,539,000.00","-3,296,000.00","49,451,000.00","1,345,100.00","124,439,000.00","12,512,000.00","1,476,600.00",NA,NA,"107,000.00","11,320,000.00",NA,"104,361,000.00",NA,NA,NA,NA,NA,NA,"5,009,480.00","28,922,000.00",NA,"182,954,000.00",NA,"9,524,000.00",NA,"33,566.24"
Current Ratio (x),274464,1.72,0.30,0.30,NA,NA,NA,0.39,0.80,1.52,NA,0.78,1.39,1.11,NA,NA,NA,NA,1.23,1.56,NA,NA,1.82,0.97,0.79,NA,0.60,1.05,NA,NA,0.70,1.77,1.47,1.26,1.50,0.77,NA,NA,NA,NA,NA,NA,0.67,1.95,0.66,0.72,1.26,0.64,0.72,NA,1.28,0.77,0.95,NA,NA,0.43,NA,NA,1.10,0.98,1.83,1.16,NA,0.95,1.66,NA,2.04,0.73,NA,NA,NA,NA,0.34,1.59,0.33,NA,0.64,1.08,1.03,NA,40.84,1.22,1.48,2.09,NA,1.22,NA,1.30,NA,1.89,2.45,1.73,0.87,0.37,10.16,1.16,1.12,NA,0.79,NA,1.04,NA,0.81,1.52,NA,0.94,1.00,1.96,NA,1.04,1.47,0.58,NA,5.18,NA,0.72,0.23,1.01,0.85,0.52,0.88,0.56,1.06,1.01,1.20,5.02,NA,0.76,NA,0.44,NA,1.23,0.56,0.73,1.59,0.87,1.81,NA,NA,1.10,10.10,NA,0.64,NA,NA,NA,NA,NA,NA,1.44,0.81,NA,NA,NA,1.04,NA,3.29
Quick Ratio (x),274465,1.02,0.20,0.23,NA,NA,NA,0.23,0.37,0.65,NA,0.28,1.03,0.44,NA,NA,NA,NA,1.09,1.18,NA,NA,1.62,0.51,0.54,NA,0.39,0.85,NA,NA,0.20,0.77,0.98,0.18,0.69,0.60,NA,NA,NA,NA,NA,NA,0.28,1.27,0.24,0.28,0.39,0.28,0.44,NA,0.87,0.63,0.57,NA,NA,0.43,NA,NA,0.91,0.77,0.86,0.83,NA,0.43,1.14,NA,1.69,0.35,NA,NA,NA,NA,0.22,1.59,0.25,NA,0.31,0.07,0.66,NA,1.03,0.24,0.24,2.09,NA,1.11,NA,1.03,NA,1.35,1.40,1.45,0.77,0.35,9.87,0.74,0.47,NA,0.66,NA,0.83,NA,0.67,0.73,NA,0.75,0.43,0.64,NA,0.24,0.67,0.18,NA,1.31,NA,0.27,0.11,0.61,0.77,0.33,0.37,0.45,0.70,0.79,0.64,1.61,NA,0.27,NA,0.29,NA,0.34,0.56,0.32,1.42,0.31,0.71,NA,NA,0.36,3.72,NA,0.50,NA,NA,NA,NA,NA,NA,1.22,0.38,NA,NA,NA,0.57,NA,3.29
Total Debt/Equity (%),274466,316.76,130.57,79.61,NA,NA,NA,NM,160.58,66,NA,101,44,NM,NA,NA,NA,NA,218,160,NA,NA,98,72,196,NA,479,6,NA,NA,96,51,60,109,74,160,NA,NA,NA,NA,NA,NA,151,41,170,98,90,81,80,NA,129,94,177,NA,NA,88,NA,NA,355,48,242,108,NA,71,"1,242",NA,141,NM,NA,NA,NA,NA,268,337,51,NA,75,195,350,NA,85,NM,140,77,NA,89,NA,NM,NA,78,74,420,NM,75,"1,840",117,220,NA,121,NA,117,NA,699,115,NA,148,134,128,NA,164,66,129,NA,16,NA,382,211,68,143,273,152,67,103,114,675,116,NA,88,NA,34,NA,NM,112,98,588,155,82,NA,NA,967,36,NA,167,NA,NA,NA,NA,NA,NA,185,81,NA,NA,NA,55,NA,805
Total Debt / Total Capital (%),274467,76.01,56.63,44.32,NA,NA,NA,114.90,61.62,40,NA,50,31,147,NA,NA,NA,NA,69,62,NA,NA,50,42,66,NA,83,6,NA,NA,49,34,37,52,42,62,NA,NA,NA,NA,NA,NA,60,29,63,49,47,45,44,NA,56,48,64,NA,NA,47,NA,NA,78,32,71,52,NA,42,93,NA,58,112,NA,NA,NA,NA,73,77,34,NA,43,66,78,NA,46,152,58,44,NA,47,NA,105,NA,44,42,81,124,43,95,54,69,NA,55,NA,54,NA,87,53,NA,60,57,56,NA,62,40,56,NA,13,NA,79,68,40,59,73,60,40,51,53,87,54,NA,47,NA,25,NA,106,53,50,85,61,45,NA,NA,91,26,NA,63,NA,NA,NA,NA,NA,NA,65,45,NA,NA,NA,35,NA,89
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
