SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"7,943,000","14,341,600","16,136,700",NA,NA,"9,190,000","1,608,000","37,010,000","11,728,916",NA,"13,795,600","471,471","2,230,000",NA,NA,NA,NA,"20,153,832",NA,NA,NA,"36,517","11,572,000","33,100,000",NA,"2,907,300","216,000","30,814,000",NA,"2,877,000","919,204","21,566,000",NA,"13,360,000","36,344,000",NA,NA,NA,"1,080,000",NA,NA,"71,169,000","1,015,834","126,093,000","23,414,000","13,237,000","2,414,300","10,377,000",NA,"4,652,714","1,889,400","79,177,000",NA,NA,"4,932,110",NA,NA,"43,607,000","594,800","157,466","2,851,000",NA,"2,352,656","293,600",NA,"7,253,615","4,058,000",NA,NA,NA,NA,"12,396,000","1,217,202","7,053,000",NA,"3,803,000","10,162,000","3,519,000",NA,"73,055","21,360,000","7,653,000",NA,NA,"1,970,067",NA,"39,391,000",NA,"22,832,000","990,831","1,560,000","204,218","2,270,257","34,000","409,000","1,643,000",NA,"35,803,000",NA,"12,348,000",NA,"23,094,000","4,264,000",NA,"90,178,000","29,487,000","606,013",NA,"1,282,700","3,241,000","6,725,400",NA,"8,830,000",NA,"179,953","32,565,000","18,034,000","241,000","4,569,613","61,310,000","20,116,000","8,217,333","9,231,411","6,566,000","2,348,074",NA,"11,336,000",NA,"632,000","3,257,000","11,459,000","3,276,000","2,597,300","9,891,000","32,232,000","750,800",NA,NA,"31,000","496,300",NA,"132,098,000",NA,NA,NA,NA,NA,NA,"7,911,978","54,514,000",NA,"19,311,000",NA,"14,317,000",NA,NA
Total Assets,268552,"39,951,000","15,563,700","16,702,800",NA,NA,"193,331,000","35,760,000","45,665,000","13,289,223",NA,"16,774,500","21,400,842","5,221,000",NA,NA,NA,NA,"25,202,134","234,681,000",NA,NA,"1,083,683","16,244,000","44,486,000",NA,"7,347,100","37,276,000","2,571,514,000",NA,"21,247,800","1,296,818","52,213,000","390,022,000","27,394,000","43,199,000",NA,NA,NA,"147,914,000",NA,NA,"104,555,000","12,648,548","187,476,000","28,740,000","15,790,000","2,749,300","12,880,000",NA,"5,532,549","11,854,800","109,484,000",NA,NA,"5,457,264",NA,NA,"284,539,000","17,137,000","686,018","33,586,000",NA,"47,616,106","6,040,000",NA,"9,287,355","38,930,000",NA,NA,NA,NA,"14,010,000","70,218,891","10,073,000",NA,"53,699,000","14,278,000","10,163,000",NA,"3,888,659","45,365,000","16,449,000","5,273,385",NA,"8,861,938",NA,"56,329,000",NA,"27,546,000","4,193,012","14,433,000","5,344,374","2,782,885","50,950,000","4,336,000","11,279,000",NA,"43,800,000",NA,"48,468,000",NA,"144,214,000","14,266,000",NA,"135,158,000","35,653,000","3,186,777",NA,"5,450,400","4,145,400","7,935,800",NA,"17,571,000",NA,"45,329,843","37,452,000","164,864,000","5,250,000","9,163,917","88,087,000","33,212,000","9,679,467","12,075,804","25,880,000","4,539,418",NA,"13,362,000",NA,"115,161,000","440,691,000","156,494,000","462,903,000","3,432,600","1,766,181,000","51,579,000","3,696,700",NA,NA,"3,775,000","62,459,800",NA,"380,364,000",NA,NA,NA,NA,NA,NA,"16,087,869","70,303,000",NA,"1,950,311,000",NA,"16,520,000",NA,"286,567"
Net Debt,268593,"7,110,000","7,030,200","6,006,800",NA,NA,"9,503,000","21,333,000","19,600,000","4,873,237",NA,"5,775,000","2,611,606","4,603,000",NA,NA,NA,NA,"16,041,662","4,461,000",NA,NA,"444,583","5,051,000","20,271,000",NA,"4,790,700","-132,000","-169,175,000",NA,"8,643,500","246,093","6,522,000","15,522,000","6,794,000","18,578,000",NA,NA,NA,"2,669,000",NA,NA,"44,155,000","1,167,482","87,006,000","11,223,000","4,811,000","929,300","4,388,000",NA,"2,990,206","4,768,900","47,270,000",NA,NA,"2,347,823",NA,NA,"130,789,000","3,137,300","243,919","6,730,000",NA,"14,044,164","2,739,500",NA,"4,755,156","8,023,000",NA,NA,NA,NA,"8,164,000","-19,619,050","2,414,000",NA,"18,029,000","7,372,000","2,847,000",NA,"1,573,101","37,071,000","5,156,000","2,155,331",NA,"2,285,866",NA,"51,557,000",NA,"8,668,000","1,213,019","4,961,000","4,334,243","1,127,981","47,238,000","767,000","5,350,000",NA,"16,743,000",NA,"16,092,000",NA,"83,281,000","5,604,000",NA,"51,551,000","13,985,000","1,545,350",NA,"1,888,600","1,069,400","2,929,600",NA,"1,954,000",NA,"31,306,891","19,733,000","37,789,000","2,138,000","5,414,985","32,851,000","-257,000","3,118,943","4,640,532","12,676,000","1,074,228",NA,"4,679,000",NA,"7,247,000","-98,560,000","32,225,000","-21,923,000","1,322,500","-291,524,000","16,450,000","1,053,600",NA,NA,"670,000","3,720,400",NA,"170,249,000",NA,NA,NA,NA,NA,NA,"5,814,163","23,564,000",NA,"-53,419,000",NA,"4,629,000",NA,"254,913"
Total Debt,274444,"14,134,000","7,030,300","6,006,800",NA,NA,"19,914,000","26,059,000","19,623,000","4,942,935",NA,"5,783,700","2,843,488","5,458,000",NA,NA,NA,NA,"16,439,788","9,128,000",NA,NA,"476,018","5,068,000","22,187,000",NA,"4,964,900","878,000","801,249,000",NA,"8,772,200","247,222","8,358,000","15,915,000","8,153,000","19,725,000",NA,NA,NA,"14,538,000",NA,NA,"44,607,000","2,972,802","87,481,000","11,243,000","4,852,000","932,800","4,400,000",NA,"3,011,267","4,964,100","48,274,000",NA,NA,"2,398,251",NA,NA,"157,783,000","4,029,400","322,210","9,184,000",NA,"16,940,188","3,360,300",NA,"5,254,485","10,903,000",NA,NA,NA,NA,"8,167,000","35,837,907","2,414,000",NA,"18,682,000","7,600,000","4,116,000",NA,"1,630,701","40,308,000","6,032,000","2,264,511",NA,"2,631,615",NA,"52,795,000",NA,"9,072,000","1,286,467","6,525,000","4,691,349","1,262,985","47,917,000","1,340,000","5,583,000",NA,"17,749,000",NA,"18,126,000",NA,"94,192,000","6,004,000",NA,"54,350,000","14,432,000","1,631,911",NA,"2,180,600","1,247,000","2,933,000",NA,"1,994,000",NA,"32,841,278","20,119,000","42,946,000","2,219,000","5,476,748","33,945,000","7,995,000","3,505,352","5,046,827","13,410,000","1,076,797",NA,"4,687,000",NA,"8,087,000","72,581,000","55,878,000","54,560,000","1,382,900","739,639,000","19,296,000","1,224,900",NA,NA,"1,019,000","3,958,100",NA,"172,533,000",NA,NA,NA,NA,NA,NA,"7,625,762","23,744,000",NA,"328,864,000",NA,"5,189,000",NA,"254,913"
Total Common Equity,268583,"4,464,000","4,986,000","7,152,400",NA,NA,"11,908,000","-3,510,000","12,219,000","7,620,271",NA,"5,862,300","5,925,005","-1,677,000",NA,NA,NA,NA,"4,397,004","5,239,000",NA,NA,"489,915","6,476,000","10,955,000",NA,"1,071,700","13,718,000","194,058,000",NA,"8,695,600","474,494","13,049,000","11,980,000","10,716,000","12,170,000",NA,NA,NA,"17,907,000",NA,NA,"26,374,000","7,137,767","49,697,000","11,213,000","5,619,000","1,139,900","5,560,000",NA,"2,320,864","4,981,200","27,607,000",NA,NA,"2,741,173",NA,NA,"44,635,000","10,236,400","140,582","9,187,000",NA,"22,248,343","1,169,900",NA,"2,786,920","-1,072,000",NA,NA,NA,NA,"3,045,000","10,204,173","4,998,000",NA,"24,447,000","3,813,000","996,000",NA,"2,042,526","-14,606,000","4,186,000","2,840,133",NA,"2,884,341",NA,"-3,454,000",NA,"11,427,000","1,814,778","1,641,000","-958,570","1,426,474","2,589,000","857,000","2,690,000",NA,"14,511,000",NA,"14,984,000",NA,"10,816,000","4,882,000",NA,"35,866,000","10,686,000","1,141,268",NA,"1,226,400","1,888,300","2,711,900",NA,"12,527,000",NA,"6,568,870","7,960,000","61,516,000","1,759,000","1,833,780","20,655,000","9,365,000","3,416,872","3,578,886","2,207,000","960,428",NA,"5,502,000",NA,"20,054,000","37,788,000","-3,331,000","40,320,000","1,189,000","109,147,000","12,418,000","1,467,600",NA,NA,"63,000","11,214,000",NA,"100,722,000",NA,NA,NA,NA,NA,NA,"5,029,354","22,692,000",NA,"162,482,000",NA,"9,645,000",NA,"31,654"
Total Minority Interest,268584,"59,000",NA,NA,NA,NA,NA,"50,000","129,000",NA,NA,NA,"72,412.00","1,000.00",NA,NA,NA,NA,"3,218,450.00","65,000.00",NA,NA,NA,NA,NA,NA,"21,400.00",NA,"850,000.00",NA,NA,340.00,"378,000.00","856,000.00","412,000.00","5,000.00",NA,NA,NA,NA,NA,NA,"3,357,000.00",NA,"1,124,000.00",NA,NA,NA,NA,NA,NA,"131,300.00",NA,NA,NA,"11,259.00",NA,NA,"25,000.00","6,900.00","-16,173.00","231,000.00",NA,"776,230.00","27,600.00",NA,"66,898.00",NA,NA,NA,NA,NA,NA,"64,617.00",NA,NA,NA,NA,"105,000.00",NA,NA,NA,NA,NA,NA,"70,918.00",NA,NA,NA,NA,NA,"18,000.00",NA,"18,111.00",NA,NA,NA,NA,NA,NA,NA,NA,"453,000.00","42,000.00",NA,NA,NA,NA,NA,"4,200.00",NA,NA,NA,NA,NA,"365,130.00","182,000.00","1,828,000.00",NA,"241,816.00",NA,NA,NA,"180,232.00","29,000.00",NA,NA,NA,NA,"-3,000.00","504,000.00",NA,NA,NA,"356,000.00","-5,000.00",NA,NA,NA,NA,NA,NA,"1,315,000.00",NA,NA,NA,NA,NA,NA,"58,299.00","3,357,000.00",NA,"1,816,000.00",NA,NA,NA,NA
Total Equity,268585,"4,523,000","4,986,000.00","7,152,400",NA,NA,"14,232,000","-3,460,000","12,348,000","7,842,111.00",NA,"5,862,300.00","5,997,417.00","-1,676,000.00",NA,NA,NA,NA,"7,615,454.00","5,304,000.00",NA,NA,"489,915.00","6,476,000.00","10,955,000.00",NA,"1,093,100.00","13,718,000.00","213,258,000.00",NA,"8,695,600.00","474,834.00","13,427,000.00","12,836,000.00","11,128,000.00","12,175,000.00",NA,NA,NA,"18,963,000.00",NA,NA,"30,722,000.00","7,137,767.00","51,794,000.00","11,213,000.00","5,619,000.00","1,139,900.00","5,560,000.00",NA,"2,327,044.00","5,112,500.00","27,607,000.00",NA,NA,"2,752,432.00",NA,NA,"44,660,000.00","10,243,300.00","124,409.00","9,418,000.00",NA,"23,024,573.00","1,197,500.00",NA,"2,853,818.00","-1,072,000.00",NA,NA,NA,NA,"3,045,000.00","10,268,845.00","4,998,000.00",NA,"24,447,000.00","3,813,000.00","1,101,000.00",NA,"2,042,526.00","-14,606,000.00","4,186,000.00","2,840,133.00",NA,"2,955,259.00",NA,"-3,454,000.00",NA,"11,427,000.00","1,814,778.00","1,659,000.00","-958,570.00","1,444,585.00","2,589,000.00","1,133,000.00","2,690,000.00",NA,"14,511,000.00",NA,"14,984,000.00",NA,"11,269,000.00","4,924,000.00",NA,"36,124,000.00","10,687,000.00","1,141,268.00",NA,"1,230,600.00","1,888,300.00","2,711,900.00",NA,"12,527,000.00",NA,"8,141,254.00","8,142,000.00","63,344,000.00","1,759,000.00","2,075,596.00","22,875,000.00","9,365,000.00","3,416,872.00","3,759,118.00","2,236,000.00","960,428.00",NA,"5,502,000.00",NA,"22,052,000.00","43,623,000.00","-3,325,000.00","49,511,000.00","1,189,000.00","124,656,000.00","12,413,000.00","1,467,600.00",NA,NA,"63,000.00","11,214,000.00",NA,"102,037,000.00",NA,NA,NA,NA,NA,NA,"5,087,653.00","26,049,000.00",NA,"182,906,000.00",NA,"9,645,000.00",NA,"31,654.16"
Current Ratio (x),274464,1.66,0.29,0.20,NA,NA,NA,0.57,0.86,1.23,NA,0.51,1.43,1.57,NA,NA,NA,NA,1.57,1.65,NA,NA,1.65,1.66,0.93,NA,0.54,1.09,NA,NA,0.94,1.61,1.49,1.26,1.69,0.88,NA,NA,NA,1.04,NA,NA,0.73,2.13,0.77,0.79,1.15,0.73,0.59,NA,1.26,0.85,1.09,NA,NA,0.46,NA,NA,1.13,0.99,1.84,0.98,NA,0.94,1.66,NA,1.61,0.72,NA,NA,NA,NA,0.57,1.51,0.31,NA,0.47,1.21,1.03,NA,33.33,1.17,1.38,2.64,NA,1.22,NA,1.18,NA,1.98,2.46,1.20,0.84,0.62,9.88,1.12,1.13,NA,0.78,NA,0.95,NA,0.72,1.44,NA,0.96,1.28,2.41,NA,1.12,1.83,0.88,NA,1.75,NA,0.66,0.18,1.01,0.95,0.37,1.03,0.77,1.23,0.79,1.26,0.99,NA,0.80,NA,0.44,NA,1.23,0.54,0.67,1.54,0.87,1.91,NA,NA,1.08,10.61,NA,0.61,NA,NA,NA,NA,NA,NA,3.08,0.64,NA,NA,NA,2.04,NA,3.29
Quick Ratio (x),274465,1.11,0.18,0.15,NA,NA,NA,0.47,0.44,0.24,NA,0.19,1.00,0.80,NA,NA,NA,NA,1.36,1.39,NA,NA,1.46,1.41,0.74,NA,0.33,0.86,NA,NA,0.29,0.98,0.99,0.25,0.75,0.73,NA,NA,NA,1.03,NA,NA,0.32,1.49,0.30,0.20,0.46,0.35,0.37,NA,0.92,0.70,0.65,NA,NA,0.45,NA,NA,0.92,0.72,0.77,0.67,NA,0.56,1.21,NA,1.19,0.36,NA,NA,NA,NA,0.32,1.50,0.24,NA,0.24,0.08,0.65,NA,0.73,0.17,0.25,2.64,NA,1.10,NA,0.90,NA,1.28,1.40,0.95,0.76,0.58,9.60,0.81,0.42,NA,0.65,NA,0.74,NA,0.59,0.72,NA,0.81,0.56,0.93,NA,0.23,1.16,0.32,NA,1.32,NA,0.26,0.08,0.61,0.85,0.20,0.54,0.67,0.91,0.65,0.70,0.24,NA,0.22,NA,0.24,NA,0.35,0.54,0.30,1.41,0.29,0.67,NA,NA,0.32,3.74,NA,0.47,NA,NA,NA,NA,NA,NA,2.49,0.30,NA,NA,NA,1.10,NA,3.29
Total Debt/Equity (%),274466,312,141,84,NA,NA,NA,NM,159,63,NA,99,47,NM,NA,NA,NA,NA,216,172,NA,NA,97,78,203,NA,454,6,NA,NA,101,52,62,124,73,162,NA,NA,NA,77,NA,NA,145,42,169,100,86,82,79,NA,129,97,175,NA,NA,87,NA,NA,353,39,259,98,NA,74,281,NA,184,NM,NA,NA,NA,NA,268,349,48,NA,76,199,374,NA,80,NM,144,80,NA,89,NA,NM,NA,79,71,393,NM,87,"1,851",118,208,NA,122,NA,121,NA,836,122,NA,150,135,143,NA,177,66,108,NA,16,NA,403,247,68,126,264,148,85,103,134,600,112,NA,85,NA,37,NA,NM,110,116,593,155,83,NA,NA,"1,617",35,NA,169,NA,NA,NA,NA,NA,NA,150,91,NA,NA,NA,54,NA,805
Total Debt / Total Capital (%),274467,76,59,46,NA,NA,NA,115,61,39,NA,50,32,144,NA,NA,NA,NA,68,63,NA,NA,49,44,67,NA,82,6,NA,NA,50,34,38,55,42,62,NA,NA,NA,43,NA,NA,59,29,63,50,46,45,44,NA,56,49,64,NA,NA,47,NA,NA,78,28,72,49,NA,42,74,NA,65,111,NA,NA,NA,NA,73,78,33,NA,43,67,79,NA,44,157,59,44,NA,47,NA,107,NA,44,41,80,126,47,95,54,67,NA,55,NA,55,NA,89,55,NA,60,57,59,NA,64,40,52,NA,14,NA,80,71,40,56,73,60,46,51,57,86,53,NA,46,NA,27,NA,106,52,54,86,61,45,NA,NA,94,26,NA,63,NA,NA,NA,NA,NA,NA,60,48,NA,NA,NA,35,NA,89
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
