SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,3/31/2025,3/31/2025,3/31/2025,,,3/31/2025,3/31/2025,3/31/2025,3/31/2025,,3/31/2025,3/29/2025,5/4/2024,,,,,3/31/2025,3/31/2025,,,3/31/2025,3/31/2025,3/31/2025,,3/31/2025,3/31/2025,3/31/2025,,8/25/2024,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,,,,3/31/2025,,,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,,3/31/2025,3/31/2025,3/31/2025,,,3/31/2025,,,3/31/2025,3/28/2025,4/5/2025,3/31/2025,,3/31/2025,3/30/2025,,3/31/2025,1/31/2025,,,,,3/31/2025,2/28/2025,3/31/2025,,3/31/2025,5/4/2024,6/30/2024,,3/31/2025,5/3/2024,5/4/2024,3/31/2025,,3/31/2025,,3/31/2025,,3/31/2025,12/28/2024,3/29/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,,3/31/2025,,3/31/2025,,8/31/2024,3/31/2025,,3/31/2025,3/31/2025,3/30/2025,,3/31/2025,3/31/2025,3/31/2025,,3/31/2025,,3/31/2025,3/31/2025,3/31/2025,5/3/2024,3/30/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,9/28/2024,3/31/2025,,3/31/2025,,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,5/25/2024,1/31/2025,,,3/31/2025,3/31/2025,,3/31/2025,,,,,,,6/30/2024,3/31/2025,,3/31/2025,,3/31/2025,,3/31/2025
Financial Filing Date,309159,4/21/2026,5/6/2025,5/6/2025,,,5/5/2026,4/30/2026,5/8/2026,8/1/2025,,5/6/2025,5/7/2026,5/29/2025,,,,,5/6/2025,5/7/2026,,,5/7/2026,4/24/2025,4/23/2026,,4/22/2026,4/27/2026,5/7/2026,,10/1/2025,5/14/2025,5/6/2025,5/6/2026,5/1/2026,4/22/2026,,,,4/30/2025,,,5/1/2026,4/23/2026,5/5/2026,5/6/2025,5/6/2025,5/22/2025,5/6/2025,,5/7/2026,4/21/2026,5/6/2026,,,4/24/2026,,,4/30/2026,4/30/2026,5/15/2025,4/29/2026,,5/8/2026,5/13/2026,,5/7/2026,2/25/2026,,,,,5/7/2025,4/7/2026,4/30/2025,,4/23/2026,6/6/2025,8/5/2025,,4/28/2026,5/29/2025,6/5/2025,5/8/2026,,4/30/2026,,5/7/2026,,5/5/2025,1/30/2026,5/7/2026,4/21/2026,5/4/2026,4/29/2026,5/7/2026,5/1/2026,,4/24/2026,,4/21/2026,,9/10/2025,5/6/2026,,4/24/2025,5/4/2026,5/7/2026,,4/28/2026,5/30/2025,5/6/2025,,5/5/2026,,5/4/2026,4/30/2026,4/21/2026,6/2/2025,5/7/2026,4/29/2025,4/23/2026,5/5/2026,5/5/2026,10/29/2025,5/1/2025,,5/8/2025,,4/29/2026,5/1/2026,4/22/2026,5/8/2026,5/1/2025,5/1/2026,6/27/2025,3/5/2026,,,4/30/2026,4/29/2026,,5/1/2026,,,,,,,8/8/2025,8/1/2025,,4/29/2026,,5/1/2026,,9/26/2025
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.292006
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.259854
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"7,024,000",100,NA,NA,NA,"10,411,000","4,726,000","23,000","69,698",NA,"8,700","231,882","855,000",NA,NA,NA,NA,"398,126","6,861,000",NA,NA,"31,435","17,000","1,916,000",NA,"174,200","1,110,000","970,424,000",NA,"128,700","1,129","1,836,000","6,621,000","1,359,000","1,147,000",NA,NA,NA,"11,869,000",NA,NA,"452,000","1,805,320","475,000","20,000","41,000","3,500","12,000",NA,"21,061","195,200","1,004,000",NA,NA,"50,428",NA,NA,"26,994,000","892,100","78,291","2,454,000",NA,"2,896,024","620,800",NA,"499,329","2,880,000",NA,NA,NA,NA,"3,000","55,456,957",NA,NA,"653,000","228,000","1,269,000",NA,"57,600","3,237,000","876,000","109,180",NA,"345,749",NA,"1,238,000",NA,"404,000","73,448","1,564,000","357,106","135,004","679,000","573,000","233,000",NA,"1,006,000",NA,"1,685,000",NA,"10,911,000","400,000",NA,"2,799,000","447,000","86,561",NA,"292,000","177,600","3,400",NA,"40,000",NA,"1,534,387","386,000","5,157,000","49,000","61,763","1,094,000","8,252,000","386,409","406,295","734,000","2,569",NA,"8,000",NA,"7,381,000","171,141,000","23,653,000","76,483,000","60,400","1,031,163,000","2,846,000","171,300",NA,NA,"349,000","3,203,000",NA,"2,284,000",NA,NA,NA,NA,NA,NA,"1,811,599","180,000",NA,"382,283,000",NA,"560,000",NA,NA
