SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,3/31/2024,3/31/2024,3/31/2024,,,3/31/2024,3/31/2024,3/31/2024,3/31/2024,,3/31/2024,3/30/2024,4/29/2023,,,,,3/31/2024,3/31/2024,,,3/31/2024,3/31/2024,3/31/2024,,3/31/2024,3/31/2024,3/31/2024,,8/27/2023,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,,,,3/31/2024,,,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,,3/31/2024,3/31/2024,3/31/2024,,,3/31/2024,,,3/31/2024,3/29/2024,3/30/2024,3/31/2024,,3/31/2024,3/31/2024,,3/31/2024,1/31/2024,,,,,3/31/2024,2/29/2024,3/31/2024,,3/31/2024,4/29/2023,6/30/2023,,3/31/2024,5/5/2023,4/29/2023,3/31/2024,,3/31/2024,,3/31/2024,,3/31/2024,12/30/2023,3/30/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,,3/31/2024,,3/31/2024,,8/31/2023,3/31/2024,,3/31/2024,3/31/2024,3/31/2024,,3/31/2024,3/31/2024,3/31/2024,,3/31/2024,,3/31/2024,3/31/2024,3/31/2024,5/5/2023,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,9/30/2023,3/31/2024,,3/31/2024,,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,5/20/2023,2/2/2024,,,3/31/2024,3/31/2024,,3/31/2024,,,,,,,6/30/2023,3/31/2024,,3/31/2024,,3/31/2024,,3/31/2024
Financial Filing Date,309159,4/22/2025,5/6/2025,5/6/2025,,,5/5/2025,4/29/2025,5/5/2025,8/1/2025,,5/6/2025,5/1/2025,6/4/2024,,,,,5/6/2025,8/8/2025,,,5/8/2025,4/24/2025,4/24/2025,,4/23/2025,4/28/2025,8/6/2025,,10/2/2024,5/14/2024,5/6/2025,5/6/2025,5/2/2025,4/16/2025,,,,4/30/2025,,,8/1/2025,4/24/2025,5/6/2025,5/6/2025,5/6/2025,5/22/2025,5/6/2025,,5/8/2025,4/22/2025,5/1/2025,,,4/17/2025,,,5/6/2025,5/1/2025,5/15/2025,4/30/2025,,8/6/2025,5/6/2025,,5/9/2025,2/28/2025,,,,,5/7/2025,4/9/2025,4/30/2025,,4/24/2025,6/6/2024,8/7/2024,,4/30/2025,5/30/2024,5/30/2024,5/9/2025,,5/1/2025,,5/12/2025,,5/5/2025,1/24/2025,5/1/2025,4/22/2025,5/5/2025,4/30/2025,5/8/2025,4/30/2025,,4/23/2025,,4/22/2025,,9/10/2024,5/7/2025,,4/24/2025,5/5/2025,5/8/2025,,4/30/2025,5/30/2025,5/6/2025,,5/1/2025,,8/1/2025,4/29/2025,4/22/2025,6/3/2024,5/8/2025,4/29/2025,4/25/2025,5/12/2025,5/12/2025,10/30/2024,5/1/2025,,5/8/2025,,4/30/2025,5/2/2025,4/23/2025,5/9/2025,5/1/2025,8/1/2025,6/28/2024,3/6/2025,,,4/25/2025,4/30/2025,,4/25/2025,,,,,,,8/9/2024,8/1/2025,,4/29/2025,,4/25/2025,,9/26/2025
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.262977
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.267927
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"10,971,000",100,NA,NA,NA,"8,165,000","3,608,000","85,000","124,826",NA,"7,600","242,810","1,046,000",NA,NA,NA,NA,"713,993","5,429,000",NA,NA,"31,363","32,000","659,000",NA,"149,400","619,000","800,655,000",NA,"93,300",515,"557,000","4,551,000","1,365,000","1,485,000",NA,NA,NA,"14,005,000",NA,NA,"265,000","929,954","459,000","4,000","5,000","1,522","5,000",NA,"59,476","201,000","720,000",NA,NA,"84,231",NA,NA,"24,901,000","704,600","112,889","2,551,000",NA,"2,167,616","569,300",NA,"462,699","2,263,000",NA,NA,NA,NA,"220,000","46,358,423",NA,NA,"317,000","286,000","1,507,000",NA,"48,996","3,373,000","603,000","114,984",NA,"249,326",NA,"838,000",NA,"660,000","126,398","1,512,000","515,473","11,357","860,000","246,000","372,000",NA,"652,000",NA,"3,061,000",NA,"12,083,000","1,254,000",NA,"527,000","2,210,000","17,610",NA,"323,500","1,300","3,500",NA,"14,000",NA,"1,238,664","437,000","5,607,000","422,000","35,421","850,000","10,512,000","436,403","457,952","569,104","111,501",NA,"6,000",NA,"5,169,000","173,901,000","7,508,000","61,654,000","7,600","1,050,186,000","2,632,000","198,500",NA,NA,"383,000","1,880,600",NA,"2,425,000",NA,NA,NA,NA,NA,NA,"2,092,772","213,000",NA,"411,367,000",NA,"871,000",NA,NA
