SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"9,816,000","13,079,400","14,778,200",NA,NA,"10,099,000","1,624,000","34,114,000","11,158,614",NA,"13,124,900","517,088","2,295,000",NA,NA,NA,NA,"19,865,374",NA,NA,NA,"43,379","10,714,000","29,391,000",NA,"2,668,500","211,000","29,188,000",NA,"2,914,600","879,690","22,446,000",NA,"14,199,000","35,563,000",NA,NA,NA,"1,107,000",NA,NA,"60,556,000","1,024,338","117,983,000","21,957,000","12,547,000","2,288,750","9,887,000",NA,"4,849,028","1,850,200","74,604,000",NA,NA,"4,717,131",NA,NA,"41,244,000","592,700","196,727","2,445,000",NA,"2,200,366","501,300",NA,"7,406,281","3,972,000",NA,NA,NA,NA,"11,447,000","1,103,490","6,469,000",NA,"3,554,000","10,171,000","3,682,000",NA,"54,475","20,906,000","8,579,000",NA,NA,"1,829,741",NA,"37,959,000",NA,"22,086,000","902,171","1,491,000","188,072","2,092,580","61,000","448,000","1,686,000",NA,"35,051,000",NA,"11,453,000",NA,"17,644,000","4,017,000",NA,"84,236,000","27,471,000","561,635",NA,"1,358,700","2,872,300","6,300,700",NA,"8,763,000",NA,"135,716","30,624,000","17,277,000","245,000","1,760,843","57,881,000","20,348,000","7,640,548","8,737,147","5,795,404","2,399,392",NA,"10,392,000",NA,"802,000","3,136,000","10,696,000","3,584,000","2,287,300","12,595,000","31,594,000","761,000",NA,NA,"37,000","483,900",NA,"132,214,000",NA,NA,NA,NA,NA,NA,"9,605,545","45,291,000",NA,"18,385,000",NA,"14,205,000",NA,NA
Total Assets,268552,"55,243,000","14,367,500","15,559,000",NA,NA,"192,877,000","36,475,000","41,306,000","12,761,092",NA,"15,752,400","20,262,876","5,363,000",NA,NA,NA,NA,"25,284,777","239,688,000",NA,NA,"1,143,131","15,478,000","40,199,000",NA,"7,066,800","33,727,000","2,432,510,000",NA,"22,365,400","1,284,903","51,986,000","385,588,000","27,618,000","42,695,000",NA,NA,NA,"152,707,000",NA,NA,"102,005,000","11,987,033","178,670,000","26,498,000","14,940,000","2,602,401","12,305,000",NA,"5,694,036","12,251,300","103,211,000",NA,NA,"5,209,654",NA,NA,"274,341,000","17,520,100","890,972","32,208,000",NA,"51,774,750","6,203,000",NA,"9,633,653","35,846,000",NA,NA,NA,NA,"13,224,000","60,933,000","9,212,000",NA,"52,286,000","14,710,000","10,986,000",NA,"3,522,886","45,917,000","16,868,000","4,758,818",NA,"8,745,353",NA,"53,513,000",NA,"26,810,000","3,987,955","13,326,000","5,478,589","2,478,125","59,029,000","5,007,000","12,100,000",NA,"42,128,000",NA,"47,818,000",NA,"136,662,000","11,269,000",NA,"127,393,000","34,885,000","3,032,876",NA,"5,567,400","3,498,900","7,529,700",NA,"16,427,000",NA,"42,120,928","35,190,000","160,187,000","5,957,000","2,264,265","83,334,000","36,018,000","9,370,465","11,887,994","23,272,751","4,679,940",NA,"11,917,000",NA,"105,241,000","434,728,000","134,484,000","468,784,000","2,955,900","1,698,440,000","50,193,000","3,801,100",NA,NA,"3,968,000","62,487,800",NA,"380,158,000",NA,NA,NA,NA,NA,NA,"17,897,606","60,444,000",NA,"1,959,153,000",NA,"16,756,000",NA,"278,360"
Net Debt,268593,"11,285,000","6,221,300","5,892,000",NA,NA,"8,977,000","21,434,000","17,099,000","4,395,681",NA,"5,735,900","3,335,138","4,932,000",NA,NA,NA,NA,"15,441,886","5,723,000",NA,NA,"442,392","4,691,000","18,502,000",NA,"4,777,500","254,000","-134,365,000",NA,"9,180,300","246,158","9,426,000","15,088,000","6,926,000","17,648,000",NA,NA,NA,"6,481,000",NA,NA,"41,702,000","3,012,503","81,864,000","10,686,000","4,976,000","741,379","4,257,000",NA,"2,981,311","5,424,300","44,651,000",NA,NA,"2,169,440",NA,NA,"126,522,000","3,237,100","259,847","7,117,000",NA,"16,076,605","2,926,700",NA,"4,981,609","8,671,000",NA,NA,NA,NA,"7,479,000","-17,603,561","2,603,000",NA,"16,433,000","7,775,000","2,755,000",NA,"1,339,301","37,224,000","5,389,000","1,945,335",NA,"2,904,427",NA,"50,107,000",NA,"8,962,000","944,327","5,364,000","4,151,002","1,127,909","54,639,000","2,686,000","5,260,000",NA,"17,465,000",NA,"14,750,000",NA,"76,858,000","2,047,000",NA,"53,439,000","11,965,000","1,576,627",NA,"1,889,300","1,123,800","2,761,400",NA,"2,077,000",NA,"28,468,247","20,748,000","38,647,000","2,074,000","2,469,146","31,012,000","-1,351,000","3,066,008","4,877,776","11,129,133","719,497",NA,"4,283,000",NA,"7,090,000","-104,959,000","40,432,000","-608,000","1,175,000","-327,591,000","17,895,000","1,115,300",NA,NA,"590,000","3,298,900",NA,"178,349,000",NA,NA,NA,NA,NA,NA,"5,671,507","19,244,000",NA,"-93,405,000",NA,"4,221,000",NA,"249,059"
Total Debt,274444,"22,256,000","6,221,400","5,892,000",NA,NA,"17,142,000","25,042,000","17,184,000","4,520,507",NA,"5,743,500","3,577,948","5,978,000",NA,NA,NA,NA,"16,155,879","9,546,000",NA,NA,"473,755","4,723,000","19,161,000",NA,"4,926,900","873,000","666,290,000",NA,"9,273,600","246,673","9,983,000","15,498,000","8,291,000","19,133,000",NA,NA,NA,"20,486,000",NA,NA,"41,967,000","3,942,457","82,323,000","10,690,000","4,981,000","742,901","4,262,000",NA,"3,040,787","5,625,300","45,371,000",NA,NA,"2,253,671",NA,NA,"151,423,000","3,941,700","372,736","9,668,000",NA,"18,244,221","3,496,000",NA,"5,444,308","10,934,000",NA,NA,NA,NA,"7,699,000","28,754,862","2,603,000",NA,"16,750,000","8,061,000","4,262,000",NA,"1,388,297","40,597,000","5,992,000","2,060,319",NA,"3,153,753",NA,"50,945,000",NA,"9,622,000","1,070,725","6,876,000","4,666,475","1,139,266","55,499,000","2,932,000","5,632,000",NA,"18,117,000",NA,"18,154,000",NA,"88,941,000","3,301,000",NA,"53,966,000","14,175,000","1,594,237",NA,"2,212,800","1,125,100","2,764,900",NA,"2,091,000",NA,"29,706,911","21,185,000","44,254,000","2,525,000","2,504,567","31,862,000","9,161,000","3,502,411","5,335,728","11,698,237","830,998",NA,"4,289,000",NA,"7,940,000","68,942,000","47,940,000","61,046,000","1,182,600","722,595,000","20,527,000","1,313,800",NA,NA,"1,134,000","3,578,000",NA,"180,774,000",NA,NA,NA,NA,NA,NA,"7,764,279","19,457,000",NA,"317,962,000",NA,"5,092,000",NA,"249,059"
Total Common Equity,268583,"4,866,000","4,879,700","6,499,500",NA,NA,"11,333,000","-5,114,000","11,443,000","7,482,891",NA,"5,512,700","5,699,146","-2,171,000",NA,NA,NA,NA,"5,001,058","4,195,000",NA,NA,"481,450","6,027,000","9,998,000",NA,"826,900","12,654,000","188,985,000",NA,"8,884,500","486,899","11,297,000","11,576,000","11,226,000","12,597,000",NA,NA,NA,"13,614,000",NA,NA,"25,638,000","5,152,852","47,589,000","10,222,000","5,078,000","1,162,570","5,194,000",NA,"2,448,169","4,561,500","26,061,000",NA,NA,"2,675,033",NA,NA,"42,870,000","10,476,700","229,085","7,408,000",NA,"22,215,831","1,005,900",NA,"2,946,141","-1,640,000",NA,NA,NA,NA,"2,890,000","9,780,055","4,266,000",NA,"24,653,000","3,720,000","1,240,000",NA,"1,869,203","-14,710,000","4,170,000","2,515,970",NA,"2,674,264",NA,"-4,833,000",NA,"10,443,000","1,707,217","521,000","-650,517","1,247,972","2,766,000","-34,000","3,076,000",NA,"12,536,000",NA,"14,223,000",NA,"2,370,000","5,229,000",NA,"30,033,000","10,091,000","1,058,536",NA,"1,378,100","1,396,700","2,607,600",NA,"11,109,000",NA,"5,892,298","5,151,000","60,485,000","1,692,000","-730,912","18,602,000","10,196,000","3,277,539","3,356,241","2,125,799","1,069,657",NA,"5,001,000",NA,"16,638,000","36,226,000","-17,009,000","33,221,000","989,100","107,343,000","10,905,000","1,547,900",NA,NA,"143,000","10,219,500",NA,"94,334,000",NA,NA,NA,NA,NA,NA,"5,939,510","21,876,000",NA,"162,335,000",NA,"10,054,000",NA,"29,301"
Total Minority Interest,268584,"67,000",NA,NA,NA,NA,NA,"50,000","129,000",NA,NA,NA,"70,192.00","1,000.00",NA,NA,NA,NA,"3,035,313.00","65,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"813,000.00",NA,"70,600.00",340.00,"361,000.00","810,000.00","333,000.00","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"1,087,000.00",NA,NA,NA,NA,NA,NA,"150,700.00",NA,NA,NA,"7,508.00",NA,NA,"27,000.00","6,400.00","-2,512.00","191,000.00",NA,"770,314.00","24,000.00",NA,"66,130.00",NA,NA,NA,NA,NA,NA,"87,778.00",NA,NA,NA,NA,"99,000.00",NA,NA,NA,NA,NA,NA,"15,760.00",NA,NA,NA,NA,NA,"16,000.00",NA,"19,594.00",NA,"-2,000.00",NA,NA,NA,NA,NA,NA,"471,000.00","43,000.00",NA,NA,NA,NA,NA,"2,500.00",NA,NA,NA,NA,NA,"93,820.00","174,000.00","1,652,000.00",NA,-7.00,NA,NA,NA,"7,661.00","34,550.00",NA,NA,NA,NA,"-159,000.00","193,000.00","-7,000.00",NA,NA,"330,000.00","-25,000.00",NA,NA,NA,NA,NA,NA,"1,392,000.00",NA,NA,NA,NA,NA,NA,"36,362.00",NA,NA,"1,731,000.00",NA,NA,NA,NA
Total Equity,268585,"4,933,000","4,879,700.00","6,499,500",NA,NA,"13,657,000","-5,064,000","11,572,000","7,704,731.00",NA,"5,512,700.00","5,769,338.00","-2,170,000.00",NA,NA,NA,NA,"8,036,371.00","4,260,000.00",NA,NA,"481,450.00","6,027,000.00","9,998,000.00",NA,"826,900.00","12,654,000.00","207,398,000.00",NA,"8,955,100.00","487,239.00","11,658,000.00","12,386,000.00","11,559,000.00","12,602,000.00",NA,NA,NA,"14,670,000.00",NA,NA,"27,421,000.00","5,152,852.00","50,638,000.00","10,222,000.00","5,078,000.00","1,162,570.00","5,194,000.00",NA,"2,454,349.00","4,712,200.00","26,061,000.00",NA,NA,"2,682,541.00",NA,NA,"42,897,000.00","10,483,100.00","226,573.00","7,599,000.00",NA,"22,986,145.00","1,029,900.00",NA,"3,012,271.00","-1,640,000.00",NA,NA,NA,NA,"2,890,000.00","9,867,875.00","4,266,000.00",NA,"24,653,000.00","3,720,000.00","1,339,000.00",NA,"1,869,203.00","-14,710,000.00","4,170,000.00","2,515,970.00",NA,"2,690,024.00",NA,"-4,833,000.00",NA,"10,443,000.00","1,707,217.00","537,000.00","-650,517.00","1,267,566.00","2,766,000.00","240,000.00","3,076,000.00",NA,"12,536,000.00",NA,"14,223,000.00",NA,"2,841,000.00","5,272,000.00",NA,"30,291,000.00","10,093,000.00","1,058,536.00",NA,"1,380,600.00","1,396,700.00","2,607,600.00",NA,"11,109,000.00",NA,"7,243,372.00","5,325,000.00","62,137,000.00","1,692,000.00","-730,919.00","21,097,000.00","10,196,000.00","3,277,539.00","3,363,902.00","2,160,349.00","1,069,657.00",NA,"5,001,000.00",NA,"18,480,000.00","40,762,000.00","-17,016,000.00","42,412,000.00","989,100.00","118,876,000.00","10,880,000.00","1,547,900.00",NA,NA,"143,000.00","10,219,500.00",NA,"95,726,000.00",NA,NA,NA,NA,NA,NA,"5,975,872.00","21,876,000.00",NA,"182,674,000.00",NA,"10,054,000.00",NA,"29,301.07"
Current Ratio (x),274464,1.64,0.50,0.45,NA,NA,NA,0.48,0.60,1.30,NA,1.00,1.49,1.63,NA,NA,NA,NA,0.64,1.53,NA,NA,1.62,2.26,1.25,NA,0.50,1.00,NA,NA,0.91,2.19,1.44,1.22,1.67,1.15,NA,NA,NA,1.10,NA,NA,1.05,1.31,0.78,0.89,1.02,0.99,0.67,NA,1.55,0.73,1.03,NA,NA,2.66,NA,NA,1.17,1.50,2.16,1.06,NA,0.92,1.11,NA,1.60,0.71,NA,NA,NA,NA,0.54,1.40,0.31,NA,0.51,1.17,1.01,NA,33.76,1.25,1.22,1.84,NA,1.31,NA,0.83,NA,1.19,2.10,1.19,1.00,0.83,12.40,0.93,1.15,NA,0.68,NA,1.13,NA,0.87,1.76,NA,1.01,1.50,2.38,NA,1.47,0.69,0.62,NA,0.50,NA,3.15,0.19,1.07,1.08,0.45,1.09,1.09,1.88,1.04,1.29,1.20,NA,0.66,NA,0.38,NA,1.14,0.43,0.72,1.55,0.77,2.13,NA,NA,1.06,14.49,NA,0.71,NA,NA,NA,NA,NA,NA,2.33,1.51,NA,NA,NA,2.24,NA,3.17
Quick Ratio (x),274465,1.20,0.26,0.18,NA,NA,NA,0.35,0.27,0.32,NA,0.35,1.00,0.93,NA,NA,NA,NA,0.57,1.28,NA,NA,1.44,0.70,0.56,NA,0.32,0.80,NA,NA,0.27,1.10,0.63,0.17,0.72,0.95,NA,NA,NA,1.09,NA,NA,0.17,0.82,0.28,0.27,0.40,0.49,0.41,NA,1.20,0.61,0.54,NA,NA,1.46,NA,NA,0.95,1.02,0.84,0.73,NA,0.31,0.67,NA,1.13,0.35,NA,NA,NA,NA,0.41,1.36,0.27,NA,0.25,0.08,0.66,NA,0.78,0.18,0.18,1.84,NA,1.19,NA,0.63,NA,0.77,1.26,0.93,0.92,0.73,11.94,0.55,0.45,NA,0.54,NA,0.96,NA,0.73,1.18,NA,0.80,0.97,0.82,NA,0.32,0.33,0.22,NA,0.32,NA,1.29,0.09,0.64,0.91,0.23,0.50,0.97,1.26,0.80,0.70,0.60,NA,0.28,NA,0.24,NA,0.22,0.43,0.28,1.43,0.26,0.75,NA,NA,0.32,3.88,NA,0.53,NA,NA,NA,NA,NA,NA,1.85,0.78,NA,NA,NA,1.37,NA,3.17
Total Debt/Equity (%),274466,451,127,91,NA,NA,NA,NM,148,59,NA,104,62,NM,NA,NA,NA,NA,201,224,NA,NA,98,78,192,NA,596,7,NA,NA,104,51,86,125,72,152,NA,NA,NA,140,NA,NA,153,77,163,105,98,64,82,NA,124,119,174,NA,NA,84,NA,NA,353,38,165,127,NA,79,339,NA,181,NM,NA,NA,NA,NA,266,291,61,NA,68,217,318,NA,74,NM,144,82,NA,117,NA,NM,NA,92,63,"1,280",NM,90,"2,006","1,222",183,NA,145,NA,128,NA,"3,131",63,NA,178,140,151,NA,160,81,106,NA,19,NA,410,398,71,149,NM,151,90,107,159,541,78,NA,86,NA,43,NA,NM,144,120,608,189,85,NA,NA,793,35,NA,189,NA,NA,NA,NA,NA,NA,130,89,NA,NA,NA,51,NA,850
Total Debt / Total Capital (%),274467,82,56,48,NA,NA,NA,125,60,37,NA,51,38,157,NA,NA,NA,NA,67,69,NA,NA,50,44,66,NA,86,6,NA,NA,51,34,46,56,42,60,NA,NA,NA,58,NA,NA,60,43,62,51,50,39,45,NA,55,54,64,NA,NA,46,NA,NA,78,27,62,56,NA,44,77,NA,64,118,NA,NA,NA,NA,73,74,38,NA,40,68,76,NA,43,157,59,45,NA,54,NA,110,NA,48,39,93,116,47,95,92,65,NA,59,NA,56,NA,97,39,NA,64,58,60,NA,62,45,51,NA,16,NA,80,80,42,60,141,60,47,52,61,84,44,NA,46,NA,30,NA,155,59,54,86,65,46,NA,NA,89,26,NA,65,NA,NA,NA,NA,NA,NA,57,47,NA,NA,NA,34,NA,89
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
