SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020,FQ12020
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,3/31/2020,3/31/2020,3/31/2020,,,3/31/2020,3/31/2020,3/31/2020,3/31/2020,,3/31/2020,3/28/2020,5/4/2019,,,,,3/31/2020,3/31/2020,,,3/31/2020,3/31/2020,3/31/2020,,3/31/2020,3/31/2020,3/31/2020,,8/25/2019,3/31/2020,,,3/31/2020,3/31/2020,,,,3/31/2020,,,3/31/2020,3/31/2020,3/31/2020,3/31/2020,3/31/2020,3/31/2020,3/31/2020,,3/31/2020,3/31/2020,3/31/2020,,,3/31/2020,,,3/31/2020,3/27/2020,4/4/2020,,,3/31/2020,3/29/2020,3/31/2020,3/31/2020,1/31/2020,,,,,3/31/2020,2/29/2020,3/31/2020,3/31/2020,3/31/2020,5/4/2019,3/31/2020,,3/31/2020,5/3/2019,5/4/2019,3/31/2020,,3/31/2020,,3/31/2020,,3/31/2020,12/28/2019,3/28/2020,3/31/2020,3/31/2020,3/31/2020,3/31/2020,3/31/2020,,3/31/2020,,3/31/2020,,8/31/2019,3/31/2020,,3/31/2020,3/31/2020,3/29/2020,,3/31/2020,3/31/2020,3/31/2020,,3/31/2020,3/29/2020,3/31/2020,3/31/2020,3/31/2020,5/3/2019,3/29/2020,3/31/2020,3/31/2020,3/31/2020,3/31/2020,9/28/2019,3/31/2020,,3/31/2020,,3/31/2020,3/31/2020,3/31/2020,3/31/2020,3/31/2020,3/31/2020,5/25/2019,1/31/2020,,,3/31/2020,3/31/2020,,3/31/2020,,,,,,,6/30/2019,3/31/2020,3/31/2020,3/31/2020,,3/31/2020,,3/31/2020
Financial Filing Date,309159,4/27/2021,4/22/2021,4/22/2021,,,5/3/2021,4/29/2021,5/10/2021,5/7/2021,,4/22/2021,5/6/2021,6/3/2020,,,,,5/7/2021,5/10/2021,,,5/6/2021,5/6/2021,5/6/2021,,4/21/2021,4/28/2021,5/6/2021,,10/6/2020,4/15/2020,,,4/30/2021,4/21/2021,,,,5/4/2021,,,5/4/2021,4/20/2021,5/10/2021,5/10/2021,5/10/2021,4/30/2021,5/10/2021,,5/6/2021,4/22/2021,5/5/2021,,,4/23/2021,,,4/29/2021,4/29/2021,5/13/2021,,,5/4/2021,4/29/2021,5/7/2021,5/10/2021,3/5/2021,,,,,5/5/2021,4/8/2021,5/19/2020,4/16/2021,4/29/2021,6/5/2020,9/28/2021,,5/4/2021,5/28/2020,7/2/2020,5/7/2021,,5/6/2021,,5/5/2021,,5/3/2021,1/29/2021,5/6/2021,4/28/2021,5/10/2021,4/28/2021,4/30/2021,4/30/2021,,4/28/2021,,4/29/2021,,9/15/2020,4/28/2021,,4/29/2021,5/3/2021,5/6/2021,,4/27/2021,5/24/2021,4/22/2021,,5/6/2021,5/7/2020,8/5/2021,4/29/2021,4/27/2021,6/5/2020,5/5/2021,4/27/2021,4/27/2021,5/6/2021,5/6/2021,11/4/2020,5/6/2021,,5/12/2021,,5/5/2021,5/6/2021,4/28/2021,5/7/2021,5/6/2021,5/4/2021,6/26/2020,3/4/2021,,,4/26/2021,5/6/2021,,4/27/2021,,,,,,,8/7/2020,5/4/2021,4/22/2020,7/28/2021,,4/30/2021,,9/17/2021
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.245004
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.279978
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"4,477,000",100,NA,NA,NA,"6,171,000","5,616,000","42,000","33,108",NA,"2,800","200,998","1,146,000",NA,NA,NA,NA,"660,733","19,228,000",NA,NA,"187,344","1,000","946,000",NA,"700,900","486,000","709,528,000",NA,"64,700",613,NA,NA,"2,025,000","2,482,000",NA,NA,NA,"10,029,000",NA,NA,"1,203,000","508,907","1,453,000","12,000","15,000","7,810","14,000",NA,"1,225,122","369,900","1,457,000",NA,NA,"129,117",NA,NA,"34,289,000","1,040,500","245,427",NA,NA,"1,800,061","1,176,511","216,515","971,695","4,493,000",NA,NA,NA,NA,"6,000","37,465,593",NA,"91,000","197,000","543,000","36,000",NA,"118,232","3,163,000","737,000","54,188",NA,"71,663",NA,"5,379,800",NA,"100,000","124,230","1,672,000","1,066,856","46,049","1,399,000","1,214,000","476,000",NA,"608,000",NA,"3,278,000",NA,"35,704,000","234,000",NA,"1,555,000","53,000","94,523",NA,"424,400","1,500","1,100",NA,"8,000","3,118,000","493,069","3,890,811","8,001,000","151,000","26,394","451,000","5,549,000","56,524","60,965","467,499","92,446",NA,"16,000",NA,"6,009,000","210,267,000","15,443,000","102,845,000","7,300","675,835,000","409,000","108,914",NA,NA,"586,000","1,721,600",NA,"7,047,000",NA,NA,NA,NA,NA,NA,"129,883","71,000","9,955,000","356,295,000",NA,"1,458,000",NA,"28,760"
