SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"10,014,000","9,055,400","9,775,400",NA,NA,"9,895,000","1,997,000","24,678,000","8,518,010",NA,"11,234,400","803,422","6,065,000",NA,NA,NA,NA,"16,973,247",NA,NA,NA,"60,282","5,898,000","20,978,000",NA,"990,800","208,000",NA,NA,"2,577,300","729,803",NA,NA,"14,932,000","32,711,000",NA,NA,NA,"1,070,000",NA,NA,"67,396,000","841,813","104,741,000","15,927,000","11,189,000","1,785,109","7,539,000",NA,"5,422,360","962,100","81,017,000",NA,NA,"3,211,954",NA,NA,"36,591,000","720,000","407,779",NA,NA,"1,441,910","455,945","6,040,543","6,931,058","3,868,000",NA,NA,NA,NA,"8,723,000","928,643","5,265,000","9,005,400","2,593,000","9,664,000",NA,NA,"7,088","22,076,000","9,130,000","4,600",NA,"1,037,946",NA,"36,625,500",NA,"18,503,000","676,156","1,453,000","249,982","2,693,227","132,000","761,000","1,684,000",NA,"31,179,000",NA,"8,425,000",NA,"8,264,000","3,937,000",NA,"64,700,000","21,099,000","287,420",NA,"996,100","2,262,100","4,178,400",NA,"8,313,000","4,275,000","55,815","26,476,654","15,108,000","269,000","1,889,801","45,494,000","17,962,000","5,812,589","6,479,564","5,119,596","2,212,536",NA,"9,348,000",NA,"1,123,000","3,514,000","12,405,000","2,291,000","1,439,600","25,904,000","28,480,000","504,390",NA,NA,"134,000","540,700",NA,"114,649,000",NA,NA,NA,NA,NA,NA,"2,536,272","31,012,000","152,929,000","21,882,000",NA,"14,189,000",NA,NA
Total Assets,268552,"46,212,000","10,570,500","10,199,900",NA,NA,"182,527,000","52,618,000","29,272,000","9,201,365",NA,"12,793,600","15,391,460","10,998,000",NA,NA,NA,NA,"21,549,665","223,953,000",NA,NA,"1,255,924","8,150,000","33,395,000",NA,"3,203,800","23,367,000","2,219,770,000",NA,"22,354,500","1,055,870",NA,NA,"27,859,000","38,834,000",NA,NA,NA,"112,657,000",NA,NA,"104,126,000","8,944,253","160,072,000","20,467,000","13,837,000","1,998,433","9,397,000",NA,"7,255,340","7,622,800","124,677,000",NA,NA,"3,672,434",NA,NA,"264,150,000","16,931,700","1,532,586",NA,NA,"43,849,598","10,424,359","6,824,179","9,119,724","31,656,000",NA,NA,NA,NA,"10,224,000","51,778,123","8,010,000","9,765,700","48,843,000","14,466,000",NA,NA,"1,719,044","43,219,000","21,296,000","2,475,487",NA,"4,893,548",NA,"50,568,000",NA,"21,866,000","3,348,078","10,716,000","3,911,799","3,167,835","93,245,000","9,555,000","13,903,000",NA,"37,438,000",NA,"43,203,000",NA,"106,229,000","9,151,000",NA,"86,151,000","23,792,000","1,522,158",NA,"4,763,900","2,806,000","4,778,000",NA,"19,773,000","33,710,000","24,193,475","33,445,053","139,572,000","4,607,000","2,389,483","65,071,000","26,885,000","6,768,688","8,093,225","18,956,575","3,955,001",NA,"10,236,000",NA,"116,107,000","468,155,000","143,075,000","370,779,000","1,874,600","1,089,756,000","44,319,000","2,491,609",NA,NA,"2,765,000","65,335,900",NA,"294,500,000",NA,NA,NA,NA,NA,NA,"4,262,286","41,048,000","545,354,000","1,981,349,000",NA,"17,228,000",NA,"270,788"
Net Debt,268593,"18,865,000","4,592,900","3,728,900",NA,NA,"34,614,000","24,355,000","10,308,000","2,901,552",NA,"4,783,400","2,449,498","8,376,000",NA,NA,NA,NA,"11,828,131","7,263,000",NA,NA,"657,342","2,376,000","14,336,000",NA,"1,496,500","474,000","-85,136,000",NA,"10,730,300","179,013",NA,NA,"6,437,000","14,739,000",NA,NA,NA,"16,079,000",NA,NA,"40,101,000","2,954,111","64,382,000","8,362,000","4,642,000","749,598","3,032,000",NA,"2,875,730","3,138,300","38,568,000",NA,NA,"1,556,815",NA,NA,"134,404,000","5,243,400","426,067",NA,NA,"8,371,474","4,249,421","2,964,654","3,480,238","1,537,000",NA,NA,NA,NA,"5,962,000","-12,033,557","1,813,000","3,204,500","15,076,000","5,490,000","1,324,000",NA,"631,600","18,951,000","7,170,000","1,035,250",NA,"1,571,044",NA,"46,931,700",NA,"7,574,000","923,087","4,830,000","2,286,576","1,514,989","89,211,000","3,646,000","6,167,000",NA,"11,879,000",NA,"14,527,000",NA,"21,072,000","3,279,000",NA,"25,274,000","7,662,000","691,625",NA,"1,872,000","834,500","1,494,200",NA,"6,030,000","1,881,000","17,534,561","12,934,235","40,444,000","1,982,000","2,251,718","17,595,000","871,000","2,157,100","2,575,693","8,772,090","512,479",NA,"3,258,000",NA,"6,296,000","-136,674,000","23,484,000","-92,988,000","652,500","-201,954,000","20,162,000","682,394",NA,NA,"96,000","2,976,900",NA,"133,632,000",NA,NA,NA,NA,NA,NA,"1,611,396","13,410,000","175,898,000","-5,822,000",NA,"6,000,000",NA,"216,257"
Total Debt,274444,"23,342,000","4,593,000","3,728,900",NA,NA,"40,785,000","29,971,000","10,350,000","2,934,660",NA,"4,786,200","2,650,496","9,522,000",NA,NA,NA,NA,"12,488,864","16,193,000",NA,NA,"844,686","2,377,000","15,282,000",NA,"2,197,400","960,000","624,392,000",NA,"10,795,000","179,626",NA,NA,"8,462,000","17,221,000",NA,NA,NA,"26,108,000",NA,NA,"41,304,000","3,463,018","65,835,000","8,374,000","4,657,000","757,408","3,046,000",NA,"4,100,852","3,508,200","40,025,000",NA,NA,"1,685,932",NA,NA,"168,693,000","6,283,900","671,494",NA,NA,"10,171,535","5,425,932","3,181,169","4,451,933","6,030,000",NA,NA,NA,NA,"5,968,000","25,432,036","1,813,000","3,295,500","15,273,000","6,033,000","1,360,000",NA,"749,832","22,114,000","7,907,000","1,089,438",NA,"1,642,707",NA,"52,311,500",NA,"7,674,000","1,047,317","6,502,000","3,353,432","1,561,038","90,610,000","4,860,000","6,643,000",NA,"12,487,000",NA,"18,113,000",NA,"56,776,000","3,513,000",NA,"26,829,000","7,715,000","786,148",NA,"2,296,400","836,000","1,495,300",NA,"6,038,000","4,999,000","18,027,630","16,825,046","48,445,000","2,159,000","2,278,112","18,046,000","6,420,000","2,213,624","2,636,658","9,349,671","604,925",NA,"3,274,000",NA,"6,634,000","73,593,000","38,927,000","9,857,000","659,800","473,881,000","20,571,000","791,308",NA,NA,"682,000","3,314,100",NA,"140,679,000",NA,NA,NA,NA,NA,NA,"1,741,279","13,481,000","185,853,000","350,473,000",NA,"7,458,000",NA,"245,017"
Total Common Equity,268583,"10,147,000","3,009,000","4,312,300",NA,NA,"13,519,000","6,543,000","8,085,000","5,170,320",NA,"4,232,600","4,595,125","-902,000",NA,NA,NA,NA,"4,570,927","20,374,000",NA,NA,"347,890","2,671,000","5,230,000",NA,"433,000","8,042,000","174,351,000",NA,"7,440,100","412,968",NA,NA,"9,898,000","11,871,000",NA,NA,NA,"9,102,000",NA,NA,"28,339,000","2,980,681","44,959,000","6,909,000","4,674,000","663,425","3,748,000",NA,"2,936,333","2,386,500","32,482,000",NA,NA,"1,799,929",NA,NA,"29,650,000","7,242,100","415,449",NA,NA,"27,320,811","2,729,224","3,404,952","3,587,691","-1,634,000",NA,NA,NA,NA,"2,226,000","9,348,955","3,548,000","4,432,500","22,640,000","5,442,000","5,892,000",NA,"859,605","3,236,000","6,323,000","1,336,170",NA,"1,685,510",NA,"-9,293,400",NA,"8,251,000","1,336,691","-948,000","-354,331","1,495,558","2,035,000","1,024,000","3,454,000",NA,"14,884,000",NA,"9,062,000",NA,"18,433,000","3,487,000",NA,"5,528,000","8,612,000","495,376",NA,"1,001,600","1,065,100","1,363,100",NA,"10,118,000","13,227,000","4,450,894","10,231,775","39,411,000","1,462,000","-274,211","15,801,000","9,075,000","2,114,276","2,547,895","2,454,748","726,928",NA,"3,845,000",NA,"22,203,000","37,603,000","-9,665,000","23,477,000","485,500","81,176,000","8,581,000","912,050",NA,NA,"533,000","9,803,100",NA,"60,210,000",NA,NA,NA,NA,NA,NA,"1,963,231","13,556,000","177,779,000","162,514,000",NA,"8,082,000",NA,"25,772"
Total Minority Interest,268584,"62,000",NA,NA,NA,NA,NA,"132,000","142,000",NA,NA,NA,"54,484.00","4,000.00",NA,NA,NA,NA,"3,376,300.00","65,000.00",NA,NA,NA,NA,NA,NA,"2,600.00",NA,"651,000.00",NA,"76,700.00",340.00,NA,NA,"89,000.00","17,000.00",NA,NA,NA,NA,NA,NA,"2,026,000.00",NA,"1,162,000.00",NA,NA,NA,NA,NA,NA,"43,300.00","2,134,000.00",NA,NA,712.00,NA,NA,"48,000.00","11,200.00",924.00,NA,NA,"199,622.00","61,324.00",NA,"184,907.00",NA,NA,NA,NA,NA,NA,"61,709.00",NA,"323,900.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,303.00",NA,NA,NA,NA,NA,"18,000.00",NA,"11,435.00","13,000.00","3,000.00","25,000.00",NA,NA,NA,NA,NA,"586,000.00","39,000.00",NA,NA,NA,NA,NA,200.00,NA,NA,NA,NA,"34,000.00","66,578.00","577,425.00","2,619,000.00","11,000.00",-3.00,NA,NA,NA,"85,005.00","33,028.00",NA,NA,NA,NA,NA,"234,000.00","305,000.00",NA,NA,"1,122,000.00","-49,000.00",NA,NA,NA,NA,NA,NA,"1,443,000.00",NA,NA,NA,NA,NA,NA,"10,061.00",NA,"17,670,000.00","612,000.00",NA,NA,NA,NA
Total Equity,268585,"10,209,000","3,009,000","4,312,300",NA,NA,"13,519,000","6,675,000","8,227,000","6,024,755.00",NA,"4,232,600.00","4,649,609.00","-898,000.00",NA,NA,NA,NA,"8,140,850.00","20,439,000.00",NA,NA,"347,890.00","2,671,000.00","6,970,000.00",NA,"435,600.00","8,042,000.00","192,982,000.00",NA,"7,516,800.00","413,308.00",NA,NA,"12,287,000.00","11,888,000.00",NA,NA,NA,"9,665,000.00",NA,NA,"32,752,000.00","2,980,681.00","48,083,000.00","6,909,000.00","4,674,000.00","663,425.00","3,748,000.00",NA,"2,942,515.00","2,429,800.00","34,616,000.00",NA,NA,"1,800,641.00",NA,NA,"29,698,000.00","7,253,300.00","416,373.00",NA,NA,"27,520,433.00","2,790,548.00","3,404,952.00","3,772,598.00","-1,634,000.00",NA,NA,NA,NA,"2,226,000.00","9,535,664.00","3,548,000.00","4,762,000.00","22,640,000.00","5,442,000.00","5,948,000.00",NA,"859,605.00","3,236,000.00","6,323,000.00","1,336,170.00",NA,"1,689,813.00",NA,"-9,293,400.00",NA,"8,251,000.00","1,336,691.00","-930,000.00","-354,331.00","1,506,993.00","2,048,000.00","1,422,000.00","3,479,000.00",NA,"14,884,000.00",NA,"9,062,000.00",NA,"19,019,000.00","3,526,000.00",NA,"5,786,000.00","8,614,000.00","495,376.00",NA,"1,001,800.00","1,065,100.00","1,363,100.00",NA,"10,118,000.00","13,261,000.00","5,330,464.00","10,809,200.00","42,030,000.00","1,473,000.00","-274,214.00","18,046,000.00","9,075,000.00","2,114,276.00","2,632,900.00","2,487,776.00","726,928.00",NA,"3,845,000.00",NA,"24,173,000.00","41,379,000.00","-9,360,000.00","26,270,000.00","485,500.00","93,501,000.00","8,532,000.00","912,050.00",NA,NA,"533,000.00","9,803,100.00",NA,"61,653,000.00",NA,NA,NA,NA,NA,NA,"1,973,292.00","13,556,000.00","195,449,000.00","183,330,000.00",NA,"8,082,000.00",NA,"25,771.59"
Current Ratio (x),274464,1.65,0.48,0.24,NA,NA,NA,0.71,0.62,2.03,NA,0.40,1.46,1.34,NA,NA,NA,NA,4.08,2.13,NA,NA,2.96,0.86,1.03,NA,2.45,1.11,NA,NA,1.11,1.22,NA,NA,2.18,1.73,NA,NA,NA,1.21,NA,NA,0.63,1.29,0.67,0.80,1.13,0.46,0.31,NA,10.69,1.01,1.06,NA,NA,3.48,NA,NA,1.32,1.62,2.09,NA,NA,1.34,1.91,2.26,2.41,0.73,NA,NA,NA,NA,0.34,1.57,0.64,1.32,0.33,1.66,NA,NA,26.89,1.09,1.42,2.25,NA,1.65,NA,1.90,NA,0.80,2.35,1.16,2.03,2.47,9.84,1.57,1.33,NA,0.90,NA,1.29,NA,2.25,1.63,NA,1.07,0.91,2.32,NA,1.31,0.58,0.20,NA,0.60,1.55,2.03,0.51,1.23,1.30,0.52,0.78,0.69,0.53,0.69,1.39,2.15,NA,0.44,NA,0.51,NA,1.18,0.43,0.53,1.71,0.75,1.48,NA,NA,1.18,7.16,NA,0.99,NA,NA,NA,NA,NA,NA,1.64,1.06,0.76,NA,NA,1.37,NA,2.96
Quick Ratio (x),274465,1.02,0.29,0.10,NA,NA,NA,0.52,0.33,0.37,NA,0.16,1.01,0.65,NA,NA,NA,NA,3.30,1.87,NA,NA,2.87,0.32,0.51,NA,2.22,0.81,NA,NA,0.34,0.84,NA,NA,1.17,1.58,NA,NA,NA,1.19,NA,NA,0.35,0.83,0.27,0.24,0.12,0.13,0.15,NA,10.16,0.85,0.58,NA,NA,1.83,NA,NA,1.14,1.11,0.86,NA,NA,0.86,1.39,1.95,1.85,0.48,NA,NA,NA,NA,0.21,1.57,0.57,0.77,0.19,0.19,NA,NA,2.67,0.18,0.19,2.25,NA,1.48,NA,1.77,NA,0.51,1.52,0.97,1.94,1.89,9.53,1.07,0.64,NA,0.67,NA,1.11,NA,2.09,0.82,NA,0.90,0.49,1.06,NA,0.42,0.32,0.08,NA,0.22,1.39,0.82,0.46,0.81,1.18,0.29,0.35,0.61,0.36,0.55,0.80,1.07,NA,0.25,NA,0.29,NA,0.30,0.42,0.27,1.61,0.15,0.52,NA,NA,0.61,2.74,NA,0.77,NA,NA,NA,NA,NA,NA,0.89,0.54,0.43,NA,NA,1.03,NA,2.96
Total Debt/Equity (%),274466,228.64,152.64,86.47,NA,NA,NA,449.00,125.81,49,NA,113,57,NM,NA,NA,NA,NA,153,79,NA,NA,243,89,219,NA,504,12,NA,NA,144,43,NA,NA,69,145,NA,NA,NA,270,NA,NA,126,116,137,121,100,114,81,NA,139,144,116,NA,NA,94,NA,NA,568,87,161,NA,NA,37,194,93,118,NM,NA,NA,NA,NA,268,267,51,69,67,111,23,NA,87,683,125,82,NA,97,NA,NM,NA,93,78,NM,NM,104,"4,424",342,191,NA,84,NA,200,NA,299,100,NA,464,90,159,NA,229,78,110,NA,60,38,338,156,115,147,NM,100,71,105,100,376,83,NA,85,NA,27,NA,NM,38,136,507,241,87,NA,NA,128,34,NA,228,NA,NA,NA,NA,NA,NA,88,99,95,NA,NA,92,NA,951
Total Debt / Total Capital (%),274467,69.57,60.42,46.37,NA,NA,NA,81.79,55.71,33,NA,53,36,110,NA,NA,NA,NA,61,44,NA,NA,71,47,69,NA,83,11,NA,NA,59,30,NA,NA,41,59,NA,NA,NA,73,NA,NA,56,54,58,55,50,53,45,NA,58,59,54,NA,NA,48,NA,NA,85,46,62,NA,NA,27,66,48,54,137,NA,NA,NA,NA,73,73,34,41,40,53,19,NA,47,87,56,45,NA,49,NA,122,NA,48,44,117,112,51,98,77,66,NA,46,NA,67,NA,75,50,NA,82,47,61,NA,70,44,52,NA,37,27,77,61,54,59,114,50,41,51,50,79,45,NA,46,NA,22,NA,132,27,58,84,71,46,NA,NA,56,25,NA,70,NA,NA,NA,NA,NA,NA,47,50,49,NA,NA,48,NA,90
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
