SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,3/31/2021,3/31/2021,3/31/2021,,,3/31/2021,3/31/2021,3/31/2021,3/31/2021,,3/31/2021,4/3/2021,5/2/2020,,,,,3/31/2021,3/31/2021,,,3/31/2021,3/31/2021,3/31/2021,,3/31/2021,3/31/2021,3/31/2021,,8/30/2020,3/31/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,,,,3/31/2021,,,3/31/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,,3/31/2021,3/31/2021,3/31/2021,,,3/31/2021,,,3/31/2021,4/2/2021,4/3/2021,3/31/2021,,3/31/2021,3/28/2021,3/31/2021,3/31/2021,1/31/2021,,,,,3/31/2021,2/28/2021,3/31/2021,3/31/2021,3/31/2021,5/2/2020,3/31/2021,,3/31/2021,5/1/2020,5/2/2020,3/31/2021,,3/31/2021,,3/31/2021,,3/31/2021,1/2/2021,4/3/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,,3/31/2021,,3/31/2021,,8/31/2020,3/31/2021,,3/31/2021,3/31/2021,3/28/2021,,3/31/2021,3/31/2021,3/31/2021,,3/31/2021,,3/31/2021,3/31/2021,3/31/2021,5/1/2020,3/28/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,9/26/2020,3/31/2021,,3/31/2021,,3/31/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,5/23/2020,1/29/2021,,,3/31/2021,3/31/2021,,3/31/2021,,,,,,,6/30/2020,3/31/2021,,3/31/2021,,3/31/2021,,3/31/2021
Financial Filing Date,309159,4/26/2022,4/28/2022,4/28/2022,,,5/2/2022,4/28/2022,5/6/2022,5/6/2022,,4/28/2022,5/5/2022,6/3/2021,,,,,5/2/2022,5/10/2022,,,5/6/2022,8/2/2022,8/2/2022,,4/27/2022,4/28/2022,5/9/2022,,10/7/2021,5/13/2021,5/12/2022,5/17/2022,4/29/2022,4/21/2022,,,,4/28/2022,,,5/5/2022,4/21/2022,5/9/2022,5/9/2022,5/9/2022,4/30/2022,5/9/2022,,5/5/2022,4/21/2022,5/9/2022,,,4/22/2022,,,4/28/2022,4/28/2022,5/12/2022,9/13/2022,,5/2/2022,4/27/2022,5/9/2022,5/9/2022,3/7/2022,,,,,5/4/2022,4/8/2022,5/17/2021,4/28/2022,4/28/2022,6/3/2021,5/13/2022,,5/3/2022,5/27/2021,6/7/2021,5/6/2022,,5/5/2022,,5/2/2022,,5/2/2022,1/28/2022,5/12/2022,4/26/2022,5/9/2022,4/27/2022,4/29/2022,4/29/2022,,4/27/2022,,4/28/2022,,9/13/2021,4/27/2022,,4/28/2022,5/2/2022,5/5/2022,,7/26/2022,5/25/2022,4/28/2022,,5/5/2022,,8/5/2022,5/5/2022,4/26/2022,6/4/2021,5/4/2022,5/3/2022,5/2/2022,5/10/2022,5/10/2022,11/9/2021,5/5/2022,,5/13/2022,,5/4/2022,5/6/2022,4/27/2022,5/9/2022,5/5/2022,5/2/2022,6/25/2021,3/3/2022,,,4/26/2022,5/6/2022,,4/27/2022,,,,,,,8/9/2021,5/5/2022,,5/3/2022,,4/29/2022,,9/20/2022
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.377638
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.378890
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"5,142,000",100,NA,NA,NA,"15,796,000","5,792,000","6,000","75,237",NA,"4,800","227,701","957,000",NA,NA,NA,NA,"697,369","6,320,000",NA,NA,"53,724","12,000","1,037,000",NA,"147,700","947,000","809,398,000",NA,"438,200","38,067","226,000","9,831,000","2,868,000","2,957,000",NA,NA,NA,"20,348,000",NA,NA,"477,000","536,512","539,000","22,000","17,000","9,629","18,000",NA,"538,077","765,900","1,908,000",NA,NA,"97,911",NA,NA,"31,290,000","1,299,600","246,694","1,007,000",NA,"2,082,414","1,358,300","29,990","975,784","4,163,000",NA,NA,NA,NA,"3,000","42,192,170","160,000","259,900","335,000","2,039,000","24,000",NA,"48,157","6,156,000","1,523,000","65,001",NA,"512,407",NA,"3,025,400",NA,"38,000","97,639","1,320,000","1,747,147","113,375","1,711,000","320,000","682,000",NA,"998,000",NA,"3,517,000",NA,"42,303,000","605,000",NA,"127,000","43,000","6,171",NA,"432,400",600,"2,400",NA,"10,000",NA,"1,446,712","5,091,612","8,579,000","276,000","272,078","25,000","14,348,000","49,795","92,345","5,989,545","132,227",NA,"14,000",NA,"6,726,000","197,614,000","21,833,000","89,354,000","16,800","827,287,000","2,726,000","433,394",NA,NA,"571,000","1,317,900",NA,"10,205,000",NA,NA,NA,NA,NA,NA,"232,418","56,000",NA,"483,560,000",NA,"1,016,000",NA,"32,374"
