SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"10,111,000","9,975,800","11,070,400",NA,NA,"11,207,000","1,982,000","27,307,000","8,657,372",NA,"11,531,500","747,538","5,246,000",NA,NA,NA,NA,"17,183,456",NA,NA,NA,"43,479","6,604,000","22,739,000",NA,"1,068,700","213,000","2,900,000",NA,"2,430,700","756,442",NA,NA,"15,364,000","32,870,000",NA,NA,NA,"1,021,000",NA,NA,"58,421,000","881,131","109,169,000","17,146,000","11,781,000","1,933,513","8,170,000",NA,"5,075,041","1,174,800","82,588,000",NA,NA,"3,324,187",NA,NA,"37,392,000","596,700","316,769",NA,NA,"1,580,743","482,700","6,094,950","6,857,080","3,651,000",NA,NA,NA,NA,"9,491,000","896,317","5,537,000","9,093,800","3,091,000","9,542,000",NA,NA,"11,060","22,377,000","9,097,000","4,100",NA,"1,150,168",NA,"38,179,200",NA,"19,223,000","678,130","1,476,000","226,428","2,647,956","113,000","760,000","1,664,000",NA,"31,312,000",NA,"8,645,000",NA,"6,401,000","3,903,000",NA,"68,916,000","22,535,000","380,597",NA,"997,900","2,447,000","4,385,700",NA,"8,258,000",NA,"56,345","26,374,339","16,655,000","351,000","1,824,189","49,341,000","17,627,000","6,243,486","6,939,820","5,025,904","2,153,170",NA,"10,275,000",NA,"1,002,000","3,521,000","11,643,000","3,054,000","1,568,500","24,757,000","28,621,000","532,614",NA,NA,"126,000","500,600",NA,"117,191,000",NA,NA,NA,NA,NA,NA,"3,020,797","32,985,000",NA,"19,995,000",NA,"14,103,000",NA,NA
Total Assets,268552,"47,180,000","11,263,000","11,515,100",NA,NA,"181,879,000","48,776,000","32,789,000","9,686,701",NA,"13,597,600","16,173,560","9,439,000",NA,NA,NA,NA,"21,945,334","241,937,000",NA,NA,"1,035,806","10,356,000","35,906,000",NA,"2,787,100","28,313,000","2,314,266,000",NA,"22,377,300","1,145,795",NA,NA,"30,143,000","39,692,000",NA,NA,NA,"113,871,000",NA,NA,"96,703,000","9,270,893","163,465,000","21,164,000","14,063,000","2,155,037","10,141,000",NA,"6,208,102","9,669,400","130,000,000",NA,NA,"3,826,228",NA,NA,"260,819,000","14,278,900","1,349,113",NA,NA,"44,257,728","10,189,100","6,696,591","9,154,162","34,737,000",NA,NA,NA,NA,"11,014,000","56,868,919","8,186,000","10,207,000","50,403,000","15,869,000",NA,NA,"1,825,486","45,832,000","18,581,000","2,912,705",NA,"5,538,303",NA,"51,103,100",NA,"23,274,000","3,366,548","10,423,000","4,565,529","3,183,273","84,957,000","8,702,000","14,340,000",NA,"37,937,000",NA,"41,423,000",NA,"113,546,000","9,560,000",NA,"98,287,000","25,798,000","1,834,878",NA,"4,513,700","3,004,900","5,755,800",NA,"18,505,000",NA,"35,184,129","34,347,073","160,608,000","6,016,000","2,627,661","70,145,000","35,493,000","7,510,453","8,928,645","22,741,558","4,281,421",NA,"11,208,000",NA,"129,811,000","464,984,000","150,035,000","563,457,000","2,026,800","1,301,548,000","46,942,000","2,875,138",NA,NA,"3,005,000","69,256,600",NA,"345,573,000",NA,NA,NA,NA,NA,NA,"4,904,374","43,784,000",NA,"1,959,543,000",NA,"16,874,000",NA,"300,187"
Net Debt,268593,"13,921,000","5,177,500","4,179,500",NA,NA,"5,264,000","23,888,000","12,418,000","2,836,929",NA,"5,038,200","2,037,474","8,080,000",NA,NA,NA,NA,"12,278,639","4,442,000",NA,NA,"523,200","4,337,000","14,808,000",NA,"1,851,000","-42,000","-238,310,000",NA,"9,463,400","151,490","7,893,000","14,292,000","5,636,000","13,843,000",NA,NA,NA,"664,000",NA,NA,"38,251,000","2,526,862","65,250,000","8,436,000","4,126,000","807,702","3,367,000",NA,"2,857,995","3,613,800","40,139,000",NA,NA,"1,526,068",NA,NA,"122,676,000","1,465,200","226,060","-972,000",NA,"8,124,885","3,676,500","3,217,074","3,530,878","3,218,000",NA,NA,NA,NA,"6,507,000","-14,815,840","1,952,000","3,564,600","14,388,000","5,649,000","1,368,000",NA,"371,040","20,101,000","7,057,000","1,241,464",NA,"991,424",NA,"46,527,200",NA,"7,997,000","959,032","4,346,000","2,290,378","1,416,727","80,013,000","3,590,000","5,456,000",NA,"12,153,000",NA,"10,228,000",NA,"28,606,000","2,708,000",NA,"37,678,000","8,665,000","918,276",NA,"1,137,200","855,200","1,909,500",NA,"4,842,000",NA,"25,829,251","16,586,802","24,511,000","2,998,000","2,731,676","21,498,000","-1,563,000","2,655,793","2,981,559","8,413,460","636,742",NA,"3,721,000",NA,"7,287,000","-130,029,000","41,742,000","-61,029,000","637,400","-304,619,000","17,917,000","346,791",NA,NA,"-15,000","2,785,000",NA,"170,499,000",NA,NA,NA,NA,NA,NA,"1,938,562","14,389,000",NA,"-221,629,000",NA,"4,482,000",NA,"238,882"
Total Debt,274444,"19,063,000","5,177,600","4,179,500",NA,NA,"21,060,000","29,680,000","12,424,000","2,912,166",NA,"5,043,000","2,265,175","9,037,000",NA,NA,NA,NA,"12,976,008","8,467,000",NA,NA,"576,924","4,349,000","15,845,000",NA,"1,998,700","905,000","571,088,000",NA,"9,901,600","189,557","8,119,000","14,946,000","8,504,000","16,800,000",NA,NA,NA,"21,012,000",NA,NA,"38,728,000","3,063,374","65,789,000","8,458,000","4,143,000","817,331","3,385,000",NA,"3,396,072","4,379,700","42,047,000",NA,NA,"1,623,979",NA,NA,"153,966,000","2,764,800","472,754","35,000",NA,"10,207,299","5,034,800","3,247,064","4,506,662","7,381,000",NA,NA,NA,NA,"6,510,000","27,376,330","2,112,000","3,824,500","14,723,000","7,688,000","1,392,000",NA,"419,197","26,257,000","8,580,000","1,306,465",NA,"1,503,831",NA,"49,552,600",NA,"8,035,000","1,056,671","5,666,000","4,037,525","1,530,102","81,724,000","3,910,000","6,138,000",NA,"13,151,000",NA,"14,160,000",NA,"70,909,000","3,313,000",NA,"37,805,000","8,708,000","924,447",NA,"1,569,600","855,800","1,911,900",NA,"4,852,000",NA,"27,275,963","21,678,414","33,090,000","3,295,000","3,003,754","21,523,000","12,785,000","2,705,588","3,073,904","14,403,005","768,969",NA,"3,735,000",NA,"7,996,000","67,585,000","63,575,000","28,325,000","654,200","522,668,000","20,643,000","780,185",NA,NA,"556,000","3,346,800",NA,"180,704,000",NA,NA,NA,NA,NA,NA,"2,170,980","14,445,000",NA,"261,931,000",NA,"5,498,000",NA,"271,257"
Total Common Equity,268583,"13,760,000","3,252,400","4,988,600",NA,NA,"14,625,000","2,913,000","9,148,000","5,631,745",NA,"4,462,200","5,155,759","-1,861,000",NA,NA,NA,NA,"4,347,485","15,017,000",NA,NA,"346,002","2,718,000","6,353,000",NA,"202,200","11,138,000","182,269,000",NA,"8,121,400","450,803","12,399,000","37,232,000","11,069,000","13,151,000",NA,NA,NA,"11,098,000",NA,NA,"24,312,000","3,499,144","46,224,000","7,674,000","4,896,000","740,303","4,026,000",NA,"2,634,585","3,318,000","32,015,000",NA,NA,"1,985,309",NA,NA,"33,828,000","9,009,000","407,781","14,727,000",NA,"26,691,762","2,919,500","3,188,987","3,660,842","-3,235,000",NA,NA,NA,NA,"2,337,000","9,745,862","3,747,000","4,240,300","24,070,000","4,790,000","4,873,000",NA,"1,218,638","1,716,000","2,697,000","1,540,164",NA,"2,084,909",NA,"-7,235,500",NA,"9,063,000","1,303,244","-496,000","-481,582","1,552,185","2,723,000","1,096,000","3,836,000",NA,"14,643,000",NA,"10,525,000",NA,"9,491,000","3,928,000",NA,"25,395,000","9,340,000","595,275",NA,"1,059,400","1,232,200","1,967,800",NA,"10,280,000",NA,"4,709,837","9,172,382","71,710,000","1,395,000","-780,602","17,577,000","9,093,000","2,374,124","2,773,722","1,300,011","1,083,410",NA,"4,375,000",NA,"24,649,000","40,413,000","-18,058,000","45,055,000","636,000","88,461,000","9,356,000","1,179,722",NA,NA,"653,000","10,570,100",NA,"71,232,000",NA,NA,NA,NA,NA,NA,"2,072,966","14,811,000",NA,"166,923,000",NA,"9,328,000",NA,"28,930"
Total Minority Interest,268584,"68,000",NA,NA,NA,NA,NA,"122,000","129,000",NA,NA,NA,"58,687.00","3,000.00",NA,NA,NA,NA,"3,505,644.00","65,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"724,000.00",NA,"77,600.00",340.00,NA,NA,"189,000.00","9,000.00",NA,NA,NA,NA,NA,NA,"339,000.00",NA,"1,472,000.00",NA,NA,NA,NA,NA,NA,"39,000.00","2,298,000.00",NA,NA,"4,951.00",NA,NA,"146,000.00","7,700.00","1,043.00",NA,NA,"150,429.00","64,400.00",NA,"28,143.00",NA,NA,NA,NA,NA,NA,"63,475.00",NA,"326,800.00","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"4,066.00",NA,NA,NA,NA,NA,"18,000.00",NA,"10,530.00","14,000.00","4,000.00","25,000.00",NA,NA,NA,NA,NA,"649,000.00","39,000.00",NA,NA,NA,NA,NA,"1,600.00",NA,NA,NA,NA,NA,"98,984.00",NA,"1,632,000.00","13,000.00",-8.00,NA,NA,NA,"205,286.00","33,977.00",NA,NA,NA,NA,"-27,000.00","449,000.00","217,000.00",NA,NA,"1,733,000.00","-28,000.00",NA,NA,NA,NA,NA,NA,"1,451,000.00",NA,NA,NA,NA,NA,NA,"26,217.00",NA,NA,"1,130,000.00",NA,NA,NA,NA
Total Equity,268585,"13,828,000","3,252,400.00","4,988,600",NA,NA,"14,625,000","3,035,000","9,277,000","6,486,180.00",NA,"4,462,200.00","5,214,446.00","-1,858,000.00",NA,NA,NA,NA,"7,853,129.00","15,082,000.00",NA,NA,"346,002.00","2,718,000.00","8,716,000.00",NA,"202,200.00","11,138,000.00","203,273,000.00",NA,"8,199,000.00","451,143.00","14,676,000.00","39,832,000.00","13,558,000.00","13,160,000.00",NA,NA,NA,"12,154,000.00",NA,NA,"27,038,000.00","3,499,144.00","49,658,000.00","7,674,000.00","4,896,000.00","740,303.00","4,026,000.00",NA,"2,640,767.00","3,357,000.00","34,313,000.00",NA,NA,"1,990,260.00",NA,NA,"33,974,000.00","9,016,700.00","408,824.00","14,974,000.00",NA,"26,842,191.00","2,983,900.00","3,188,987.00","3,688,985.00","-3,235,000.00",NA,NA,NA,NA,"2,337,000.00","9,934,337.00","3,747,000.00","4,572,500.00","24,071,000.00","4,790,000.00","4,931,000.00",NA,"1,218,638.00","1,716,000.00","2,697,000.00","1,540,164.00",NA,"2,088,975.00",NA,"-7,235,500.00",NA,"9,063,000.00","1,303,244.00","-478,000.00","-481,582.00","1,562,715.00","2,737,000.00","1,373,000.00","3,861,000.00",NA,"14,643,000.00",NA,"10,525,000.00",NA,"10,140,000.00","3,967,000.00",NA,"25,653,000.00","9,342,000.00","595,275.00",NA,"1,061,000.00","1,232,200.00","1,967,800.00",NA,"10,280,000.00",NA,"5,621,813.00","9,172,382.00","73,342,000.00","1,408,000.00","-780,610.00","19,522,000.00","9,093,000.00","2,374,124.00","2,979,008.00","1,333,988.00","1,083,410.00",NA,"4,375,000.00",NA,"26,792,000.00","45,403,000.00","-17,841,000.00","55,594,000.00","636,000.00","99,397,000.00","9,328,000.00","1,179,722.00",NA,NA,"653,000.00","10,570,100.00",NA,"72,683,000.00",NA,NA,NA,NA,NA,NA,"2,099,183.00","14,811,000.00",NA,"188,348,000.00",NA,"9,328,000.00",NA,"28,930.40"
Current Ratio (x),274464,1.84,0.38,0.22,NA,NA,NA,0.80,0.79,1.74,NA,0.95,1.47,1.06,NA,NA,NA,NA,4.66,1.88,NA,NA,1.61,1.53,0.74,NA,1.14,1.23,NA,NA,0.95,1.83,NA,NA,2.31,2.39,NA,NA,NA,1.19,NA,NA,0.56,1.59,0.49,0.59,0.89,0.43,0.36,NA,8.24,0.71,0.96,NA,NA,3.51,NA,NA,1.21,1.13,1.87,NA,NA,1.19,1.85,1.45,2.14,0.73,NA,NA,NA,NA,0.41,1.71,0.59,1.50,0.37,1.88,NA,NA,14.55,1.20,1.24,1.65,NA,1.56,NA,1.19,NA,0.94,2.05,1.27,1.62,2.89,13.79,1.18,1.30,NA,1.02,NA,1.46,NA,2.66,1.87,NA,0.74,0.68,1.97,NA,1.15,1.06,0.35,NA,0.14,NA,0.87,1.70,1.17,1.05,1.44,0.55,1.97,0.86,0.97,1.74,3.35,NA,0.50,NA,0.73,NA,1.33,0.39,0.76,1.61,0.83,1.78,NA,NA,1.32,30.30,NA,1.02,NA,NA,NA,NA,NA,NA,1.63,0.76,NA,NA,NA,2.42,NA,2.97
Quick Ratio (x),274465,1.19,0.24,0.11,NA,NA,NA,0.59,0.32,0.52,NA,0.29,1.04,0.44,NA,NA,NA,NA,3.72,1.70,NA,NA,1.49,0.82,0.52,NA,0.86,0.96,NA,NA,0.40,1.32,NA,NA,1.36,2.17,NA,NA,NA,1.18,NA,NA,0.22,1.00,0.19,0.19,0.16,0.13,0.18,NA,7.79,0.63,0.56,NA,NA,1.60,NA,NA,1.03,0.86,0.83,NA,NA,0.71,1.38,0.97,1.81,0.45,NA,NA,NA,NA,0.23,1.71,0.55,1.10,0.21,0.67,NA,NA,0.91,0.34,0.29,1.65,NA,1.44,NA,1.04,NA,0.68,1.19,1.03,1.58,2.85,13.33,0.69,0.66,NA,0.86,NA,1.28,NA,2.50,1.21,NA,0.52,0.33,0.73,NA,0.36,0.66,0.13,NA,0.10,NA,0.19,1.60,0.79,0.93,1.20,0.27,1.87,0.38,0.61,1.27,1.83,NA,0.27,NA,0.17,NA,0.37,0.39,0.38,1.53,0.29,0.90,NA,NA,0.56,6.00,NA,0.86,NA,NA,NA,NA,NA,NA,0.89,0.36,NA,NA,NA,1.72,NA,2.97
Total Debt/Equity (%),274466,138,159,84,NA,NA,NA,978,134,45,NA,113,43,NM,NA,NA,NA,NA,165,56,NA,NA,167,160,182,NA,988,8,NA,NA,121,42,55,38,63,128,NA,NA,NA,173,NA,NA,143,88,132,110,85,110,84,NA,129,130,123,NA,NA,82,NA,NA,453,31,116,0,NA,38,169,102,122,NM,NA,NA,NA,NA,279,276,56,84,61,161,28,NA,34,"1,530",318,85,NA,72,NA,NM,NA,89,81,NM,NM,98,"2,986",285,159,NA,90,NA,135,NA,699,84,NA,147,93,155,NA,148,69,97,NA,47,NA,485,236,45,234,NM,110,141,114,103,"1,080",71,NA,85,NA,30,NA,NM,51,103,526,221,66,NA,NA,85,32,NA,249,NA,NA,NA,NA,NA,NA,103,98,NA,NA,NA,59,NA,938
Total Debt / Total Capital (%),274467,58,61,46,NA,NA,NA,91,57,31,NA,53,30,126,NA,NA,NA,NA,62,36,NA,NA,63,62,65,NA,91,8,NA,NA,55,30,36,27,39,56,NA,NA,NA,63,NA,NA,59,47,57,52,46,52,46,NA,56,57,55,NA,NA,45,NA,NA,82,23,54,0,NA,28,63,50,55,178,NA,NA,NA,NA,74,73,36,46,38,62,22,NA,26,94,76,46,NA,42,NA,117,NA,47,45,109,114,49,97,74,61,NA,47,NA,57,NA,87,46,NA,60,48,61,NA,60,41,49,NA,32,NA,83,70,31,70,135,52,58,53,51,92,42,NA,46,NA,23,NA,139,34,51,84,69,40,NA,NA,46,24,NA,71,NA,NA,NA,NA,NA,NA,51,49,NA,NA,NA,37,NA,90
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
