SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"7,617,000",NA,"17,203,000",NA,NA,"10,031,000","1,710,000","39,389,000","11,810,226",NA,"14,808,000","723,473","2,076,000",NA,NA,NA,NA,"20,676,079",NA,NA,NA,"51,077","10,734,000","34,117,000",NA,"2,918,600","219,000","33,339,000",NA,"3,045,600","948,544","16,547,000","79,000","15,685,000","37,275,000",NA,NA,NA,NA,NA,NA,"79,606,000","1,348,626","129,403,000","24,944,000","13,781,000","2,536,400","10,820,000",NA,"4,719,919","1,932,400","84,457,000",NA,NA,"5,195,500",NA,NA,"38,988,000","365,900","152,428","3,092,000",NA,"1,752,118","247,800",NA,"7,372,286","4,178,000",NA,NA,NA,NA,"13,196,000","1,246,470","7,708,000",NA,"4,075,000","9,691,000","3,301,000",NA,"111,845","21,387,000","7,313,000",NA,NA,"1,992,540",NA,"42,847,000",NA,"24,065,000","1,072,705","1,746,000","200,172","2,473,758","23,000","382,000","1,662,000",NA,"36,697,000",NA,"12,831,000",NA,"56,667,000","4,968,000",NA,"96,793,000","31,550,000","607,589",NA,"1,151,600","3,548,400","9,090,000",NA,"7,511,000",NA,"206,051","36,316,000","18,755,000","268,000","4,509,745","64,344,000","20,933,000","8,694,935","8,703,814","7,215,000","2,406,181",NA,"12,198,000",NA,"781,000","3,581,000","17,484,000","3,796,000","2,859,400","9,524,000","32,542,000","730,500",NA,NA,"47,000","559,400",NA,"132,965,000",NA,NA,NA,NA,NA,NA,"7,822,154","61,608,000",NA,"20,035,000",NA,"14,592,000",NA,NA
Total Assets,268552,"37,733,000",NA,"17,999,000",NA,NA,"196,002,000","35,017,000","48,476,000","13,242,120",NA,"17,792,000","29,078,138","4,872,000",NA,NA,NA,NA,"25,942,364","241,800,000",NA,NA,"1,062,418","16,264,000","46,534,000",NA,"7,484,500","41,002,000","2,657,202,000",NA,"20,933,900","1,326,054","57,198,000","413,547,000","30,976,000","43,682,000",NA,NA,NA,NA,NA,NA,"115,857,000","13,422,423","195,736,000","29,656,000","16,346,000","2,866,100","13,446,000",NA,"5,699,762","11,864,200","116,570,000",NA,NA,"5,697,237",NA,NA,"289,160,000","11,737,700","689,254","36,906,000",NA,"53,338,484","5,552,000",NA,"10,639,461","41,769,000",NA,NA,NA,NA,"14,834,000","76,012,347","11,109,000",NA,"55,459,000","13,559,000","10,452,000",NA,"3,927,242","43,102,000","16,402,000","5,681,701",NA,"9,923,542",NA,"59,515,000",NA,"28,918,000","4,426,055","19,389,000","5,702,459","2,796,887","48,681,000","3,921,000","10,715,000",NA,"45,236,000",NA,"51,377,000",NA,"168,361,000","12,980,000",NA,"141,083,000","37,190,000","3,076,174",NA,"4,893,700","4,423,200","10,218,000",NA,"15,820,000",NA,"53,063,126","41,619,000","171,079,000","5,246,000","7,799,202","93,845,000","29,061,000","9,993,991","10,429,477","26,774,000","5,008,405",NA,"14,071,000",NA,"119,758,000","472,300,000","168,235,000","490,995,000","3,730,800","1,809,320,000","52,616,000","3,438,800",NA,NA,"3,797,000","63,519,400",NA,"404,258,000",NA,NA,NA,NA,NA,NA,"15,448,784","79,243,000",NA,"2,148,631,000",NA,"16,613,000",NA,NA
Net Debt,268593,"5,199,000",NA,"6,745,000",NA,NA,"11,859,000","21,235,000","19,893,000","5,004,415",NA,"6,573,000","3,041,847","4,285,000",NA,NA,NA,NA,"15,880,529","4,555,000",NA,NA,"411,237","4,731,000","22,494,000",NA,"4,996,400","-545,000","-212,499,000",NA,"8,242,600","265,271","5,856,000","15,039,000","7,851,000","18,831,000",NA,NA,NA,NA,NA,NA,"49,892,000","1,907,644","90,862,000","11,511,000","5,292,000","996,800","4,421,000",NA,"3,043,387","5,061,400","49,620,000",NA,NA,"2,489,976",NA,NA,"137,305,000","2,931,100","214,818","5,971,000",NA,"13,853,643","2,514,700",NA,"3,643,765","7,192,000",NA,NA,NA,NA,"8,463,000","-21,903,860","3,185,000",NA,"18,209,000","7,025,000","2,170,000",NA,"1,600,695","37,952,000","4,767,000","2,426,518",NA,"2,403,141",NA,"54,056,000",NA,"8,782,000","1,081,994","8,601,000","5,826,741","1,145,890","45,106,000","1,152,000","5,212,000",NA,"16,309,000",NA,"12,998,000",NA,"97,749,000","5,360,000",NA,"54,313,000","15,503,000","1,468,534",NA,"1,526,700","1,374,700","3,839,000",NA,"1,714,000",NA,"38,156,785","21,210,000","32,521,000","2,357,000","5,335,998","35,276,000","2,750,000","3,451,604","2,931,367","13,424,000","1,088,647",NA,"5,369,000",NA,"6,997,000","-108,959,000","27,707,000","-39,923,000","1,324,100","-249,046,000","21,123,000","700,100",NA,NA,"655,000","3,957,000",NA,"165,766,000",NA,NA,NA,NA,NA,NA,"5,903,447","25,418,000",NA,"-5,703,000",NA,"5,257,000",NA,NA
Total Debt,274444,"13,132,000",NA,"6,745,000",NA,NA,"21,889,000","25,709,000","19,906,000","5,112,931",NA,"6,578,000","3,348,314","4,959,000",NA,NA,NA,NA,"17,358,735","9,942,000",NA,NA,"468,473","4,731,000","23,042,000",NA,"5,197,000","886,000","777,180,000",NA,"8,310,600","267,316","9,497,000","15,486,000","9,377,000","19,506,000",NA,NA,NA,NA,NA,NA,"50,157,000","3,584,452","91,107,000","11,533,000","5,304,000","1,000,800","4,439,000",NA,"3,134,158","5,242,200","50,249,000",NA,NA,"2,573,938",NA,NA,"165,738,000","3,306,600","317,042","10,463,000",NA,"22,190,045","3,396,300",NA,"5,115,385","10,882,000",NA,NA,NA,NA,"8,476,000","37,524,733","3,185,000",NA,"19,235,000","7,159,000","3,956,000",NA,"1,661,942","39,713,000","6,073,000","2,468,477",NA,"2,799,171",NA,"54,830,000",NA,"9,454,000","1,144,007","9,766,000","6,338,406","1,165,514","45,785,000","1,383,000","5,415,000",NA,"17,839,000",NA,"17,884,000",NA,"108,952,000","5,705,000",NA,"55,709,000","15,576,000","1,494,966",NA,"1,664,700","1,405,200","3,841,000",NA,"1,753,000",NA,"40,051,158","22,036,000","39,956,000","2,413,000","5,427,325","35,374,000","5,981,000","3,508,012","3,508,012","14,495,000","1,088,703",NA,"5,372,000",NA,"7,675,000","79,236,000","56,365,000","56,997,000","1,384,800","747,583,000","25,082,000","1,041,100",NA,NA,"942,000","4,115,200",NA,"184,814,000",NA,NA,NA,NA,NA,NA,"7,515,552","25,613,000",NA,"443,508,000",NA,"5,721,000",NA,NA
Total Common Equity,268583,"4,702,000",NA,"6,613,000",NA,NA,"13,174,000","(3,502,000)","13,401,000","7,487,666",NA,"6,180,000","6,584,712","-1,385,000",NA,NA,NA,NA,"4,217,234","6,768,000",NA,NA,"472,530","6,175,000","11,153,000",NA,"1,009,700","15,911,000","192,241,000",NA,"8,932,700","475,936","14,527,000","12,708,000","11,807,000","13,155,000",NA,NA,NA,NA,NA,NA,"28,092,000","7,405,206","50,869,000","12,122,000","5,891,000","1,144,000","5,898,000",NA,"2,329,023","4,604,300","28,798,000",NA,NA,"2,760,960",NA,NA,"35,952,000","6,453,400","102,835","10,379,000",NA,"22,888,767","538,500",NA,"3,775,456","-346,000",NA,NA,NA,NA,"3,357,000","10,574,641","5,160,000",NA,"25,516,000","3,802,000","1,219,000",NA,"2,096,289","-14,231,000","4,552,000","2,993,893",NA,"3,259,309",NA,"-1,791,000",NA,"11,773,000","1,992,555","2,410,000","-2,654,540","1,521,543","2,399,000","948,000","2,391,000",NA,"15,547,000",NA,"16,674,000",NA,"20,451,000","3,853,000",NA,"37,579,000","11,147,000","1,184,297",NA,"828,400","1,928,400","3,613,000",NA,"10,916,000",NA,"7,039,697","10,037,000","65,245,000","1,577,000","549,757","22,216,000","7,981,000","3,524,966","3,961,119","1,830,000","960,134",NA,"5,853,000",NA,"28,609,000","39,477,000","5,448,000","42,662,000","1,382,600","109,819,000","8,285,000","1,453,300",NA,NA,"54,000","11,119,100",NA,"104,460,000",NA,NA,NA,NA,NA,NA,"4,553,831","27,205,000",NA,"164,509,000",NA,"9,426,000",NA,NA
Total Minority Interest,268584,"45,000",NA,"1,030,000",NA,NA,NA,"50,000","129,000",NA,NA,NA,"73,987.00","2,000.00",NA,NA,NA,NA,"3,243,668.00","65,000.00",NA,NA,NA,NA,NA,NA,"46,100.00",NA,"1,531,000.00",NA,NA,340.00,"336,000.00","759,000.00","500,000.00","5,000.00",NA,NA,NA,NA,NA,NA,"4,334,000.00",NA,"1,177,000.00",NA,NA,NA,NA,NA,NA,"133,900.00",NA,NA,NA,"7,126.00",NA,NA,"28,000.00","7,700.00","-16,059.00","220,000.00",NA,"890,714.00","27,000.00",NA,"66,790.00",NA,NA,NA,NA,NA,NA,"67,913.00",NA,NA,NA,NA,"113,000.00",NA,NA,NA,NA,NA,NA,"75,212.00",NA,NA,NA,NA,NA,"17,000.00",NA,"18,361.00",NA,NA,NA,NA,NA,NA,NA,NA,"518,000.00","40,000.00",NA,NA,NA,NA,NA,"4,500.00",NA,NA,NA,NA,NA,"824,223.00","208,000.00","1,893,000.00",NA,"235,047.00",NA,NA,NA,NA,"27,000.00",NA,NA,NA,NA,"-21,000.00","495,000.00","3,000.00",NA,NA,"446,000.00","-4,000.00",NA,NA,NA,NA,NA,NA,"1,281,000.00",NA,NA,NA,NA,NA,NA,"90,729.00","4,334,000.00",NA,"1,921,000.00",NA,NA,NA,NA
Total Equity,268585,"4,747,000",NA,"7,643,000",NA,NA,"15,498,000","(3,452,000)","13,530,000","7,709,506.00",NA,"6,180,000.00","6,658,699.00","-1,383,000.00",NA,NA,NA,NA,"7,460,902.00","6,833,000.00",NA,NA,"472,530.00","6,175,000.00","11,153,000.00",NA,"1,055,800.00","15,911,000.00","213,822,000.00",NA,"8,932,700.00","476,276.00","14,863,000.00","13,960,000.00","12,307,000.00","13,160,000.00",NA,NA,NA,NA,NA,NA,"33,417,000.00","7,405,206.00","53,019,000.00","12,122,000.00","5,891,000.00","1,144,000.00","5,898,000.00",NA,"2,335,203.00","4,738,200.00","28,798,000.00",NA,NA,"2,768,086.00",NA,NA,"35,980,000.00","6,461,100.00","86,776.00","10,599,000.00",NA,"23,779,481.00","565,500.00",NA,"3,842,246.00","-346,000.00",NA,NA,NA,NA,"3,357,000.00","10,642,609.00","5,160,000.00",NA,"25,516,000.00","3,802,000.00","1,332,000.00",NA,"2,096,289.00","-14,231,000.00","4,552,000.00","2,993,893.00",NA,"3,334,521.00",NA,"-1,791,000.00",NA,"11,773,000.00","1,992,555.00","2,427,000.00","-2,654,540.00","1,539,904.00","2,399,000.00","1,155,000.00","2,391,000.00",NA,"15,547,000.00",NA,"16,674,000.00",NA,"20,969,000.00","3,893,000.00",NA,"37,837,000.00","11,147,000.00","1,184,297.00",NA,"832,900.00","1,928,400.00","3,613,000.00",NA,"10,916,000.00",NA,"9,254,710.00","10,245,000.00","67,138,000.00","1,577,000.00","784,804.00","23,930,000.00","7,981,000.00","3,524,966.00","3,961,119.00","1,857,000.00","960,134.00",NA,"5,853,000.00",NA,"30,589,000.00","44,808,000.00","5,457,000.00","49,425,000.00","1,382,600.00","125,418,000.00","8,281,000.00","1,453,300.00",NA,NA,"54,000.00","11,119,100.00",NA,"105,741,000.00",NA,NA,NA,NA,NA,NA,"4,644,560.00","31,539,000.00",NA,"183,038,000.00",NA,"9,426,000.00",NA,NA
Current Ratio (x),274464,1.71,NA,0.17,NA,NA,NA,0.65,0.66,1.40,NA,0.43,1.36,1.48,NA,NA,NA,NA,2.28,0.68,NA,NA,1.87,1.87,0.91,NA,0.60,0.64,NA,NA,0.71,1.35,1.50,1.25,1.59,0.81,NA,NA,NA,NA,NA,NA,0.77,1.79,0.55,0.87,0.92,0.83,0.88,NA,0.27,0.61,0.92,NA,NA,0.52,NA,NA,1.08,0.72,1.55,1.37,NA,1.69,1.38,NA,1.90,0.77,NA,NA,NA,NA,0.29,1.43,0.75,NA,0.64,1.08,1.07,NA,51.00,1.09,1.43,1.34,NA,1.32,NA,0.96,NA,1.85,2.12,1.04,0.90,0.54,9.24,1.04,1.07,NA,0.85,NA,1.10,NA,0.75,1.26,NA,0.98,0.75,2.51,NA,0.98,0.89,0.38,NA,6.90,NA,1.02,0.18,1.03,0.83,0.69,0.83,0.52,0.87,1.28,1.21,1.95,NA,0.53,NA,0.37,NA,1.19,0.63,1.45,1.53,0.96,1.87,NA,NA,1.09,22.16,NA,0.91,NA,NA,NA,NA,NA,NA,1.72,0.74,NA,NA,NA,1.29,NA,NA
Quick Ratio (x),274465,1.20,NA,0.13,NA,NA,NA,0.52,0.31,0.36,NA,0.18,1.06,0.71,NA,NA,NA,NA,2.11,0.33,NA,NA,1.67,0.38,0.32,NA,0.42,0.53,NA,NA,0.19,0.85,1.08,0.24,0.77,0.63,NA,NA,NA,NA,NA,NA,0.35,1.23,0.21,0.34,0.36,0.40,0.48,NA,0.25,0.51,0.61,NA,NA,0.52,NA,NA,0.90,0.54,0.82,1.02,NA,1.22,1.20,NA,1.43,0.42,NA,NA,NA,NA,0.16,1.43,0.69,NA,0.33,0.09,0.74,NA,1.32,0.10,0.36,1.34,NA,1.21,NA,0.74,NA,1.33,1.17,0.82,0.82,0.50,8.95,0.66,0.47,NA,0.67,NA,0.95,NA,0.63,0.48,NA,0.83,0.31,0.64,NA,0.17,0.43,0.17,NA,1.80,NA,0.35,0.10,0.67,0.76,0.52,0.30,0.40,0.49,0.92,0.66,0.59,NA,0.18,NA,0.24,NA,0.38,0.63,0.67,1.38,0.39,0.79,NA,NA,0.22,6.08,NA,0.74,NA,NA,NA,NA,NA,NA,1.39,0.35,NA,NA,NA,0.61,NA,NA
Total Debt/Equity (%),274466,276.64,NA,88.25,NA,NA,NA,NM,147.13,66,NA,106,50,NM,NA,NA,NA,NA,233,146,NA,NA,99,77,207,NA,492,6,NA,NA,93,56,64,111,76,148,NA,NA,NA,NA,NA,NA,150,48,172,95,90,87,75,NA,134,111,174,NA,NA,93,NA,NA,461,51,365,99,NA,93,601,NA,133,NM,NA,NA,NA,NA,252,353,62,NA,75,188,297,NA,79,NM,133,82,NA,84,NA,NM,NA,80,57,402,NM,76,"1,909",120,226,NA,115,NA,107,NA,520,147,NA,147,140,126,NA,200,73,106,NA,16,NA,433,215,60,153,692,148,75,100,89,781,113,NA,92,NA,25,NA,"1,033",115,100,596,303,72,NA,NA,"1,744",37,NA,175,NA,NA,NA,NA,NA,NA,162,81,NA,NA,NA,61,NA,NA
Total Debt / Total Capital (%),274467,73.45,NA,46.88,NA,NA,NA,115.51,59.54,40,NA,52,33,139,NA,NA,NA,NA,70,59,NA,NA,50,43,67,NA,83,5,NA,NA,48,36,39,53,43,60,NA,NA,NA,NA,NA,NA,60,33,63,49,47,47,43,NA,57,53,64,NA,NA,48,NA,NA,82,34,79,50,NA,48,86,NA,57,103,NA,NA,NA,NA,72,78,38,NA,43,65,75,NA,44,156,57,45,NA,46,NA,103,NA,45,36,80,172,43,95,54,69,NA,53,NA,52,NA,84,59,NA,60,58,56,NA,67,42,52,NA,14,NA,81,68,37,60,87,60,43,50,47,89,53,NA,48,NA,20,NA,91,54,50,86,75,42,NA,NA,95,27,NA,64,NA,NA,NA,NA,NA,NA,62,45,NA,NA,NA,38,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
