SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025,FQ42025
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,12/31/2025,,12/31/2025,,,12/31/2025,12/31/2025,12/31/2025,12/31/2025,,12/31/2025,12/31/2025,2/1/2025,,,,,12/31/2025,12/31/2025,,,12/31/2025,12/31/2025,12/31/2025,,12/31/2025,12/31/2025,12/31/2025,,5/25/2025,12/31/2025,12/31/2025,12/31/2025,12/31/2025,12/31/2025,,,,,,,12/31/2025,12/31/2025,12/31/2025,12/31/2025,12/31/2025,12/31/2025,12/31/2025,,12/31/2025,12/31/2025,12/31/2025,,,12/31/2025,,,12/31/2025,12/31/2025,1/3/2026,12/31/2025,,12/31/2025,12/28/2025,,12/31/2025,10/31/2025,,,,,12/31/2025,11/30/2025,12/31/2025,,12/31/2025,2/1/2025,3/31/2025,,12/31/2025,1/31/2025,2/1/2025,12/31/2025,,12/31/2025,,12/31/2025,,12/31/2025,9/27/2025,12/31/2025,12/31/2025,12/31/2025,12/31/2025,12/31/2025,12/31/2025,,12/31/2025,,12/31/2025,,5/31/2025,12/31/2025,,12/31/2025,12/31/2025,12/31/2025,,12/31/2025,12/31/2025,12/31/2025,,12/31/2025,,12/31/2025,12/31/2025,12/31/2025,1/31/2025,12/31/2025,12/31/2025,12/31/2025,12/31/2025,12/31/2025,6/28/2025,12/31/2025,,12/31/2025,,12/31/2025,12/31/2025,12/31/2025,12/31/2025,12/31/2025,12/31/2025,2/1/2025,10/31/2025,,,12/31/2025,12/31/2025,,12/31/2025,,,,,,,3/31/2025,12/31/2025,,12/31/2025,,12/31/2025,,
Financial Filing Date,309159,2/3/2026,,2/12/2026,,,2/25/2026,2/25/2026,2/18/2026,2/20/2026,,2/12/2026,2/11/2026,3/12/2026,,,,,2/27/2026,2/24/2026,,,2/26/2026,2/19/2026,2/19/2026,,2/25/2026,2/23/2026,2/20/2026,,7/10/2025,4/1/2026,2/24/2026,2/11/2026,2/12/2026,2/12/2026,,,,,,,2/23/2026,2/13/2026,2/26/2026,2/26/2026,2/26/2026,3/27/2026,2/26/2026,,2/26/2026,2/19/2026,2/12/2026,,,2/11/2026,,,2/11/2026,2/25/2026,3/12/2026,2/4/2026,,2/20/2026,2/25/2026,,2/19/2026,12/10/2025,,,,,2/12/2026,1/28/2026,2/18/2026,,2/24/2026,3/19/2026,5/30/2025,,2/20/2026,3/23/2026,3/27/2026,2/27/2026,,2/26/2026,,2/24/2026,,3/2/2026,11/26/2025,2/12/2026,2/6/2026,2/26/2026,2/26/2026,2/26/2026,2/13/2026,,2/9/2026,,1/27/2026,,6/18/2025,2/25/2026,,2/12/2026,3/2/2026,2/19/2026,,2/13/2026,4/8/2026,2/12/2026,,2/20/2026,,2/19/2026,2/11/2026,2/6/2026,3/16/2026,2/26/2026,2/18/2026,2/5/2026,2/25/2026,2/25/2026,8/22/2025,2/19/2026,,2/23/2026,,2/20/2026,2/25/2026,1/30/2026,2/25/2026,3/2/2026,2/25/2026,3/31/2026,12/17/2025,,,2/12/2026,2/17/2026,,2/17/2026,,,,,,,5/27/2025,2/23/2026,,2/24/2026,,2/13/2026,,
Spot Exchange Rate,275660,1.000000,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,NA
Average Exchange Rate,275661,1.000000,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"7,933,000",NA,NA,NA,NA,"10,030,000","4,474,000","13,000","108,516",NA,"5,000","306,467","674,000",NA,NA,NA,NA,"1,478,206","7,387,000",NA,NA,"57,236",NA,"548,000",NA,"200,600","1,579,000","989,679,000",NA,"68,000","2,045","3,641,000","6,118,000","1,526,000","675,000",NA,NA,NA,NA,NA,NA,"265,000","1,676,808","245,000","22,000","12,000","4,000","18,000",NA,"90,771","180,800","629,000",NA,NA,"83,962",NA,NA,"28,433,000","375,500","102,224","4,492,000",NA,"8,336,402","881,600",NA,"1,471,620","3,690,000",NA,NA,NA,NA,"13,000","59,428,593",NA,NA,"1,026,000","134,000","1,786,000",NA,"61,247","1,761,000","1,306,000","41,959",NA,"396,030",NA,"774,000",NA,"672,000","62,013","1,165,000","511,665","19,624","679,000","231,000","203,000",NA,"1,530,000",NA,"4,403,000",NA,"11,203,000","345,000",NA,"1,396,000","73,000","26,432",NA,"138,000","30,500","2,000",NA,"39,000",NA,"1,894,373","826,000","7,435,000","56,000","91,327","98,000","3,231,000","56,408","576,645","1,071,000",56,NA,"3,000",NA,"5,565,000","188,195,000","28,658,000","96,920,000","60,700","996,629,000","3,959,000","341,000",NA,NA,"287,000","3,174,400",NA,"19,048,000",NA,NA,NA,NA,NA,NA,"1,612,105","195,000",NA,"449,211,000",NA,"464,000",NA,NA
