SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"7,518,000","16,378,000","17,455,000",NA,NA,"9,931,000","1,730,000","40,471,000","12,172,988",NA,"14,897,000","471,491","2,081,000",NA,NA,NA,NA,"20,676,526",NA,NA,NA,"35,521","10,939,000","34,262,000",NA,"2,910,000","214,000","33,574,000",NA,"2,815,800",NA,NA,NA,"15,641,000","37,267,000",NA,NA,NA,NA,NA,NA,"80,208,000","1,114,380","133,442,000","25,302,000","13,941,000",NA,"10,919,000",NA,"4,779,701","1,929,600","85,564,000",NA,NA,"5,180,434",NA,NA,"39,709,000","365,400","152,500","3,095,000",NA,"2,012,243","393,900",NA,"7,510,860","4,199,000",NA,NA,NA,NA,"13,521,000","1,198,511","7,904,000",NA,"4,086,000","9,583,000","3,483,000",NA,"129,405","21,435,000","7,190,000",NA,NA,"2,141,024",NA,"42,758,000",NA,NA,"1,100,589","1,770,000","234,100","2,555,288","21,000","375,000","1,661,000",NA,"36,442,000",NA,"12,168,000",NA,"53,194,000","4,606,000",NA,"98,717,000","29,925,000","630,074",NA,"1,109,100",NA,"9,283,000",NA,"7,395,000",NA,"191,143","36,495,000","18,615,000","263,000","4,102,456","65,348,000","20,901,000","8,808,830","8,818,904","7,108,000","2,556,102",NA,NA,NA,"606,000","3,796,000","16,152,000","3,065,000","2,924,400","9,504,000","32,669,000","755,000",NA,NA,"60,000","509,300",NA,"149,373,000",NA,NA,NA,NA,NA,NA,"7,768,949","62,653,000",NA,"15,840,000",NA,"14,424,000",NA,NA
Total Assets,268552,"35,436,000","17,873,000","18,531,000",NA,NA,"197,269,000","34,584,000","49,846,000","13,175,038",NA,"18,141,000","35,953,970","4,881,000",NA,NA,NA,NA,"24,880,112","236,803,000",NA,NA,"1,053,413","16,274,000","47,837,000",NA,"7,485,000","41,211,000","2,777,687,000",NA,"21,172,800",NA,NA,"407,060,000","31,253,000","44,232,000",NA,NA,NA,NA,NA,NA,"118,578,000","13,506,680","198,048,000","30,134,000","16,776,000",NA,"13,514,000",NA,"5,682,812","11,942,000","117,545,000",NA,NA,"5,781,505",NA,NA,"282,434,000","11,584,100","654,500","37,125,000",NA,"64,254,841","5,930,300",NA,"11,248,115","41,535,000",NA,NA,NA,NA,"15,205,000","74,380,490","11,444,000",NA,"73,140,000","13,639,000","11,495,000",NA,"4,010,165","45,372,000","16,089,000","5,828,398",NA,"10,441,515",NA,"60,037,000",NA,NA,"4,551,893","19,080,000","5,545,300","2,889,865","48,004,000","3,923,000","10,859,000",NA,"45,113,000",NA,"50,007,000",NA,"180,449,000","13,091,000",NA,"141,109,000","39,645,000","3,218,443",NA,"5,241,500",NA,"10,635,000",NA,"15,717,000",NA,"53,374,544","41,990,000","170,431,000","5,211,000","7,708,879","94,293,000","29,355,000","10,011,742","10,406,646","27,044,000","5,060,822",NA,NA,NA,"123,972,000","561,517,000","164,787,000","493,319,000","3,717,300","2,060,180,000","53,248,000","3,702,500",NA,NA,"3,420,000","62,714,300",NA,"417,882,000",NA,NA,NA,NA,NA,NA,"14,895,806","81,388,000",NA,"2,205,752,000",NA,"16,401,000",NA,NA
Net Debt,268593,"7,309,000","7,797,000","6,617,000",NA,NA,"12,078,000","21,071,000","21,291,000","5,064,625",NA,"6,513,000","2,179,254","4,346,000",NA,NA,NA,NA,"15,845,746","5,017,000",NA,NA,"387,221","4,715,000","23,489,000",NA,"4,814,000","-326,000","-230,995,000",NA,"7,581,700",NA,NA,"16,751,000","8,169,000","18,320,000",NA,NA,NA,NA,NA,NA,"51,862,000","1,648,197","89,069,000","11,796,000","5,598,000",NA,"4,431,000",NA,"3,062,877","5,124,700","50,528,000",NA,NA,"2,538,463",NA,NA,"137,732,000","3,226,000","218,300","8,316,000",NA,"17,725,937","2,517,900",NA,"3,958,175","7,784,000",NA,NA,NA,NA,"8,747,000","-20,611,688","3,239,000",NA,"27,993,000","7,218,000","2,571,000",NA,"1,653,646","35,940,000","4,732,000","2,519,374",NA,"2,746,243",NA,"53,725,000",NA,NA,"1,196,119","8,703,000","6,191,100","1,244,720","44,544,000","1,087,000","5,493,000",NA,"16,294,000",NA,"14,992,000",NA,"100,617,000","5,751,000",NA,"55,885,000","15,840,000","1,568,196",NA,"1,923,600",NA,"4,143,000",NA,"1,695,000",NA,"38,413,578","21,280,000","32,117,000","2,359,000","5,414,887","35,978,000","3,068,000","3,448,664","3,024,177","13,734,000","1,193,526",NA,NA,NA,"6,795,000","-167,336,000","29,436,000","-37,017,000","1,373,800","-302,533,000","20,470,000","1,006,300",NA,NA,"606,000","3,829,700",NA,"192,004,000",NA,NA,NA,NA,NA,NA,"5,908,009","25,966,000",NA,"8,024,000",NA,"5,150,000",NA,NA
Total Debt,274444,"13,128,000","7,797,000","6,617,000",NA,NA,"21,596,000","24,602,000","21,304,000","5,127,926",NA,"6,517,000","2,465,766","4,982,000",NA,NA,NA,NA,"16,358,529","9,924,000",NA,NA,"451,819","4,716,000","24,683,000",NA,"5,014,000","884,000","815,575,000",NA,"8,279,800",NA,NA,"17,124,000","9,924,000","19,429,000",NA,NA,NA,NA,NA,NA,"52,214,000","3,290,113","91,209,000","11,813,000","5,616,000",NA,"4,452,000",NA,"3,131,495","5,308,100","51,241,000",NA,NA,"2,584,649",NA,NA,"159,511,000","3,582,100","299,700","10,577,000",NA,"23,587,249","3,873,200",NA,"5,797,625","10,938,000",NA,NA,NA,NA,"8,750,000","36,643,416","3,239,000",NA,"28,891,000","7,371,000","4,033,000",NA,"1,714,506","38,994,000","5,664,000","2,540,165",NA,"3,019,915",NA,"54,895,000",NA,NA,"1,269,478","9,589,000","6,572,800","1,269,668","45,201,000","1,319,000","5,694,000",NA,"17,635,000",NA,"17,574,000",NA,"111,622,000","6,023,000",NA,"56,326,000","18,009,000","1,605,668",NA,"2,205,600",NA,"4,145,000",NA,"1,751,000",NA,"40,202,151","21,792,000","38,935,000","2,441,000","5,531,542","36,088,000","6,396,000","3,508,929","3,508,929","14,581,000","1,194,652",NA,NA,NA,"7,492,000","80,384,000","49,614,000","59,458,000","1,415,200","839,667,000","25,208,000","1,195,300",NA,NA,"946,000","4,022,300",NA,"200,921,000",NA,NA,NA,NA,NA,NA,"7,085,501","26,187,000",NA,"469,224,000",NA,"5,449,000",NA,NA
Total Common Equity,268583,"3,263,000","5,946,000","7,029,000",NA,NA,"13,285,000","-3,211,000","13,556,000","6,927,693",NA,"6,456,000","6,741,671","-1,451,000",NA,NA,NA,NA,"4,480,348","5,563,000",NA,NA,"460,748","6,403,000","11,449,000",NA,"1,096,000","15,714,000","191,409,000",NA,"8,915,800",NA,NA,"10,312,000","11,812,000","13,575,000",NA,NA,NA,NA,NA,NA,"28,156,000","7,489,886","53,484,000","12,242,000","5,969,000",NA,"6,028,000",NA,"2,316,022","4,540,700","29,315,000",NA,NA,"2,858,565",NA,NA,"37,453,000","6,083,100","83,200","10,668,000",NA,"23,792,363","648,300",NA,"3,782,800","-766,000",NA,NA,NA,NA,"3,423,000","10,610,790","5,228,000",NA,"25,261,000","3,779,000","1,234,000",NA,"2,102,414","-13,254,000","4,451,000","3,093,644",NA,"3,309,363",NA,"-1,286,000",NA,NA,"2,065,800","2,544,000","-2,774,100","1,514,775","2,379,000","928,000","2,342,000",NA,"15,804,000",NA,"17,115,000",NA,"24,154,000","3,644,000",NA,"38,876,000","11,218,000","1,188,370",NA,"750,400",NA,"3,628,000",NA,"10,690,000",NA,"6,977,162","9,810,000","66,280,000","1,505,000","279,226","22,392,000","6,875,000","3,662,448","4,101,678","2,067,000","983,150",NA,NA,NA,"29,606,000","39,452,000","5,981,000","42,471,000","1,417,600","109,079,000","8,913,000","1,419,200",NA,NA,"83,000","10,892,400",NA,"103,309,000",NA,NA,NA,NA,NA,NA,"4,562,228","27,825,000",NA,"163,048,000",NA,"9,439,000",NA,NA
Total Minority Interest,268584,"48,000",NA,"1,120,000",NA,NA,NA,"50,000","129,000","672,209.00",NA,NA,"74,050.00","1,000.00",NA,NA,NA,NA,"3,015,835.00","65,000.00",NA,NA,NA,NA,NA,NA,"48,000.00",NA,"1,613,000.00",NA,NA,NA,NA,"736,000.00","537,000.00","6,000.00",NA,NA,NA,NA,NA,NA,"4,561,000.00",NA,"2,021,000.00",NA,NA,NA,NA,NA,NA,"142,100.00",NA,NA,NA,"1,869.00",NA,NA,"31,000.00","8,300.00",NA,"230,000.00",NA,"882,218.00","25,900.00",NA,"67,109.00",NA,NA,NA,NA,NA,NA,"51,289.00",NA,NA,"3,921,000.00",NA,"110,000.00",NA,NA,NA,NA,NA,NA,"120,571.00",NA,NA,NA,NA,NA,"19,000.00",NA,"17,759.00",NA,NA,NA,NA,NA,NA,NA,NA,"512,000.00","39,000.00",NA,NA,NA,NA,NA,"4,700.00",NA,NA,NA,NA,NA,"895,218.00","218,000.00","1,754,000.00",NA,"235,047.00",NA,NA,NA,NA,"44,000.00",NA,NA,NA,NA,"-20,000.00","536,000.00",NA,NA,NA,"954,000.00","-5,000.00",NA,NA,NA,NA,NA,NA,"1,313,000.00",NA,NA,NA,NA,NA,NA,"39,744.00","4,561,000.00",NA,"1,917,000.00",NA,NA,NA,NA
Total Equity,268585,"3,311,000","5,946,000.00","8,149,000",NA,NA,"15,609,000","-3,161,000","13,685,000","7,599,994.00",NA,"6,456,000.00","6,815,721.00","-1,450,000.00",NA,NA,NA,NA,"7,496,183.00","5,628,000.00",NA,NA,"460,748.00","6,403,000.00","11,449,000.00",NA,"1,144,000.00","15,714,000.00","212,572,000.00",NA,"8,915,800.00",NA,NA,"11,541,000.00","12,349,000.00","13,581,000.00",NA,NA,NA,NA,NA,NA,"33,708,000.00","7,489,886.00","56,478,000.00","12,242,000.00","5,969,000.00",NA,"6,028,000.00",NA,"2,322,202.00","4,682,800.00","29,315,000.00",NA,NA,"2,860,434.00",NA,NA,"37,484,000.00","6,091,400.00","83,200.00","10,898,000.00",NA,"24,674,581.00","674,200.00",NA,"3,849,909.00","-766,000.00",NA,NA,NA,NA,"3,423,000.00","10,662,134.00","5,228,000.00",NA,"33,600,000.00","3,779,000.00","1,344,000.00",NA,"2,102,414.00","-13,254,000.00","4,451,000.00","3,093,644.00",NA,"3,429,934.00",NA,"-1,286,000.00",NA,NA,"2,065,800.00","2,563,000.00","-2,774,100.00","1,532,534.00","2,379,000.00","1,135,000.00","2,342,000.00",NA,"15,804,000.00",NA,"17,115,000.00",NA,"24,666,000.00","3,683,000.00",NA,"39,134,000.00","11,218,000.00","1,188,370.00",NA,"755,100.00",NA,"3,628,000.00",NA,"10,690,000.00",NA,"9,505,295.00","10,028,000.00","68,034,000.00","1,505,000.00","514,273.00","23,987,000.00","6,875,000.00","3,662,448.00","4,101,678.00","2,111,000.00","983,150.00",NA,NA,NA,"31,587,000.00","45,319,000.00","5,987,000.00","49,234,000.00","1,417,600.00","123,736,000.00","8,908,000.00","1,419,200.00",NA,NA,"83,000.00","10,892,400.00",NA,"104,622,000.00",NA,NA,NA,NA,NA,NA,"4,601,972.00","32,386,000.00",NA,"180,313,000.00",NA,"9,439,000.00",NA,NA
Current Ratio (x),274464,1.59,0.55,0.33,NA,NA,NA,0.62,0.62,1.10,NA,0.50,1.24,1.41,NA,NA,NA,NA,1.75,1.54,NA,NA,1.87,2.13,1.17,NA,0.54,1.04,NA,NA,1.06,NA,NA,1.18,1.61,0.97,NA,NA,NA,NA,NA,NA,0.78,1.87,0.66,0.68,1.27,NA,0.93,NA,1.72,0.61,0.94,NA,NA,1.67,NA,NA,1.09,0.71,1.72,1.22,NA,0.79,1.65,NA,2.33,0.76,NA,NA,NA,NA,0.24,1.48,0.52,NA,2.31,1.09,1.05,NA,35.32,1.01,1.43,0.24,NA,1.32,NA,1.14,NA,NA,2.33,1.07,0.86,0.60,7.86,1.06,1.04,NA,0.91,NA,1.15,NA,0.62,1.24,NA,1.19,2.52,2.71,NA,1.21,NA,0.40,NA,6.96,NA,1.00,0.20,1.02,0.78,0.68,0.83,0.48,0.92,1.45,1.15,1.66,NA,NA,NA,0.36,NA,1.18,0.63,1.22,1.50,0.95,1.69,NA,NA,1.12,18.37,NA,0.64,NA,NA,NA,NA,NA,NA,2.12,0.75,NA,NA,NA,1.42,NA,NA
Quick Ratio (x),274465,1.06,0.44,0.13,NA,NA,NA,0.45,0.29,0.25,NA,0.22,1.00,0.57,NA,NA,NA,NA,1.54,1.15,NA,NA,1.71,0.40,0.47,NA,0.37,0.87,NA,NA,0.40,NA,NA,0.19,0.75,0.78,NA,NA,NA,NA,NA,NA,0.32,1.25,0.30,0.22,0.60,NA,0.52,NA,1.37,0.51,0.60,NA,NA,1.67,NA,NA,0.88,0.53,0.78,0.81,NA,0.49,1.31,NA,1.82,0.40,NA,NA,NA,NA,0.13,1.48,0.47,NA,0.24,0.05,0.66,NA,1.03,0.14,0.27,0.24,NA,1.21,NA,0.87,NA,NA,1.37,0.78,0.78,0.55,7.60,0.62,0.39,NA,0.74,NA,0.98,NA,0.50,0.54,NA,0.90,1.14,0.86,NA,0.27,NA,0.23,NA,2.68,NA,0.34,0.09,0.65,0.72,0.28,0.32,0.37,0.47,0.99,0.62,0.31,NA,NA,NA,0.24,NA,0.32,0.63,0.59,1.35,0.41,0.66,NA,NA,0.36,4.50,NA,0.51,NA,NA,NA,NA,NA,NA,1.61,0.38,NA,NA,NA,0.66,NA,NA
Total Debt/Equity (%),274466,396,131,81,NA,NA,NA,NM,156,67,NA,101,36,NM,NA,NA,NA,NA,218,176,NA,NA,98,74,216,NA,438,6,NA,NA,93,NA,NA,148,80,143,NA,NA,NA,NA,NA,NA,155,44,161,96,94,NA,74,NA,135,113,175,NA,NA,90,NA,NA,426,59,360,97,NA,96,574,NA,151,NM,NA,NA,NA,NA,256,344,62,NA,86,195,300,NA,82,NM,127,82,NA,88,NA,NM,NA,NA,61,374,NM,83,"1,900",116,243,NA,112,NA,103,NA,453,164,NA,144,161,135,NA,292,NA,114,NA,16,NA,423,217,57,162,"1,076",150,93,96,86,691,122,NA,NA,NA,24,NA,829,121,100,679,283,84,NA,NA,"1,140",37,NA,192,NA,NA,NA,NA,NA,NA,154,81,NA,NA,NA,58,NA,NA
Total Debt / Total Capital (%),274467,80,57,45,NA,NA,NA,115,61,40,NA,50,27,141,NA,NA,NA,NA,69,64,NA,NA,50,42,68,NA,81,5,NA,NA,48,NA,NA,60,45,59,NA,NA,NA,NA,NA,NA,61,31,62,49,48,NA,42,NA,57,53,64,NA,NA,47,NA,NA,81,37,78,49,NA,49,85,NA,60,108,NA,NA,NA,NA,72,77,38,NA,46,66,75,NA,45,151,56,45,NA,47,NA,102,NA,NA,38,79,173,45,95,54,71,NA,53,NA,51,NA,82,62,NA,59,62,57,NA,74,NA,53,NA,14,NA,81,68,36,62,91,60,48,49,46,87,55,NA,NA,NA,19,NA,89,55,50,87,74,46,NA,NA,92,27,NA,66,NA,NA,NA,NA,NA,NA,61,45,NA,NA,NA,37,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
