SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026,FQ12026
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,3/31/2026,3/31/2026,3/31/2026,,,3/31/2026,3/31/2026,3/31/2026,3/31/2026,,3/31/2026,4/4/2026,5/3/2025,,,,,3/31/2026,3/31/2026,,,3/31/2026,3/31/2026,3/31/2026,,3/31/2026,3/31/2026,3/31/2026,,8/24/2025,,,3/31/2026,3/31/2026,3/31/2026,,,,,,,3/31/2026,3/31/2026,3/31/2026,3/31/2026,3/31/2026,,3/31/2026,,3/31/2026,3/31/2026,3/31/2026,,,3/31/2026,,,3/31/2026,4/3/2026,4/4/2026,3/31/2026,,3/31/2026,3/29/2026,,3/31/2026,1/31/2026,,,,,3/31/2026,2/28/2026,3/31/2026,,3/31/2026,5/3/2025,6/30/2025,,3/31/2026,5/2/2025,5/3/2025,3/31/2026,,3/31/2026,,3/31/2026,,,1/3/2026,4/4/2026,3/31/2026,3/31/2026,3/31/2026,3/31/2026,3/31/2026,,3/31/2026,,3/31/2026,,8/31/2025,3/31/2026,,3/31/2026,3/31/2026,3/29/2026,,3/31/2026,,3/31/2026,,3/31/2026,,3/31/2026,3/31/2026,3/31/2026,5/2/2025,3/29/2026,3/31/2026,3/31/2026,3/31/2026,3/31/2026,9/27/2025,3/31/2026,,,,3/31/2026,3/31/2026,3/31/2026,3/31/2026,3/31/2026,3/31/2026,5/24/2025,1/30/2026,,,3/31/2026,3/31/2026,,3/31/2026,,,,,,,6/30/2025,3/31/2026,,3/31/2026,,3/31/2026,,
Financial Filing Date,309159,4/21/2026,5/5/2026,5/5/2026,,,5/5/2026,4/30/2026,5/8/2026,5/6/2026,,5/5/2026,5/7/2026,5/27/2026,,,,,5/7/2026,5/7/2026,,,5/7/2026,4/23/2026,4/23/2026,,4/22/2026,4/27/2026,5/7/2026,,10/1/2025,,,5/6/2026,5/1/2026,4/22/2026,,,,,,,5/1/2026,4/23/2026,5/5/2026,5/5/2026,5/5/2026,,5/5/2026,,5/7/2026,4/21/2026,5/6/2026,,,4/24/2026,,,4/30/2026,4/30/2026,5/13/2026,4/29/2026,,5/8/2026,5/13/2026,,5/7/2026,2/25/2026,,,,,5/6/2026,4/7/2026,4/28/2026,,4/23/2026,6/6/2025,8/5/2025,,4/28/2026,5/29/2025,6/5/2025,5/8/2026,,4/30/2026,,5/7/2026,,,1/30/2026,5/7/2026,4/21/2026,5/4/2026,4/29/2026,5/7/2026,5/1/2026,,4/24/2026,,4/21/2026,,9/10/2025,5/6/2026,,4/23/2026,5/4/2026,5/7/2026,,4/28/2026,,5/5/2026,,5/5/2026,,5/4/2026,4/30/2026,4/21/2026,6/2/2025,5/7/2026,4/28/2026,4/23/2026,5/5/2026,5/5/2026,10/29/2025,5/1/2026,,,,4/29/2026,5/1/2026,4/22/2026,5/8/2026,5/5/2026,5/1/2026,6/27/2025,3/5/2026,,,4/30/2026,4/29/2026,,5/1/2026,,,,,,,8/8/2025,5/1/2026,,4/29/2026,,5/1/2026,,
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,NA
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"5,819,000",NA,NA,NA,NA,"9,518,000","3,531,000","13,000","63,301",NA,"4,000","286,512","636,000",NA,NA,NA,NA,"512,783","6,965,000",NA,NA,"64,598","1,000","1,194,000",NA,"200,000","1,259,000","1,046,570,000",NA,"698,100",NA,NA,"5,098,000","1,755,000","1,109,000",NA,NA,NA,NA,NA,NA,"352,000","1,641,916","2,140,000","17,000","18,000",NA,"21,000",NA,"68,618","183,400","713,000",NA,NA,"46,186",NA,NA,"21,779,000","356,100","81,400","2,261,000",NA,"5,861,312","1,355,300",NA,"1,839,450","3,154,000",NA,NA,NA,NA,"3,000","57,255,104",NA,NA,"898,000","153,000","1,462,000",NA,"60,860","3,054,000","932,000","20,791",NA,"273,672",NA,"1,170,000",NA,NA,"73,359","886,000","381,700","24,948","657,000","232,000","201,000",NA,"1,341,000",NA,"2,090,000",NA,"11,005,000","272,000",NA,"441,000","2,169,000","37,472",NA,"282,000",NA,"2,000",NA,"56,000",NA,"1,788,573","512,000","6,818,000","47,000","116,655","110,000","3,328,000","60,265","484,752","847,000","1,126",NA,NA,NA,"5,402,000","247,720,000","20,178,000","96,475,000","41,400","1,142,200,000","4,738,000","189,000",NA,NA,"340,000","2,247,900",NA,"8,401,000",NA,NA,NA,NA,NA,NA,"1,177,492","221,000",NA,"461,200,000",NA,"299,000",NA,NA
