SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023,FQ32023
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,9/30/2023,9/30/2023,9/30/2023,,,9/30/2023,9/30/2023,9/30/2023,9/30/2023,,9/30/2023,9/30/2023,10/29/2022,,,,,9/30/2023,9/30/2023,,,9/30/2023,9/30/2023,9/30/2023,,9/30/2023,9/30/2023,9/30/2023,,2/26/2023,9/30/2023,9/30/2023,9/30/2023,9/30/2023,9/30/2023,,,,9/30/2023,,,9/30/2023,9/30/2023,9/30/2023,9/30/2023,9/30/2023,9/30/2023,9/30/2023,,9/30/2023,9/30/2023,9/30/2023,,,9/30/2023,,,9/30/2023,9/29/2023,9/30/2023,9/30/2023,,9/30/2023,10/1/2023,,9/30/2023,7/31/2023,,,,,9/30/2023,8/31/2023,9/30/2023,,9/30/2023,10/29/2022,12/31/2022,,9/30/2023,10/28/2022,10/29/2022,9/30/2023,,9/30/2023,,9/30/2023,,9/30/2023,7/1/2023,9/30/2023,9/30/2023,9/30/2023,9/30/2023,9/30/2023,9/30/2023,,9/30/2023,,9/30/2023,,2/28/2023,9/30/2023,,9/30/2023,9/30/2023,10/1/2023,,9/30/2023,9/30/2023,9/30/2023,,9/30/2023,,9/30/2023,9/30/2023,9/30/2023,10/28/2022,9/24/2023,9/30/2023,9/30/2023,9/30/2023,9/30/2023,4/1/2023,9/30/2023,,9/30/2023,,9/30/2023,9/30/2023,9/30/2023,9/30/2023,9/30/2023,9/30/2023,11/5/2022,8/4/2023,,,9/30/2023,9/30/2023,,9/30/2023,,,,,,,12/31/2022,9/30/2023,,9/30/2023,,9/30/2023,,9/30/2023
Financial Filing Date,309159,10/22/2024,11/6/2024,11/6/2024,,,11/5/2024,10/31/2024,11/7/2024,10/30/2024,,11/6/2024,10/31/2024,12/1/2023,,,,,11/5/2024,11/8/2024,,,11/7/2024,10/28/2024,10/28/2024,,10/23/2024,10/24/2024,11/7/2024,,4/4/2024,11/14/2023,11/4/2024,11/5/2024,11/1/2024,10/17/2024,,,,12/23/2024,,,11/1/2024,10/24/2024,11/7/2024,11/7/2024,11/7/2024,11/22/2024,11/7/2024,,10/31/2024,10/21/2024,10/30/2024,,,10/18/2024,,,10/29/2024,10/30/2024,11/7/2024,10/30/2024,,10/31/2024,10/31/2024,,11/4/2024,8/29/2024,,,,,11/5/2024,10/9/2024,10/15/2023,,10/24/2024,11/30/2023,2/7/2024,,11/5/2024,11/29/2023,11/28/2023,11/8/2024,,10/31/2024,,11/7/2024,,11/4/2024,8/8/2024,11/7/2024,10/31/2024,11/5/2024,10/30/2024,11/7/2024,10/25/2024,,10/22/2024,,10/24/2024,,3/12/2024,11/6/2024,,11/7/2024,11/4/2024,11/7/2024,,10/22/2024,11/22/2024,11/6/2024,,11/5/2024,,11/5/2024,10/29/2024,10/22/2024,12/4/2023,11/6/2024,10/29/2024,10/28/2024,11/6/2024,11/6/2024,5/1/2024,11/2/2023,,11/12/2024,,10/30/2024,11/1/2024,10/23/2024,11/8/2024,11/1/2024,11/4/2024,12/8/2023,9/5/2024,,,10/25/2024,10/30/2024,,10/25/2024,,,,,,,2/9/2024,11/1/2024,,10/31/2024,,10/25/2024,,5/27/2025
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.220316
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.266029
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"5,213,000",100,NA,NA,NA,"8,537,000","1,537,000","8,000","69,514",NA,"4,500","333,294","295,000",NA,NA,NA,NA,"882,647","5,289,000",NA,NA,"49,085","15,000","717,000",NA,"129,900","899,000","796,530,000",NA,"71,200",NA,"1,888,000","5,296,000","1,639,000","1,439,000",NA,NA,NA,"9,208,000",NA,NA,"137,000","283,798","324,000","41,000","14,000","9,403","20,000",NA,"172,953","412,600","303,000",NA,NA,"103,384",NA,NA,"29,000,000","714,100","116,132","2,408,000",NA,"1,941,777","184,400",NA,"491,679","1,718,000",NA,NA,NA,NA,"331,000","44,507,446",NA,NA,"260,000","194,000","2,002,000",NA,"46,981","3,959,000","326,000","77,047",NA,"214,174",NA,"3,508,000",NA,"700,000","122,512","910,000","924,713","16,579","994,000","695,000","396,000",NA,"1,506,000",NA,"2,082,000",NA,"8,769,000","1,323,000",NA,"265,000","98,000","16,450",NA,"303,200",200,"3,700",NA,"8,000",NA,"1,280,815","600,117","5,456,000","53,000","134,732","317,000","11,733,000","70,970","104,939","757,867","95,793",NA,"8,000",NA,"4,229,000","160,354,000","13,351,000","52,722,000","33,000","978,153,000","916,000","147,926",NA,NA,"245,000","1,653,100",NA,"4,310,000",NA,NA,NA,NA,NA,NA,"182,130","37,000",NA,"365,864,000",NA,"1,173,000",NA,NA
