SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"9,786,000","12,590,800","14,318,900",NA,NA,"10,951,000","1,629,000","32,938,000","11,004,484",NA,"12,890,000","536,204","2,195,000",NA,NA,NA,NA,"18,952,799",NA,NA,NA,"44,005","11,313,000","29,186,000",NA,"2,383,600","199,000","27,959,000",NA,"2,702,000","852,783","20,849,000",NA,"14,407,000","35,152,000",NA,NA,NA,"1,084,000",NA,NA,"56,161,000","992,157","117,020,000","20,987,000","12,326,000","2,227,767","9,608,000",NA,"4,863,136","1,763,600","72,458,000",NA,NA,"4,678,342",NA,NA,"40,169,000","587,800","223,061","2,355,000",NA,"2,118,014","474,600",NA,"7,086,536","3,954,000",NA,NA,NA,NA,"11,094,000","929,903","6,232,000",NA,"3,400,000","10,435,000","3,877,000",NA,"46,872","20,787,000","8,530,000",NA,NA,"1,973,810",NA,"36,173,600",NA,"21,522,000","859,253","1,384,000","175,569","2,120,436","67,000","1,029,000","1,723,000",NA,"32,668,000",NA,"10,887,000",NA,"16,345,000","3,904,000",NA,"81,671,000","26,099,000","528,394",NA,"1,293,100","2,710,200","6,139,100",NA,"8,563,000",NA,"104,362","28,384,345","17,102,000","261,000","1,698,603","56,331,000","20,018,000","7,391,393","8,497,997","5,358,119","2,256,354",NA,"9,919,000",NA,"909,000","3,234,000","10,484,000","3,730,000","2,059,400","15,303,000","30,785,000","741,586",NA,NA,"40,000","463,300",NA,"132,576,000",NA,NA,NA,NA,NA,NA,"4,508,531","42,045,000",NA,"17,603,000",NA,"14,141,000",NA,NA
Total Assets,268552,"49,621,000","13,957,700","14,712,000",NA,NA,"195,704,000","36,469,000","39,599,000","12,559,377",NA,"15,509,700","20,638,360","5,133,000",NA,NA,NA,NA,"24,494,542","223,516,000",NA,NA,"1,103,188","14,694,000","39,001,000",NA,"6,750,500","30,915,000","2,368,477,000",NA,"22,454,200","1,187,251","48,928,000","355,592,000","28,278,000","41,850,000",NA,NA,NA,"143,432,000",NA,NA,"105,943,000","10,772,105","181,160,000","26,315,000","14,585,000","2,507,683","11,794,000",NA,"5,719,377","12,348,900","99,259,000",NA,NA,"5,160,961",NA,NA,"268,073,000","15,664,400","1,063,244","32,382,000",NA,"48,924,605","8,340,200",NA,"9,371,118","36,632,000",NA,NA,NA,NA,"12,966,000","56,044,559","8,967,000",NA,"51,763,000","16,234,000","11,851,000",NA,"3,335,011","46,973,000","18,230,000","4,467,760",NA,"9,529,727",NA,"52,089,300",NA,"26,094,000","3,882,243","12,436,000","4,865,494","2,499,090","63,414,000","13,223,000","12,572,000",NA,"40,739,000",NA,"44,896,000",NA,"131,620,000","11,069,000",NA,"122,536,000","31,367,000","2,655,943",NA,"5,733,000","3,306,800","7,272,200",NA,"20,245,000",NA,"34,745,528","32,768,672","162,443,000","5,628,000","2,318,603","79,905,000","36,980,000","9,118,761","11,836,282","22,702,033","4,260,532",NA,"12,638,000",NA,"101,176,000","405,248,000","134,281,000","475,204,000","2,638,000","1,577,153,000","49,987,000","3,585,890",NA,NA,"2,966,000","59,954,500",NA,"384,830,000",NA,NA,NA,NA,NA,NA,"6,801,924","56,862,000",NA,"1,909,261,000",NA,"17,550,000",NA,"260,265"
Net Debt,268593,"11,704,000","6,011,400","5,593,400",NA,NA,"14,092,000","23,561,000","16,010,000","4,324,347",NA,"5,850,700","3,870,369","5,779,000",NA,NA,NA,NA,"14,673,545","6,737,000",NA,NA,"398,656","4,236,000","17,570,000",NA,"4,592,900","-30,000","-163,099,000",NA,"9,422,300","192,076","6,267,000","12,131,000","6,818,000","17,669,000",NA,NA,NA,"10,259,000",NA,NA,"42,522,000","2,867,905","79,114,000","10,421,000","4,735,000","877,637","3,963,000",NA,"2,872,466","5,588,800","42,915,000",NA,NA,"2,118,436",NA,NA,"115,542,000","2,182,900","326,148","8,217,000",NA,"15,419,563","3,676,700",NA,"4,756,082","9,229,000",NA,NA,NA,NA,"7,222,000","-18,017,577","2,537,000",NA,"14,418,000","7,975,000","2,317,000",NA,"1,148,696","34,351,000","5,841,000","1,870,168",NA,"3,402,188",NA,"46,327,700",NA,"8,306,000","1,039,019","5,593,000","3,728,114","1,127,859","58,826,000","7,161,000","5,410,000",NA,"15,612,000",NA,"13,193,000",NA,"83,042,000","1,926,000",NA,"51,083,000","10,524,000","1,269,161",NA,"2,038,500","1,102,500","2,497,800",NA,"2,285,000",NA,"22,946,911","19,967,095","31,327,000","2,449,000","2,213,186","29,980,000","-2,460,000","3,429,714","5,230,435","10,955,417","649,454",NA,"5,134,000",NA,"7,088,000","-94,972,000","38,921,000","17,309,000","899,900","-331,748,000","19,338,000","1,032,432",NA,NA,"748,000","3,478,600",NA,"173,764,000",NA,NA,NA,NA,NA,NA,"3,090,976","20,189,000",NA,"-54,866,000",NA,"4,527,000",NA,"232,416"
Total Debt,274444,"16,917,000","6,011,500","5,593,400",NA,NA,"22,629,000","25,098,000","16,018,000","4,393,861",NA,"5,855,200","4,203,663","6,074,000",NA,NA,NA,NA,"15,556,192","10,576,000",NA,NA,"447,741","4,251,000","18,287,000",NA,"4,722,800","869,000","633,431,000",NA,"9,493,500","192,076","8,155,000","12,700,000","8,457,000","19,108,000",NA,NA,NA,"19,467,000",NA,NA,"42,659,000","3,151,703","79,438,000","10,462,000","4,749,000","887,040","3,983,000",NA,"3,045,419","6,001,400","43,218,000",NA,NA,"2,221,820",NA,NA,"144,542,000","2,897,000","442,280","10,625,000",NA,"17,361,340","3,861,100",NA,"5,247,761","10,947,000",NA,NA,NA,NA,"7,553,000","26,489,869","2,537,000",NA,"14,678,000","8,169,000","4,319,000",NA,"1,195,677","38,310,000","6,167,000","1,947,215",NA,"3,616,362",NA,"49,835,700",NA,"9,006,000","1,161,531","6,503,000","4,652,827","1,144,438","59,820,000","7,856,000","5,806,000",NA,"17,118,000",NA,"15,593,000",NA,"91,811,000","3,249,000",NA,"51,348,000","10,622,000","1,285,611",NA,"2,341,700","1,102,700","2,501,500",NA,"2,293,000",NA,"24,227,726","20,567,212","36,783,000","2,528,000","2,347,918","30,297,000","9,273,000","3,500,684","5,335,374","11,713,284","745,247",NA,"5,142,000",NA,"7,948,000","65,382,000","52,272,000","70,031,000","932,900","646,405,000","20,254,000","1,180,358",NA,NA,"1,136,000","3,644,500",NA,"178,074,000",NA,NA,NA,NA,NA,NA,"3,273,106","20,226,000",NA,"310,998,000",NA,"5,700,000",NA,"232,416"
Total Common Equity,268583,"4,672,000","4,710,500","6,294,900",NA,NA,"10,501,000","(3,407,000)","11,043,000","7,328,696",NA,"5,226,300","5,485,261","-2,609,000",NA,NA,NA,NA,"5,039,311","4,069,000",NA,NA,"483,010","5,798,000","9,585,000",NA,"888,700","10,624,000","190,008,000",NA,"8,866,400","489,282","11,774,000","8,366,000","11,430,000","11,950,000",NA,NA,NA,"13,180,000",NA,NA,"26,245,000","4,832,500","47,044,000","9,836,000","4,936,000","959,999","5,017,000",NA,"2,473,649","4,293,300","25,470,000",NA,NA,"2,608,915",NA,NA,"44,263,000","10,077,800","281,100","7,131,000",NA,"22,441,501","2,197,800",NA,"2,963,895","-2,245,000",NA,NA,NA,NA,"2,803,000","9,698,806","4,110,000",NA,"25,364,000","4,096,000","1,832,000",NA,"1,802,675","-12,868,000","3,475,000","2,370,807",NA,"2,703,344",NA,"-4,854,800",NA,"10,490,000","1,621,184","362,000","-1,049,096","1,260,111","2,898,000","1,372,000","3,126,000",NA,"12,615,000",NA,"15,928,000",NA,"-2,421,000","5,105,000",NA,"28,261,000","9,773,000","1,031,303",NA,"1,332,700","1,296,600","2,568,800",NA,"14,747,000",NA,"5,950,802","4,422,976","69,596,000","1,686,000","-565,763","18,830,000","11,054,000","3,135,296","3,238,745","1,575,302","1,030,768",NA,"4,808,000",NA,"12,592,000","36,128,000","-16,729,000","28,593,000","990,000","106,074,000","9,955,000","1,477,083",NA,NA,"10,000","9,618,100",NA,"97,741,000",NA,NA,NA,NA,NA,NA,"2,588,754","18,418,000",NA,"161,696,000",NA,"10,228,000",NA,"27,628"
Total Minority Interest,268584,"59,000",NA,NA,NA,NA,NA,"50,000","129,000",NA,NA,NA,"68,214.00","1,000.00",NA,NA,NA,NA,"2,749,659.00","65,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"692,000.00",NA,"71,900.00",340.00,"334,000.00","890,000.00","314,000.00","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"2,820,000.00",NA,NA,NA,NA,NA,NA,"191,300.00",NA,NA,NA,"7,085.00",NA,NA,"13,000.00","5,800.00","-2,349.00","172,000.00",NA,"716,452.00","25,400.00",NA,"65,934.00",NA,NA,NA,NA,NA,NA,"66,690.00",NA,NA,NA,NA,"99,000.00",NA,NA,NA,NA,NA,NA,"10,377.00",NA,NA,NA,NA,NA,"14,000.00",NA,"20,714.00",NA,NA,NA,NA,NA,NA,NA,NA,"509,000.00","45,000.00",NA,NA,NA,NA,NA,"2,500.00",NA,NA,NA,NA,NA,"59,907.00","173,213.00","1,650,000.00","10,000.00",-6.00,NA,NA,NA,"145,157.00","33,004.00",NA,NA,NA,NA,"-146,000.00","165,000.00","12,000.00",NA,NA,"471,000.00","-26,000.00",NA,NA,NA,NA,NA,NA,"1,347,000.00",NA,NA,NA,NA,NA,NA,"33,434.00",NA,NA,"1,658,000.00",NA,NA,NA,NA
Total Equity,268585,"4,731,000","4,710,500","6,294,900",NA,NA,"12,825,000","(3,357,000)","11,172,000","7,550,536.00",NA,"5,226,300.00","5,553,475.00","-2,608,000.00",NA,NA,NA,NA,"7,788,970.00","4,134,000.00",NA,NA,"483,010.00","5,798,000.00","9,585,000.00",NA,"888,700.00","10,624,000.00","210,195,000.00",NA,"8,938,300.00","489,622.00","12,108,000.00","9,256,000.00","11,744,000.00","11,954,000.00",NA,NA,NA,"14,236,000.00",NA,NA,"28,028,000.00","4,832,500.00","51,826,000.00","9,836,000.00","4,936,000.00","959,999.00","5,017,000.00",NA,"2,479,829.00","4,484,600.00","25,470,000.00",NA,NA,"2,616,000.00",NA,NA,"44,276,000.00","10,083,600.00","278,751.00","7,303,000.00",NA,"23,157,953.00","2,223,200.00",NA,"3,029,829.00","-2,245,000.00",NA,NA,NA,NA,"2,803,000.00","9,765,538.00","4,110,000.00",NA,"25,364,000.00","4,096,000.00","1,931,000.00",NA,"1,802,675.00","-12,868,000.00","3,475,000.00","2,370,807.00",NA,"2,713,721.00",NA,"-4,854,800.00",NA,"10,490,000.00","1,621,184.00","376,000.00","-1,049,096.00","1,280,825.00","2,898,000.00","1,647,000.00","3,126,000.00",NA,"12,615,000.00",NA,"15,928,000.00",NA,"-1,912,000.00","5,150,000.00",NA,"28,519,000.00","9,775,000.00","1,031,303.00",NA,"1,335,200.00","1,296,600.00","2,568,800.00",NA,"14,747,000.00",NA,"7,267,963.00","4,596,189.00","71,246,000.00","1,696,000.00","-565,769.00","20,775,000.00","11,054,000.00","3,135,296.00","3,383,902.00","1,608,306.00","1,030,768.00",NA,"4,808,000.00",NA,"14,447,000.00","41,131,000.00","-16,717,000.00","37,784,000.00","990,000.00","117,748,000.00","9,929,000.00","1,477,083.00",NA,NA,"10,000.00","9,618,100.00",NA,"99,088,000.00",NA,NA,NA,NA,NA,NA,"2,622,188.00","18,418,000.00",NA,"182,373,000.00",NA,"10,228,000.00",NA,"27,627.95"
Current Ratio (x),274464,1.05,0.80,0.30,NA,NA,NA,0.33,0.52,0.98,NA,0.80,1.45,1.34,NA,NA,NA,NA,3.43,1.73,NA,NA,1.45,0.84,0.78,NA,0.55,1.10,NA,NA,0.97,2.32,1.90,1.35,1.70,1.15,NA,NA,NA,1.13,NA,NA,1.14,1.58,0.76,0.72,0.84,0.48,0.42,NA,2.56,1.01,0.85,NA,NA,1.98,NA,NA,1.21,1.02,2.25,1.25,NA,1.09,1.60,NA,1.82,0.69,NA,NA,NA,NA,0.81,1.45,0.37,NA,0.39,1.21,1.08,NA,25.97,1.20,1.09,1.13,NA,1.44,NA,1.71,NA,1.72,2.28,0.95,1.36,1.05,12.63,1.15,1.24,NA,1.08,NA,1.28,NA,0.82,2.16,NA,0.85,0.84,2.42,NA,1.25,0.54,1.07,NA,2.36,NA,0.98,0.19,1.03,1.01,0.68,0.83,1.21,2.22,1.90,1.21,4.71,NA,0.75,NA,0.36,NA,1.15,0.40,0.67,1.64,0.76,1.91,NA,NA,1.09,13.69,NA,0.69,NA,NA,NA,NA,NA,NA,1.47,0.70,NA,NA,NA,1.39,NA,5.56
Quick Ratio (x),274465,0.65,0.43,0.20,NA,NA,NA,0.15,0.26,0.24,NA,0.18,0.92,0.37,NA,NA,NA,NA,3.09,1.53,NA,NA,1.28,0.35,0.49,NA,0.36,0.87,NA,NA,0.29,1.03,0.91,0.22,0.79,0.97,NA,NA,NA,1.13,NA,NA,0.13,0.84,0.26,0.27,0.23,0.16,0.22,NA,2.16,0.89,0.41,NA,NA,1.12,NA,NA,0.99,0.68,0.89,0.85,NA,0.49,0.64,NA,1.26,0.35,NA,NA,NA,NA,0.66,1.45,0.30,NA,0.19,0.04,0.78,NA,0.68,0.19,0.08,1.13,NA,1.33,NA,1.44,NA,1.16,1.43,0.70,1.27,0.89,12.25,0.61,0.53,NA,0.93,NA,1.06,NA,0.66,1.44,NA,0.67,0.39,0.77,NA,0.34,0.12,0.34,NA,0.32,NA,0.43,0.10,0.63,0.90,0.50,0.42,1.09,0.53,1.00,0.67,1.71,NA,0.55,NA,0.22,NA,0.28,0.40,0.37,1.53,0.17,0.59,NA,NA,0.39,3.40,NA,0.51,NA,NA,NA,NA,NA,NA,0.65,0.34,NA,NA,NA,0.97,NA,5.56
Total Debt/Equity (%),274466,357.58,127.62,88.86,NA,NA,NA,NM,143.38,58,NA,112,76,NM,NA,NA,NA,NA,200,256,NA,NA,93,73,191,NA,531,8,NA,NA,106,39,67,137,72,160,NA,NA,NA,137,NA,NA,152,65,153,106,96,92,79,NA,123,134,170,NA,NA,85,NA,NA,326,29,159,145,NA,75,174,NA,173,NM,NA,NA,NA,NA,269,271,62,NA,58,199,224,NA,66,NM,177,82,NA,133,NA,NM,NA,86,72,"1,730",NM,89,"2,064",477,186,NA,136,NA,98,NA,NM,63,NA,180,109,125,NA,175,85,97,NA,16,NA,333,447,52,149,NM,146,84,112,158,728,72,NA,107,NA,55,NA,NM,185,94,549,204,80,NA,NA,"11,360",38,NA,180,NA,NA,NA,NA,NA,NA,125,110,NA,NA,NA,56,NA,841
Total Debt / Total Capital (%),274467,78.15,56.07,47.05,NA,NA,NA,115.44,58.91,37,NA,53,43,175,NA,NA,NA,NA,67,72,NA,NA,48,42,66,NA,84,8,NA,NA,52,28,40,58,42,62,NA,NA,NA,58,NA,NA,60,39,61,52,49,48,44,NA,55,57,63,NA,NA,46,NA,NA,77,22,61,59,NA,43,63,NA,63,126,NA,NA,NA,NA,73,73,38,NA,37,67,69,NA,40,151,64,45,NA,57,NA,111,NA,46,42,95,129,47,95,83,65,NA,58,NA,49,NA,102,39,NA,64,52,55,NA,64,46,49,NA,13,NA,77,82,34,60,132,59,46,53,61,88,42,NA,52,NA,35,NA,147,65,49,85,67,44,NA,NA,99,27,NA,64,NA,NA,NA,NA,NA,NA,56,52,NA,NA,NA,36,NA,89
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
